{'descr': '还好就是房间有点小', 'star': 5}
{'descr': '酒店的服务员态度很不好，总感觉我是欠他钱一样，酒店的床比较高，卫生间也很小。酒店旁边有个味之都，可以吃饭。', 'star': 1}
{'descr': '除了离地铁站近，其他没有什么优点可言。\n隔音差的，隔壁讲话听得很清楚。房间里面一股子下水道的味道。\n前台服务尚可。', 'star': 1}
{'descr': '交通便利、附近的饭店很多，房间也很方便，就是网速慢了点。', 'star': 5}
{'descr': '地理位置很棒，酒店小了点，房间就只能有两张床的大小~\n只是看中了周边而已，啊哈哈', 'star': 5}
{'descr': '价格能在便宜点就好了价格能在便宜点就好了', 'star': 5}
{'descr': '中规中矩，没什么太不好的。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '马马虎虎，招待所水平的一家。 不太讲究的话将就下还行的感觉', 'star': 1}
{'descr': '马马虎虎，招待所水平,不是太讲究的话还能将就一个晚上。', 'star': 5}
{'descr': '酒店房间虽然不大，但是胜在交通方便，离地铁近，对面就是第十医院。', 'star': 5}
{'descr': '酒店交通方便，附近吃的很多，对面就是第十医院，去看病的人相当方便', 'star': 5}
{'descr': '酒店位置很方便。离地铁一号线的站店非常的近。', 'star': 5}
{'descr': '干净卫生 服务态度好 地理位置合适 性价比高 世博会期间比较好的选择', 'star': 5}
{'descr': '房间还挺干净，就是浴室不是很理想，淋浴处感觉脏脏的。希望淋浴处能够搞得干净点，这样入住的旅客才会感觉舒服。', 'star': 5}
{'descr': '离地铁很近 出行很方便就是没看到有超市 价格有点偏贵咯 还算不错啦', 'star': 5}
{'descr': '交通方便，干净，世博期间能有这样的价格，还行', 'star': 5}
{'descr': '房间干净也很安静…总体不错！', 'star': 5}
{'descr': '设施比较老，位置非常好。吃饭出门买东西都很方便。住店都是外地旅客。晚上都很闹腾，但一早都是乒乒乓乓关门声。', 'star': 1}
{'descr': '交通很方便，地铁站走几步就到了。可前台工作人员服务态度一般，希望你们多考虑。', 'star': 1}
{'descr': '位置在地铁口，挺方便的，性价比高，房间卫生也不错，值得一住。', 'star': 5}
{'descr': '和杭州的就没法比 床垫外罩上都有霉点 淋浴花洒刺人的疼 厕所天花板还漏水考虑到上海的物价 估计这也就是一般招待所的档次 只有位置还可以 地铁就在旁边 到火车站也不远', 'star': 1}
{'descr': '位置距地铁很近，去哪儿都很方便，房间小了点但很整洁，卫生间太小了，以至于自带的洗漱用品都没地方放。反正总的来讲很不错。但由于世博的原因，价格涨得实在太离谱。', 'star': 5}
{'descr': '卫生间很脏哇。。淋浴房。。、不怎么样。总体一般把', 'star': 1}
{'descr': '+交通很方便，房间比想像中好', 'star': 5}
{'descr': ' 卫生，服务都挺不错，而且地理位置也不错，就在地铁口附近而已，这个很方便。但是唯一觉得酒店设计不合理的就是，双人房里的卫生间居然是用一堵玻璃围起来的，感觉很透明，用起来觉得有点不太方便。', 'star': 5}
{'descr': '酒店比较贵，但是附近配套设施较多', 'star': 3}
{'descr': '酒店地理位置比较好，离人民广场和火车站都很近。附近有大宁商圈购物娱乐休闲很方便。', 'star': 5}
{'descr': '房间很干净，就是床高了点，服务业不错。看世博，交通挺方便的', 'star': 5}
{'descr': '服务很好  就是在房间的洗手间看到有用过的洗面奶瓶子  感觉卫生质量一点也不过关 因为到店晚  急需休息  就麻烦服务员  但因此对本店好感立降', 'star': 5}
{'descr': '这是我住过的酒店中最差的一个，也是性价比最差的一个。我对上海人是特别了解，也不想把问题扩大化。但是他们前台的哪个美女主管实在是不专业。只要是客人提出的需求，她一定是种种理由推托。我在办入住的时候就听他接订过房间的客人的电话。原来认可的要求，现在不承认了。实在没理了，就说自己是新来的，也不了解情况，就是不行。其实她之所以接电话也是因为另一个年轻的女孩处理不了才给她的。再说一个荒唐的例子吧，我办che', 'star': 1}
{'descr': '没什么不满意，就是离世博远了点~', 'star': 5}
{'descr': '其他都还好，就是服务太差。', 'star': 5}
{'descr': '这家店的地理位置是挺好的，交通很方便！其他就没什么优点了，房间隔音暴差 你很难相信大半夜的能听到隔壁 仁兄在床上跟他女朋友折腾的声音，此女也真是的 完全不考虑我们这些单身人士的感受。那叫声如此刺耳。在就是卫生间的玻璃墙竟然有一排字母是透明的 往马桶上一蹲 突然发现同事在外面看着我  走光了 那卫生间 很黄 很透明&#183;&#183;', 'star': 1}
{'descr': '设施，舒适度，包括位置都还不错，但是不代表没有做的差劲的地方，比如\r\n天天不管进出，前台服务员都要客人报一遍名字，的确是为了大家的安全，但是你就不会长点儿记性吗？都住一周的客人，头两天记不住还有情可原，到最后还是记不住，我真要怀疑他们的专业素质了！', 'star': 5}
{'descr': '价格虽然贵了点，但是离上海大学延长校区确实很近', 'star': 5}
{'descr': '酒店前台小妞不错，笑容可掬的。', 'star': 5}
{'descr': '整体还算不错  \r\n就是拖鞋居然是用过的，有点不可思议 ', 'star': 5}
{'descr': '房间小了点，没有早饭不大方便', 'star': 3}
{'descr': '整体感觉不错，以后有机会还会选择格林豪泰。', 'star': 5}
{'descr': '地理的位置很方便,旁边有个85个咖啡店吃东西很方便,对面有个火车票代售处,去杭州等地的动车很方便,酒店整体看起来不错,用品干净,整洁,比如家感觉好些,适合商务出行,性价比还可以,唯一的问题房间的空调不是很好,有点冷,床有些硬.', 'star': 5}
{'descr': '房间还是小了一些,也没有提供早餐，不过其他方面还行。', 'star': 1}
{'descr': '这家酒店住起来挺舒适的,价格也蛮经济实惠的,值得推荐.', 'star': 3}
{'descr': '位置不错,设施也很好,而且性价比蛮高.工作人员态度不错.\r\n没有早餐有点难过.', 'star': 5}
{'descr': '很適合商務出差', 'star': 5}
{'descr': '设施欠完善一点,面积太小', 'star': 5}
{'descr': '满好的。就在地铁站边上交通很便利，酒店边上吃的用的各种商店都很多，对面就是第十医院，一切设施都很齐全。服务也还可以，虽然房间小了点但很干净。在上海这个价格这样的酒店应该性价比算高了吧。', 'star': 5}
