{'短评内容': '早餐一般般', '短评打分': 5}
{'短评内容': '很晚才入住，就睡了一觉，总台接待人员手脚挺麻利的，服务不错，房间设施一般，说是新装修的，感觉不到，应该是国字号企业，就房价而言还行吧，酒店外环境很好。', '短评打分': 1}
{'短评内容': '挺干净的，大厅很宽敞明亮，很适合团体会议入住。景观很好。', '短评打分': 5}
{'短评内容': '花园很漂亮，绿化很好，很安静。总的来说不错。', '短评打分': 5}
{'短评内容': '经济实惠的四星酒店，有宽阔的景观花园，交通便利，闹中取静。', '短评打分': 5}
{'短评内容': '床上有小虫子哦', '短评打分': 3}
{'短评内容': '新装修 还不错 就是空间不是很足 交通还算方便。入住后感觉不错', '短评打分': 5}
{'短评内容': '设施较齐全，只是空调面板比较陈旧了', '短评打分': 3}
{'短评内容': '性价比不错的宾馆,值得一住.下次还来,闹中取静的地方.', '短评打分': 5}
{'短评内容': '位置很好。去湖南路很近。价格也还能接受。', '短评打分': 5}
{'短评内容': '住了两天，感觉还不错，只要干净舒服就行，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店很干净，特别是毛巾是白的，服务是不错的，下次还会入住 ', '短评打分': 5}
{'短评内容': '设施老一点，但服务还是不错的，也很安静。不过热水偶尔会不好。', '短评打分': 5}
{'短评内容': '服务、环境都挺好，只是主楼的设施有点久了。', '短评打分': 5}
{'短评内容': '服务很好。酒店的环境也不错。', '短评打分': 3}
{'短评内容': '第二次住了，很不错，就是退房时间迟了一点，12点必须退房，现在很多酒店都是2点退房了！', '短评打分': 5}
{'短评内容': '酒店古色古香，宁静舒适，芒果网代订服务及时周到，下次还住', '短评打分': 5}
{'短评内容': '很传统的酒店，住的感觉不错，适合旅游去住，老牌的酒店了！', '短评打分': 5}
{'短评内容': '还可以，硬件有点旧,宾馆环境优美，地处南京下关闹市区，交通方便', '短评打分': 5}
{'短评内容': '我觉得性价比很高。硬件条件很好。值得再回去住。', '短评打分': 5}
{'短评内容': '一个做很多大型会议接待的酒店，房间却做得很温馨、很实用，住下来，有家的感觉，用具也都很新，服务员特别好。我已经来住几次了每次都很满意。', '短评打分': 5}
{'短评内容': '交通便利，餐厅很好，房价有点贵，停车还要收费，有点过分', '短评打分': 5}
{'短评内容': '性价比不高,环境跟经济型连锁酒店相比差别不大', '短评打分': 1}
{'短评内容': '不错，房间服务很好，干净，卫生，服务员态度热情', '短评打分': 5}
{'短评内容': '还可以拉，政府招待酒店，貌似每天会议很多，另外价格怎么比我们单位协议价还便宜。', '短评打分': 5}
{'短评内容': '清静，国考的想睡个好觉的推荐这一家，就是没大灯', '短评打分': 5}
{'短评内容': '设施有点陈旧，但是还算干净，不错的宾馆，总体上不错', '短评打分': 5}
{'短评内容': '多次入住，感觉依然良好。不过南京周末会议好多，差一点订不到。', '短评打分': 5}
{'短评内容': '总体的感觉一般，相比于连锁酒店，性价比不高。', '短评打分': 1}
{'短评内容': '设施比较旧的酒店，外面比较气派，居住的以政府单位为主吧。感觉不是那么值得。早餐还可以', '短评打分': 3}
{'短评内容': '比较旧的酒店，外面比较气派，居住的以政府单位为主吧。感觉不是那么值得。早餐还可以', '短评打分': 5}
{'短评内容': '2010年10月刚入住。因要在这家酒店开会，选择了这家。\r\n酒店硬件较差。地方偏僻，周边吃饭的地方基本上没有。停车要另外收费。前台服务质量也基本停留在上世纪国营星级酒店水平。\r\n所谓新政装修的楼实际上只是一个很小的3层副楼，老的主楼有17层，基本上是上世纪90年代装修后用到现在。网上预订标准间，除非你运气好到了极点，才可能住上他们新装修的楼。\r\n', '短评打分': 1}
{'短评内容': '性价比合适的一家很有特色的宾馆。但是离城里相对远了点。', '短评打分': 5}
{'短评内容': '+好', '短评打分': 5}
{'短评内容': '没有热水，打了电话，请了服务员，不停的放冷水，来回两次，大约1小时才有热水。不懂得变通。', '短评打分': 1}
{'短评内容': '环境非常好，清静，价格合理，下次还会住', '短评打分': 5}
{'短评内容': '不错的酒店，就是设施上稍微陈旧，其他方面都很好。', '短评打分': 5}
{'短评内容': '空调有点吵，设施有点旧了，住店停车还要收钱，太差，考虑到价格不贵，算是还行吧', '短评打分': 5}
{'短评内容': '酒店硬件设施一般，不符合四星标准，酒店停车场竟然还要收费，而且还不按照标准多收，小车晚间竟然按大车白天的标准收，太不厚道！', '短评打分': 1}
{'短评内容': '房间的设备真的是很老了,床睡的不是很舒服.位置不错,很方便.上午起床后,无聊的我站在窗口看到对面的矮一点的客房房顶上铺满了床单大浴巾之类的东西,不像是随意堆放,好像是特意在那晒得.但是有又没有晾起来,而是直接铺在楼顶上,这真叫人费解.难道.....?', '短评打分': 5}
{'短评内容': '性价比不错。唯一缺陷：天热，大门外保安躲在阴凉处不肯为客人叫的士。', '短评打分': 5}
{'短评内容': '酒店感觉还可以，服务人员态度还可以，房间卫生打扫的蛮干净，设施方面也算比较齐全，周边环境也还可以，出行比较便利，价格方面还算比较合适的。 \r\n', '短评打分': 5}
{'短评内容': '酒店感觉还可以，服务人员态度还可以，房间卫生打扫的蛮干净，设施方面也算比较齐全，周边环境也还可以，出行比较便利，价格方面还算比较合适的。', '短评打分': 5}
{'短评内容': '新楼非常好。旧楼不行。但是新楼和旧楼的价格是一样的。所以一定要求住新楼。性价比很好。', '短评打分': 5}
{'短评内容': '这个酒店新装修的前楼性价比超高，298绝对四星级水准。', '短评打分': 5}
{'短评内容': '酒店各方面服务还不错.综合性价比还是不错的.硬件设施和卫生也很好.', '短评打分': 5}
{'短评内容': '酒店接待会议太多，散客无人问津，早餐不丰富', '短评打分': 1}
{'短评内容': '价格还是比较经济实惠的，就是在高架旁边', '短评打分': 5}
{'短评内容': '酒店旧了点，价钱不便宜', '短评打分': 5}
