{'短评内容': '卫生舒适', '短评打分': 5}
{'短评内容': '酒店一般，服务尚可，主要机场大巴经过此酒店比较方便。', '短评打分': 5}
{'短评内容': '不错！坐机场大巴很方便，而且很节省时间，交通也很方便。', '短评打分': 5}
{'短评内容': '酒店真的实在有点老旧呀。唉。。。。不过位置挺好。', '短评打分': 1}
{'短评内容': '还不错。这次去深圳，继续住。关键去机场方便。', '短评打分': 5}
{'短评内容': '从香港回来我选择了华联宾馆，虽然去时忘记做功课，坐地铁在华强站下了车，走了很久找到宾馆，发现宾馆大门口就是科技馆地铁站，自己犯错辛苦也活该哈。写在这里，希望网友们能轻松一点哦。这家宾馆房间旧一点，但是明亮干净，工作人员服务很亲切，让客人很愉快，陪大家用餐的那位漂亮女士为人活泼可爱，出门在外，接待你的人好，心情就好。供应的早餐简单干净，卫生，吃了放心。走时听服务生说1个月后权重新装修，希望他们能装修', '短评打分': 5}
{'短评内容': '对打算乘飞机的客人来说，位置便利。但这家宾馆也是本人住过的唯一一家不提供免费牙膏、牙刷、梳子（以上用品收费6元）的酒店，各项设备也相对较旧，电视机老旧且信号一会就断，建议宾馆改进。\n此外，宾馆与机场城市候机楼为一栋建筑，但到机场才知道，在宾馆旁的城市候机楼可直接办理多项乘机手续，到机场还可走专用通道。建议宾馆给客人提供此项服务的提示宣传资料。', '短评打分': 1}
{'短评内容': '酒店有些陈旧，早餐不太好！就是 交通较方便。', '短评打分': 1}
{'短评内容': '经常到这家，还不错，房间也很整洁，位置很好', '短评打分': 5}
{'短评内容': '房间很大，还算干净吧不过房间内的，如衣柜等等有点旧了，也该换新的啦！酒店位置很好很方便。', '短评打分': 5}
{'短评内容': '房间很大,酒店位置很方便,就在地铁站的出口.', '短评打分': 3}
{'短评内容': '设施陈旧。。应该要提升。地点考地铁站是为一最好的卖点', '短评打分': 1}
{'短评内容': '酒店交通十分便利，购物也很方便，但房间设施稍为陈旧点。', '短评打分': 5}
{'短评内容': '   酒店里的洗漱用具（牙刷，牙膏，浴液，洗发水，梳子等）为有偿使用。少见。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '常住的地方,交通方便 位置理想,从第一次住到现在大概有六年以上了,只记得有一次重装,到现在还是半桶水的马桶,该换成地砖的地面,哈.这次被臭味差点熏过去....一个整晚~~~,空调还是一直的不错.\n\n价格还是可以的了.', '短评打分': 5}
{'短评内容': '本来预订的大床房，结果升成了商务套房，房间干净，但水不热，打电话说是电加热的，要放上5分钟才热，结果放了5分钟还是不热。心想不浪费水资源了，凑活洗了。这有待改进。另早餐太简单了。不过10块一位，也别奢求。', '短评打分': 5}
{'短评内容': '非常干净，交通非常方便，门口就是机场大巴，超便捷！下次还会入住', '短评打分': 5}
{'短评内容': '除了去机场方便。位置好，房间实在老旧！设施好老', '短评打分': 1}
{'短评内容': '房间设施一般，比较旧了，就是交通方便一点。', '短评打分': 1}
{'短评内容': '交通便利，乘飞机地铁都很方便。市中心，就是设备老旧。', '短评打分': 5}
{'短评内容': '离深圳城市候机楼很近，乘飞机十分方便，就是有点旧', '短评打分': 5}
{'短评内容': '华强北商业区，近机场巴士线，交通方便！下次还住它', '短评打分': 5}
{'短评内容': '交通便利，环境还行。就是房间设施差了点。', '短评打分': 5}
{'短评内容': ' 还行', '短评打分': 3}
{'短评内容': '干净卫生，服务态度好，房间宽带上网速度慢，房价价格合理。', '短评打分': 5}
{'短评内容': '  满意', '短评打分': 3}
{'短评内容': '不错呀！', '短评打分': 3}
{'短评内容': '尽管服务态度不错、房间都比较大，但标准间太旧了，一进来感觉回到了上个世纪，卫生间排水不畅而且电视机也很旧', '短评打分': 1}
{'短评内容': '此宾馆对于乘坐机场大巴的人员是非常方便的,在宾馆的二楼还可以先办理登机排.\n此宾馆价格比较高,酒店实施比较旧........', '短评打分': 5}
{'短评内容': '位置不错，房间也干净', '短评打分': 3}
{'短评内容': '干净卫生，设施有点旧，交通很方便，机场大巴、地铁就在门前。\n', '短评打分': 5}
{'短评内容': '酒店感觉不温馨！装修一般，下次应该不会去坐了。', '短评打分': 1}
{'短评内容': '比较宽敞，也比较干净整齐｡就是地毯有点脏｡', '短评打分': 5}
{'短评内容': '干净卫生，设施有点旧，但是房间够大，坐机场大巴相当方便', '短评打分': 3}
{'短评内容': '交通方便，四楼有酒吧带表演。夜里不寂寞。房间隔音查。', '短评打分': 5}
{'短评内容': '机场大巴站边，乘飞机非常方便。周边餐饮，交通，购物都很方便。房间设施一般。价格稍贵一点。', '短评打分': 5}
{'短评内容': '喜欢它的宾馆管理，服务很到位。地点更不用说。只是设施偏旧。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
