{'短评内容': '最不爽的一次入住，酒店环境 硬件设施、服务态度 ，一个晚上都没睡，图片和实际 相差太大 完全是虚假宣传', '短评打分': 1}
{'短评内容': '房间面积比较大，设施稍显陈旧，周围环境比较静，周围购物不太方便，但总体来说在这个价位上，这个酒店的性价比算是比较高的，只得推荐', '短评打分': 3}
{'短评内容': '酒店不错，卫生设施稍微成旧了点，虽然紧靠马路边，但是燥声基本没有。购买东西和吃饭有点不方便，虽然酒店前红绿灯过后到下一个红绿灯口左转有个杭州当地比较有名的世纪联华，但是还是有点路程，周边的游玩还是比较方便，算是中心点吧，估计到哪个景点的距离差不多。', '短评打分': 5}
{'短评内容': '条件还不错，空间不算小~只是稍微有点偏~', '短评打分': 5}
{'短评内容': '不错~ 挺安静的，很好，就是周边吃饭的地方太少了，唯一的外婆家还要排队', '短评打分': 5}
{'短评内容': '给朋友定的特价房,性价比高,就是酒店地址写的是古墩路3号,其实是在天目山路上,一时不好找.', '短评打分': 5}
{'短评内容': '＋地点有点偏,卫生间一般,服务不错', '短评打分': 3}
{'短评内容': '去杭州参加公务员考试定的，交通方便，到西客站步行约10分钟，房子挺大，装修条件一般还算干净，118这个价格也算值得了。周围环境还行，比较安静，挺适合考试学习的。周围没有吃饭，旁边就一家千岛湖鱼馆，因为一个人吃不下就没点，一直叫宾馆内的送餐，很便宜，味道还行，早餐免费的，相当不错。', '短评打分': 5}
{'短评内容': '房间一般，对得起这个价格，早餐比较丰盛，8块钱一位的价格也比较实惠！', '短评打分': 5}
{'短评内容': '经常入住的宾馆挺好。谢谢！', '短评打分': 3}
{'短评内容': '酒店虽然在路边 不过不算很吵闹 休息的不错 比较干净 这个价钱很实惠', '短评打分': 5}
{'短评内容': '价格还行，浴室的热水很给力，房间的空调也很好，卫生还行，不过附近没啥吃夜宵的地方，晚上饿死了。。。。', '短评打分': 5}
{'短评内容': '酒店设施有点旧但是性价比还是很高的，交通比较方便，就是附近餐馆少，吃饭不是很方便', '短评打分': 5}
{'短评内容': '价格经济实惠,房内设施一般.交通有些不便.早餐非常简单.', '短评打分': 5}
{'短评内容': '装饰非常的一般 随便住住 随便休息 服务一般', '短评打分': 5}
{'短评内容': '经过2011年11月15日，实际住宿，觉得还比较满意。', '短评打分': 5}
{'短评内容': '经常入住，不错。', '短评打分': 3}
{'短评内容': '环境好，交通便利，服务较好，性价比较高，适合家庭自己出游时下榻。', '短评打分': 5}
{'短评内容': '已入住，感觉不错。谢谢！', '短评打分': 3}
{'短评内容': '酒店靠近公路 晚上噪音很大 而且旁边房间好像是休闲房 一直有人大声打牌的声音 设施也很旧 唯一的优点是价格便宜 如果一定要入住此酒店请自备耳塞...', '短评打分': 1}
{'短评内容': '还可以，酒店有点旧，但性价比不错，楼下还有足浴哦~', '短评打分': 5}
{'短评内容': '环境较好，比较安静，价格便宜，交通也比较便利，离西溪湿地很近，如果再干净点就更好了', '短评打分': 5}
{'短评内容': '酒店的地理位置好，环境优雅，交通方便，房间比较干净整洁，入住的性价比比较高', '短评打分': 5}
{'短评内容': '挺好的，看着很温馨，淡绿和白色看着很舒服。入住的特惠房床还是挺舒服的。。。', '短评打分': 5}
{'短评内容': '如果去黄山  住这里方便  离去黄山的汽车站 很近', '短评打分': 5}
{'短评内容': '总体服务很不错', '短评打分': 3}
{'短评内容': '窗户锁不了……', '短评打分': 3}
{'短评内容': '还不错，前台有个mmmm人超好的，又漂亮。\n还管给端茶送水的啊~', '短评打分': 5}
{'短评内容': '有早点，房间还算干净，比较整洁。设备陈旧。', '短评打分': 5}
{'短评内容': '还不错，价格挺实惠！就是房间有点怪怪的味道！有待改进', '短评打分': 5}
{'短评内容': '印象不太好啊。一是总台服务接待时面无表情，二是房间卫生很差，床单枕套绝对没洗过或者没洗干净。最要命的是晚上11点多已经熟睡了，总台打电话催要当天的住宿费，虽然因为我回来太晚没来得及续费但是也不能在半夜里把人叫醒非要马上收钱吧！以后不会去这一家了', '短评打分': 1}
{'短评内容': ',性价比可以', '短评打分': 3}
{'短评内容': '酒店设施比较齐全，就是显得陈旧了些，不过这个价位还是很满意的。', '短评打分': 5}
{'短评内容': '离西溪湿地较近，仅3站路，特价包门票和船票较划算。', '短评打分': 5}
{'短评内容': '经济实惠，毗邻西溪湿地，环境较好，安静，出行方便', '短评打分': 5}
{'短评内容': '性价比高，但是周边超市都没的，买东西很不方便，还有就是吃饭也要走好远，自驾游可以选择这里', '短评打分': 5}
{'短评内容': '服务态度挺好，酒店的设施也还好，厕所里有吹风机，可以免费寄存行李。电源的开关要是再人性化一些就好了，房卡不知为何后来几天都打不开门， 要请服务人员上来用他们的卡开门。', '短评打分': 5}
{'短评内容': '房间设施一般，周边设施一半，酒店离风景区位置较近，适合短期旅行居住。', '短评打分': 5}
{'短评内容': '房间大小还可以，也不知道是不是因为是特价双标的原因，感觉客房的设施比较陈旧，洗手间的热水龙头竟然有地方往外冒水的（不是喷头），被子和枕头一点都不蓬松，比较旧。整体感觉是旧酒店部分反省的。', '短评打分': 1}
{'短评内容': ' 房间设施有点旧，但很干净，枕头很低睡着不舒服，其他还算满意', '短评打分': 3}
{'短评内容': '酒店环境还是比较好，我住的标间，感觉房间稍小了一点，如果不在网上订，价格比较贵。', '短评打分': 5}
{'短评内容': '酒店有点旧，收拾得挺干净的，不喜欢洗手间，像七八年前的感觉，建议酒店可以重新装修。', '短评打分': 3}
{'短评内容': '还行，比较满意。', '短评打分': 3}
{'短评内容': '服务很到位,态度非常好', '短评打分': 3}
{'短评内容': '酒店位子很好，设施比较旧，我们9月24号入住8间房间，721 房间里面镜子没有的，那天有限电视没有信号，酒店也没有向客人解释，希望以后碰到类似情况大堂能够给个提示。夜里睡觉的时候听到野猫叫，没有办法入睡，后来找了大堂，服务员才把它赶走，一晚上没有睡好！', '短评打分': 1}
{'短评内容': '139元的房间,性价比不错.房间设施一般.卫生间有些偏小,地面容易积水,浴帘能足够长就可以解决了.周围交通还行,自驾出行还算方便.', '短评打分': 5}
{'短评内容': '酒店环境不错，交通便利', '短评打分': 3}
{'短评内容': '服务优质.', '短评打分': 3}
{'短评内容': '舒适，便捷，周围接近市心，游览起来也方便，是出差杭州较实惠的选择。。', '短评打分': 5}
{'短评内容': '停车比较方便，环境也很清静，交通便利，性价比较高。', '短评打分': 5}
{'短评内容': '酒店交通很方便，前台服务员态度很好，安排的房间也很安静，整体感觉不错。 ', '短评打分': 5}
{'短评内容': '唯一的优点就是位置还好，离西溪近。设施陈旧，不算干净，服务态度也不好。', '短评打分': 1}
{'短评内容': '装修比较老了,而且环境不怎么样,电视热水壶等都比较老旧了,虽说价格确实便宜,不过我还是更愿意多花点钱换其他快捷酒店的', '短评打分': 1}
{'短评内容': '万好万家快捷酒店（杭州西溪店）价格便宜，离西溪也很近，值得推荐。', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '抢购特价标间139/晚，在杭州市区来说还是很有吸引力的，房间味道有点大，但是毕竟主要还是价格取胜，适合学生一族，因为离西湖和西溪湿地都很近，交通很便利', '短评打分': 5}
{'短评内容': '：已入住，较好，性价比较高！', '短评打分': 3}
{'短评内容': '不会再住这个店了,不知是什么原因,老有一股霉味,不是很好,说是汽车西站很近,其实也不是', '短评打分': 1}
{'短评内容': '这店离汽车西站不远,一个站的车站,但你不要想用脚,这个站走起来还是远的.店不是很好一股霉味,难受', '短评打分': 1}
{'短评内容': '干净， 舒适， 服务也不错，就是房间比较老了。', '短评打分': 5}
{'短评内容': '这个价位还可以吧，就是交通不太方便，出租车很难打，公交车没直达市区\n', '短评打分': 3}
{'短评内容': '只能用2个字形容：简陋。与同价位的锦江之星、如家完全没有可比性。床垫不知道是用的什么，睡在上面会咯吱咯吱响。', '短评打分': 1}
{'短评内容': '在杭州这个价格还算便宜啦，主要就是看中离西溪比较近，还可以写推荐信，比自己去要便宜50块钱！其实，杭州还是西湖最好', '短评打分': 5}
{'短评内容': '己入住,不错', '短评打分': 3}
{'短评内容': '酒店服务不错，干净卫生，这样的价格就算可以了，性价比高。', '短评打分': 3}
{'短评内容': '酒店挺好的，干净，服务周到，就是离餐馆和商场远点。', '短评打分': 5}
{'短评内容': '停车方便，房间一般，价格还可以。停车方便，房间一般，价格还可以。', '短评打分': 5}
{'短评内容': '有点旧、有些赃', '短评打分': 3}
{'短评内容': '酒店性价比很高', '短评打分': 3}
{'短评内容': '还行吧，楼下就有个酒店，吃饭挺方便的，就是住的地方很不好打车，价格还行，房间也还好。', '短评打分': 5}
{'短评内容': '交通方便，汽车西站就在附近。\n干净，吃也很方便', '短评打分': 5}
{'短评内容': '酒店地处杭州西站板块，酒店内基本设施齐全，还有宽带提供免费上网，值得一提的是性价比高（我是以149元定的房间）服务人员态度不错，唯一觉得不足的是床上用品差了点，有待提高和改进。总体来说我觉的该酒店还是不错的，值得推荐。', '短评打分': 5}
{'短评内容': '这个价格酒店环境还不错', '短评打分': 3}
{'短评内容': ' 酒店还可以，服务也可以。就是有点靠西了，不如订在武林门附近更方便。', '短评打分': 3}
{'短评内容': '酒店还算不错，交通便利，公交车就在门口，但是地理位置不便利，周围没有什么商业区，所以吃东西很是问题。酒店有点旧，但是很对得起价格了，网络速度很快，总之不错 ！', '短评打分': 5}
{'短评内容': '环境有点吵闹', '短评打分': 3}
{'短评内容': '给朋友定的，没有听到什么不好的反馈，应该还好吧 \n', '短评打分': 5}
{'短评内容': '给朋友定的，没有听到什么不好的反馈，应该还好吧', '短评打分': 5}
{'短评内容': '离西溪真是相当近啊，所以离市区太远了，价格很实惠，所以如果对酒店的设施和环境要求高的话建议就算了', '短评打分': 5}
{'短评内容': '性价比不错，环境比较安静，距离景点也不远，就是附近吃饭有点难找，打的也有点难。', '短评打分': 5}
{'短评内容': '对在杭州西部的人来说，还是很方便的，性价比还可以，下次来', '短评打分': 5}
{'短评内容': '设施一般，但服务不错，性价比高。而且到灵隐寺和西溪湿地公园很近，交通便利，值得推荐。', '短评打分': 5}
{'短评内容': '环境不错，不过离高级中学有点远的，', '短评打分': 3}
{'短评内容': '618', '短评打分': 3}
{'短评内容': '宾馆环境一般\n姚姚', '短评打分': 5}
{'短评内容': '地理位置不好，难找，设施破旧。下次不会再住这家了。', '短评打分': 1}
{'短评内容': '基本满意。离要去的景点不远，交通比较方便。就是硬件差点', '短评打分': 1}
{'短评内容': '太简陋，卫生不太好，服务态度还行。', '短评打分': 5}
{'短评内容': '还不错。离车站近，呵呵', '短评打分': 5}
{'短评内容': '位置有点偏，不过酒店设施和价格还可以，服务挺好，下次还会去住！', '短评打分': 5}
{'短评内容': '综合条件还可以。', '短评打分': 5}
{'短评内容': '如果去西溪湿地的话，住这有介绍信可以优惠。。。。。。', '短评打分': 5}
{'短评内容': '比较偏，距市区还是有点远', '短评打分': 1}
{'短评内容': '不好一点都不好 很陈旧 性价比很低', '短评打分': 3}
{'短评内容': '可以用很差来评价这个酒店 没什么可说的', '短评打分': 1}
{'短评内容': '入住这个酒店是万不得已。那天我家整片小区包括周围一带全部停水，要到第二天中午才有水，才去马路对面的万好万家待了一晚。房内设施比较陈旧，有异味好像好久没有开窗了，床硬得跟一张木板没什么区别。不过不管怎么样，这个价位也不好有什么过高的要求了', '短评打分': 1}
{'短评内容': '餐厅没有大众餐，价位很高，应该准备一个电热杯，房间里的小桶水加热慢。', '短评打分': 1}
{'短评内容': '最好在停车场让保安引导一下，还有12月26号早上六点多我们退房时，总台那位小姐很酷，对我们问话爱理不理的，可能心情不好吧，宾馆领导应该多关心一下下属，省得把坏心情转嫁到客户身上。', '短评打分': 5}
{'短评内容': '价格实惠，太偏了', '短评打分': 5}
{'短评内容': '房间的卫生和设施方面很好,住着很舒适,位置也不错,离我办事的地方很近,出行很方便,我很满意.', '短评打分': 3}
{'短评内容': '还行 价廉', '短评打分': 5}
{'短评内容': '太令人失望了，设备简陋，地板革破裂。', '短评打分': 1}
{'短评内容': '位置还好找，但出行不是很方便，附近的餐饮倒是比较多，房间的卫生和设施都还一般吧，我觉得性价比一般', '短评打分': 3}
{'短评内容': '卫生还可以,很干净,设施也很完善,地理位置不错交通方便,前台人员服务态度热情周到,性价比不错得酒店,下次还会入住', '短评打分': 3}
{'短评内容': '卫生间太小，被子有味道，窗也不大好，整体环境不大舒适，而且离西湖相当远！', '短评打分': 1}
{'短评内容': '酒店靠近西溪旅游景点这边空气很好,我是帮公司里的员工预定的大家反映还都不错比较满意.', '短评打分': 3}
{'短评内容': '酒店环境条件太差了,卫生根本都不达标；设施也很陈旧；性价比太低；位置也比较偏,但离我办事的地方还算比较近的；服务还是挺不错的', '短评打分': 3}
{'短评内容': '很干净，还可以免费上网，性价比不错哈', '短评打分': 5}
{'短评内容': '在杭州这个价格住到这么好的酒店的确难得。酒店交通非常方便，而且有个很大很大的停车场（估计能停80辆车），感觉酒店生意非常好，晚上回来的时候，硕大的停车场居然差不多快停满车。酒店的卫生和服务令人非常满意，不愧是知名的连锁酒店，我住的房间内还配有电脑，很和划算。我们到西溪湿地去游玩，酒店还帮我们联系好票，价格比直接去便宜很多（门票80元，酒店联系好后只要50元，船票60元，酒店联系好后40元），一家人', '短评打分': 5}
{'短评内容': '酒店环境不好，设施比较差，太简陋了，卫生服务还可以，下次去杭州要是有其他选择的话我不会在住这了', '短评打分': 1}
{'短评内容': '快捷酒店吗 面积小很自然 卫生间小 可是您那马桶也小啊 那太小了 相当不爽 酒店的房间是刚刚装修过的 可能材料部合格 仍然有些刺鼻的气味 还有就是床垫 好像用过很久了 支撑不好 不是很舒服', '短评打分': 1}
{'短评内容': '一般,偶尔住下可以的~', '短评打分': 5}
{'短评内容': '酒店也就是中档水平吧,没什么比较好或者不好的地方,就是位置不太好,离市中心有些远,交通不是很方便；不过网速是非常快的；很符合我的要求；', '短评打分': 5}
{'短评内容': '还行吧，但是周边实在是什么都没有。', '短评打分': 1}
{'短评内容': '酒店的环境硬件设施都还不错,位置偏离市中心,因为当时去那边办事,对于我们来讲还是非常方便的,价格也很优惠.', '短评打分': 5}
{'短评内容': '房间面积,床也比较小,但是酒店服务和卫生还不错,交通位置也蛮便利的', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '房间比较宽敞,但卫生间设计比较差', '短评打分': 5}
