{'短评内容': '太旧太吵', '短评打分': 1}
{'短评内容': '不错的一家酒店，满意，下次还会入住，不过貌似有团队在，感觉不舒服', '短评打分': 5}
{'短评内容': '房间干净整洁，内部环境不错，就是酒店周围环境不是很好。', '短评打分': 5}
{'短评内容': '不错哈。不错哈不错哈。不错哈不错哈。不错哈不错哈。不错哈不错哈。不错哈', '短评打分': 5}
{'短评内容': '晚上很吵，而且房间很小，而且浴室的灯是声控的，一个晚上就没有灭过。早点品种太少了。唯一的好处就是空调很热。地理位置很好。', '短评打分': 1}
{'短评内容': '还可以，经常住，最好有长期客户的约价，哈哈哈哈', '短评打分': 5}
{'短评内容': '服务都不错，位置很好，离机场很近，但停车场进出不方便，还有到了中午以后火锅味满楼都是！', '短评打分': 1}
{'短评内容': '1.房价偏高，早餐简单。 2.早上没热水，放了20分钟才有点温，没法洗澡，浪费了那么多水资源，真是造孽啊。3.床单不干净，好多毛发没清理干净。4.晚上因为上网问题，打总台电话，第4次还是第5次才有服务员接线。。。。', '短评打分': 1}
{'短评内容': '房间超舒服就是早点简单了点', '短评打分': 3}
{'短评内容': '酒店不错,就是停车场进出不方便,价格上次住的也比较高,毕竟在萧山了', '短评打分': 5}
{'短评内容': '环境和卫生都不错，地点离机场很近，这次是去萧山参加会展，住这里很不错。', '短评打分': 5}
{'短评内容': '位置好 方便', '短评打分': 3}
{'短评内容': '前台办事效率很慢！服务态度一般。不过床还是满舒服的。整体来说还可以！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间挺明亮干净的，装修很不错，是我喜欢的那种红色黑色基调，另外二楼有29元每位的自助火锅，免去了吃饭再找地方，不过附近确实没什么比较干净好吃点的饭店，另外早餐的东西不是太多。', '短评打分': 5}
{'短评内容': '房间挺明亮干净的，装修很不错，是我喜欢的那种红色黑色基调，另外二楼有29元每位的自助火锅，免去了吃饭再找地方，不过附近确实没什么比较干净好吃点的饭店，还有就是所在的那条马路车流量太大了，出租车不能靠近且不能掉头，下雨天只能淋雨打车了。', '短评打分': 5}
{'短评内容': '酒店挺干净的，服务也不错，离火车南站不远，', '短评打分': 5}
{'短评内容': '地理位置好，性价比也不错，提供的早餐也还可以。只是卫生间里的镜前灯不能关掉，问总台说是感控的，结果一夜没关。', '短评打分': 5}
{'短评内容': '在家旁边 房间的环境很好 关键是床舒服 十一期间 父母住的 老两口很满意', '短评打分': 5}
{'短评内容': '首先是前台的态度很好，能够急人所需创造良好条件，入住的是时尚大床房，感觉很适合度蜜月的人入住，我是从杭州市客运南站打车到那里的花了70元，从酒店到飞机场20多分钟到达的，酒店对面是一些运动服装品牌专卖，还有一些手机店。卫生条件也不错，下次还会入住的。', '短评打分': 5}
{'短评内容': '房间住的比较舒服。就是离杭州市区比较远，不太方便', '短评打分': 5}
{'短评内容': '还不错.订的二号晚的.一号晚也入住了', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店位置不好，开车跑到酒店门前都不容易发现酒店，酒店前很难停车，没有停车位置，不适合有客户来接送的商旅人士。', '短评打分': 1}
{'短评内容': '就是有点贵，地毯有点味道散发出来,地理位置还不错的', '短评打分': 5}
{'短评内容': ',很好。', '短评打分': 5}
{'短评内容': '还可以，住过几次了，比较干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '基本满意,如果停车场再合理些,相信会更好!', '短评打分': 5}
{'短评内容': '过去的时候床跟桌上的灰尘一堆，态度一般，位置不错，不大干净。', '短评打分': 1}
{'短评内容': '简单睡觉的酒店\r\n没有太多的要求\r\n除了便宜没有什么好的', '短评打分': 3}
{'短评内容': '很一般的酒店\r\n比较吵闹\r\n床很硬\r\n经济适用性', '短评打分': 1}
{'短评内容': '酒店非常一般，位置离机场也不是很近，215元，性价比不高，虽然包含了早餐，但是基本上什么都没有，早餐连青菜都没有只有粥喝主食', '短评打分': 1}
{'短评内容': '性价比比较低，房间有些小，设施比较简陋，浴缸塞子都坏了', '短评打分': 1}
{'短评内容': '在萧山开展会住在这里，理市中心不远，位置好，房间干净，就是网线不好用，早餐简单了一点。总的来说，还可以，值得推荐', '短评打分': 5}
{'短评内容': '这个 酒店位置不错，价格还是偏高了', '短评打分': 5}
{'短评内容': '因工作原因出差到此，地理位置好，下回还来。', '短评打分': 3}
{'短评内容': '性价比不错.', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '我9月份入住该酒店，外面环境比较吵闹，房内设施一般，房间比较小，我住的时尚双床房，房内电视可以点播，但是客服人员对点播遥控设置不很熟悉，所以比较郁闷，住了一天发现智能门锁坏了，浴室下水道流水不畅，客服答应我们修理，等我们出门一天后回来居然发现门锁空空，房门打开，幸好重要物品寄存在前台，客服人员解释说修理人员没配到门锁配件，真晕，无奈换了房间，整个行程不是很愉快，早餐品种很少，唯一觉得好于其他经济型', '短评打分': 1}
{'短评内容': '马马虎虎，一个人不是很讲究的话还是可以住住的，基本的设施还是有的。', '短评打分': 5}
{'短评内容': '位置较乱，设施一般', '短评打分': 3}
{'短评内容': '火锅味满楼都是，比较差', '短评打分': 3}
{'短评内容': '价格应该降低', '短评打分': 1}
{'短评内容': '酒店还是蛮现代化的,性价比很高.就是牙刷没有,门廊灯是感应灯,晚上会不自觉的亮起.希望能改为人工的,又方便又省电.', '短评打分': 5}
{'短评内容': '马路旁边-吵\r\n房间卫生-脏', '短评打分': 1}
{'短评内容': '对酒店的综合评价为：值得推荐', '短评打分': 5}
{'短评内容': '整体来讲还是不错的，服务环境都很好，交通很便利，周边景色也不错，可以值得推荐推荐一下', '短评打分': 3}
{'短评内容': '洗脸的有热水，却没有热水冲凉，我都感冒了。这点我很生气。不过其他的都还可以。', '短评打分': 5}
{'短评内容': '酒店的总体感觉很好，交通便利，服务也很到位，价格在杭州还是很优惠，酒店在萧山，当时我赶飞机住这，要是赶飞机人住这合适', '短评打分': 5}
{'短评内容': '酒店位置还可以，交通比较方便，环境比较一般，价格有点高', '短评打分': 5}
{'短评内容': '房间的隔音效果不太好,其它方面都还可以了,价格稍微偏高些了.', '短评打分': 5}
{'短评内容': '酒店的条件确实挺好的，无论是服务还是硬件，都不错，交通也比较方便，就是价格稍微贵点，不过可能和当时杭州有展会有关。', '短评打分': 5}
{'短评内容': '地理位置不错，离汽车站和火车站较近，在老城区与新城区交界处；价位比较合理。就是服务态度不怎么样，停车不方便。', '短评打分': 5}
{'短评内容': '在同等价位的话觉得酒店还可以，地理位置也不错，外出方便', '短评打分': 5}
{'短评内容': '千万不要住进，更不要听他们的鬼话留下手机号码！\r\n\r\n房间电脑不能安装自己需要的软件，他们电脑里面的软件也少得可怜，版本还特老，电脑商务房等于没电脑。\r\n\r\n结账时，柜台人员假装关心要顾客留下手机号，说是万一顾客东西遗漏在房间，可以按电话通知领回，当时我听了好窝心，就这样被骗，从此骚扰的广告简讯不断，烦都烦死了！真的千万别住进去，不幸住进也千万别留手机号，不然绝对会后悔死！', '短评打分': 1}
