{'短评内容': '陈春凤服务很热情，酒店环境非常好，点个大大的赞！', '短评打分': 5}
{'短评内容': '虽然是已经开业蛮久的酒店，但是后期经过装修，没觉得设备陈旧。服务态度也不错！可以考虑再次选择。', '短评打分': 5}
{'短评内容': '挺好，来过几次了。', '短评打分': 5}
{'短评内容': '宾馆环境不错，停车场很大，外围四周都是，很方便自驾游的人群。', '短评打分': 5}
{'短评内容': '有点像度假式的宾馆，环境不错，也很安静。早餐挺丰富的。', '短评打分': 5}
{'短评内容': '这次来感觉这家酒店的外围环境有了明显的变化，早晨晨炼绕着走了一圏，绿化很好，空气很好，视野很开阔。', '短评打分': 5}
{'短评内容': '特价单人间入住后觉得不值这个价，标的是五星，实际差很多，不过那张单人床是我迄今为止看到最大的单人床，二张床拼在一起，难得是被子也配套的那么大，房间很简单，网速如蜗牛', '短评打分': 1}
{'短评内容': '泰州官方酒店，服务很好，位于市中心，交通方便，性价比超高', '短评打分': 5}
{'短评内容': '第一次来泰州，感觉挺好的，服务员蛮热情的，卫生也不错，有机会再来住。', '短评打分': 5}
{'短评内容': '服务，环境，卫生还可以，前台办事效率挺快的，早餐人较多，口味还行。', '短评打分': 5}
{'短评内容': '这是一家老饭店，环境和卫生都不错，离市中心和风景区都较近，服务基本到位，送的水果也很和我口味，值得一住。', '短评打分': 5}
{'短评内容': '很好，很很好。停车场好大又不收费;上网也不收费。早餐便宜还有特色，不错不错。', '短评打分': 5}
{'短评内容': '外围环境不错，前台的服务也很好。旅游住这儿的人特多，虽然很忙，但这家酒店毕竟是这么多年的五星，一切都很到位，没有降低质量。', '短评打分': 5}
{'短评内容': '酒店环境不错，吃住都很方便，服务也不错。总之性价比较高', '短评打分': 5}
{'短评内容': '宾馆的服务不错 ，之前有看到他们在网上宣传的免洗两件衬衫，实际体验下来还真不错，物超所值。还有他们送的小礼品也很特别。\n', '短评打分': 5}
{'短评内容': '宾馆的环境不错，房间也挺舒适的，而且离市区的好几个景点都很近。那儿的服务员亲和力都很好哦', '短评打分': 5}
{'短评内容': '酒店的房间卫生很不错，空间也好大。特别他们提供的枕头菜单，很有人性化，我可以根据个人的喜好来选择，品种还不少呢。值得推荐给各位。', '短评打分': 5}
{'短评内容': '泰州宾馆离他们本地的特色一条街特别近，住那儿吃饭和购物都很方便。', '短评打分': 3}
{'短评内容': '套房很大 基本没烟味 这点满意 有点吃惊的是房间水纯净水要收费的 然后早餐很坑爹 是用塑料袋预先装好的街头小吃', '短评打分': 3}
{'短评内容': '酒店位置不错，服务也不错！交通方便，交通购物都十分方便。下次来还会住。', '短评打分': 5}
{'短评内容': '泰州宾馆住宿条件一般般，挂五星有点名不符实。', '短评打分': 3}
{'短评内容': '环境不错，大床是两张单人床合并起来的。', '短评打分': 3}
{'短评内容': '我觉得这个宾馆很干净，不过它的位置不是很好。打车不是很方便，早餐我没吃不过看起来还可以。服务员的态度也很好，整体的来说还可以，我会向其它的朋友推荐的。', '短评打分': 5}
{'短评内容': '感觉不错，虽然不新，但很舒服，听说胡锦涛也住过。。。', '短评打分': 5}
{'短评内容': '无论硬件还是软件， 都非常非常得差\n地毯脏破不堪， 家居也很破， 房间的矿泉水里面都很多很多气泡， 一定放了很久没人用过了。 早餐也非常差， 酒店人员服务意识也差， 周围环境也不好。\n感觉连县级市的三星级都不如， 太老了。 从这个宾馆也看到了春兰集团的衰败。\n奉劝不要去住， 我真的太后悔了。 带了客人去住， 最后丢死人了， 别人第一次来泰州。', '短评打分': 1}
{'短评内容': '还不错，人员素质挺高，但是早餐很不好，非常难吃，希望能够改善一些。', '短评打分': 5}
{'短评内容': '一个字差, 两个字太差.\n虽说是五星,但看上去根本连三星都不如. 太老, 太旧, 服务意识太弱.早餐种类少.\n总之奉劝大家不要住, 一定回后悔.', '短评打分': 1}
{'短评内容': '帮人订 的，只有一句：不要迷恋五星级\n正在修路这次订的不值', '短评打分': 1}
{'短评内容': '环境可以，服务还行,早餐不错吧，推荐.....', '短评打分': 5}
{'短评内容': '泰州宾馆的房间很暖和，但是早餐不够丰富。', '短评打分': 3}
{'短评内容': '空调不够暖和，早餐免强三星级标准，', '短评打分': 3}
{'短评内容': '人气不旺，交通不畅。服务还是可以的。酒店舒适性与装修比泰州其他地方要好。', '短评打分': 1}
{'短评内容': '很好，很值得做', '短评打分': 3}
{'短评内容': ' 已入住,环境不错,服务好.但仍有需要改进的地方.', '短评打分': 5}
{'短评内容': '除了设施有些陈旧外，其他都很好！步行就能到达梅兰芳公园一带风景区，景色非常优美。边上口泰路就可以乘1路公交、吃特色早餐等，很方便。', '短评打分': 5}
{'短评内容': '除了贵，别的没什么', '短评打分': 5}
{'短评内容': '宾馆外观看起来虽然有点旧，但其实内部设施还不错啊。\r\n加上价格优势，总体来说还值。', '短评打分': 5}
{'短评内容': '炒饭看起来好有色彩感，犹如翡翠在玉盘', '短评打分': 5}
{'短评内容': '酒店号称符合五星标准，硬件还过得去，但服务太差，好像没有经过什么培训。网络连不上，缺乏基本的服务意识。早餐还可以，但客人总得来讲素质不高，不太适合商务。', '短评打分': 1}
{'短评内容': '酒店环境还行，厨师手艺不错', '短评打分': 3}
{'短评内容': '住的三星楼标间，床太小了，其他还行', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '中等水平', '短评打分': 5}
{'短评内容': '环境相当安静，虽靠近老街旅游点，但感觉空气还是蛮清新的。住得是三星楼，价格性能比不错。在玫瑰厅吃了两次早餐，口味地道。', '短评打分': 5}
{'短评内容': '说是泰州最好的了，早餐太一般了，游泳池室外的，下雨就麻烦了，房间设施老了，我住的还是五星楼，我看也就三星半。晚餐还不错，只有这一点值得推荐了。', '短评打分': 5}
{'短评内容': '酒店的设施比较陈旧了，卫生和服务还可以的，酒店的位置不错的，离我办事的地方比较近，酒店的价格还可以接受。', '短评打分': 3}
{'短评内容': '酒店的服务卫生以及设施都还可以的，酒店的位置不错的，交通很方便的，酒店的价格有点高了', '短评打分': 5}
{'短评内容': '我住的是五星楼的房间，服务很好很温馨，虽然酒店建造的时间长了，但环境还是不错的', '短评打分': 5}
