{'短评内容': '离站台很近，很方便', '短评打分': 5}
{'短评内容': '房间不错，很挺好看，很喜欢。要是电视机是液晶的就更好了。', '短评打分': 3}
{'短评内容': '环境可以，服务也很周到，价格实惠，地处阅马场红楼地带，又临近司门口，旁边还有肯德基，实在是一个住宿的好地方啊', '短评打分': 5}
{'短评内容': '总的来说不错，距离黄鹤楼很近，步行10分钟就可以到达了。交通很方便，在门口公交车站很多公交车可以到付家坡，转乘车到火车站很方便。房间很小，颜色艳丽，卫生间挺干净，热水不错。但是有蚊子哦。去得时候很难找，因为酒店的门面很小，而且不是写着速8的，找死人了！', '短评打分': 5}
{'短评内容': '位置挺好的，离火车站、黄鹤楼跟临江大道等地方都只有几站路。我这次去的时间有点赶，不过能去的都去了。房间不大，被单有污渍，前台服务不错，早餐的炒粉不错。', '短评打分': 5}
{'短评内容': '蛮干净的，电视还行，床挺大的，但是被子有点硬，房间好小，不过带双早，还行吧。', '短评打分': 1}
{'短评内容': '店名已改，却没有告之！另外，房间的隔音效果确实不理想，而且，晚上吃完饭回来，马上就有小卡片塞了进来！让人很恼火！总的感觉，不怎么样！', '短评打分': 1}
{'短评内容': '难找啊，还改了名字\n一般般，这个价位有点高', '短评打分': 1}
{'短评内容': '和小旅馆似的,设施陈旧,看着也不卫生,不推荐入住', '短评打分': 1}
{'短评内容': '位置很好，就是房间太小！可能是我在网上订房的时候没看清楚住的房间是无窗的，有点小闷！', '短评打分': 5}
{'短评内容': '位置方便，服务态度一般，与网上描述不符', '短评打分': 3}
{'短评内容': '整体还行，也比较干净，服务也蛮好的，就是不喜欢那里的早餐。', '短评打分': 5}
{'短评内容': '酒店总体上还算可以吧，酒店改名字了，找了好久才找到，房间不大，插头太少，另外早餐质量不怎么样，有待改善！', '短评打分': 5}
{'短评内容': '房间太小床太硬有点闷。味道有点重。不值这个钱', '短评打分': 3}
{'短评内容': '房间比较小，有蚊子。早餐不错', '短评打分': 3}
{'短评内容': '私自修改店名，害得我找了半天。服务设施存在缺陷，屋内霉味较重，网速出奇的慢。', '短评打分': 1}
{'短评内容': '房间有点小,卫生间挺大的!', '短评打分': 3}
{'短评内容': '服务好，环境不错，就是隔音差了点，赞。这个价位还含早餐，不错。', '短评打分': 5}
{'短评内容': '很干净，住着比较舒服。房间有电脑可以上网。卫生间很大，是透明玻璃的。就是早餐太差劲，品种少，到九点，但是八点半去就啥都没了。', '短评打分': 3}
{'短评内容': '物美价廉，交通很方便，外地游客也很容易就能找到，设施还不错，也比较干净，就是没有窗户的房间会比较闷。', '短评打分': 5}
{'短评内容': '床不是很大，厕所大，但马桶感觉不大干净。很不错，有衣架，空调给力，性价比较高～', '短评打分': 3}
{'短评内容': '房间设置还行，即使没有窗子，也不会闷。早餐也不错！', '短评打分': 5}
{'短评内容': '地理位置不错 吃喝交通都很方便  房间隔音差了点 其他都还好 ', '短评打分': 3}
{'短评内容': '很好~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '服务完全不行，需要改进的地方很多。比如硬件设施！', '短评打分': 1}
{'短评内容': '交通很便利，5分钟就能穿过广场到达黄鹤楼公园，早餐干净合口，房间舒适，就是不太隔音，如果房间内安些挂衣钩就好了。', '短评打分': 5}
{'短评内容': '很经济，就是网速太慢', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间一般 且名字已改了', '短评打分': 3}
{'短评内容': '改名字了，到店门口都不知道，还打电话问，应该及时更新信息。房间还行', '短评打分': 5}
{'短评内容': '很不错 ', '短评打分': 3}
{'短评内容': '墙上装修都掉皮…比较干净', '短评打分': 3}
{'短评内容': '还不错，房间挺干净的，离黄鹤楼也比较近。总的来说，还可以', '短评打分': 5}
{'短评内容': '非常不错的连锁酒店，店内设施很人性化，房间很大，早餐很好，超赞', '短评打分': 5}
{'短评内容': '＋已经更名了…不过还是看到不少速8的影子。位置不错离黄鹤楼近', '短评打分': 3}
{'短评内容': '房间还行，就是床太硬，电视有点小，总体来说，在经济型当中还算可以！', '短评打分': 5}
{'短评内容': '东西齐全 东西齐全 东西齐全 东西齐全 东西齐全 东西齐全 ', '短评打分': 5}
{'短评内容': '墙皮都掉了，好像也不整理房间的！很旧、很破！不推荐！', '短评打分': 1}
{'短评内容': '房间很小，连衣橱都没有，墙皮也掉了，旧的不行！', '短评打分': 1}
{'短评内容': '这个店的特点就是实惠，其他没什么了都很普通', '短评打分': 5}
{'短评内容': '房间太小了贼郁闷再也不支持速8', '短评打分': 3}
{'短评内容': '预定的大床房（有窗），到了店里发现变成无窗小房，价格不变，且没有提前通知我，隔音很差。', '短评打分': 1}
{'短评内容': '环境还不错，就是早餐太简单，希望能改进！', '短评打分': 5}
{'短评内容': '这间速8酒店住起来挺舒服的，服务态度很好，房间颜色很漂亮，寄存行李的服务很方便，而且离黄鹤楼、户部巷、长江大桥都很近，就是有些房间有点小。', '短评打分': 5}
{'短评内容': '主的房间很小，本来定的榻榻米房后来改成了大床房，企鹅第二天没有打扫，房间靠窗比较吵，但交通很方便，能看见黄鹤楼，户部巷也很近', '短评打分': 5}
{'短评内容': '酒店位置很好 就在黄鹤楼下面 吃喝都很方便  就是酒店设施有点儿老，墙面都掉粉了 还有床垫下面居然发现一只新的杜蕾斯 呵呵 不知是哪位疏忽了。  呵呵  总体还是不错的！', '短评打分': 5}
{'短评内容': '虽然是无窗的，但是空气还算好，里面布局比较特别，比较喜欢，卫生还可以，就是空调一直有点问题，制热效果不好，有机会还会再体验一下！', '短评打分': 5}
{'短评内容': '房间干净，虽然有点旧，但是看着还好。用了很强烈的色彩对比和两个大镜子去扩大房间和减少没窗户的压抑感。服务态度不错，还有早餐。\n酒店位置很好，周围饮食旅游都很方便。\n缺点是隔音太差了，隔壁洗澡声都能听见，走廊更别说了；半夜有女人走廊大叫也没有工作人员制止。房间里一个挂钩都没有，衣服都不知道放哪里，入门处一大片墙壁，完全可以装一排金属挂钩的。房间仅有一个矮柜放电视，也没有地方可以用来写字办公。\n总体上', '短评打分': 5}
{'短评内容': '挺好的，位置不错，房间比较理想，价钱还好。在这里要夸夸早餐阿姨，很好的，我问她路线，他都是很耐心的回答，很家常的跟你聊天，很温暖。', '短评打分': 5}
{'短评内容': '感觉挺不错得，交通方便。房间处置得也很温馨得感觉。我喜欢。', '短评打分': 3}
{'短评内容': '这是我住得最差的旅馆\n1,定的大床房，只有一条毛巾，前台解释“我们酒店定标间才有两条毛巾，大床房只有一条毛巾，如果要加一条，需要加收2元/条”，请问酒店管理层想钱是不是想疯了？\n2，卫生真是差，我一晚上没有脱衣服睡觉，床单是黄色，墙面脏，马桶还有之前住客未冲干净的xx，梳子上有卫生间排风口滴下来的黄色物体，酒店是不是连请保洁人员的钱都省了？\n3，一次性用品都是未封口的，那个牙刷我真没敢用，直接折成', '短评打分': 1}
{'短评内容': '还不错哦，，室内装修是我比较喜欢的米黄色。。', '短评打分': 5}
{'短评内容': '酒店所处位置很好，离黄鹤楼和红楼都很近。离户部巷，首义园等小吃街也很近。就是，管理需要提高。一些设施坏了应该及时修理。另外，预定时注明送早餐的，结果说是过年没有了，最后送了两桶方便面。 希望及时提升管理，那样的话，还是有竞争力的。', '短评打分': 1}
{'短评内容': '地段不错 房间比较小 好在装修的比较精致', '短评打分': 5}
{'短评内容': '东西很齐全，有吹风机，舒肤佳的沐浴液和舒蕾的洗发膏还有擦鞋的小东西。。。就是情侣房屋子很小没有书桌，浴室是玻璃全透明的。。。不过总体来说价钱很合理。。。下次还回来。', '短评打分': 5}
{'短评内容': '房间干净舒适，但是热水不够烫，空调有问题，早餐不精致，档次很低。而且在吃早饭时，有位做前台服务的男的指责大妈，双方发生争吵，让我们很扫兴，早饭也没胃口了。\n', '短评打分': 5}
{'短评内容': '卫生太差价格还可以', '短评打分': 3}
{'短评内容': '环境不错，干净卫生，设施也挺齐全的，感觉挺舒适，价格也不贵。值得推荐。', '短评打分': 5}
{'短评内容': '1. 整个酒店感觉很冷清, 布局陈设很奇怪, 塌塌房也是.\n2. 不过物品还算齐全, 吹风机什么的都有.\n3. 最受不了的就是早餐, 非常的寒酸,一点胃口没了', '短评打分': 1}
{'短评内容': '干净卫生，服务态度好，价格经济实惠，性价比挺高。', '短评打分': 5}
{'短评内容': '服务态度挺好，房间挺干净，基本设施都有，还能上网，价格还不贵，住的挺满意。', '短评打分': 5}
{'短评内容': '服务很周到，环境虽然不算很好但还算干净，设施不奢华但齐全，对得起这个价位。', '短评打分': 5}
{'短评内容': '酒店装修的还好，卫生挺到位，设施挺完善，位置挺好，出行挺方便的。', '短评打分': 5}
{'短评内容': '房间设计的简洁大方，设施挺齐全的，用品质量挺好，使用挺舒适。', '短评打分': 5}
{'短评内容': '房型挺多的，卫生挺好，价格挺实惠，住的挺划算。', '短评打分': 5}
{'短评内容': '房间布置的挺温馨，设施挺齐全，住着有种家的感觉，价格也挺实惠的。', '短评打分': 5}
{'短评内容': '房间设计的挺时尚，卫生打扫也不错，电视空调都有，感觉挺不错，位置挺好，出行挺方便。', '短评打分': 5}
{'短评内容': '前台服务挺好，服务挺周到，位置挺好，出行挺方便，价格挺好，挺经济实惠。', '短评打分': 5}
{'短评内容': '酒店位于市中心，周边交通挺便利。卫生方面很好，床上用品都挺干净，用着挺放心的。', '短评打分': 5}
{'短评内容': ' 服务员培训不到位.\n但是房间设施不错.比较全.', '短评打分': 1}
