{'短评内容': '在汽车西站旁，去西溪湿地公园挺方便的', '短评打分': 5}
{'短评内容': '离西溪湿地只有两站路程，很近。周围一站路有外婆家，还有世纪联华超市，周围也很多公交车站点，因此对外来旅游者来说，还是比较便捷的。酒店位置好找，就是特惠大床房的床是150cm不是180cm的，隔音效果比较差，很早时候就听到楼堂里说话声音和周围房间退房的人的声响，然后是查房的和打扫的人联络的声音等，被吵醒。如家服务还是一如既往地不错，借电吹风不到两分钟就送过来了。总体来说，推荐！', '短评打分': 5}
{'短评内容': '还不错，就这个价位还算是对得起人。离车站也很近，方便', '短评打分': 5}
{'短评内容': '房间不大，里西站很近，在西站出发的朋友是首选', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 3}
{'短评内容': '感觉良好，就是车位太少，去迟了没地方停车', '短评打分': 5}
{'短评内容': '房间很大，服务也不错。下次还会来滴。下次还会来滴', '短评打分': 5}
{'短评内容': 'physical training,evevything is better,good hotel,next time ,if l will travel,l wiil live here', '短评打分': 5}
{'短评内容': '酒店整体还不错', '短评打分': 3}
{'短评内容': '不错床很舒服，也挺安静的，服务也不错。', '短评打分': 3}
{'短评内容': '好~房间设备齐全，干净 ，感觉温馨~服务态度也不错', '短评打分': 5}
{'短评内容': '服务不错，就是浴室小了点，洗澡的时候手都放不开', '短评打分': 5}
{'短评内容': '蛮好的！环境什么都比较安静舒适！网速啊什么的都是慢好的，值得推荐！', '短评打分': 5}
{'短评内容': '房间有异味 床上有一小块湿的 枕头上有小块血渍', '短评打分': 1}
{'短评内容': '床上有一小块地方是湿的 三个枕头中有一个枕头上有小块血迹 房间进去有异味', '短评打分': 1}
{'短评内容': '离西溪不太远，房间很大，环境也还算干净，就是卫生间没有取暖设备，小孩洗澡有点冷，15元的早餐到了8点半就没东西了。', '短评打分': 5}
{'短评内容': '在西站坐车很方便，房间还算干净。交通也方便。', '短评打分': 5}
{'短评内容': '   房间很大    很舒服   不错', '短评打分': 3}
{'短评内容': '环境好，服务员素质待提高…70分', '短评打分': 3}
{'短评内容': '还行吧，就是房间进去那个味道最好处理好点', '短评打分': 5}
{'短评内容': '设施挺好的，位置方便我们同事住的酒店和客人酒店正好离的也很近。', '短评打分': 5}
{'短评内容': '那个眼镜男前台态度不好，第一次床单很多毛发啊，打扫阿姨很好！', '短评打分': 5}
{'短评内容': '环境不错，网点丰富，装修风格比较温馨。用水方面有些不便热水出的太慢，要放个几分钟有些浪费，卫生间部分下水有问题下水不是很通畅。建议更换下水器，如家没有浴霸冬天洗澡有些冷，其他还不错！', '短评打分': 5}
{'短评内容': '离西溪很近，很干净，也安静。', '短评打分': 3}
{'短评内容': '就在汽车西站边上找起来很方便，如果在西溪湿地或西湖景区旅游的话都很方便，里面很干净装修很温馨就是隔音稍微差了点，最不满意的就是网上明确标出免费停车的却冒出来一老太婆死命要停车费，MD来的时候人怎么不出来看就一个敲诈勒索，建议自己开车去的问问清楚免得上火', '短评打分': 5}
{'短评内容': '提前半个月网上就订好了，也去了电话，专门定的是豪华大床房，结果当天晚上去居然把我们的大床房换成了特惠大床房，后来找她们理论，才换回来，真郁闷。尽管屋里陈设不错，但是至少汽车西站这边的如家再不会住了！', '短评打分': 1}
{'短评内容': '我觉得挺好的，除了觉得被单床套感觉没换似的，其他感觉都挺好的，以后若去那边附近的话，还会考虑入住的', '短评打分': 5}
{'短评内容': '总体感觉还好 只是员工在走廊说话的声音较大 而且退房时的查房速度也不够快 足足等了10分钟左右', '短评打分': 5}
{'短评内容': '还是一如既往的好 装修都比较新 离西站很近 ', '短评打分': 5}
{'短评内容': ' 条件价格都还行就房间小点', '短评打分': 3}
{'短评内容': '主要离车站近，方便。不好的事，入住酒店，房间的卫生没有打扫干净！！', '短评打分': 5}
{'短评内容': '这个酒店的位置方便于自行旅游者，酒店的旁边就是长途汽车西站，坐车很方便。酒店卫生好，服务好。              ', '短评打分': 5}
{'短评内容': '这个酒店的位置很好，方便出行。酒店卫生很好，服务热情。', '短评打分': 5}
{'短评内容': '酒店感觉很温馨，交通很是方便，价格也很实惠，已经是老顾客了，以后出差到这里还会一直住这里', '短评打分': 5}
{'短评内容': '房间小,没有无烟房,房间里有异味.服务质量不高，开个房搞了半小时.', '短评打分': 1}
{'短评内容': '设施很差,房间质量不好,非常小!除了去西溪近点没啥优点', '短评打分': 1}
{'短评内容': '房间太小  隔音不好 那个窗户还不如不要 跟上两次住的房间比起来差很多', '短评打分': 5}
{'短评内容': '如家快捷酒店全国有四百多家的酒店，都很有特色 不错', '短评打分': 5}
{'短评内容': '交通比较便利，紧邻西客站，离西溪地公园比较近', '短评打分': 5}
{'短评内容': ' 酒店很干净，床很大，很舒服！', '短评打分': 3}
{'短评内容': '装修风格维持了如家一贯的特色，淡黄色很舒服。但是卫生方面打扫的不到位，入住的时候卫生间、床上有毛发。有一床被子没有清洗干净，建议换寝具的时候检查清楚。插座那边的墙上似乎有被吐过的痕迹，包括烧水壶上也有，不舒服。吹风机送的不及时，催了3遍。最后自己去柜台要的。在威海住的如家服务态度和卫生环境就很好，但这次在杭州让我对如家的印象打了折扣。坐公交车到西湖湖滨的话需要很长时间~但是打车过隧道走的话到灵隐寺', '短评打分': 1}
{'短评内容': '与杭州汽车西站毗邻 非常方便 整体都很新 设施也一如既往的如家风格 价格非常公道 很好', '短评打分': 5}
{'短评内容': '位置非常赞，条件应该和其他如家差不多,开的时间久一点的，保持和维护就是关键', '短评打分': 5}
{'短评内容': '强烈建议酒店加强卫生管理，上床睡觉前一掀开绿色的被子，发现洁白的传单上都是女人的头发，不知道酒店有没有换被套，下次不得已是不会住这家了，建议学学锦江之星。', '短评打分': 1}
{'短评内容': '交通方便，服务也可以，设施不太齐全，上次定了有宽带的标准房尽然没有电脑，想喝咖啡房间里也没有准备，不过总台感觉还是不错的', '短评打分': 5}
{'短评内容': '房间干净，挺好', '短评打分': 3}
{'短评内容': '离杭州汽车西站超级方便，不过隔音效果很差，走廊上说话都可以听到清清楚楚，下次赶时间坐西站的车的话，还会考虑入住的', '短评打分': 5}
