{'短评内容': '环境很好，房间也不错，就是床太次了，很低端那种席梦思床。', '短评打分': 5}
{'短评内容': '环境还是不错的，就是服务员的业务水平整体有待提高，包括餐厅的。', '短评打分': 5}
{'短评内容': '硬件环境比想象中的好得多，软件服务比预料中差得多。住在酒店里，感觉着和松涛如此的接近，空气很好。可以让你很形象的感受到明月松间照，清泉石上流。但是，最大的瑕疵就是服务，下午打服务电话没人接，服务员看到客人感觉不到热情，基本上不会和你打招呼，结账不是一般的慢，好像没有经过训练。真的浪费了这里的美景，同类的酒店也不少，如果服务没有大的改善，可能也会推荐这家酒店，但是可能性很小。', '短评打分': 5}
{'短评内容': '性价比超高的酒店：酒店就像在公园里，环境肯定超过多数的五星级酒店。房间面积很大达到了五星，但是空间无用有些浪费：麻将房我们没什么用，另一个4平米的客厅空无一物，也不能做什么，房间设计有问题。装修有些老勉强够四星，但还是干干净净，唯一卫生间的浴缸不下水，很糟糕。早餐20元一位很便宜，种类一般，但是正餐较贵，一家三口吃一顿饭跟住一晚差不多，所以推荐出去吃。', '短评打分': 5}
{'短评内容': '院区环境不错，房间价格还可以，相对性价比较高。卫生、舒适。', '短评打分': 5}
{'短评内容': '闹中取静,物有所值。认为不错。', '短评打分': 5}
{'短评内容': '环境服务都还可以，可惜我住的楼没电梯。', '短评打分': 5}
{'短评内容': '总体来说不错，去景点也方便，房间公寓式的，很独立，就是设施有些陈旧', '短评打分': 5}
{'短评内容': '硬件和卫生条件没话说非常棒.其它各方面也不错,综合水平挺高的性价比也好.', '短评打分': 5}
{'短评内容': '卫生还可以，服务一般，设施不完善，有的房间没有纱窗，床太软了睡得不太舒服，其他都蛮不错的，值得推荐。', '短评打分': 5}
{'短评内容': '卫生还可以，服务一般，设施不完善，有的房间没有纱窗，床太软了睡得不太舒服，其他都蛮不错的，值得推荐。', '短评打分': 5}
{'短评内容': '这是一家很不错的酒店，下次去的话，我还会选择的', '短评打分': 5}
{'短评内容': '卫生，很舒适，环境也不错', '短评打分': 5}
{'短评内容': '床有点硬不是很舒服，游戏厅游戏不多，服务员态度太差，另外明明按了请勿打扰 服务员早上8点到11点打了3个电话 问要不要打扫房间，很郁闷', '短评打分': 5}
{'短评内容': '环境设施相当不错，就是虫子太多，臭大姐满屋爬，窗外挂着蜘蛛网，居然不清理。另外，早餐太贵，且不丰富，四岁的小孩还收费，不理解。', '短评打分': 5}
{'短评内容': '酒店周边环境特别好,是家老酒店了,设施有些旧,不过卫生打扫的很干净.主要是服务方面需要改进.', '短评打分': 5}
{'短评内容': '环境很好，很安静', '短评打分': 5}
{'短评内容': '五一，预定了两间8号楼房间，老人很喜欢这里的环境，老少六口人尽享天伦之乐，过的非常愉快。喜欢密云，喜欢这里。', '短评打分': 5}
