{'短评内容': '服务员挺nice，很满意', '短评打分': 5}
{'短评内容': '酒店不错.房间不大.比较干净.交通很方便.推荐大家入住!!', '短评打分': 5}
{'短评内容': ' 赶飞机很方便 步行五分钟坐机场巴士 附近用餐很方便 很多美食', '短评打分': 3}
{'短评内容': '地段好，逛街吃饭都方便的，房间紧凑了点', '短评打分': 3}
{'短评内容': '优点是，位置好，离市中心近，交通方便，周边游到火车南站，城站，机场的直达车。缺点是，房间真是太小了，一张床，一张桌子，剩下的空间就寥寥无几了，还有就是隔音比较差，走廊的声音听得清清楚楚。总之，性价比还可以，下次应该还会订。', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，楼下有很多就餐的小店，到各个景点都有公交车，不过杭州的公交真是不敢恭维。我们住的房间面对万向公园，晚上睡觉稍微有点吵。', '短评打分': 5}
{'短评内容': ' 酒店位置在市中心，但房间隔音太差，很吵，前台先说明不能调换，感觉不好', '短评打分': 3}
{'短评内容': '交通方便，机场大巴终点站1分钟路程，离西湖与灵隐也都不远', '短评打分': 3}
{'短评内容': '这个酒店地点不错，后面就是生活小区，比较安静。唯一觉得不满意的就是外来电话不能说太久，每说2-3分钟就会被自动挂断，可能是酒店设置的。其他都很好！', '短评打分': 5}
{'短评内容': '性价比高 服务也不错 最主要的是位置不错', '短评打分': 5}
{'短评内容': '1.位置好\n2.早餐对于这个价位的酒店来说已经很不错了\n3.设施比较陈旧了', '短评打分': 5}
{'短评内容': '如果是坐机场大巴，这里是最方便的，就是房间的水龙头坏了，水温有时是热，有时是冷的，洗澡弄得很辛苦', '短评打分': 5}
{'短评内容': '入住如家是它在举行十年店庆活动，所以在最市中心的地方用很便宜的价格订到了，还不错', '短评打分': 5}
{'短评内容': '酒店距离浙江移动非常近，办事方便。 而且距离机场大巴也很近。就是没有早餐比较可惜', '短评打分': 5}
{'短评内容': '还好,就是空间实在是小了点,没餐厅有些不方便.价格还算实惠.', '短评打分': 5}
{'短评内容': '还好,就是空间实在是小了点,没餐厅有些不方便.', '短评打分': 5}
{'短评内容': '房间比较小，还蛮干净卫生的。交通方便，坐机场大巴超近。', '短评打分': 5}
{'短评内容': '位置就在武林小广场边上，想在附近办事的人可以选择入住。卫生间不大，盥洗盘做在门边。价格223一晚，性价比稍嫌欠缺一点。', '短评打分': 1}
{'短评内容': '服务还行，周边环境很好', '短评打分': 3}
{'短评内容': '房间还好，但团购排不上。', '短评打分': 3}
{'短评内容': '就是离街太近，有点吵，房间也偏小一些，要是比较介意的话要留心，其他方面都还好。', '短评打分': 5}
{'短评内容': '房间太微型，隔音不好，收费不便宜；不建议入住 ', '短评打分': 1}
{'短评内容': '交通方便，室内干净，空调给力。喜欢如家。', '短评打分': 5}
{'短评内容': '隔音稍差，其他方面无论位置、设施、卫生、服务都相当好。', '短评打分': 5}
{'短评内容': '呵呵，房间很满意，感觉很温馨，床是我谁过的快捷酒店里最舒适的了。比X68强太多了。下次去杭州还住他家的。', '短评打分': 5}
{'短评内容': '非常不错，特别是在预定以后，确实会优惠许多！', '短评打分': 5}
{'短评内容': '地理位置很好，房间虽然比较好但是干净。以后还会来住。', '短评打分': 5}
{'短评内容': '客服服务很好，地段也不错，只是房间有点小', '短评打分': 5}
{'短评内容': '地处武林小广场，去哪里玩都很方便。房间很干净，被子的颜色也是很文学滴。', '短评打分': 5}
{'短评内容': '房间小得不能再小，窗户对着车站，吵得一晚没睡。', '短评打分': 1}
{'短评内容': '交通 很方便，酒店服务也不错，就是房间小了一点', '短评打分': 5}
{'短评内容': '不错，干净', '短评打分': 3}
{'短评内容': '房间比较经济实惠，就是沿街有点闹，其他服务都比较好。', '短评打分': 5}
{'短评内容': '旅店服务态度不错', '短评打分': 3}
{'短评内容': '酒店卫生不错，算是杭州性价比较高的住处了，离机场大巴的首发站很近，这也是我第一次来杭州选择如家的原因，但是酒店的易耗品不是很齐全，连牙刷和牙膏都没有，这极大的造成了不便。不过还是值得推荐的。', '短评打分': 5}
{'短评内容': '地段很好，吃的东西很多，房间挺小但是挺温馨，唯一的遗憾就是没有停车场', '短评打分': 5}
{'短评内容': '如果从机场坐大巴进城，到终点武林门售票处下车，往前走到路口右转前行50米即到，总共不到200米的路，单从这一点来说无敌了。特别适合晚上抵达的客人，不用大黑天为了找酒店的地点费心。酒店旁就是肯德基永和大王等好几家快餐店，方便。去西湖的话，从酒店出来往南，沿体育场路往西，到环城西路一直往南，就可以到达断桥或者湖滨这2处景点，都在2公里左右，走路30分钟以内，天气好的话走走还不错。可是考虑到还要围着西湖', '短评打分': 5}
{'短评内容': '房间很温馨', '短评打分': 3}
{'短评内容': '还不错位置很方便，靠近环城路和体育场路，打车还算方便，也比较干净', '短评打分': 3}
{'短评内容': '这个酒店导航上不好找，附近几条街上好几个如家，这个在万向广场对面。\n节日只订到大床房，除了床基本就是过道了，换了商务大床还是小，就凑合吧，节日里房源紧，没办法，面积比苏州等地的如家缩水好多。\n沿街隔音不是太好，汽车来往很吵。小空调不是很热，电视太小。\n优点：附近挺热闹，还有杭州大厦名品店，还有外婆家的餐饮很不错，不过排队排号要等1个小时。热水很热，水流很足，房间干净度还不错。', '短评打分': 5}
{'短评内容': '还行吧，就是房间空间小了点，这边也很热闹，很方便', '短评打分': 5}
{'短评内容': '周围很多吃的，尤其是楼下的包子很赞，交通也方便，离西湖近，空调制热很给力~~~', '短评打分': 5}
{'短评内容': '不错的酒店，位置不错方便。房间设施一般，洗澡水很冲，空调要开加强，很暖但很干燥，但是服务人员的态度一般。', '短评打分': 5}
{'短评内容': '\n酒店房间可以地点位置好，服务一般，离店时把几个一元硬币拉在桌上，下午回去问问是否看到，本也……', '短评打分': 3}
{'短评内容': '很干净，舒适，设施非常齐全，交通也非常的方便', '短评打分': 5}
{'短评内容': '地址好好，方便，出门是车站，旁边是餐厅。。。。。。左右有购物场所', '短评打分': 5}
{'短评内容': '布局不错，床很软，虽然有点吵，但值得推荐', '短评打分': 5}
{'短评内容': '就是房间小了点，但是非常干净。周边小吃蛮多的交通业很方便。', '短评打分': 5}
{'短评内容': '房间比较干净，，，很不错，，下次还入住。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '杭州武林店服务态度不错，位置非常合适，从机场大巴坐到饭店非常方便，四周的公交汽车、吃饭的店、去杭州买女士服装的地方也比较近。房间干净整洁。冬天因为有空调，也非常暖和。唯一的缺点是：被子太厚（超乎你想像的厚）想找床合适的毛毯也没有，虽然是冬天，也难想像用这么厚的被子，我们北方才用的厚度。当然，这也不能算缺点了，只是希望店里放几条备用的毛毯，让我们有的选择。', '短评打分': 5}
{'短评内容': '大堂服务不错，态度也礼貌，就是楼层服务员态度超差！', '短评打分': 3}
{'短评内容': '装修的不错，室内环境挺好，设备也齐全，就是房价面积有的紧凑。', '短评打分': 3}
{'短评内容': '地理位置非常方便 旁边就是机场大巴的始发站 附近有很多公交车站', '短评打分': 5}
{'短评内容': '忘提供梳子了，唉\n位于市中心所以靠近马路的房间有点吵', '短评打分': 1}
{'短评内容': '房间很精致，服务也不错，住这适合赶早班的飞机', '短评打分': 5}
{'短评内容': '交通还算便捷，离武林广场不远不近，公交线路挺多。\n房间非常迷你，是住过所有快捷酒店里最小的，而且隔音不好，隔壁房间开塑料袋的声音都能听得到……\nIPTV还算不错 可选范围很大，可是住这儿也不是为了来看电视的……', '短评打分': 1}
{'短评内容': '感觉很温馨，而且交通方便。吃饭什么的附近也都有。很不错', '短评打分': 5}
{'短评内容': '交通方便(轉角有機場大巴),但位在大馬路旁且有相當多條公交車,長時間聲音擾人!!', '短评打分': 1}
{'短评内容': '一直很喜欢如家，虽然房间不大，但住的很舒服，设施也很齐全。这家店地理位置也很好，算是市中心了，楼下吃的店很多，公交车也很多~离西湖也很近~总之一个字：赞~', '短评打分': 5}
{'短评内容': '很好，很实惠，很温馨的如家、可就是房间真的好小...', '短评打分': 5}
{'短评内容': '房间很易居，地理位置好，服务好，一声你好，听了很舒心。', '短评打分': 3}
{'短评内容': '房间太小，隔音不好！但是距离民航打吧很近，做飞机班车很方便！', '短评打分': 5}
{'短评内容': '我去旅游基本都住如家快捷酒店，价位我是能接受，它离市区近到那都方便。也拥有一个干净、温馨的住宿环境，24小时无限免费宽带上网等设施一应俱全。这次去杭州玩也选择住如家快捷酒店（杭州武林门店）。这酒店出门转左步行2分钟乘机场大巴可以直接到达萧山机场 --方便。下次还选如家住！', '短评打分': 5}
{'短评内容': '房间整洁干净，床和枕头都很软很舒服！如果门店接待能热情一点就更好了！！', '短评打分': 5}
{'短评内容': '优点是离机场大巴站近。可是空间太小了。比一般的如家房间都小哦。', '短评打分': 1}
{'短评内容': '房间很不错，很干净…', '短评打分': 3}
{'短评内容': '乾淨 只是太簡單一點 但作為經濟行酒店還行\n位置蠻好的 就在機場大旁邊 附竟也有蠻多吃的', '短评打分': 5}
{'短评内容': '酒店位置很好,就在武林小广场站,房间格调很好,颜色把握得好,来杭州,这个位置的酒店不错', '短评打分': 3}
{'短评内容': '很方便,就是房间太小', '短评打分': 3}
{'短评内容': '地理位置非常方便，靠近马路的房间有点吵。卫生和服务还不错。性价比不是很高。\n', '短评打分': 5}
{'短评内容': '地理位置非常方便，周边有KFC,蛋糕店，还有几家小超市。出门就是公交站牌。我住的是没有靠近马路的，可能靠近马路的有点吵吧。', '短评打分': 5}
{'短评内容': '服务有待改进', '短评打分': 3}
{'短评内容': '地理位置相当好，就是房间的窗不行，房间很闷。总体还行。', '短评打分': 3}
{'短评内容': '酒店很温馨，舒适，干净。位置也很好，离西湖很近。性价比较高', '短评打分': 5}
{'短评内容': '十房子太小，太吵', '短评打分': 3}
{'短评内容': '房间比较小。。不过楼下满有东西吃的。。。晚上还有烧烤~~', '短评打分': 5}
{'短评内容': '十交通便捷，生活购物方便，只是在路边噪声太大了', '短评打分': 3}
{'短评内容': '如家武林店干净，房小洗澡很别扭有点北京农家乐房。', '短评打分': 3}
{'短评内容': '还不错，地段好，交通方便，以后去杭州会定在延安路，之间比较小间', '短评打分': 5}
{'短评内容': '隔音效果不好，大早上的每次被吵醒', '短评打分': 3}
{'短评内容': '地理位置不错周围吃饭很方便 适合出游或出差的人士 做公交车很方便 可惜房间太小', '短评打分': 5}
{'短评内容': '酒店处于黄金地段，房间挺干净的，服务态度不太好，交通食宿都很方便，就是这个地方有点吵，楼下的公交车很多，隔音效果不好！', '短评打分': 5}
{'短评内容': '＋房间有点小，离西湖有点远！但服务员还是蛮乐情的！', '短评打分': 3}
{'短评内容': '订的房间有点小，但布置的很温馨。酒店服务员很好，管理也比较到位。如果能杜绝外人从门缝送小纸片的行为，住起来会更舒心的', '短评打分': 5}
{'短评内容': '有点小，不过还可以接受 0.0.0.0.0.0.0.0.0', '短评打分': 5}
{'短评内容': '住了四天，其他都还好，特别要表扬清洁工阿姨。是个很热情的人，还有保安部那个大叔，我都不知道名字呢。就是酒店在预定的时候没说是没窗户的房间，让我这个老烟民有点犯难了，希望以后能多加一下标注。', '短评打分': 5}
{'短评内容': '环境很好，可惜临街。不过附近很繁华，离延安路也比较近。', '短评打分': 5}
{'短评内容': '虽然酒店不提供早餐但是旁边的肯德基、永和大王、BestBite、85度C等等提供了相当大的便利。但是缺点就是酒店没有停车位，得自己跑到康师傅私房牛肉面后面的那个立体停车位。如果是初次来杭州，对路不熟悉，不一定找得到。服务态度还是不错滴，而且交通相当便利~~相当相当便利', '短评打分': 5}
{'短评内容': '优点是地理位置好，离杭州大厦、机场大巴几步路。缺点是太吵、太闹、房间太小，根本休息不好。', '短评打分': 1}
{'短评内容': '洗手间的间隔是很透的磨砂玻璃，如果是一帮朋友、一家人去旅行，上洗手间会很尴尬。', '短评打分': 1}
{'短评内容': '房间太小了，不过交通还是可以的，小住一天还好啦', '短评打分': 1}
{'短评内容': '房间只能用精致两个字来形容了。交通很方便，出门就是公交车站还是枢纽。就是睡觉时候老有个声音，搞不懂是空调还是啥的', '短评打分': 5}
{'短评内容': '房间很精致 不靠路面的房间还是很安静的 设备很新', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '酒店房间很精致，环境一般，周边很热闹，离西湖打车也就10元左右，旁边就有机场大巴，交通很方便。', '短评打分': 5}
{'短评内容': '各方面都很好！', '短评打分': 3}
{'短评内容': '干净、卫生，但酒店服务有点机械式的礼貌，临近马路太吵了，晚上两三点困得不行才睡着，要不是早上赶飞机说怎么也不会住的。', '短评打分': 5}
{'短评内容': '房间太小，不是很好。', '短评打分': 3}
{'短评内容': '酒店位置很好，价格合理，然而有时热水温度不稳定。', '短评打分': 5}
{'短评内容': '内容\n签名:OPPO A201', '短评打分': 3}
{'短评内容': '酒店是新开业的,房间干净,尤其浴巾很好.服务态度还可以.比断桥店好.', '短评打分': 5}
{'短评内容': '还不错，地理位置比较好！出门较方便，旁边就是公交站台', '短评打分': 5}
{'短评内容': '周五过去是涨价了嘛？有点贵，没有电脑玩\\房间也不大呢', '短评打分': 5}
{'短评内容': '房间干净 床舒服  就是价格有点小贵 要是200以内可以更容易接受', '短评打分': 5}
