{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '房间装潢的很漂亮！\n虽然还没有到六月，天气热依旧不开空调！还骗说空调修理，一休就是三天！\n这样对客人失信，实在是不应该！为何不实话实说呢？！', '短评打分': 1}
{'短评内容': '660买一赠一', '短评打分': 3}
{'短评内容': '酒店环境卫生差，饭菜质量低劣，服务人员态度不好，性价比不高。以后不会再住了', '短评打分': 1}
{'短评内容': '糟糕的酒店，晚上还有骚扰电话，打完这个房间打那个房间！', '短评打分': 1}
{'短评内容': '酒店非常之老，但是设施非常之干净，特别是所有的毛巾都是经过严格消毒的，这点让我很舒服！应该不夸张的说，这是我目前住过最干净的酒店！\n如果要变得更加完美，就是需要赶紧把酒店的外部设施装修一下了，实在实在是太旧了！', '短评打分': 5}
{'短评内容': '服务态度很好，酒店卫生干净，地理位置也不错，与富华游乐园为邻，很方便', '短评打分': 5}
{'短评内容': '如果其他服务人员的服务态度都像大堂经理那样就好了。', '短评打分': 5}
{'短评内容': '太垃圾了，A座的所谓准四星级的标间和大床房也就是别的地方小旅馆的档次。住过最糟糕的酒店，没有之一。绝对不会再去住了。', '短评打分': 1}
{'短评内容': '参加展会，到会场相当方便。酒店用餐也方便。', '短评打分': 5}
{'短评内容': '酒店环境不错，设施也挺好的，下次来还考虑住这里。', '短评打分': 3}
{'短评内容': '酒店设施还不错。不过服务差点，我要求给叫出租车，服务员竟然叫我自己出去跟保安说，保安等了许久才下去叫车，我结完帐离店了，保安还没叫好车，保安见我出来了，他自己打着伞回酒店了，害的我在雨中自己打车。', '短评打分': 5}
{'短评内容': '住的是高级大床间，是刚装修的，所以设施很好，自助早餐味道也很好，对得起它的价格', '短评打分': 3}
{'短评内容': '酒店不错，打车也方便，吃饭不方便基本满意', '短评打分': 5}
{'短评内容': '设施完备很好', '短评打分': 3}
{'短评内容': '地理位置不错,条件一般,尤其早餐,一般一般\n', '短评打分': 5}
{'短评内容': '本人已入住潍坊东方大酒店，两间，每间298元，两晚。', '短评打分': 3}
{'短评内容': '酒店空调不好用，冬天吹冷风。隔音效果不好。房间设施有点旧。但价位还可以接受。', '短评打分': 5}
{'短评内容': '酒店就在新市政府对面，很方便！！送的水果不错！', '短评打分': 5}
{'短评内容': '洗脸巾等都用纸袋包装,似乎感觉档次很高,但是否有点浪费.自助餐费用有点高.', '短评打分': 5}
{'短评内容': '行李必须提上楼梯才能进入大堂，很不方便！', '短评打分': 1}
{'短评内容': '酒店很方便。', '短评打分': 3}
{'短评内容': '这家酒店离着电视台很近，每次去办事都过去', '短评打分': 5}
{'短评内容': '酒店位置不错，出行比较方便。服务比较周到，提供水果和小礼物。', '短评打分': 5}
{'短评内容': '房间不错，毛巾，浴巾，拖鞋都是消毒过的，用起来放心。', '短评打分': 5}
{'短评内容': '酒店整体感觉还行，早餐蛮不错的，有早茶的味道。', '短评打分': 5}
{'短评内容': '酒店分AB两个座，B座的房间和装修新一些。A,B座前台均可办理入住。A座前台有点空旷简陋了，B座好一些吧。', '短评打分': 5}
{'短评内容': '环境很好，饭菜也不错，请客户比较方便，尽管设施有点老，唯一不好就是手机有时候没有信号。', '短评打分': 3}
{'短评内容': '酒店相当不错,设施与餐厅服务都不错,而且整个潍坊的酒店服务水平在全国都属高的!', '短评打分': 5}
{'短评内容': '还行，看病住院的陪床的，挺好的。交通便利，设施不错', '短评打分': 5}
{'短评内容': '性价比很高，位置也不错，前台服务很有礼貌，值得推荐。', '短评打分': 5}
{'短评内容': '酒店条件不错，早餐品种很丰富。', '短评打分': 3}
{'短评内容': '性价比高，位置较好，交通方便，服务较好，早餐非常丰富。值得推荐。', '短评打分': 5}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '地理位置、环境不错，服务态度、住宿条件也不错。', '短评打分': 3}
{'短评内容': '.己入住，不错。', '短评打分': 5}
{'短评内容': '比较不错的酒店，去富华游乐园也很近，很方便', '短评打分': 3}
{'短评内容': '设施一般.卫生可以.早餐不错.', '短评打分': 5}
{'短评内容': '酒店在潍坊市区出行方便,离游乐场非常近.夜里安静是个好酒店.', '短评打分': 5}
{'短评内容': '+条件还行', '短评打分': 5}
{'短评内容': '这家酒店确实很好，值得推荐，服务好，用具实施干净整洁！', '短评打分': 5}
{'短评内容': '+酒店整体一般,工作人生服务态度很好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '该酒店还可以', '短评打分': 5}
{'短评内容': '酒店服务很好!', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '感觉特温馨。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': 'zzz', '短评打分': 5}
{'短评内容': '不错，B座就是好', '短评打分': 3}
{'短评内容': '不错，B座设施很新，但是洗手台太小，东西不好摆放。', '短评打分': 3}
{'短评内容': 'B座比A座好', '短评打分': 5}
{'短评内容': '酒店设施较旧，应该是时间比较长了，桌子都有掉漆的现象，墙面也有掉漆的现象。', '短评打分': 1}
{'短评内容': '性价比还是很高的。', '短评打分': 5}
{'短评内容': '早餐收费太贵了点，总体感觉还不错，还要有竞争意识，再有一些灵活性，如与富华大酒店比较一下，感觉还有点距离。', '短评打分': 5}
{'短评内容': '对此酒店挺满意的！', '短评打分': 5}
{'短评内容': '设施一流，以后还会入住', '短评打分': 5}
{'短评内容': '性价比还是不错的，除了空调不太暖和', '短评打分': 5}
{'短评内容': '    东方酒店是潍坊高新区的酒店,服务不错.环境也不错.是休闲旅游的好住处!', '短评打分': 5}
{'短评内容': '位置离市中心远点 性价比可以 ', '短评打分': 3}
{'短评内容': '性价比高，比较不错', '短评打分': 5}
{'短评内容': '酒店的各房间条件还不 错，价格也不贵。整体的性价比可以', '短评打分': 5}
{'短评内容': '没有四星级酒店的舒适，也没有四星级酒店的设施', '短评打分': 1}
{'短评内容': '房间隔音效果差，隔壁房间大声喧哗影响休息。', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;此酒店个方面还是不错的，下次还住在这里．&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '12月15日去住的，还可以，就是离市中心远了点，其它还不错，价钱也还可以。', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;性价比较高，服务也不错。虽说潍坊还有5星酒店，但出租车司机也认为东方大酒店是最好的。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '住了几次，服务还不错，比较安静，我想下次我还会住东方', '短评打分': 5}
{'短评内容': '东方比较安静，但是服务的热情不如鸢飞大酒店；房间的隔音效果比较差。早餐非常不错，西式早餐或广式早茶都不错。', '短评打分': 3}
{'短评内容': '服务态度不如鸢飞酒店好，而且原本定的含有两份的早餐总是只给一份；健身房竟然还要收费；隔音效果非常差。', '短评打分': 3}
{'短评内容': '房间比较新，就是隔音效果不好！', '短评打分': 3}
{'短评内容': '服务不错，住A座的话吃早餐走的路远点，有免费宽带，但速度一般，后来索性掉网了。电视节目不少,足够看， 值得去住.周围环境一般,正在修路、修房子，不往窗外看就行了。夜间没有骚扰电话。', '短评打分': 5}
