{'短评内容': '非常好，早餐很丰盛', '短评打分': 5}
{'短评内容': '客房超好，设施很完善，视野也不错，酒店有健身房和游泳池，更好的是服务，总之一切都满意，超5星评价，下次去厦门还会选择这里的！', '短评打分': 5}
{'短评内容': '很不错的酒店，这次入住酒店免费给我们升级了行政间。每天10:00至10:00行政酒廊的免费点心饮料都不错。下次来厦门还好住这里。', '短评打分': 5}
{'短评内容': '酒店很新，环境很好，配套设施很新也到位，酒店服务很热情，很周到，送水果和小贝壳！房间的卫生间设计很好，也很干净，就是地点偏了点，出来要走段路。总体来说，各方面都非常好！下次还会选择这家酒店入住！', '短评打分': 5}
{'短评内容': '非常不错的一家酒店，还免费升级了行政楼层，整体感觉干净舒适和温馨，尤其是浴室里的大浴缸非常喜欢。进大厅时有服务员主动帮忙提行李并送到房间，服务人员的态度都很好，价位在五星酒店里也算适中，下次去还会选择这里。', '短评打分': 5}
{'短评内容': '服务很温馨热情，环境好安静，很喜欢。推荐', '短评打分': 5}
{'短评内容': '服务很不错！我们晚到了20分钟仍然有商务车等我们，将我们送到码头。意想不到！\n到前台check-in的时候发现提早将我们升到行政房，因为我们有小孩子同行。行政酒廊还有小点心配送，我们在外面玩的比较晚回来，正餐其实没有正式的吃，都是在小吃档吃各种小吃，到了酒店还能吃点小点心，不错！\n硬件设施很不错！房间的细节处用料也很好。但是游泳池好像还没开放？不知道是不是还在装修？不过我们也没太多时间呆在酒店，这', '短评打分': 5}
{'短评内容': '服务到位，住的舒服，位置虽然偏，但永远都有出租车等候，一个字 赞', '短评打分': 5}
{'短评内容': '超好的酒店，最适合度假了，面对大海和游艇码头，堪比国外的风景。酒店设施一流，不愧为五星级', '短评打分': 5}
{'短评内容': '五一假期，全家人从福州到厦门渡假，因为这家酒店是新开的，我也比较喜欢海景，所以就选择了它。这是一家很棒的酒店，服务态度很好，刚下车，服务员就热情地上前帮忙拿行李，随后服务员帮我们把行李拿到房间，并介绍了相关的设备及周边的环境。我订的是海景房，对岸就是小金门，前面则是香山游艇别墅，视野相当不错。感觉酒店确实比较新，很舒适。第一个晚上，我发现床太软了，就打客房服务电话，服务员立刻帮我换了硬床板，真是相', '短评打分': 5}
{'短评内容': '酒店新，房间很大，尤其是洗手间。只是个人感觉酒店硬件和服务软件方面跟正五星的酒店还有些差距', '短评打分': 5}
{'短评内容': '环境很好，在会展中心边上，去市中心也很方便。', '短评打分': 5}
{'短评内容': '为了看王菲的演唱会定的酒店…窗外就是海上别墅区和游艇，景色很美…房间不大但是很舒服…最重要是洗完和睡觉都很舒服…不错', '短评打分': 3}
{'短评内容': '离会展中心很近，环境好，安静，一共订了三间房，标间的早餐只有一份，另外加一份得加钱。', '短评打分': 5}
{'短评内容': '房间挺干净的，服务挺好。不过，周边刚好在建房，有点吵', '短评打分': 5}
{'短评内容': '清明三天假期，和朋友一起带了孩子去了厦门，主要是去感受下厦门的休闲风格。当时在很多网站上找了，最后决定入住了这家酒店，为什么在同档次里选择这家酒店呢？因为一个字，新。因为这家酒店是2011年刚开业的。我们是假期的第一天下午到的，因为带了两个小朋友，所以朋友就要求酒店开车来接客。下了火车，开车来的是一辆几乎全新的别克商务车，很爽。接着二十分钟后到了酒店。我们预定的是海景房，视野超级好，打开窗户，阳台', '短评打分': 5}
{'短评内容': '海景房非常棒，可以直接看到金门岛，晚上还可以看到他们的万家灯火，早餐很给力！', '短评打分': 3}
{'短评内容': '全新,时尚,豪华,景观一流,厦门国际会议中心酒店很棒.', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 3}
{'短评内容': '酒店的环境很好，在厦门的开发区环岛路海边，房间不算大，但床还挺舒服，特别是卫生间设置的不错，出租车到机场60元，到轮渡40元。就是温水游泳池水温不够，孩子没法使用，另外就是到海边还有段距离。', '短评打分': 5}
{'短评内容': '酒店还好，服务态度好，很热情，不错。下次还会入住。', '短评打分': 5}
{'短评内容': '酒店环境不错，早餐品种很多，质量也很好，工作人员的态度也和蔼可亲，服务非常周到热情，下次去厦门还住这家酒店。', '短评打分': 5}
{'短评内容': '酒店很新，很不错，周围环境很幽静，离海边很近的，步行5-10分钟就到，环岛路上有出租自行车的，很便宜，双人的包天60。就是酒店后面很多建筑物还在修建，怡景房的阳台望出去比较乱，不过相信不久的将来，会是一片美景。', '短评打分': 5}
{'短评内容': '感觉总体蛮好的，美中不足的是房间有点小，隔音效果差了点', '短评打分': 5}
{'短评内容': '酒店设施很新，工作人员服务态度也很好，早餐很丰盛。 很适合自驾车的游客', '短评打分': 5}
{'短评内容': '酒店很好,服務態度也非常好!下次去廈門還是住這!', '短评打分': 5}
{'短评内容': '設備非常好,環境也不錯...值得一提的是早餐品種多樣,味道也很好!', '短评打分': 5}
{'短评内容': '已入住厦门国际会议中心酒店', '短评打分': 3}
{'短评内容': '酒店很干净，房间很宽敞，特别是卫生间非常好，感受很舒适。每天赠水果，服务也非常热情。室内游泳池水质非常好，如果有人入住建议一定要去试试。早餐也非常丰盛，菜品质量绝对够五星标准。希望下次还入住这家酒店。 ', '短评打分': 5}
{'短评内容': '酒店地理位置非常棒，就在环岛路旁边，里面的硬件非常好，床非常舒适！！！！', '短评打分': 5}
{'短评内容': '从机场打车，30多元，感觉酒店人很少，在国庆节期间尤其特殊，靠近酒店的环岛路人也不多，借了私人的自行车骑着玩，一路有很多环岛路马拉松的运动员雕塑。一直骑到沙滩那边人就多了，海滩也不干净。\n酒店的室内游泳池不错，人少，游得很畅快。露天的泳池更大，但是这个季节露天泳池的水温比较冷。\n服务都比较热情，吃早餐时才发现酒店住了这麽多人，还听到了上海和河南的方言。\n\n', '短评打分': 5}
{'短评内容': '酒店很不错，小朋友们都喜欢！下次还会住这里！', '短评打分': 5}
{'短评内容': '房间不错，服务在当地算比较好的。周围环境也不错。', '短评打分': 5}
{'短评内容': '第一次入住国际会议中心酒店，我们是自驾车，大堂转了三圈才找到_标记不醒目。缺中餐厅，等游艇中心做好后，相信会更美!', '短评打分': 3}
{'短评内容': '在酒店住得不错，就是很多设备还没有完善，需要快点加强。', '短评打分': 5}
{'短评内容': '周围的环境非常好，交通方面有点麻烦，总的来讲环境是很好的', '短评打分': 5}
{'短评内容': '无敌海景！面海阳台相当棒，还可以看日出。最喜欢的是酒店室外游泳池，水很干净。5五星级的服务，的确不错。去游泳的记得自带游泳帽哦，没有得买，30块。', '短评打分': 5}
{'短评内容': '条件，服务还不错，就是周围见不到人。出租车叫吧到，须过一两年后可以入住。环境很好，周围无饭店，离海很近。', '短评打分': 1}
{'短评内容': '环境很不错，游泳池很好。有个海滩更好了。位置比较偏，不过厦门小，还可以，比较安静。酒店实施稍微少了些。装修比较新，还行。', '短评打分': 5}
{'短评内容': '很不错的酒店 应该是目前厦门最好的 硬件和服务都能达到五星的要求 下次去厦门首选', '短评打分': 3}
{'短评内容': '一般般,离市中心太远了,服务一般般,离5星标准太遥远了,特别是门口的出租车大家要小心千万不要听他们的否则离挨宰不远了,希望酒店对这些司机加强管理', '短评打分': 1}
{'短评内容': '干净舒服的房间，服务人员态度非常好，离海边挺近的，傍晚或者早上去海边跑步什么的，非常舒服，下次会再入住！', '短评打分': 5}
{'短评内容': '酒店位于环岛路，非常漂亮，客房很大配套上五星，泳池也很好，就是晚上旁边没地方玩。自驾车还好', '短评打分': 5}
{'短评内容': '住了2晚，硬件设施没话说，室内外泳池，蒸房都可以免费使用，地理环境也好，附近的海滩个人感觉比鼓浪屿的海滩还好！比较适合自驾车者住！ 缺点：房间内的无线信号比较弱，可以要求酒店给你一个室内hub就能解决！\n说点个人感受吧：\n1：附件餐饮，水果超市（个人比喜欢吃水果）比较远，酒店餐饮如按５星的标准来说，个人感觉价格不算高，分量也足\n２：酒店每天９点\u3000１３点有商务车安排去市区轮渡，线路走环岛线！！刚好市', '短评打分': 5}
{'短评内容': '很赞的酒店，尤其适用有车游客，泳池很好！服务到位，虽有小问题，但态度诚恳，处理及时，符合高规格酒店管理水平！', '短评打分': 3}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '我带家人去渡假，现在可能是优惠价，性价比很高！可惜我没有住海景房！还送饮料券，服务很主动！', '短评打分': 5}
{'短评内容': '服务好 ，早餐好 ，泳池不错，只是用餐不是很方便，还好是自驾游，一般去外面用餐', '短评打分': 5}
{'短评内容': '住了三天，非常享受~服務意識很好，很貼心，每天都有歡迎水果，游泳池棒極了~~~', '短评打分': 5}
{'短评内容': '稍稍有点远，但很值得住，清净。环境好，设施好，服务态度尤其好。从进大厅起，每个员工见到我们都会微笑问好，服务生更是把我们两个行李箱一直护送到房间门口，有五星级的风范。住了好多酒店，这是态度最好的一家，真有上帝的感觉。游泳池也舒服，太享受了。可惜只住了一晚。推荐！推荐！', '短评打分': 5}
{'短评内容': '厦門最棒的度假酒店，環境好海景無敵，服務好，早餐品種多樣，游泳池很棒，出行需打車', '短评打分': 5}
{'短评内容': '新的五星标准酒店，装潢考究，喜欢大堂内的内嵌式金鱼缸，在霓虹的装点下，晚上给人感觉很美。他们的服务也到位。\n我订的是豪华海景房，11楼的，风景肯定是没话说了。晚上坐在阳台上，看着远方的金门岛，喝上杯鸡尾酒，感受着微风，没有市区的喧嚣，度假的好地方，感觉遐意。\n早餐选择范围广，我偏爱于西式的早餐，法式奶酪的多样性基本等同于novatel的水平。\n\n唯一的不足：周围工地有些还没结束，半夜的土方车阵阵响', '短评打分': 5}
{'短评内容': '非常舒適，酒店大堂很气派，早餐品種多樣，環境很好，無敵海景，室內外游泳池水貭乾淨，周圍熱帶雨林，很棒，只是離市区較遠，出行需打車•總體是很好！', '短评打分': 5}
{'短评内容': '不愧为是五星级的酒店，从环境装修到服务，好的没法说，很贴心呐！还提供机场接送服务，分室内及室外泳池，尤其室外泳池很给力！房间的观景阳台看海景很棒！', '短评打分': 5}
{'短评内容': '服務水平高，衞生環境好，早餐非常豐富，種類多如自助午餐般。唯一不足的就是地點太偏遠，欠缺通往附近公交站的穿梭巴士，而接駁國際會議中心的穿梭巴士也太疏落。', '短评打分': 5}
{'短评内容': '海景房阳台不错，就是对面正在建别墅，挡住风景了，离海滨浴场很近。。。', '短评打分': 5}
{'短评内容': '酒店提供的早餐很不错，员工的服务也很好，就是路不好找，离公交站点很远，自由行的话最好都是打车进出酒店，', '短评打分': 5}
{'短评内容': '虽然位置比较偏，但酒店很新，很不错，和码头的酒店相比好了很多，房间不大，但又阳台，卫生间超大，下次去厦门还是会住这里。', '短评打分': 5}
{'短评内容': '很不错！海景无敌！下次来厦门还住！活动应该多些，如果有泳池最好能够办卡！', '短评打分': 5}
{'短评内容': '环境优雅具有厦门特色，同时景观无敌海景！', '短评打分': 5}
{'短评内容': '不错，就是到泳池游泳要戴泳帽，而且酒店的泳帽又特特特贵', '短评打分': 5}
{'短评内容': '景色不错，就是有点偏僻。总的来说是非常好的一家酒店，不用多说，极力推荐。', '短评打分': 5}
{'短评内容': '酒店比较偏僻，晚上附近很黑，入口老是走错。但是酒店设施很好，早餐非常的丰盛，服务也是我入住的酒店中最好的。特别是：我睡觉习惯没用枕头，所以枕头都放在另外一张床上。第二天房间打扫员发现我睡觉没用枕头，还特别写了张纸条在我床上，问我是不是因为枕头高睡不习惯，同时还特地帮我拿了个芥麦枕放在床上。为此让我很是感动！', '短评打分': 5}
{'短评内容': '环境很好，可以看海，原先订怡景大床房，入住时告知11层无房，改为其它层海景房，且不加收房费，态度诚恳，不错。会介绍朋友入住。', '短评打分': 5}
{'短评内容': '房间比较大，床很好，环境舒服，服务很好，但用餐不太方便。', '短评打分': 5}
{'短评内容': '不错.环境不错.房间也好,特别是卫生间很有情趣', '短评打分': 5}
{'短评内容': '还不错。环境挺安静的。住的大床房，风景也不错。新装修的非常干净', '短评打分': 5}
{'短评内容': '非常好的一家酒店，前台态度很好，房间大、干净，早餐非常丰富。住的是950的海景套房，风景优美！', '短评打分': 5}
{'短评内容': '很棒的酒店，从外观到内饰都让人很心动。服务很好，入住的很愉快。', '短评打分': 5}
{'短评内容': '酒店地点、档次都不错，就是不建议今年再来这里入住，原因是这里是个大工地，并且根本不按什么环保法规定的时间施工，整晚吵的你几乎崩溃', '短评打分': 1}
{'短评内容': '房间不错，是新酒店，五星标准，就是地理位置太偏，出行不方便', '短评打分': 5}
{'短评内容': '感覺很好!', '短评打分': 3}
{'短评内容': '酒店很漂亮，服务很周到，很满意！', '短评打分': 3}
{'短评内容': '酒店还不错，早晨比较丰富。', '短评打分': 3}
{'短评内容': '总体感觉还行吧，就是没想象中的海景，房间很大很舒适，早餐很不错。', '短评打分': 5}
{'短评内容': '酒店各方面都不错，不管是硬件设施还是服务，我check out那天把行李寄存在大堂，晚上过去取的时候，寄存的人居然认得我，看到我就叫出我的姓×小姐，让我觉得很意外，把行李票递给他们之后我就去洗手间了，出来他们跟我说行李已经放在出租上了，而且还把我的手机拿给我，是我找我的行李票的时候落在那里的，我都已经忘了。。。\n出租也很好叫，一般都有车在等，只要跟门口的工作人员说一声他们会叫过来。如果担心可以提前', '短评打分': 5}
{'短评内容': '酒店环境不错房间舒适，总体不错', '短评打分': 3}
{'短评内容': '跟会展酒店比起来，房间、阳台都要小很多，价格还高一些；\n游艇中心的工地还在施工中，比较杂乱；\n服务员的素质还有待提高。\n如果价位低于会展酒店应该还是可以考虑的。', '短评打分': 1}
{'短评内容': ' 超级舒服的湾景房 视野开阔 可以吹海风 看海景 床垫软 卫浴也很舒服 还会再来', '短评打分': 3}
{'短评内容': '很好的酒店。\n房间大，硬件设施舒适，每天有水果送。服务也非常到位。\n缺点是在会展旁，经常有展会的人员在吃早餐，搞得早餐环境大打折扣。入住三天，很不幸和某个服装生产商的人员一起吃过三天的早餐，见识了。。。。。。', '短评打分': 5}
{'短评内容': '该酒店服务超级的好，就是附近都是工地地方比较偏。最好是再等半年。', '短评打分': 1}
{'短评内容': '不错，酒店很新，不过大堂还是有点味道。房间里的设施很不错，蛮有特色的，另外床很舒服，一觉到天亮。', '短评打分': 5}
{'短评内容': '酒店环境相当不错，极品！！', '短评打分': 3}
{'短评内容': '酒店环境和设施不错，是理想的居住场所。', '短评打分': 3}
{'短评内容': '酒店很好，希望以后能有更好的价格，以便符合性价比相适应的原则。', '短评打分': 5}
{'短评内容': '还不错，在这个疯狂的春节旅游期间能定到这样的房间很不错了', '短评打分': 5}
{'短评内容': '服务很好价格比较高', '短评打分': 3}
