{'descr': '核心不好 环境还行 淋浴坏的', 'star': 4}
{'descr': '住的条件还可以，不过旁边的楼建工地很吵。不知道什么时候可以消停 日志', 'star': 1}
{'descr': '整体服务不错，价格有点偏高，早餐价格不算贵，但质量一般', 'star': 5}
{'descr': '莫泰一贯的风格，位置还不错，离市中心很近，离星海广场那边就有点远了', 'star': 5}
{'descr': '房间大小还可以，卫生状况也不错。就是折扣少点，只比前台少10块钱。', 'star': 5}
{'descr': '服务态度不错 也比较安静 挺满意的 下次还会考虑', 'star': 5}
{'descr': ' 房间蛮干净的 就是水压有点不稳 水很小', 'star': 3}
{'descr': '干净 服务很好 会继续选择的 不错的房间 ', 'star': 5}
{'descr': '   酒店的环境有些乱周围都是施工的工地，内部和168的规格差不多、设施齐全干净、服务到位。\n    位置有些偏但交通还是比较便利，到火车站和中心商业区打车10元。\n\n', 'star': 1}
{'descr': '不错，值得入住的！～地理位置很好，什么都很方便的', 'star': 5}
{'descr': '有地热，还算不太冷，但是空调冬天却不能用！再就是一些小细节不够到位，这次竟然遇到于是的下水道堵了，水一直下不去，因为比较晚了，就没有叫服务生，还久一点就是隔音效果不怎么好的！但是价位不便宜，但是也是在接受范围之内的', 'star': 5}
{'descr': '酒店离市中心不远，周围吃饭购物也很方便，就是附近在装修，有点吵。', 'star': 5}
{'descr': '一直对锦江之星连锁店比较满意，房间简洁、舒适，适合出差居住！', 'star': 5}
{'descr': '地段不错,去哪都方便.屋子有点小,而且宽带速度有些慢', 'star': 5}
{'descr': '住过几次，总的来说还行，不过细节做得不到位，比如淋浴间下水道不通畅，价格还好吧', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '1、酒店服务到位。\n2、房间干净整洁，我特意提出要安静的房间。住了两个晚上，确实很安静', 'star': 5}
{'descr': '酒店位置很好，性价比也比较高。不过就是隔音效果差点，个别的细别做的不够到位，有的房间一进去烟味比较重，留言板上有点灰。总体来说还是可以的', 'star': 5}
{'descr': '还不错，位置挺好，总之，十一期间，对得起价格', 'star': 5}
{'descr': '很好，很干净的酒店，很大，房间很多，周围有施工工地，部分房间有噪音', 'star': 5}
{'descr': '酒店感觉挺干净的…服务一般…交通很便利…就是装修味很浓…外面的工地很吵…', 'star': 5}
{'descr': '酒店还不不错，很干净。', 'star': 5}
{'descr': '这个连锁店的位置不错，卫生一般啊，性价比也一般啊，由于曲入住的时间比较晚，没有见到任何服务人员。', 'star': 1}
{'descr': ' 入住', 'star': 5}
{'descr': '环境不错，安静卫生~~隔音效果地理位置和房间大小与房费倒是不符合，晚上打车基本是达不到，有急事十分影响', 'star': 3}
{'descr': '感觉一切都不错~~干净，设施不是太好，地方有点小~~其余的都不错&#183;~喜欢卫生间办透明的', 'star': 5}
{'descr': '太吵了。别的都好。全国连锁的，价位也便宜', 'star': 5}
{'descr': '施工有点吵，过道有装修得味道。\r\n可能是旅游季节，价位比较高。', 'star': 5}
{'descr': '交通有些拥挤，最近附近工地施工，有些噪音。', 'star': 5}
{'descr': '不错的酒店 酒店很干净 离天津街很近。以后在去还会住的。', 'star': 5}
{'descr': '酒店地理位置不错，离大连港、机场等交通设施地点比较近；价格算不上便宜！', 'star': 5}
{'descr': '边上目前有工地正在施工，白天有点吵', 'star': 5}
{'descr': '总的来说\r\n酒店不错，本以为会像网上评论的那样有很多不好的地方，可是入住之后很喜欢，下次还会去', 'star': 5}
{'descr': '硬件设施真的很差。和我平时住的168差很多，隔音效果特别不好，门外面说话都能听见。前台的服务也很差，影响了168的品牌', 'star': 1}
{'descr': '设施可能有点陈旧，我房间里的龙头都是坏的，硬件是很重要的。对于连锁酒店来说，任何一个分店的好坏都会影响到整个酒店品牌。', 'star': 5}
{'descr': '总体感觉不错,不过屋里的电视该换换了,有点旧', 'star': 3}
{'descr': '房间灯光很好,很温馨的感觉.屋里设施有些旧,彩电是老式的。频道呀不多.', 'star': 5}
{'descr': '海不错，连锁酒店，不过入住的时候办理等的时间比较长', 'star': 5}
{'descr': '我觉得酒店各个方面都挺好的，位置也方便，我挺满意', 'star': 3}
{'descr': '卫生方面有待加强，发现有很多“小强”', 'star': 5}
{'descr': '酒店的环境硬件设施都很不错，卫生服务也很好，价格合理适中，出行交通方便，值得推荐入住。', 'star': 3}
{'descr': '酒店的室外环境不好前面有个工地有些吵,里面的卫生.服务.设施.还可以.', 'star': 3}
{'descr': '酒店是属于连锁酒店,所以大部分酒店条件都差不多.卫生及设施都还可以.位置比较方便我出行.', 'star': 3}
{'descr': '酒店介绍距离大连港800米，实际距离大概2公里。有上当的感觉。\r\n酒店环境还是不错的，服务质量实在一般，早晨结帐及慢，卫生间的淋浴房漏水，向酒店要两块地巾都不给，说只能提供一块。上午十点叫服务员来打扫房间，下午回来居然还是一片狼藉，问其原因，服务员说：以为您会退房，所以没打扫。。。。下午出去办事，把房间窗帘全部拉上了，晚上回来发现窗帘自动拉开了，难道出鬼了？酒店给的解释是：可能有服务员来过。我郁闷', 'star': 1}
{'descr': '还算行吧，但是比宜必思还是差多了。', 'star': 5}
{'descr': '不错。', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '我觉得这家酒店面积太小了，卫生和设施方面很一般了，周边交通还可以，感觉没有如家形式的好，', 'star': 1}
{'descr': '酒店服务员卫生方面还是不错的，周边交通也挺方便的，房间里的设施条件也还可以了，整体感觉价格还是蛮合适的。', 'star': 5}
{'descr': '前台服务态度差，房间偏贵，有的房间离电梯太远，设施也一般，还不能刷储蓄银联卡', 'star': 1}
{'descr': '位置还不错吧 就是快捷酒店价格便宜了服务也就差些 早上8点左右入住 10点时打电话想借用吹风机 前台说没有 下午才可能会有 中午12点时出门 想让服务员打扫一下房间 下午5点回去后 写字台上有张便签 服务员留的 说当日入住的房间不打扫 语气还比较客气 我们住的是圆床房 房间设施很简单 电视机很老旧 距离也远 我和老公都不太能看的清楚电视上的字 比较好的是位置 距离沃尔玛等超市都近 ', 'star': 5}
{'descr': '主要房间很冷，有空调，但没有遥控器，不能制热，服务员说是地热，但是室内温度很低，晚上睡觉很冷，房间保暖性不好！', 'star': 1}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '酒店好的没话说，住了很多次了，就是位置不太好做公交，不过这都是不问题啦！住的舒服就好！', 'star': 5}
