{'短评内容': '#ud83e#udd10#ud83e#udd10#ud83e#udd10#ud83e#udd10#ud83e#udd10', '短评打分': 3}
{'短评内容': '地理位置确实很优越，走路二十分钟都能到后海。房间也挺干净。就是靠近浴室那几间房白天有点吵。', '短评打分': 3}
{'短评内容': '住的家庭房。房间有点小。但是很干净。性价比好不错。', '短评打分': 5}
{'短评内容': '很棒，下次还会来住。外面小吃也很多。交通便利。推荐哦！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很不错的地方，闹中取静。附近的饭馆都很好吃，稍微有些贵。离南锣鼓巷很近。', '短评打分': 5}
{'短评内容': '房间很干净，也比较安静。旅店在胡同里面，到公交和地铁站步行10分钟左右。附近胡同里有一些小饭馆和小食品店，可以买吃的、水果什么的。', '短评打分': 5}
{'短评内容': '住的无窗的特价房，跟想象中有些差距，独立的卫生间就是用玻璃隔出来的，而且有些反味，其他的还可以，有电视，空调，遥控器也都有，一次性的洗漱用品，电水壶都齐全，但是最重要的问题是被子和床单不干净，被头上能看到污渍，床单上还看到一大片污渍，幸好我出门都自己带床单和被单，不然这一晚真不知道怎么睡。幸好只住一晚，以后应该不会再来了。', '短评打分': 1}
{'短评内容': '很好的小客栈，附近吃的很多，环境清幽，已经第二次住拉。就是没有网络，有网络就更完美了。', '短评打分': 5}
{'短评内容': '客栈位于老北京胡同区，可以很好地体验胡同文化，距离南北锣鼓巷，鼓楼大街，后海都非常近，步行就可以到达，非常方便。缺陷就是胡同房屋采光不足，屋内有点潮。不过对短期住和旅行也可以接受。', '短评打分': 5}
{'短评内容': '客栈挺好的，小胡同里，很有老北京的感觉。交通也很方便。', '短评打分': 3}
{'短评内容': '房间不错，只是地方偏僻了点', '短评打分': 3}
{'短评内容': '酒店位置不是很好找，在京胡同里，出行打车不方便，要步行10分钟才可以到主路。但抱着旅游心情还是很不错的，品味着老北京胡同的韵味，周围饮食很方便。最主要的是这个价位在2环内确实没的说了。性价比不错。房间内就不做评价了，作为漂泊客有洗澡睡觉处就很满足了。', '短评打分': 5}
{'短评内容': '酒店其它的都还可以，就是没有网络。这点很不满意。', '短评打分': 5}
{'短评内容': '这是我住过的最特别的宾馆了，在胡同里，要走好远，胡同里有买建材的商店比较脏，好不容易到了居然不允许客人续住，要是我们订不到酒店岂不是要睡大街上了，从来没有宾馆有这样的规定。另外洗澡的谁不热，房间挺大的比较冷，也没敢洗澡，隔音也很差。', '短评打分': 1}
{'短评内容': '很干净而且位置很好很方便找，推荐哦', '短评打分': 3}
{'短评内容': '位置不太好找', '短评打分': 3}
{'短评内容': '住着还行！物有所值。有点不太好找，有机会再住！', '短评打分': 5}
{'短评内容': '在北京后海周边的话 这个价格这个服务算是很好的了 \n汗蒸那里给按摩的阿姨很好哦 \n', '短评打分': 5}
{'短评内容': '卫生干净，地点在鼓楼附近在市中心很方便，周围吃喝玩都很好', '短评打分': 5}
{'短评内容': '价格挺实惠 地方也不算难找 就是厕所有异味', '短评打分': 1}
{'短评内容': '地段挺好，就是有路痴状况的同学不好找着啊，哈哈。旅馆很小房间也小，唯一不足的就是杯子太脏了！！', '短评打分': 5}
{'短评内容': '去的时候天快黑了，客栈的灯箱就很显眼，比较容易找到，房间也很干净，洗澡的水很热，而且店里同时还有浴池，不过我没去洗，不知道如何，总体感觉不错，性价比高', '短评打分': 5}
{'短评内容': '比较难找。 从地铁出来了以后走了半个小时,经过问路才找到。 其他的还好', '短评打分': 3}
{'短评内容': '酒店不错，挺温馨的，唯一的不足是有点冷。', '短评打分': 3}
{'短评内容': '位置好，周边小吃很多，房间还算整洁-------', '短评打分': 5}
{'短评内容': '里面倒是不错，就是挺难找的。在这个位置有这样的价格，应该说还是挺划算的。', '短评打分': 5}
{'短评内容': '位置相当好，服务业不错。\n最最重要的是周边小吃和店铺很多。\n', '短评打分': 5}
{'短评内容': '价格还可以', '短评打分': 3}
{'短评内容': '离后海很近，出了宝钞胡同，有一家火齐潮汕沙锅粥，不错吃的。。这个客栈不是很好早，在宝钞胡同38号，要去的朋友要注意看一下门牌号，找到了门牌号沿着小巷子走进去才能看到招牌。对于里面的环境，要说的是，房间挺大的，床单类很干净，床也很舒服。比起国内很多很有名的连锁型经济酒店的床都来得舒服。但是没有暖气。有空调，但是空调是辅热模式，不能调，所以房间很冷。。问店家多拿了床被子才行！！要说的是，房间里不能上网', '短评打分': 5}
{'短评内容': '感觉很好。离后海和鼓楼南锣鼓巷都很近，不行，不过不推荐在哪吃东西，除了鼓楼旧大街那边一家叫做串盅的烤翅', '短评打分': 5}
{'短评内容': '这个位置算是性价比不错了，设施很齐全，很干净很温馨', '短评打分': 5}
{'短评内容': '环境很好，也挺干净的。周围小吃很多。晚上可以在后海，南锣鼓巷玩。离东直门也很近。', '短评打分': 5}
{'短评内容': ' 房间很干净,也很舒适,服务态度也不错,就是地方不太好找!', '短评打分': 3}
{'短评内容': '本来订了两天的。但第二天续交押金时酒店说没房了', '短评打分': 1}
{'短评内容': '价位合适。地段在鼓楼街那边晚上逛街很方便，就是不大好找。卫生环境都不错。', '短评打分': 5}
{'短评内容': '还可以，洗澡水很好', '短评打分': 3}
{'短评内容': '客栈卫生条件还可以，就是在胡同深处不好找。', '短评打分': 5}
{'短评内容': '算是物有所值吧 不过没有窗户 而且在宝钞胡同很深的位置 不太好找 房间面积也不大 除了床基本上就没地了 而且没有衣架衣钩 行李多的入住的话不太方便', '短评打分': 5}
{'短评内容': '还好了 就是有点偏   交通还是很方便的    没误事挺好', '短评打分': 5}
{'短评内容': '位置还可以，环境一 般，卫生间设置有点怪异。旅馆员工素质奇差，在业内属于低等，最好还是；培训一下再上岗。', '短评打分': 1}
{'短评内容': '这家酒店位置在二环线边上一条胡同内，出行很方便，到最近的地铁站只需要10分钟步行，胡同口就有公交车站，从这里到北京很多主要旅游景点搭乘地铁或公交都很方便。客栈位于胡同内，很安静，也很干净。胡同里边吃东西的地方很多。特别是客栈内设有浴池，还有干蒸，住店客人免费。老板很热情，服务也不错。', '短评打分': 5}
{'短评内容': '价格便宜,位置安静,在胡同内,只是有点难找,这个价格是很值得的了,后来,鼓楼都非常近..', '短评打分': 5}
{'短评内容': '房间还不错\u3000在著名的宝钞胡同\u3000虽然难找了点\u3000但离南锣鼓街很近\u3000吃喝逛都不错', '短评打分': 3}
{'短评内容': '客栈真的不错，虽然叫做客栈，但条件绝对不比宾馆差，服务态度也很好，下次还会去住', '短评打分': 5}
{'短评内容': '这个旅馆环境还需要提高。虽说在胡同里，但是这样的格局，实在是太拥挤以及不方便啦', '短评打分': 1}
{'短评内容': '服务不错，环境也不错，就是位置比较难找，其他各方面还算满意。', '短评打分': 5}
{'短评内容': '还不错，就是隔音效果不太好，挺干净的，交通很方便', '短评打分': 5}
{'短评内容': '地理位置还算不错，宝钞胡同也很有感觉。只是没有大床房比较遗憾，好在店家服务态度很好，换了一个有大床的家庭房也没有加钱。不过电视没有湖南台和江苏卫视啊，不晓得是什么原因。房间内有无线上网。总的来说，在北京，这家店很超值！', '短评打分': 5}
{'短评内容': '位置在七天酒店对面的胡同里，走两个胡同就到了，胡同有点长，附近有地铁有公交去哪里都很方便，房间虽小但干净，隔音不太好，还是很满意的，以后还会住这里。', '短评打分': 5}
{'短评内容': '交通很方便，去南锣鼓巷和后海真的很近。。就是位置不太好找就是了。', '短评打分': 5}
{'短评内容': '住了两天，态度很好，也很干净，跟酒店一样~~', '短评打分': 5}
{'短评内容': '房间还是一如既往的干净，但是网不给力~~~~信号不好', '短评打分': 5}
{'短评内容': '客栈的位置还行，处于北京的胡同里，旅游的挺多！因为住的是特价房，房间没窗户有点憋闷，房间有点缺陷，连个挂衣服的钩子都没有，房间到是有24小时的热水，不过不能调水温，我洗的有些凉！还有不能上网，房间里没网线，说是只能无线上网，可是根本没信号，结果一问才知道，到吧台那才有无线信号，我去试了一下，到是能上网，就是网速慢的惊人！房间床铺不是每天都换，猛一看没什么，可是枕头一掀开，下面的颜色比床铺上白的多！', '短评打分': 5}
{'短评内容': '在胡同里面，有点不好找，但是带个有导航的手机就方便多了~房间挺干净的，不错，周边小餐馆很多，离地铁站和小吃街也不是很远，在北京玩这是个不错的选择', '短评打分': 5}
{'短评内容': '客栈很新很干净，位置也不错，到南锣鼓巷后海都挺方便的，总之性价比很高~好评！', '短评打分': 5}
{'短评内容': '旅店不太好找，但是环境很好，周围安静，但出去又会很繁华，地点很好，很满意', '短评打分': 3}
{'短评内容': '不靠谱，说好给我换房间的，到我晚上回来还是只能住电脑房，还说找不到我人？！（你就不能给我打个电话吗！？客户信息上又不是没有我电话），前台服务的人业务水平有待提高。', '短评打分': 1}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '地方干净，就是房间有点小', '短评打分': 3}
{'短评内容': '，还行吧，知足长乐！', '短评打分': 3}
{'短评内容': '客栈房间有点儿小，稍有点儿潮湿，其它都不错，地理位置比较方便，周边很多吃饭的地方，小吃特色明显，要感受胡通气氛很不错。', '短评打分': 3}
{'短评内容': '交通真的很方便～', '短评打分': 3}
{'短评内容': '很好。我们很喜欢。大家都很热情，很舒服...... 很方便！就是非常不太好找，要耐心打打听! 设施挺好， 房间也挺好。\n\n', '短评打分': 5}
{'短评内容': '旅店很干净，我们住的是103，两张都是1.5米的大床，很舒适。晚上很安静。因为在胡同里，所以离着公交站和地铁站都有点远，走路都需要十分钟左右。如果是坐地铁，到鼓楼大街下，然后从国旺胡同往东走，穿过国兴胡同，到南北的宝钞胡同后，往右一拐，走两步就是了。', '短评打分': 5}
{'短评内容': '干净整洁，价格合理，周围吃的很多，很安静~', '短评打分': 5}
{'短评内容': '不错的酒店，很干净也很安静，位置和价格超赞，如果提供网线就更方便了', '短评打分': 5}
{'短评内容': '帮朋友定的，朋友说除了位置在胡同里面比较难找，其他还不错，毕竟价位摆在那，赞的是周围好吃的很多，好玩的也很多', '短评打分': 5}
{'短评内容': '已经入住，环环还可以，就是屋子小。有点闷', '短评打分': 3}
{'短评内容': '还行吧，主要逛街挺方便。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置偏僻，小胡同内，寻找要有耐心啊，开业不久，房间内有较浓装修气味，房间空间小，用具全，可体验北京胡同生活啊', '短评打分': 5}
{'短评内容': ' 挺便宜，房间总体还不错，设施都比较新。', '短评打分': 3}
{'短评内容': '＋位置好干净', '短评打分': 3}
{'短评内容': '行走方便，离地铁2号线较近，离什刹海南锣鼓巷也近便。去景山、北海等地都方便；吃的附近很多，离护国寺小吃和地安门外的各种食家也近。住处价格便宜，至于环境不能要求太多吧。如果是多人旅游，可以选择此地。如果是单身出行，还是考虑下。', '短评打分': 5}
{'短评内容': '这家酒店很不错，开业刚三个月，屋内设置都是全新的，风格与上海多数酒店相似，空间利用率很高，作为游客来说，旅游一天晚上回酒店休息还是不错的选择，当然这家酒店不太好找，最好用手机GPS功能进行寻找会很容易找到。', '短评打分': 5}
{'短评内容': '客栈很小 而且房间非常潮湿。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '我觉得一点也不好，订的时候是大床，到那说是标准间，说有宽带，可是没有，而且隔音效果特次，下次我是不去了', '短评打分': 3}
{'短评内容': '很不错   挺干净挺舒服的   地板很舒服  不过房间有点小  无线网络不太稳定   只是为啥卫生间是玻璃的？', '短评打分': 5}
{'短评内容': '刚到那边地方比较难找，要穿好几个胡同才找到！不过到了后地方还可以，刚装修过，床单什么也还干净！尤其是周边比较繁华，下次还会去的！', '短评打分': 5}
{'短评内容': '整体感觉不错，就是难找了点，在胡同里，不过附近的烧烤很多，这点很方便！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': 'Xgdgufufyigiuguglhilhiohiohiohiohiohiohiohiohoihiohoihiohibvugugugu', '短评打分': 5}
{'短评内容': '虽然简单了点，但是很干净，热水也很好，服务很热情。遗憾的是，没有开通银行卡付款功能，要是开通银行卡付款就会更方便一些。', '短评打分': 5}
{'短评内容': '很好。我们很喜欢。大家都很热情，很舒服...... 很方便！就是非常不太好找，要耐心打打听!  设施挺好， 房间也挺好。', '短评打分': 5}
{'短评内容': '环境比想象中好很多，很干净 环境不错 老板有意思 不比如家之类的连锁差 一楼也不潮  唯一的缺点就是胡同太深了  离南锣鼓巷和后海都不远', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '这家客栈还行，挺干净的！不过这胡同还真长，附近环境不错，客栈的旁边都是学校，吃饭的地方很多~~~很方便~~~', '短评打分': 5}
{'短评内容': '酒店还可以，就是地点不怎么好找，房间不大，但是比较干净。推荐背包客和预算较少的游客入住。酒店还可以，酒店还可以，酒店还可以，酒店还可以。', '短评打分': 5}
{'短评内容': '服务态度很好。火车晚点导致晚上11点多才到北京，还主动与我联系，感觉就像是朋友。房间虽旧点但很干净。', '短评打分': 5}
{'短评内容': '已住', '短评打分': 3}
{'短评内容': '还可以，简洁干净，胡同中也比较安静。不过因是新开的，空气不太好', '短评打分': 3}
{'短评内容': '还是不错的，离地铁站要走差不多15分钟，走到104公交站差不多10分钟，酒店离鼓楼，烟袋斜街不算远，晚上去烟袋斜街逛逛还不错，有不少酒吧，咖啡店。好多买陶笛的店铺。酒店和一家浴池在一点，小小的门牌号不是太好找。', '短评打分': 5}
{'短评内容': '我们住的是家庭房，住了大概一个星期，酒店是新开张不久的，总体感觉感觉干净、卫生、舒适，很满意。\n交通也很便利，坐公交，地铁都可以到达。', '短评打分': 5}
{'短评内容': '现在北京的酒店不都2点退房 这十二点  而且服务员态度还不怎么好 一直崔着退房  没把顾客放第一位 ', '短评打分': 1}
{'短评内容': '客栈 干净卫生 离后海。。。等旅游景点都很近。非常好，推荐推荐。。。。。。酒店独立卫生间 有空调 热水 洗漱用品 齐全。 好像 没有毛巾 需自备。', '短评打分': 5}
{'短评内容': '位置稍偏，房间有不良味道。', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '住了该酒店两天，感觉不错，去的时候老板娘还出来迎接，客栈比家里还干净，老板及老板娘都很好，还有那个小老板，我感觉他人挺随和的，你问什么，他答什么，一点都没有不赖烦的样子，在北京不比在家里，但在那里感觉就在家里一样，走的时候他们还告诉我们去火车站的路线，在这里，我代表家人谢谢他们，谢谢北京的所有帮助过我们的朋友！\n\n ', '短评打分': 5}
{'短评内容': '好极了', '短评打分': 3}
{'短评内容': '性价比很高，交通比较方便，在胡同深处，挺安静的。因为是新店，所以环境卫生什么的都挺好，老板人也挺不错哒~', '短评打分': 5}
{'短评内容': '酒店是新开的，还没有完全好！但位置还可以.希望将服务进一步完善。', '短评打分': 5}
{'短评内容': '不错，新建的宾馆，设施可以，地段好市中心，在胡同深处挺有味道', '短评打分': 5}
