{'短评内容': '酒店位置不错！基本还可以！下次还会来这里', '短评打分': 5}
{'短评内容': '服务冷淡，卫生比较差，电梯里面尽是蚊子', '短评打分': 3}
{'短评内容': '服务理念仍然陈旧，我提出续半天房费下午6：00退房，却听到只能下午5:00退房，因为服务员5：00下班。让我哭笑不得！客户是上帝成为空话。', '短评打分': 1}
{'短评内容': '酒店性价比蛮高的。。离火车站和工作的地方都蛮近的~~~~~', '短评打分': 5}
{'短评内容': '离火车站太近，晚上休息不好，其他环境还行，但明显感觉酒店是个人办的', '短评打分': 1}
{'短评内容': '鹰潭天天假日酒店地理位置较佳，介于火车站和长途汽车站之间，能满足各类旅游和商务人士入住乘车方便的、价廉物美的、房间清洁卫生的经济型酒店。', '短评打分': 5}
{'短评内容': '，酒店环境一般', '短评打分': 3}
{'短评内容': '还不错，交通便利…洗浴很不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '挺好的。。离火车站还有工作的地方都蛮近的。。推荐！！！！', '短评打分': 5}
{'短评内容': '距离火车站近，去龙虎山方便，酒店性价比较高，但有一个缺点，晚上睡觉时被火车的汽笛声吵醒。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '交通比较方便，酒店干净舒适，价格合理，性价比高，值得向朋友推荐', '短评打分': 5}
{'短评内容': '位置比较方便，就在火车站附近，走路10分钟最多了。但是和很多的酒店一样，隔音不好，晚上虽然马路上车已不多，但是还是会收到影响。\n另外前台的服务，态度还好，但是不是特别专业，我入住的时候，两晚400元，本来该一共支付押金500元，但是我只给了400，导致第二天回来到房间不能用房卡开门，下楼让前台开卡。\n另外现在他们还不能接受刷卡付款。\n不过就一个小城市而言，还可以', '短评打分': 5}
{'短评内容': '不是节假日（节假日涨价幅度厉害的）去，还真是不错。房子比较新，属于没有多余配套的商务型小店，房间也不是很多，每层大约也就十间房，很安静。地理位置不错，在火车站出门左手大约400米，龙虎山大道（去汽车站和龙虎山景区）的第一个拐弯处，有很多往南的车都必经那里，去自助旅游是个好位置。设施很简单，房间不大，也就不到20平米样子，不过对得起价格，卫生设置达道大城市三星级标准了，不错，新的总是好的。总的来说非', '短评打分': 5}
{'短评内容': '瞅着还不错，挺好的', '短评打分': 3}
{'短评内容': '标准房没有电脑不方便，房间太小，其他的一切都还行。', '短评打分': 3}
{'短评内容': '一切都好，就是床硬了些 蛮干净的 接近火车站 但又不吵闹', '短评打分': 5}
{'短评内容': '我入住的商务单人间，酒店离火车站步行不到十分钟，房间也比较新，在洗手间门后发现烟头。', '短评打分': 3}
{'短评内容': '服务员只有前台一人，基本无人服务，宾馆卫生较差，室内空调较脏会有异味随着送风一阵阵的，很难受。 \n', '短评打分': 1}
{'短评内容': '酒店价格不贵，离火车站也近，安全，上网方便', '短评打分': 5}
{'短评内容': '一般般，床太硬，睡起来不舒服，交通还算方便', '短评打分': 1}
{'短评内容': '天天假日酒店还不错，离火车站不太远，也比较干净。', '短评打分': 3}
{'短评内容': '环境不错，去火车站路也不多，过个红绿灯就到了。关键是这个价格直了。', '短评打分': 5}
{'短评内容': '房间内的卫生较好，但服务员只有前台一人，基本无人服务，室外卫生较差，室内空调较脏会有异味随着送风一阵阵的，很难受。', '短评打分': 1}
{'短评内容': '＋酒店设施很新，挺舒适。', '短评打分': 3}
{'短评内容': '环境还不错，因为是新开张的，房间内还未放置衣柜跟茶几。', '短评打分': 5}
{'短评内容': '酒店不错，干净，价格便宜！距离火车站步行5分钟，交通方便。以后还去的！', '短评打分': 5}
