{'短评内容': '还比较好找，街景不错', '短评打分': 4}
{'短评内容': '不好！\n一、晚上睡觉外面会有一种很有规律的声音，24小时持续的，非常影响睡眠；\n二、第二天起来后在桌面上发现了蟑螂，跑来跑去，不去弄它就会停在桌面上。拿出相机为其摄影，留作纪念，之后为宾馆除“四害”，为提高宾馆的卫生水平，将其送到了总台。本想总台会很重视，结果到第三天早上了，也没有一个人提起过此事。看来这种事情在这里是常事，就象这里的餐厅里有很多的苍蝇，常驻早餐上一样，大家都不以为然了。我想朋友们', '短评打分': 1}
{'短评内容': ' 地点很适合,房价廉宜,房间环境宽敞令人感觉舒适,我很满意,以后这里会成为我司参展定点酒店。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '受不了电梯！上班时间坐电梯就别指望了！我都是爬楼梯的！', '短评打分': 1}
{'短评内容': '干净,视野很不错,可以看到琶洲馆,整体环境不错', '短评打分': 5}
{'短评内容': '环境很不错..就是周边吃饭的地方太少了.', '短评打分': 5}
{'短评内容': '安静，设施不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间很宽敞，风格很喜欢，干净整洁，下次还会来。', '短评打分': 3}
{'短评内容': '很好的酒店，物美价廉，广交会期间价格比较贵，平常价格很合理。以后还会来。', '短评打分': 5}
{'短评内容': '希望在房费里包含早餐 房费可根据含早餐、不含早餐2种方式定价  ', '短评打分': 5}
{'短评内容': '前台服务还可以\n但是网络有问题，修了几天都没好\n早餐40元，性价比低', '短评打分': 5}
{'短评内容': '前臺有個哥哥不肯幫我召的士……\n環境不錯，設施也不錯，總體來說都 很不錯', '短评打分': 5}
{'短评内容': '不错的酒店，内部装修舒适。就是酒店周围没什么吃的，唯一一家麦当劳7点半还没营业', '短评打分': 5}
{'短评内容': '不错的酒店，下次还来', '短评打分': 3}
{'短评内容': '+非常整洁,温馨进门有淡淡香味,虽小但很舒适,值得推荐!', '短评打分': 5}
{'短评内容': '位置不错只是周边餐馆太少。', '短评打分': 5}
{'短评内容': '位置不错，环境一般', '短评打分': 5}
{'短评内容': '+比较满意但网络很差', '短评打分': 5}
{'短评内容': '装修精致 房间很紧凑 只是空间不是很大 楼上是写字楼 电梯在中午不太够用', '短评打分': 3}
{'短评内容': '装修很有格调 现代主义风格 床挺大 只是房间空间较小 门市价略高 最好提前预订', '短评打分': 5}
{'短评内容': '不错的酒店，新装修的，安静，干净，离展会近，很方便的。', '短评打分': 5}
{'短评内容': '房间干净、服务不错', '短评打分': 5}
{'短评内容': '+酒店很干净，很新，服务很周到，会推荐给朋友', '短评打分': 5}
{'短评内容': '好~~好好好~~~~好~~好好好~~好好好~~~~好~~好好好~~~~好~~好好好~~~~好~~~~', '短评打分': 5}
{'短评内容': '酒店就靠近会展，比较方便。窗外有江景，设施对得起价钱。\n\n没有热水问题，把热水器调好就可以了。\n\n不好的地方是，这是商厦改造成的酒店，所以跟纯酒店比的话，大堂布局有点怪。没有免费停车，而且回到自己房间楼层的话需要工作人员用酒店自己的卡才能上电梯，非常不方便！', '短评打分': 5}
{'短评内容': '很舒服的房间，好梦', '短评打分': 5}
{'短评内容': '还行吧，其他都好的；就是吃饭的地方不太好，早餐也不好', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，主要是就在琶洲会馆对面，很方便我出行，下次如果还在展馆出行还会选择的。', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 5}
{'短评内容': '适宜商旅人士，价格相宜，房内设施还算舒适。电梯比较慢，特别往停车场的。', '短评打分': 5}
{'短评内容': '靠近广交会，很好很方便。\r\n房内设施齐全，也很干净，硬件不错，但晚上居然热水不热。\r\n服务不好，Check in和Check out时间太长。\r\n周围的其它餐厅太少。\r\n5楼的餐厅和1楼的自制餐太过一般。\r\n建议参加展览会的人入住，老外入住不合适。', '短评打分': 1}
{'短评内容': '总的来说还行，就是没游泳池，听说里面的泳池不属于凯陌的，而且也没开，说是夏天开，在南方都5月底了还不算夏天？其次吃饭较麻烦，得坐地铁出去吃，好在地铁离的不远', '短评打分': 1}
{'短评内容': '酒店装修挺新的，床挺舒服的，服务挺好，每间房送了2瓶矿泉水，液晶电视机居然和我家的一样。就是服务于展会的，地方有点偏，最近的也就一个地铁站的麦当劳，晚上7点过去竟然只有一对鸡翅了，其他都没吃的了，只能坐地铁出去几站吃。早饭要25元，就些肠粉，玉米，不是自助的，性价比不好，不推荐大家吃，但附近也没地方吃饭了。', '短评打分': 5}
{'短评内容': '很不错的酒店，因为琶洲会馆对面所以位置可能相对偏了些，卫生很干净，服务也蛮周到的，设施完善，性价比不错的酒店，值得推荐。', '短评打分': 5}
{'短评内容': '酒店客房不错，但其它配套不全，高档的经济型酒店', '短评打分': 3}
{'短评内容': '不错的酒店，建议凯陌能多做些促销活动', '短评打分': 3}
{'短评内容': '200-300价位宾馆不错的选择', '短评打分': 5}
{'短评内容': '设计有风格，新装修酒店，还算不错了。但是特别强调这边不好打车，要叫车最好自己电话约。酒店很“热情”的帮我约了个去机场的出租车，居然打表要200块，有猫腻', '短评打分': 5}
{'短评内容': '房间隔音不好，周围餐饮不方便。离会展中心很近', '短评打分': 1}
{'短评内容': '前台服务很热心细致，酒店环境很现代~~不错不错。下次还住这。', '短评打分': 5}
{'短评内容': '位置还是有些偏了,房间的卫生和设施都还行,服务态度还可以,性价比是挺一般的.', '短评打分': 3}
{'短评内容': '房间的卫生和设施很一般,而且酒店里面热水提供的都不是很好很不及时, 位置也不好找,性价比很一般的,很差的酒店,一点都不好.', '短评打分': 3}
{'短评内容': '这家点给人的最大感觉就是超值两个字，而且非常超值。定的是180元的大床房，但是房间感觉是5星标准的装修，房间很大，各个设施很不错。除了位置有点偏，但是有地铁可以直达。', '短评打分': 5}
{'短评内容': '就是早餐有点~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '环境很好,位置也不错,离我办事的地方很近,我如果下次再来这边参加展会我还会选择这家酒店.', '短评打分': 3}
{'短评内容': '酒店的各方面都很好，条件都不错，就是当时我住的时候在装修，稍微有点吵，不过以后去广州还会选择的', '短评打分': 5}
