{'短评内容': '商务旅行，方便之选。', '短评打分': 5}
{'短评内容': '干净,整洁,环境不错,结帐稍微有点慢,周围设施齐全', '短评打分': 5}
{'短评内容': '酒店在当地算叫好的. 但实话说设施有点陈旧了. 特别是电视机, 是那种显像管的不说, 信号非常差. 电视画面模糊到不能接受的水平. 希望改进啊.', '短评打分': 5}
{'短评内容': '在奉化县江边风景好,还有自助餐也很不错。', '短评打分': 5}
{'短评内容': '算奉化最好的酒店之一吧。周末有很多人在那里举行婚礼。前台服务效果还可以，就是态度有点冷淡。', '短评打分': 5}
{'短评内容': '一直都住这边， 环境和服务都还不错。干净，早餐还可以\n', '短评打分': 5}
{'短评内容': '奉化华信国际大酒店服务态度很好，环境也不错，希望保持下去。', '短评打分': 5}
{'短评内容': '环境什么都挺好的，性价比比较高，房间挺大的，希望继续保持。', '短评打分': 5}
{'短评内容': '比较老,但设施还可以.早饭比较简单,价格不便宜，比我前一天南苑还贵.', '短评打分': 5}
{'短评内容': '还可以，酒店营运管理有问题，一早八点还在睡觉居然进来打扫房间说我们要退房。火大。', '短评打分': 3}
{'短评内容': ' 酒店还可以，早餐品种太少，比较简单。', '短评打分': 3}
{'短评内容': '酒店周围环境不错，酒店大堂挺气派，房间也满大，设施也还可以，服务也说的过去，就是早餐的品种太少。其它都不错。推荐入住此酒店。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '服务水平很差，退房的时候，站在前台等候的短短几分钟很是不爽，感觉跟一般招待所的接待态度没什么区别，最后酒店经理的微笑倒是有星级水平。 硬件大概3星水平，软件招待所水平。不建议希望住五星酒店并得到五星服务的客人住。 ', '短评打分': 1}
{'短评内容': '下午1点到店还不能入住，要等半个多小时。早餐内容太差。结账也很慢。', '短评打分': 1}
{'短评内容': '挺不错的   就是电视 电脑不是很理想的\n浴室很不错', '短评打分': 5}
{'短评内容': '中规中矩的商务酒店,楼顶的中央空调声音太大了.', '短评打分': 5}
{'短评内容': '酒店的硬件设施还不错,大堂很大气派.房间也大.唯一的缺点是边上那楼定的巨型中央空调的噪音太大了.由于白天比较累,还没受太大影响.睡眠不好的人要注意了.', '短评打分': 5}
{'短评内容': '性价比不高.一般性的酒店吧.............', '短评打分': 1}
{'短评内容': '饭店感觉够档次，舒适。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '奉化里面，这个酒店算最高档了！相对于类似的酒店，这个价格算便宜了！', '短评打分': 5}
{'短评内容': '环境好，停车方便。', '短评打分': 3}
{'短评内容': '酒店装修稍微有点旧，其他的倒也马马虎虎吧。也就这样吧。。。。。。。。', '短评打分': 5}
{'短评内容': '还行吧，就是设施有点旧了啊。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺不错的，还会再来。反正出差都会选择住在这里', '短评打分': 5}
{'短评内容': '还可以~~就是隔音不是很好~~以后还来~~', '短评打分': 5}
{'短评内容': '酒店一般，感觉没什么比较有特点的地方，不过住宿条件还行，地方也不大位置倒是挺好找的。', '短评打分': 5}
{'短评内容': '还行吧，酒店档次在奉化应该也算不错的了，但服务生业务不熟练啊，结账那个叫慢纳~~~~', '短评打分': 5}
{'短评内容': '感觉还可以，价格相对有些偏高，房间比较大，卫生也不错', '短评打分': 5}
{'短评内容': '第一次住这里，感觉很不错，下次来我还是会选择这里的', '短评打分': 5}
{'短评内容': '房间很大很干净，也很安静，早餐的品种实在太少了', '短评打分': 5}
{'短评内容': '安静，卫生，早餐质量不错，就是结帐速度较慢，入住评价满意', '短评打分': 5}
{'短评内容': '房间挺大，设施也很完善。就是游泳池水太冷了，早餐品种有的少。', '短评打分': 3}
{'短评内容': '房间挺大，停车位也很多。就是自助早餐品种较少，都是素菜。', '短评打分': 5}
{'短评内容': '还可以，但设施还不够5星，房间若有电脑则更佳，早餐都是素的。', '短评打分': 5}
{'短评内容': '值得一住', '短评打分': 5}
{'短评内容': '酒店还行,订的行政大床, 但感觉和其他地区四星级的普通大床房差不多.档次有些不够.', '短评打分': 5}
{'短评内容': '住过才知道，确实为当地最好的酒店，房间很大，早餐也还不错。只是当地的晚餐时间到8点全部结束，结果找个吃饭的地儿很困难', '短评打分': 5}
{'短评内容': '位置还好自己开车过去的还是挺好找的， 服务态度，价格也不算太贵，性价比还是不错的，', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都很好，卫生服务也很达标，出行交通方便，就是价格稍微有些偏高，值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都比较不错，卫生服务也很好，价格算是比较合理适中的，因为当时我们是自驾对位置没有太大要求，出行还是比较方便的，性价比也很合适，值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '酒店位置很好，虽然是市中心，大概因为楼层高的关系，非常安静，酒店的自助午餐58元/位，还不错，早餐自助也很丰富，前往溪口自驾非常方便，虽然路途不算近，不过沿途的风景绝对值得，每每开在溪口奉化的路途中，都是一种享受。不过查房的效率挺低的。酒店凭房卡可以免费使用室内游泳池\r\n', '短评打分': 5}
{'短评内容': '服务和设施还行，房间的卫生打扫的还是挺干净的，但是我就是感觉价格还是稍微有些偏高了，不过房间住起来还是挺舒服的，另外酒店的位置也很好附近的交通挺方便的，还是性价比比较不错的酒店。', '短评打分': 5}
{'短评内容': '大堂还不错,房间新旧中等,提供的是浴缸,现在无浴缸的宾馆比较多,工作桌和电视摆放的相互位置有点问题', '短评打分': 5}
{'短评内容': '住宿前台领班服务态度很好，卫生五星就只有四个，早餐很好，酒店适合商务，附带迪欧以及旁边的两岸咖啡，下有日式餐饮三文鱼55一份量很厚道，穿过广场对面小街一溜的小酒家自己选，就是太多的龙虾店。离溪口20公里一路很干净，住背大街一侧为妙，不然早上那个晨练的音乐泡夜店的可受不了。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店的中央空调好象无法调节，三月底的时候入住暖气很足热得不行。其它方面倒还可以', '短评打分': 5}
{'短评内容': '总体很好，满意', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 1}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很不错的酒店，总体感觉可列为上乘', '短评打分': 5}
{'短评内容': '酒店的门牌标示不清楚，陌生人不是很好找，别的都还好，楼层很高，应该是在奉化最高的楼了', '短评打分': 5}
{'短评内容': '酒店很好，大气、美观，服务到位，街上餐饮也丰富实惠。但服务生对宁波的交通路线还应更熟悉了解。', '短评打分': 5}
