{'短评内容': '提供4餐，独具特色。', '短评打分': 5}
{'短评内容': '价格比较实惠，里面东西很齐全，就是卫生间比较小', '短评打分': 5}
{'短评内容': '真的是物超所值，房间很大很干净，液晶电视超大的，还有数字电视，可以点播。有小冰箱，洗衣机，壁挂式吹风，价格还很便宜。下次再到海口还会继续住在这里。', '短评打分': 5}
{'短评内容': '地毯有些味道，周围可能是过年的缘故比较冷清，幸好酒店提供免费用餐。设施比较齐全，电脑电视冰箱都很齐全。', '短评打分': 3}
{'短评内容': '推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐', '短评打分': 5}
{'短评内容': '推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐', '短评打分': 5}
{'短评内容': '推荐理由之前“天之锋”的点评已经说过，在此不再重复。给酒店提个建议，卫生间的洗脸台盆太高了，洗手的时候容易把水溅出到台面上。', '短评打分': 5}
{'短评内容': '像我们这种出差人士，到海口就住这间酒店。房间总体不错，细节也挺好，有小冰箱、洗衣机、电吹风、免费电话。液晶电视用的是IPTV，电影、电视剧等各种节目满多的。缺点是前台电话老是接听不及时，小冰箱里放满了各种饮料，却没有一样吃的东西。', '短评打分': 5}
{'短评内容': '周围也有很多酒店。这家还不错，挺贴心的，还备有针线包，吹风机，冰柜和洗衣机和电脑，离机场也挺近，对面坐21路公车，司机狂飚的话，20分钟就到了。我总觉得司机天天都狂飚。', '短评打分': 5}
{'短评内容': '三餐尚可，靠街边的特价房型稍微有点吵，电脑、液晶等配置超爽。', '短评打分': 5}
{'短评内容': '酒店霉气很重，性价比很差，周边条件好的价格都比它低。', '短评打分': 1}
{'短评内容': '酒店的性价比还是比较高的！ 离东站比较近', '短评打分': 5}
{'短评内容': '酒店设备很新，设计比较人性化，房间还有洗衣机及一日四餐。价格合适。。', '短评打分': 5}
{'短评内容': '1，总的感觉服务质量不是很好。2，经济实惠，比如含餐，免上网，免长话等。3，交通还好。4，位置靠近马路，有点吵。', '短评打分': 5}
{'短评内容': '交通很方便，房间大性价比高。', '短评打分': 3}
{'短评内容': '如果对交通和位置要求不高，推荐到海口就住这家酒店', '短评打分': 5}
{'短评内容': '为什么我的第一条点评不见了？我想说的是，158元的价位，性价比超值。唯一的缺点是位置稍偏，不是位于繁华地段。不过话说回来，如果是不是位于繁华地段，恐怕就不止这个价位了。', '短评打分': 5}
{'短评内容': '服务态度好，房间设施物超所值，早餐有待改进', '短评打分': 5}
{'短评内容': '提个建议，酒店房间有洗衣机，有衣架，就是没晾衣服的地方。', '短评打分': 5}
{'短评内容': '酒店还有免费的衣服烘干服务，想得比较周到。', '短评打分': 5}
{'短评内容': '建议酒店取消一次性拖鞋，只要有塑料拖鞋就可以了。支持环保，少用一次性用品。', '短评打分': 5}
{'短评内容': '房间总体来说不错，不过一日三餐菜肴有点单调，而且荤菜太少。', '短评打分': 5}
{'短评内容': '不错的酒店，设施很新，最重要的是设施齐全。房间里有小冰箱和洗衣机，这位旅客带来方便；有电脑和液晶电视，机顶盒还有付费的点播节目，电视、电影内容丰富，想看什么节目都有；卫生间里有电吹风。另外还含一日三餐，158元的价位，性价比超值。唯一的缺点是位置稍偏，不是位于繁华地段。', '短评打分': 5}
{'短评内容': '补充之前的点评，房间里还有电脑。不过桌子有点小，再放置自带的笔记本电脑位置就不够了。', '短评打分': 5}
{'短评内容': '住的特价房，所以是面街的房间，噪音大一点但尚能接受，特价房超值。赶紧舒适、房间紧凑但安排合理，宽带看电影比较爽。吃了晚餐和早餐，简单充实，还算可以。\n管理上离珠三角180-250这个价位的其他知名连锁酒店还有一点差距，可能是人员培训还没完全到位。\n总之还是推荐。', '短评打分': 5}
