{'短评内容': '酒店出了一些事情 要求提早退房', '短评打分': 3}
{'短评内容': '没有酒店停车位！外面的停车位要交费6元1小时呢。房间隔音效果不太好，门外声音清清楚楚，卫生间门没锁没门吸，关也关不上，打开又不能完全，设施有点陈旧，但服务态度是很不错的，位置也很方便，去哪玩都挺近。住住也可以的。', '短评打分': 5}
{'短评内容': '从价位上看，性价比还是蛮高的，地理位置不错，交通便捷，就是没有电梯，提行李上六楼够呛。', '短评打分': 5}
{'短评内容': '硬件不怎么样，但是挺安静的，价格也不贵。\n一楼有桌球和桌面足球，和朋友们一起去的话不错', '短评打分': 5}
{'短评内容': '房间大，与附近酒店对比，性价比高！出行方便', '短评打分': 5}
{'短评内容': '青年旅舍环境设施干净简洁，楼道设计比较有巧思，性价比不错，离城站火车站很近，交通便捷', '短评打分': 3}
{'短评内容': '很实惠，满特色', '短评打分': 3}
{'短评内容': '干净卫生，不错', '短评打分': 3}
{'短评内容': '离杭州站比较近。合式房有点小。价格比较便宜。适合第二天赶火车居住。', '短评打分': 5}
{'短评内容': '提醒大家：\r\n1）该酒店前台只接受现金支付，不能用信用卡\r\n2）没有热水提供，无法洗澡\r\n3）房间面对高架桥，隔音很不好\r\n4）价格与网上有明显价差\r\n5）距离西湖较远，只临近火车站\r\n   我已切身体会告知大家，为避免失望，请谨慎选择！', '短评打分': 3}
{'短评内容': '卫生：洗手间内四处皆有明显发黄的水迹，窗台上有厚厚的积灰，墙上有较多鞋印和污迹。\r\n服务极其不负责任。由于我是初次到杭州，不熟悉地形。我在乘机场大巴抵达杭州火车站后致电酒店询问路线，得到的答复仅是简单的一句：打的不跳表。乘的士后发现酒店就在火车站前20米处！！！既然近在咫尺，为什么不明确说明，害得我白白花冤枉钱？！\r\n设施非常简单陈旧，千万别信图片。遥控器都是摆饰，全都不能用！\r\n位置离西湖很远，', '短评打分': 1}
{'短评内容': '服务态度好、热情，地理位置相对较好，房间格调比较有味道。', '短评打分': 5}
{'短评内容': '地理位置真是不错，适合出差的人士更适合旅游的朋友，门口就有直达断桥的公交车，离河坊街步行即到，值得推荐！', '短评打分': 5}
{'短评内容': '+卫生间潮味大,弄的房间一股潮味,开了一晚上排气扇,房间不大,卫生间也不大,水笼头坏了。房门隔音不好,晚上走廊有人说话时很吵,', '短评打分': 5}
{'短评内容': '酒店是实惠型，地理位置不错，离西湖走十五到二十分钟就到了，挺方便的，不过酒店配套的设施再改进些就好了，比如增加网线或提供上网，提供拖鞋而非一次性的，吹风机等小的细节', '短评打分': 5}
{'短评内容': '位置还算好找 第一次费了点周折 再后来就好找很多了 离河坊街不远 离西湖也不算远 离城站火车站相当的近 不行用不到10分钟吧 房间设施挺齐全哒 也都挺干净 住的挺舒服 不过临街 又挨着一个桥 可能会有点吵 不过关上窗户 隔音还是不错哒～窗帘的遮光性也挺好 服务嘛 还可以吧 我们要退房的时候因为来不及回来 打了电话问了下 可以帮我们延时到下午两点 让我们没有那么赶 这点还不错 ', '短评打分': 5}
{'短评内容': '离火车站很近，走着就到了，门口有租自行车的，骑着去逛街挺方便', '短评打分': 5}
{'短评内容': '还挺不错，性价比比较高。只是酒店应该再修缮一下，设施有点陈旧了', '短评打分': 5}
{'短评内容': '在高架的旁边 到西湖坐车一站路 我们的房间是靠近后面居民区的 所以很安静 没有异味很整洁 就是感觉 有点旧旧的 但是蛮有特色的 特别是卫生间的青花瓷洗脸盆 性价比还是满高的 液晶电视很大 空调也满制冷的 就是空调要好好清洁 一看就满脏的', '短评打分': 5}
{'短评内容': '性价比不错，地理位置优越，价格有下调的空间，以便更经济提高性价比', '短评打分': 5}
{'短评内容': '地理位置不错，离河坊街解放路比较近。卫生间小了点，不能刷卡，总的来说还是有性价比的', '短评打分': 5}
{'短评内容': '爱加我非常喜欢！位置佳！大堂有桌球打，步行10分钟就可以到西湖，前台服务小姐服务态度没得说，我两次外出都遇下雨，她们都帮我把晾晒在窗外的衣服收回来！3Q!欠缺就是被子太薄，空调开到26度还冷，问前台没有被子加！下次去杭州还选择爱加！\r\n', '短评打分': 5}
{'短评内容': '还不错,虽然房间小点,但设施比较齐全.', '短评打分': 5}
{'短评内容': '酒店的隔音效果很不错，休息还是很舒适的。', '短评打分': 5}
{'短评内容': '房间很舒适，出门就有公交车到西湖。', '短评打分': 5}
{'短评内容': '干净舒适方便快捷。氛围也很好。', '短评打分': 5}
{'短评内容': '酒店位置不错，离火车站较近，一楼大堂还有个桌球室，出行较方便，不过房间是蛮小的，隔音也一般\r\n\r\n另外，酒店附近吃饭的地方比较少，除了隔壁有点不太好吃的中不中，西不西的餐厅，炒菜的馆子基本没有', '短评打分': 5}
{'短评内容': '位置还是很不错的，出行交通方便。', '短评打分': 5}
{'短评内容': '配置硬件设施比较全，但是条件需要完善一下。', '短评打分': 5}
