{'短评内容': '相当满意！', '短评打分': 5}
{'短评内容': '性价比、位置不错。就看着早餐，我哭了：天哪，住这的都是兔子吗', '短评打分': 5}
{'短评内容': '房间比较小，里面干燥，可能是暖气给的有点早，不适合现在居住。', '短评打分': 5}
{'短评内容': '不太干净， 不值得。酒店服务还行。地理位置不错。不太干净， 不值得。酒店服务还行。地理位置不错。不太干净， 不值得。酒店服务还行。地理位置不错。不太干净， 不值得。酒店服务还行。地理位置不错。不太干净， 不值得。酒店服务还行。地理位置不错。', '短评打分': 1}
{'短评内容': '刚到了 还可以吧。 ', '短评打分': 3}
{'短评内容': '离火车站很近，三分钟就到，很方便环境也很好', '短评打分': 5}
{'短评内容': '酒店的位置非常好找就在丹东火车站旁，有免费的停车场。房间比较干净。美中不足2楼餐厅的饭菜奇贵，还不好吃。但是早餐品种还比较多。总体性价比不错。', '短评打分': 5}
{'短评内容': '酒店位于大连市博爱街,不大好找,大床房大床位1800*2000', '短评打分': 5}
{'短评内容': '就在火车站，交通极为便利，房间可以看到鸭绿江大桥', '短评打分': 5}
{'短评内容': '酒店位置挺好，服务还算满意，市景房可以看到半\n个丹东市，风景很好，下次还会住。', '短评打分': 5}
{'短评内容': '整体来说还是很不错的，就是隔音效果不是很好，房间倒是很干净！~在火车站旁边，离鸭绿江大桥走路大概10分钟左右，要是自己开车就很快！~', '短评打分': 5}
{'短评内容': '出差住一住还不错，就是去得太晚了, 下次早点去住, 好好玩玩', '短评打分': 5}
{'短评内容': '出行很方便，能看到朝鲜新义州市，房间小了点', '短评打分': 5}
{'短评内容': '房间还不错，就是有点小，卫生程度一般，二楼的自助早餐10多个品种，口味还好，离火车站很近很近，就在楼下隔壁，买票候车都很方便，门口有毛主席雕像一座。前台服务一般，不能刷卡结账，退房时间快。', '短评打分': 5}
{'短评内容': '国庆节去的，价格有点小贵，不过还算值。房间景色不错，能看到鸭绿江和断桥，楼下就是火车站广场', '短评打分': 5}
{'短评内容': '挺好的\n很满意，去哪都方便呢', '短评打分': 3}
{'短评内容': '环境挺好的，如果有个冰箱更好了。', '短评打分': 3}
{'短评内容': '总体上来说还可以', '短评打分': 3}
{'短评内容': '还好，窗外声音有点大，谢谢！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '总体上不错，就是有点冷，卫生纸硬。', '短评打分': 3}
{'短评内容': '新近装修的，比较干净，价格还可以，还算满意吧', '短评打分': 5}
{'短评内容': '   服务  环境非常好…', '短评打分': 3}
{'短评内容': '酒店位置不错，整体卫生、服务都很好，推荐入住此酒店。', '短评打分': 5}
{'短评内容': '不错。贵了点', '短评打分': 5}
{'短评内容': '有免费双早，种类一般但能吃饱。\r\n我们住的房间淋浴地漏下水很慢有问题，估计是以前积累下的头发堵塞了却没及时清理。所以我洗澡没多久就水漫金山的势头不敢继续洗了，怕水漫到房间里。\r\n座便器也发生堵塞，不知道是否是偶然情况。\r\n前台服务很不错，早上九点多到店就给办理入住手续了，很友好。离店的时候着急赶火车前台也努力加快速度让我们顺利离店了。', '短评打分': 5}
{'短评内容': '卫生可以，比较陈旧，交通还不错，卫生间积水，早上都不干，不会再住', '短评打分': 1}
{'短评内容': '整体很好 就是房间有点潮 墙面上都有霉点了 我们住的房间外面有块大屏幕 有一点点吵~', '短评打分': 5}
{'短评内容': '地理位置不错 可是不会再来了\r\n首先前台人员服务态度很怠慢  让旅客误以为他们才是上帝 问什么都爱理不理的 还得小心翼翼\r\n另外，这里距离火车太近，所以晚上睡觉都很吵 休息不好', '短评打分': 3}
{'短评内容': '地理位置很好，就在火车站旁边。可是不会想要再去了，首先是前台人员的服务态度特别生硬，好像旅客都是欠债的。不单单是对待我，看到他们接待别的旅客也是这样。然后就是由于离火车太近，所以很吵，休息的不好，建议浅眠的人不要选择\r\n', '短评打分': 3}
{'短评内容': '三星级酒店物有所值，不是旅游旺季价格是绝对首选。', '短评打分': 5}
{'短评内容': '总的说对得起这个价格，交通、购物都方便。\r\n各个方面也没有什么出格不好的地方。\r\n还是可以推荐。', '短评打分': 5}
{'短评内容': '位置非常好，就在火车站，去哪都方便，卫生也不错。', '短评打分': 5}
{'短评内容': '酒店环境还行卫生还可以，服务态度价格一般，位置倒是挺好找离火车站也很近出行比较方便。', '短评打分': 5}
{'短评内容': '虽然地处火车站位置优越，但是由于火车造成的轰隆声也不小，让人睡的不是很好，建议九点加强窗子的隔音；另外，前台的服务态度很一般，没有微笑就不提了，连回答态度都冷冰冰的，爱理不理，实在让人不敢恭维。其他条件还不错，建议酒店加强。', '短评打分': 1}
{'短评内容': '地点还可以，服务一般，价格也行，但是预定的是江景房，为什么入住的不是江景房呢，但是收江景房的价钱呢', '短评打分': 5}
{'短评内容': '交通方便，可以看鸭绿江。', '短评打分': 5}
{'短评内容': '感觉不错，价位很合适，位置也很好。', '短评打分': 5}
{'短评内容': '设施都不错，因为也是新酒店所以房间都是很不错，服务态度也行，价格也很便宜。酒店的位置也很好找但是离火车站很近的话停车就不是很好停，不过都还好，其他方面都是挺不错的。', '短评打分': 5}
{'短评内容': '设施都不错，因为也是新酒店所以房间都是很不错，服务态度也行，价格也很便宜。酒店的位置也很好找但是离火车站很近的话停车就不是很好停，不过都还好，其他方面都是挺不错的。', '短评打分': 5}
{'短评内容': '比较爱哦老旧的配置设施，布局也很古板，但是房间很干净，位置距离火车站很近。', '短评打分': 5}
{'短评内容': '在国展旁边，但是位置不太方便出行.硬件设施和卫生条件一般.不过整体水平还可以.', '短评打分': 5}
{'短评内容': '就在火车站和汽车站旁边。出行很方便。附近有个大型商场，吃饭还挺方便。酒店设施一般，团队比较多。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '客房对得起那个价位！不过送的早餐太难吃了！', '短评打分': 5}
{'短评内容': '住宿比较好，但早餐非常一般化', '短评打分': 5}
{'短评内容': '位置非常好，就在丹东火车站旁边，非常适合出差的朋友。我是一家人住了个家庭房，也许是由于定位在“快捷酒店”，设施不是很多，比如没有写字台，房间很大，但也显得空。\r\n总体来说，这个价格这样的服务我还是满意的。', '短评打分': 5}
