{'短评内容': '这次不错，没有出什么问题，挺好的。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间不是很干净，只能说是一般般。房间温度不高，有带小朋友的一定慎重选择。温泉还是很给力的，洗澡也不错。带好吃食过去，周边荒凉', '短评打分': 4}
{'短评内容': '环境不错，就是晚上没暖气，靠空调很冷', '短评打分': 4}
{'短评内容': '硬件设施很不错，值得这个价格', '短评打分': 3}
{'短评内容': '酒店的硬件不错，服务很好。不足的是酒店周边没有吃饭的地儿，赶上酒店接会，餐厅不能零点，只能跟着会议团队吃自助，自助餐的品种非常少，味道很一般', '短评打分': 3}
{'短评内容': '，前台速度快，干净，卫生，下次还住', '短评打分': 3}
{'短评内容': '不错，室内能泡温泉', '短评打分': 3}
{'短评内容': '房间硬件不错，位置偏，餐厅一般', '短评打分': 3}
{'短评内容': '停车还算方便，房间还是蛮大的，只是温泉池子稍小了些。房内设施用起来也挺方便，电视比较大，宽带也有。床也蛮宽。', '短评打分': 5}
{'短评内容': '屋里有温泉，水量也可以，不会看是不是真的温泉，位置较偏僻，不开车的话难打车。', '短评打分': 5}
{'短评内容': '酒店不错，房间内可以泡温泉，经常来这里', '短评打分': 3}
{'短评内容': '房间不错，服务还可以。', '短评打分': 3}
{'短评内容': '硬件可以，软件相差甚远。前台聊天，不知为什么入住后3次被服务员以不同理由被打扰。很是不解。', '短评打分': 1}
{'短评内容': '泡泡溫泉不錯，整體硬體設施可以，離北京、機場也不太遠，還行，算是不錯的。', '短评打分': 5}
{'短评内容': '酒店还可以，就是吃饭时到榆河人家时，就餐的人较多，没有桌让到餐厅外面等，其外面是游艺机活动场所，没有供给等位的休息椅子，我们带着9个月的小孩，站着等，有些累......希望店家考虑。', '短评打分': 5}
{'短评内容': ' 硬件不错，细节和服务有待改进。', '短评打分': 3}
{'短评内容': '温泉入户，房间很大。价格偏高了一点，总体还可以', '短评打分': 5}
{'短评内容': '酒店很新，硬件条件不错，室内有私汤免费的，很开心的体验！', '短评打分': 3}
{'短评内容': '由于元旦人多，中午12点30到的酒店，办理入住，1点进去，房间仍旧没有打扫。叫了前台才又给打扫。\n房间设施不错，每间房都有独立温泉池，我们先放了一池水，放了84消毒。但是第二天水放了半池子就不进水了，不知是不是也有用水上线。\n总体还可以。\n吃的比较一般吧，85的晚餐自助，48的早餐自助，只能说一般。', '短评打分': 5}
{'短评内容': '我喜欢这家酒店，支持！我喜欢这家酒店，支持！我喜欢这家酒店，支持！我喜欢这家酒店，支持！我喜欢这家酒店，支持！我喜欢这家酒店，支持！我喜欢这家酒店，支持！我喜欢这家酒店，支持！我喜欢这家酒店，支持！', '短评打分': 5}
{'短评内容': '环境和房间都不错，就是一到旺季价格贵了些啊', '短评打分': 5}
{'短评内容': '很好的酒店，设施新，环境好,值得再来。就是价格贵些。', '短评打分': 5}
{'短评内容': '酒店装修很豪华，设施也很高档，非常喜欢。而且的确是温泉水，性价比比较高。唯一不足就是周边没有其他什么玩的', '短评打分': 5}
{'短评内容': '非常舒服，很超值', '短评打分': 3}
{'短评内容': '条件不错\n很安静\n环境也很优美\n下次还会再去', '短评打分': 5}
{'短评内容': '周华海已入住1526', '短评打分': 3}
{'短评内容': '第一次入住感觉不错，房间干净宽敞，就是餐厅关门早，晚9点就不能点菜了，有点不方便，下次自己带点吃的吧。另外房间的泡池有点异味哦！', '短评打分': 5}
{'短评内容': '周围太偏，里面挺好。会议多，建议别周五去。SPA的女领班说话带刺男的也是这样，一看就没好好培训。', '短评打分': 3}
{'短评内容': '安静整体环境不错', '短评打分': 3}
{'短评内容': '一如既往的舒服，泡泡温泉睡睡觉最合适了。\n\n', '短评打分': 5}
{'短评内容': '环境优雅 房间干净整洁  床比较舒服 结账速度还可以', '短评打分': 5}
{'短评内容': '总体来说很不错 硬件设施以及环境都挺好的 就是饮食差了点', '短评打分': 5}
{'短评内容': '环境很好，被褥有点潮喂。', '短评打分': 3}
{'短评内容': '非常不错的一家酒店，适合情侣/家庭及小型会议', '短评打分': 5}
{'短评内容': '环境安静优美，紧邻温榆河畔，房间的阳台上有个泡澡水池，只是不知道是不是真的是温泉。。。', '短评打分': 5}
{'短评内容': '很干净，很舒适，性价比超好！\n除了超市关门时间比较早。。。。夜里饿了买不到吃的', '短评打分': 5}
{'短评内容': 'The hotel is in the middle of nowhere. It takes a while to even get a taxi from the hotel. Some of the recreational facilities claim to have no link with the hotel, and they do not accept charge to yo', '短评打分': 1}
{'短评内容': '酒店条件非常好、服务也非常不错，而且房间内还有温泉，是一大特色；房间很大，有独立的办公区、卫生间、淋浴房和温泉，美中不足的是使用自己的电脑上网的话不能在书房，而是只能席地而坐，而且酒店地理位置比较偏，出门后出租车都很难找到。', '短评打分': 5}
{'短评内容': '饭菜质量有待改进', '短评打分': 3}
{'短评内容': '清静，干净，舒适，房间有电脑很方便。服务态度挺好，只是餐费高了些。', '短评打分': 5}
{'短评内容': '总的看还不错的。硬件软件均可以。特别是每房有个小温泉，很舒服。', '短评打分': 5}
{'短评内容': '感觉不错。环境确实幽静适宜。客房配置齐全舒适，服务态度也不错。餐费偏高。', '短评打分': 5}
{'短评内容': '酒店很干净，房间很大，我们去时可能是淡季，整个酒店很安静，适合喜欢安静的人，就是娱乐设施小贵', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店入住处的服务员很好，给了一个五层的行政房。房间很大，风景很好，很满意。', '短评打分': 3}
{'短评内容': '酒店环境很不错，开始以为就在九华山庄里，到那才知道离九华山庄还有一定距离，酒店是欧式风格，有个很漂亮的室外游泳池，可惜这次没开。房间挺大的，我定的是标间，床挺大，很舒服，超喜欢电视可以上网，而且是免费的。酒店里的餐厅是淮扬菜，味道不错，很精致，还好酒店赠送了200元的代金券，吃着还是蛮值的，我们4个大人带一个孩子，正好吃了230多，就是还要交10%的服务费，不太合理。室内泳池还不错，有泡温泉的池子', '短评打分': 5}
{'短评内容': '总体来说感觉不错！很安静！！\n房间的宽带差一些，很不稳定！经常断', '短评打分': 5}
{'短评内容': '环境好，非假日去很安静，室内有温泉舒服，很享受，餐厅吃饭太贵，去住一定要有车，否则交通很不便。房费便宜些更好啦！', '短评打分': 5}
{'短评内容': '真的很不错 就是有点贵 真的很不错 就是有点贵 \n', '短评打分': 5}
{'短评内容': '室内有温泉.非常舒适.感觉很好.建议增加室外温泉', '短评打分': 3}
{'短评内容': '环境还不错，距离九华温泉不到10分钟车程。但住的比那边好。就是卫生间和浴室小了一点。', '短评打分': 5}
{'短评内容': '不错，到了就有房间。住的很舒服，房间很大硬件也不错。', '短评打分': 5}
{'短评内容': '真的很不错 就是有点贵 真的很不错 就是有点贵', '短评打分': 5}
{'短评内容': '环境不错，室内有个号称温泉的大浴池，就是比较贵', '短评打分': 3}
