{'短评内容': '酒店很棒', '短评打分': 5}
{'短评内容': '早餐特别好，门厅很气派。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': ' 好', '短评打分': 3}
{'短评内容': '唯一的优势是位置好，交通的确方便。性价比不高，如果不是要面子，品牌商务酒店只会好些。不过，哈尔滨的酒店业，整体相当糟糕。', '短评打分': 1}
{'短评内容': '位置不错，离民航大巴、果戈理大街、火车站等都还方便，餐饮过得去，不过电梯慢了点，游泳池没有就不要误导人了，大堂吧太简陋了吧，不过老师傅服务却热情，呵呵', '短评打分': 5}
{'短评内容': '宾馆套房还是挺好的，舒适洁净，交通便利，沃尔玛超市近在咫尺。美中不足的是睡眠不好，万万不可要临街的房间，车水马龙喧嚣不已！', '短评打分': 5}
{'短评内容': '交通比较方便，旁边就是超市和KFC,以及晚上的演艺大厅。前台服务参差不齐，有的业务很熟悉，有的可能刚开始上班，入住花费了很长时间。', '短评打分': 5}
{'短评内容': '服务好.环境好。', '短评打分': 3}
{'短评内容': '酒店交通便利，干净舒适，美中不足卫生间小，沐浴水漫金山，但性价比较高，早餐也可以，但是不要在该宾馆点餐，食物难以恭维，质次价高，宾馆附近用餐的地方较多！', '短评打分': 5}
{'短评内容': '酒店比较旧。。。房间一般。。。。。。。早餐一般。。。。。。。。', '短评打分': 1}
{'短评内容': '价格有些偏高，与其服务水平不太相称。不改善服务质量就是个单纯的挂星没用，住的人都不傻啊', '短评打分': 1}
{'短评内容': '位置好。靠近省政府。无论是房间设施还是服务，都很一般。根本不像四星级。', '短评打分': 1}
{'短评内容': '酒店位置不错，本来说出行应该挺方便的，但是哈尔滨的出租车是在是难叫，酒店要是能提前预定车子的话就好了。', '短评打分': 5}
{'短评内容': '房间比较干净但不够温馨', '短评打分': 3}
{'短评内容': '很高档，服务也不错，住了半天，就是贵了些。。。', '短评打分': 5}
{'短评内容': '方便，吃饭的地就在旁边还不错的。干净的蛮好的', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '酒店大堂敞亮但没有温馨感觉，房间隔音不是很好。位置还是不错的，距离二人转剧场很近。', '短评打分': 5}
{'短评内容': '还不错的酒店，周围吃饭很方便，推荐入住！！！', '短评打分': 5}
{'短评内容': ' 酒店环境不错，服务也很好，房间阳光充足', '短评打分': 3}
{'短评内容': '很好的酒店，门口修了过街桥，出行打车方便很多。', '短评打分': 5}
{'短评内容': '酒店地处中山路，交通便利。酒店早餐比较丰富，上网速度也慢。但房间硬件不够4星等级。', '短评打分': 5}
{'短评内容': '服务真的很一般，有点乱，前台结账的时候还算错钱，搞了好长时间才弄清楚，总之check out的时候要看一下消费明细，地点还不错，旁边有个沃尔玛，很方便。', '短评打分': 5}
{'短评内容': '卫生设施挺好，位置还是挺方便，价格感觉还是比较合适。', '短评打分': 5}
{'短评内容': '距离机场有点远.不是很方便,其它室内的环境还不错,综合性价比还是不错的.', '短评打分': 5}
{'短评内容': '根据本不象四星级酒店，估计是2星。。。门口连个迎宾都没有。客房内装修成旧，感觉不好。', '短评打分': 1}
{'短评内容': '房间面积不大，当时酒店周边在修路交通不方便，酒店内部都还可以。', '短评打分': 1}
{'短评内容': '卫生间不干净，装修简单了点.感觉4星不达标.当时去入住时正好酒店前面正在修路，出行也有点不方便.', '短评打分': 1}
{'短评内容': '硬件设施很好。中山路搞道路拓宽离店打车不方便。', '短评打分': 3}
{'短评内容': '前台服务态度很好，但其他服务人员遇见客人并不打招呼，无视路过，服务水准还需进一步提高。卫生很好，位置也不错，设施也很棒，值得入住。', '短评打分': 5}
{'短评内容': '这个酒店我充分的体验出东北人的豪爽，服务态度的话一般，有着东北人的个性，基本上不会像其他的4星级酒店那么客套，一切都是在礼节上的冷冷冰冰。打扫房间的大姐很有意思，早上8点半就敲门要打扫房间，有意思的是我还躺在床上的时候大姐就敲门用房卡进屋送水果，放在桌子上热情的说送你一份水果吗，汗颜，我还没起呢！！哭笑不得。\r\n房间的隔音很差我指的是房门基本不隔音，外面的声音都能听见！！\r\n酒店门前正在修地铁，很', '短评打分': 5}
{'短评内容': '酒店位置很好,也很好找.酒店旁边就有不少吃饭的地方,还有沃尔玛超市.服务总体感觉一般.', '短评打分': 5}
{'短评内容': 'test', '短评打分': 5}
