{'descr': '还行', 'star': 5}
{'descr': '房间很多，离地铁很近，不过房间内的地毯感觉很脏', 'star': 1}
{'descr': '酒店环境不错，位置对出行也很方便，下次还会选择的。', 'star': 5}
{'descr': '环境不错，地理位置好，离地铁战近，房间很干净', 'star': 5}
{'descr': '酒店性价比还是蛮高的,就在5号线北桥站对面,房间也很新很干净,卫生间设施也不错.就是酒店5点餐厅就不营业了,不过还好出门就有吃饭的地方', 'star': 5}
{'descr': '都立冬了还有蚊子', 'star': 3}
{'descr': '地理位置较好，去周边的学校很方便，就在地铁站附近', 'star': 5}
{'descr': '这酒店总体还不错，就是晚上有点吵，隔音不行', 'star': 5}
{'descr': '挺干净的，交通也算方便', 'star': 3}
{'descr': '靠近沪闵路的房间有点吵，晚上不是很安静。可能是因为在汽配城内的缘故吧。', 'star': 5}
{'descr': '房间比较新，就是空调声音很大，一晚上跟刮大风一样，枕头床单也不是很干净，有点脏，望改进', 'star': 3}
{'descr': '离地铁站不远，房间比较也非常干净，还是非常不错的', 'star': 5}
{'descr': '环境不错的哦 。 很好很好的好。。。。。。。。。。。。。好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵呵呵、\n好好好呵', 'star': 5}
{'descr': '真的挺好，听干净的，离地铁站也挺近的，但是感觉门有点不隔音················前台的服务也不错  这个价钱应该算是不错的了', 'star': 5}
{'descr': '价格便宜，除此以外也没什么优点了~~~~~', 'star': 5}
{'descr': '酒店太差，不及汉庭和如家，411房间的淋浴龙头坏的，没水。晚上找服务员，没有。拿起电话都不知道打什么号码给总台，房间内没有一本住店指南。总之，这酒店不行，把速8的品牌给砸了，千万不要入住，否则后悔莫及。', 'star': 1}
{'descr': '酒店床很大，房间也不错，但是房间外墙渗水，室内的墙面都出黑斑了。酒店前台服务不错。给人很亲切的感觉，下次还会来住。', 'star': 5}
{'descr': '卫生不错，比较干净，但是餐厅供应的时间太短了。你地铁比较近。我去的时候那附近在修路，不大好找。', 'star': 5}
{'descr': '1,房间条件客观来说还算不错，符合速8的一贯风格；\n2，服务质量是我住过的10余家速8里面最差的，我24日晚入住该店，一个男服务员值班，房间电脑需要调整设置，我打电话给他，说我看不明白调整说明，他回答：那有什么办法，我也看不懂呀。我问，“你就是这样的服务态度吗？”，他回答是。后来我打电话给ELONG投诉，才找人帮我解决。\n3，南京的水质不好，我想在前台吧台买些饮料，他回答没钥匙，一副爱理不理的样。', 'star': 1}
{'descr': '和恨多速8的连锁店一样，房间干净比较宽敞，价位合理，下次还会来.', 'star': 5}
{'descr': '卫生条件还行，就是地方有点偏，不容易找。', 'star': 5}
{'descr': '该速8酒店管理水平不高，服务较差。', 'star': 3}
{'descr': '房间的环境还好基本还是比较符合其他速8的装修风格，位置也是蛮好的，服务态度和价格都还不错。', 'star': 5}
{'descr': '房间装修卫生还行，就是位置当时去的话不是太好找，服务态度还可以。价格还是能接受的。', 'star': 5}
{'descr': ' 酒店的房间不错，比较新，不过服务人员有点少，个别房间空调不太好使!', 'star': 3}
{'descr': '环境还不错，卫生做得很好，主要是性价比高，交通便利.舒适就好.', 'star': 5}
{'descr': '晚上 太吵了 条件还可以 以后大家不要最边上 比如 221 321 421 等位置 晚上很吵 服务员服务态度很差', 'star': 1}
{'descr': '位置不错，房间也很大，很干净，值得住~~~~~~~', 'star': 5}
{'descr': '酒店入住很舒服，干净整洁，而且酒店离地铁站很近，出行也很方便.', 'star': 5}
{'descr': '还不错，靠近地铁竹山站 吃饭的位置一般。对面那条街有吃的也还行', 'star': 5}
{'descr': '第二次住了，比较干净出门方便周围相对安静', 'star': 5}
{'descr': '+佷好', 'star': 5}
{'descr': '吃的不方便，楼下那个酒店食堂太按点来了！不过街对面有很多餐馆，不大，不过炒两个菜还可以！离地铁站大概有500米感觉！服务态度还不错！', 'star': 5}
{'descr': '服务太差劲 我想预约俩天 知道么 220的房要交800押金 房子里 什么都没 用房间电话打市话 都收钱 ', 'star': 1}
{'descr': '住房较宽敞，内部饰物稍空洞，大堂不够档次，餐厅环境觉得冷', 'star': 5}
{'descr': '坐地铁还是很方便的 住的很舒服 只是卫生间的下水道好像有问题', 'star': 5}
{'descr': '+非常不错的酒店，房间很大很干净，下次去江宁还住。', 'star': 5}
