{'短评内容': '好好好，喜欢', '短评打分': 5}
{'短评内容': '酒店地理位置不错很方便，酒店也很干净很舒服，下次还会选择这家', '短评打分': 5}
{'短评内容': '性价比确实不错 我真佩服我自己找到了这一家  满足了我价格便宜 离海边又近 公交也方便的要求  而且也干净 就是第一次去的时候颇费了一番功夫去找 在一个巷子里 偏僻的好处就是安静、不吵！到海边几分钟  我们住了5晚 不过床单啊毛巾神马的没有天天换 貌似只换过一次！倒是沐浴露啊洗发水之类的备的很足  只是我们订的房间是没有阳台的 衣服晾在卫生间里有一次都臭了。。。。总体来说是不错的  ', '短评打分': 5}
{'短评内容': '性价比很高的一家宾馆，卫生挺干净，基本设施比较完善。最主要的是交通方便，到大东海海边也很近。下次来还住这家。。', '短评打分': 5}
{'短评内容': '入住3晚高级大床房，总得来说可以用麻雀虽小五脏俱全来形容，房间很干净，因为是3楼，所以窗外基本没什么景色可言，但是对于整天泡在海边的我们来说可以忽略，卫生间除了其他的设施还配了吹风筒，很贴心，卫生打扫的也很干净，只是提供的卫生纸实在少的可怜，瘪瘪的一卷根本不够两人使用，不过可以让前台告诉打扫阿姨多准备一卷的，还是不错的，另外可能是在海边潮湿的原因，房间写字台上面会有很多小蚂蚁，对于有小虫虫恐惧症的', '短评打分': 5}
{'短评内容': '原来这天我已从此宾馆退房，准备坐动车去博鳌，但不幸动车故障，我的班次取消，只能推迟一天，因此需在三亚多待一晚上，选择仍回此宾馆，因为感觉不错，不想、也不需再另外找宾馆了。到火车站也可直接坐4路公交车，虽然比较绕，站次多一些，但不用转车了。', '短评打分': 5}
{'短评内容': '性价比很高的酒店,可以说我们选择住在这里是很明智的选择.一起住了四晚,两晚高级大床房,两晚豪华大床房,唯一的区别就是豪华大床房楼层稍高一点,勉强可以看到海景.\n房间布局合理,基本设施都比较完善.最最重要的是交通方便,而且离大东海海边也很近.下次去三亚还会住这里的....\n', '短评打分': 5}
{'短评内容': '性价比很高的宾馆，离海边很近，周边吃饭交通也很方便，', '短评打分': 5}
{'短评内容': '前一天因续房晚了，高级大床房订完了，所以只能住了一晚豪华双人房，今儿又有高级大床房了，仍住回来，该款房比较适合。', '短评打分': 5}
{'短评内容': '本来这一天想继续住高级大床房，但是提出续房晚了一点，这一天订完了，不想换宾馆或酒店，只能仍在此宾馆改住一天豪华双人房。无论大床房、双人房，里面的洗漱用具等都是一样双份，主要区别是豪华双人房有阳台、有小冰箱，顾名思义，有两张单人床，其他与高级大床房基本都一样，当然，价格多￥30。我住的这间房在6楼，阳台朝向蓝海巷，有下水道的气味传上来，加上一天基本在外面，所以阳台基本没有怎么待。豪华双人房对我一人来', '短评打分': 5}
{'短评内容': '五一假期过了，金万豪宾馆的房价又恢复至平时的，高级大床房￥168，由于还没到离开三亚的时候，所以又续订了三天。住此宾馆较突出的一点是交通方便，坐公交车方便，从宾馆出来，走出蓝海巷，向右走一段海韵路，就到了一条大马路上的“夏日百货”公交站，一般5分钟可以了，这里可坐的公交车有好多路，到闹市区如步行街、汽车总站，也有到各景点如大小洞天、南山、天涯海角、亚龙湾、奇幻艺术馆，我经常坐2路车到步行街去吃饭，', '短评打分': 5}
{'短评内容': '性价比很高的酒店，房间很干净，该有的都有，大堂的服务也很好。交通非常方便，出门大概50米就能到夏日百货，不远处就是大东海广场，有免费的沙滩和泳区，总之很满意', '短评打分': 3}
{'短评内容': '五一假期最后两天也待在这家宾馆了，假期总得有地方待着，这家房价还可以，就继续住着了。', '短评打分': 5}
{'短评内容': '已住宿2天，现又续住2天，之所以续住，就是因为该酒店基本满足我的住宿需求。宾馆里的餐厅是不营业的，用餐什么的需要出去的。', '短评打分': 5}
{'短评内容': '我是前几天入住金万豪宾馆豪华海景房一晚，房价￥238，约30平米，是大床房，除了常规的家具，还有一个长沙发，一个圆桌两把椅子，这两样是只有这种房型才有的，高级大床房（约20平米）就没有了。就对酒店本身来说，影响不错。它离大东海只有5分钟的路程，去看海或下海很方便。据其介绍，它是2011才开业的，所以设施都比较新。我对房间内的布置、装修都满意，包括独立卫生间。它名称为“宾馆”，所以，设施基本按传统宾', '短评打分': 5}
{'短评内容': '酒店给免费升级到4楼房间。设施都比较新，离海边也很近，走几分钟就到了。冲完凉从卫生间出来地上有较多水，因为没有配毛巾，差点摔了一跤。卫生搞得不是很好，入住时浴室的地上还有头发，第二天有服务员整理房间，但浴室的头发仍然没有清理。卫生间还时不时有臭味传出。', '短评打分': 5}
