{'短评内容': '酒店条件不错。', '短评打分': 3}
{'短评内容': '性价比高，服务好', '短评打分': 3}
{'短评内容': '這酒店有新裝修，房間較新。而且近黃河及太沙路，方便。', '短评打分': 5}
{'短评内容': '很好，很干净！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '酒店位置在中心区，交通吃饭都很方便，房间很大很舒适。 ', '短评打分': 5}
{'短评内容': '前台女接待员服务态度太差~~应该加强训练', '短评打分': 5}
{'短评内容': '西餐厅的服务太烂，，，，，，，，，，，，，，，，，', '短评打分': 1}
{'短评内容': '位置好，但房间设施较陈旧，但服务较好。还会入住。', '短评打分': 5}
{'短评内容': '环境良好，但房间设施一般。早餐一般，服务较好。\n', '短评打分': 5}
{'短评内容': '西餐廳的餐點並不多, 中餐的自助餐跟早餐一樣很慘~! 房間還不錯. 星巴克就在旁邊的豪門酒店. 前台的服務人員也蠻有禮貌的, 我要延遲退房也可以~! 基本上不錯,就是餐廳不怎麼樣~!', '短评打分': 5}
{'短评内容': '最差的华美达，，，，，，，，，，，，，，', '短评打分': 1}
{'短评内容': '一如既往的差，，，快换个名字吧，，别玷污了华美达，，，西餐厅的小姐家里出事了吗？整天板个脸', '短评打分': 3}
{'短评内容': '中国华美达里最烂的,,西餐厅的服务员一点服务的意识都没有,,不想干就别干了啊,,,', '短评打分': 3}
{'短评内容': '西餐厅早餐的服务员板个脸，，家里出事了，，什么态度，，，', '短评打分': 1}
{'短评内容': '前台不要為有個菲律賓就可以充充門面了，，要從心去服務客人而不是虛的，，真的要改進了，，客人會越來越少，，設施舊，，空調可以說沒有，，，華美達，，你不要難過，，，，', '短评打分': 3}
{'短评内容': '为什么，，设施怎么旧，，，中央空调太太太太太差了，，简直就是桑拿', '短评打分': 3}
{'短评内容': '空调太差,实在太差，没法住', '短评打分': 1}
{'短评内容': '夏天就是地狱，，太热啦，，，，，，，，', '短评打分': 3}
{'短评内容': '服务是每况愈下，，空调基本没有效果，，夏天没法住。', '短评打分': 3}
{'短评内容': '只能说越来越差了，，愧对华美达的名声，房间的中央空调一塌糊涂，房间一股霉味，前台没有最烂只有更烂，越来越差，特别是几个男接待。', '短评打分': 1}
{'短评内容': '设施旧，房间有异味', '短评打分': 1}
{'短评内容': '空調不成, 服务尚可.', '短评打分': 1}
{'短评内容': '非常干净，服务也到位，每次出差必住的酒店', '短评打分': 5}
{'短评内容': '洗澡水还是老问题，，忽冷忽热', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常不错的一家酒店，感觉很干净，很舒适。', '短评打分': 5}
{'短评内容': '房音稍为面积细了一些，其它还好！', '短评打分': 5}
{'短评内容': '出差住过这里几次，以前感觉不错，现在感觉很旧，房间也暗也小，设施一般。', '短评打分': 3}
{'短评内容': '原来也住过，地理位置方便，这次住的房间设施比较陈旧，环境比较暗，没以前亮', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '出差到虎门都是入住这家酒店，这家酒店整体来说还是不错的，交通比较方便，价位也还算合理', '短评打分': 5}
{'短评内容': '多次入住，交通比较方便，总体感觉还可以．', '短评打分': 5}
{'短评内容': '我只要是出差到东莞都是入住这家酒店，这家酒店整体来说还是不错的，交通比较方便，价位也还算合理，值得推荐', '短评打分': 3}
{'短评内容': '同客人一起入住，与之前入住的广州杭州华美达相比，客人感觉这间的服务是差的。', '短评打分': 3}
{'短评内容': '酒店性价比还可以，但服务一般，卫生也一般，入住一天刚好早餐没有烟肉，东莞酒店很多，不推荐入住。', '短评打分': 3}
{'短评内容': '每次和前台吵一架，整天糊里糊涂的，受不了，，押金还忘给我，连个道歉也没有，愧对华美达的名啊，要加强管理了，早餐不错', '短评打分': 1}
{'短评内容': '酒店的位置、性价比、舒适度、服务态度较好，卫生方面感觉不太干净。预订酒店商务车去深圳，酒店做了多次确认，工作态度认真，但也打搅客人休息，让人有过尤不及之感。', '短评打分': 5}
{'短评内容': '酒店的地理位置还是非常不错的，价格有些偏高，环境配置硬件设施不是很好，卫生服务算是比较达标。整体来讲算是比较及格的酒店，不必要主动做推荐。', '短评打分': 1}
{'短评内容': '第一次到東莞出差.透過藝龍訂房.因照片並不是很清楚.所以原先期望不高.但因前台劉經理熱心親切的介紹新裝潢好的房間...結果真的非常滿意喜歡...有5顆星的質感!!(給劉經理加分...夠熱忱專業.讓我對海逸酒店印象超級好...)', '短评打分': 5}
{'短评内容': '房間不時有怪聲及隔音太差, 空調不涼, 很難入睡.', '短评打分': 1}
{'短评内容': '感觉酒店还可以，位置也不错，外出方便', '短评打分': 5}
{'短评内容': ' 适合商旅、适合度假', '短评打分': 5}
{'短评内容': '住过很多次了，这是我住过的4星酒店里面最好的一家了，酒店所有人员都笑容可掬，房间大，干净，隔音好，房价含早餐，而西餐厅的自助晚餐也很不错，才88元。二楼的中餐厅的食物也好得不得了。总之，值得推荐。', '短评打分': 3}
{'短评内容': '不错的酒店，虽然没有什么特别之处，但是无论是设施，环境，地理位置都令我满意！', '短评打分': 3}
