{'短评内容': '早餐厅的付红英服务另人满意', '短评打分': 4}
{'短评内容': '与2周前住过的太仓福朋酒店比较：\n3-4星的硬件，虽然大堂挂着5星的牌子，与福朋酒店差距明显。房间设施已经有些陈旧了，应该是维护不到位，或者入住的客人素质有限，损耗比较厉害。\n大堂布置凌乱，到处是吸烟的人，走道和房间的烟味也挺重的。幸好房间可以开窗通风。\n卫生间台盆的水比较小，而且水压调试或者水龙头有问题，放水的时候有啸叫声。\n\n好的地方：网速够快。房间面积够大。\n早餐比福朋的丰富。\n\n周边商业和', '短评打分': 1}
{'短评内容': '床很舒服，卡拉OK的音带卡卡的，不流畅，早餐一般般，', '短评打分': 5}
{'短评内容': '该酒店性价比一般，餐饮和员工微笑服务还真不错，可惜两件事上令人笑不出来。一是忽悠客人，客房里温度高不肯降低倒也罢了，为了节能增效么，客房中心却欺骗说是温差关系无法降低。实际上住的第一天和第三天清晨都降过，令人无法接受。另是信用卡结帐多收房费，也不向客人告知。试问，客人今后还该来吗。', '短评打分': 1}
{'短评内容': '每次出差来太仓我都入住这家酒店。酒店的设施，日本料理还有自助早餐还不错。服务质量也说得过去。', '短评打分': 5}
{'短评内容': '离5星标准差的远呢，服务真是一般，价格倒是5星的', '短评打分': 5}
{'短评内容': '位置不好，其他的都可以', '短评打分': 5}
{'短评内容': '酒店设施很新，服务也不错，处于太仓经济技术开发区，交通也比较便利。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '算是太仓市区很好的酒店了，19楼的景观中餐厅不错，房间面积适中，隔音做的也不错。下次还会入住。', '短评打分': 5}
{'短评内容': '酒店设备相对陈旧\r\n服务态度一般', '短评打分': 1}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '卫生很好，服务热情。', '短评打分': 5}
{'短评内容': '性价比一般', '短评打分': 5}
{'短评内容': '在太仓算是最好的酒店了', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '帮同事订的，同事觉得不错，可以回头住', '短评打分': 5}
{'短评内容': '早餐时餐厅的服务水平很一般!', '短评打分': 5}
{'短评内容': '性价比比较高，就是老了一点', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '性价比还是比较不错的,位置也很好找,就是早餐差了一些,房间还是挺不错的,还是比较好的一家酒店.', '短评打分': 3}
{'短评内容': '其他都好 就是有点贵', '短评打分': 5}
{'短评内容': '酒店干净，服务好。', '短评打分': 5}
{'短评内容': '不错的商旅酒店', '短评打分': 5}
{'短评内容': '房间设施不错挺新挺齐全的,卫生弄的也挺干净的,周边交通也蛮方便的,价格方面在当地来讲有些偏高了.', '短评打分': 5}
{'短评内容': '房间设施不错挺新挺齐全的,卫生弄的也挺干净的,周边交通也蛮方便的,价格方面在当地来讲有些偏高了.', '短评打分': 5}
{'短评内容': '酒店的环境卫生，服务都挺不错的，位置也还可以，就是在太仓来说，他的价格偏高。', '短评打分': 1}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '酒店的没有免费接机的服务，如果接机话费用很高，一趟要1000元，感觉不合理，比房费还高，其他方便还不错', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': 'breakfast so bad.', '短评打分': 3}
