{'短评内容': '不错的酒店地理位置也不错', '短评打分': 5}
{'短评内容': '麻雀虽小，五脏俱全，如家一如即往的好', '短评打分': 3}
{'短评内容': '酒店房间虽然不大，却还是比较干净的，只是空调很吵', '短评打分': 5}
{'短评内容': '这家店的位置不是在城站附近，要打的过去，不过也就起步价。在网上订的是单人房，有点失望，没有窗户，房间很小，后来换了一标间，不过价格就要300多了。总体人员的服务还算好。', '短评打分': 1}
{'短评内容': '前台态度不错，酒店也干净~~~去西湖打的大概20多元', '短评打分': 5}
{'短评内容': '酒店不错，性价比挺高的！', '短评打分': 3}
{'短评内容': '这家店最大问题是停车位问题。自家只有5个，酒店客人没有机会使用，只得停到边上别家的付费白天每小时5元，按10小时的就要50元，晚上复10元，这样住在酒店一天就要停车费60元。', '短评打分': 5}
{'短评内容': '＋不错，性价比挺高的。', '短评打分': 3}
{'短评内容': '靠近吴山广场那块，也是我想定的位置，就是沿马路，有点吵，选了靠近铁路的那间房子，晚上也会有火车轰轰而过，下次要定，怕吵的别选靠近铁路的房间咯，我只要睡着打雷也吵不醒。最后说下，房间都是比较小，但是性价比还是挺高的，下次可能还会选。顺便说下，有网口可以上网的。', '短评打分': 5}
{'短评内容': '地理位置离城站也有3站路，电视机还是老式的，不是很协调，基本上环境还是很温馨的，好评吧~~', '短评打分': 5}
{'短评内容': '离火车站很近，交通还算方便，很喜欢如家，唯一不足的就是房间很闷热，冷气不足！', '短评打分': 5}
{'短评内容': '舒适、卫生、客服很到位，非常适合情侣居住，价位也算合理', '短评打分': 5}
{'短评内容': '价格实惠，还不错的。就是房间稍微小了点。', '短评打分': 5}
{'短评内容': '隔音不好！', '短评打分': 3}
{'短评内容': '各个方面都还算不错，这个价位在周末也差不多的', '短评打分': 5}
{'短评内容': '杭州的宾馆都又贵又小，性价比还没上海的高', '短评打分': 1}
{'短评内容': '离火车站比较近，环境好，交通方便。是值得我们旅游居住的好地方，。', '短评打分': 5}
{'短评内容': '环境不错，就是隔音不好，房间有点小', '短评打分': 3}
{'短评内容': '这家店离火车站有点距离不近啊,要是晚上想去南宋步行街和清河坊逛逛的朋友到是可以考虑。环境有点差强人意,浴室的脚踏垫下边还有软体小虫子,不知道是不是吸血虫了,要是的话就太吓人了!', '短评打分': 3}
{'短评内容': '离火车站稍微有点小远，不过也是在可接受的范围内，附近胡雪岩故居处公交线路很多，出行方便，离河坊街也不远。\n房间无窗，有点小，干净整洁，住了一晚，很舒适。\nPS：前台推荐的吃早点的地方很好', '短评打分': 5}
{'短评内容': '每次都住这，干净，舒服，离城战和河坊街都很近！！！！', '短评打分': 5}
{'短评内容': '就是有点闷', '短评打分': 3}
{'短评内容': '房间还算干净，整洁，就是隔音效果有点弱，不过影响不大！', '短评打分': 5}
{'短评内容': '环境还不错，服务也可以，就是离路边太近有点吵。', '短评打分': 5}
{'短评内容': '酒店适合大床适合一人居住，干净，但是有临近高架桥的不好，密封有点差。小广告有点多。', '短评打分': 3}
{'短评内容': '挺干净的，就是没窗，还有隔音效果太差了，一个晚上下来旁边房间洗了七八次澡，这个真的有点受不了', '短评打分': 3}
{'短评内容': '房间一般，空间小，空气不流通，停车位少！', '短评打分': 1}
{'短评内容': '房间很干净，很有家的感觉，下次还来！', '短评打分': 3}
{'短评内容': '房间有点小，设施一般吧，对于急匆匆的人来说住一晚尚可对付', '短评打分': 1}
{'短评内容': '条件一般吧，但还算舒服，房间有点小，对于急匆匆的人来说住一晚尚可', '短评打分': 5}
{'短评内容': '如家一直是我外出的选择，刚入住时分到4楼一个房间，临街很吵。后来换的5层朝小区的房间，感觉好多了！很干净！就是临近铁路线会有一点吵，还好基本能接受！位置也很好，城站向南1站地左右吧，很好找！', '短评打分': 5}
{'短评内容': '性价比不高，空间相当小，尽管有窗，但仍感觉很沉闷', '短评打分': 1}
{'短评内容': '房间实在是太小了，屋顶很低，感觉很压抑，另外前台的服务也不及时，上午报了前台说热水有问题，答应给修，结果晚上回去根本没给修，还说修理人员吃饭去了，让再等等...，真的很无语...\n\n--------------------------------------------------------------------------------\n', '短评打分': 1}
{'短评内容': '房间实在是太小了，屋顶很低，感觉很压抑，另外前台的服务也不及时，上午报了前台说热水有问题，答应给修，结果晚上回去根本没给修，还说修理人员吃饭去了，让再等等...，真的很无语...', '短评打分': 1}
{'短评内容': '好像是新装修的，屋里很漂亮，大床很舒服！', '短评打分': 5}
{'短评内容': '离火车站很近，走大概15分钟。途中还有一个如家，刚开始的时候搞错了。', '短评打分': 5}
{'短评内容': '还可以的，干净舒服是一个好地方来这，就是房间小了点，空气不好', '短评打分': 5}
{'短评内容': '很喜欢如家室内的色彩，尤其是绿色的棉被，黄色的墙壁，让人感觉很舒服，美中不足的住的是小窗的房间，空间局促的很', '短评打分': 5}
{'短评内容': '房间卫生间什么的挺好的......就是没通室外的窗,预订是也没注明....住着有点小压抑', '短评打分': 5}
{'短评内容': '不太好,没有早餐,离火车站也偏远.以后不建议住这家如家.', '短评打分': 1}
{'短评内容': '其它都挺好的。就是卫生间地漏不太好。下水慢。', '短评打分': 5}
{'短评内容': '房间有点小，又靠近铁路。不过还是挺干净的。', '短评打分': 3}
{'短评内容': '地方很好 离城战很进是一家不错的酒店  不愧是连锁', '短评打分': 5}
{'短评内容': '房间实在太小了 偶且水炉声又响 让人晚上无法入睡 和其他地方的如家没发比 \n\n这家酒店好像没有图片上的大床房 大房间 ', '短评打分': 1}
{'短评内容': '房间干净 整洁，应该是2011年刚开业的。 办入住的时候我要了个 1.8大床的，窗户靠走廊，但是屋子里太闷了，又跟前台换了窗户临街的，前台态度很好，没嫌麻烦，重新给调整了房间。  离杭州城站很近，走着也就10分钟。  下次来还住这。', '短评打分': 5}
{'短评内容': '＋还算干净，但是没有窗户很闷，下次肯定不会定特惠房了！', '短评打分': 3}
{'短评内容': '环境不错，卫生条件也不错，交通便捷，不失为商务休闲人士出门在外之首选。隔音稍待改进。', '短评打分': 3}
{'短评内容': '很好,很干净，而且酒店开业时间不是很长。设备也很完善。就是大厅离电梯有点远。', '短评打分': 5}
{'短评内容': '房间很温馨，干净，服务也很好。我已经去过2次了。', '短评打分': 5}
{'短评内容': '到火车站10分钟路程，离西湖步行25分钟，挺好的', '短评打分': 5}
{'短评内容': '很好，很实惠', '短评打分': 3}
{'短评内容': '房间太小，没有所说的十六平方，八个还差不多，小窗，造成很压抑的感觉', '短评打分': 3}
{'短评内容': '酒店很干净，服务态度也非常的好。交通相对也方便，离城站很近。总之挺好的', '短评打分': 5}
{'短评内容': '还不错，离我想去的地方也很近，离河坊街也比较近，还行。', '短评打分': 5}
{'短评内容': '住了好多次如家，都不错。感觉挺好的。。只是我没享福的命，床软。背受不了。。不过每家酒店都这样。。。很好', '短评打分': 3}
{'短评内容': '房间整体都还不错的。就是这次的房间的最靠近铁轨的那间，晚上有点吵。其他的都还很满意的', '短评打分': 5}
{'短评内容': '还好，，一开始的十年特惠不是一般的小，，太热了，后来换了商务大床房，，好了点。。。', '短评打分': 5}
{'短评内容': '第一次住如家，整体感觉比较整洁。但房间太小了（或许这是所有快捷酒店的特色吧！）中央空调的声音比较大，嗡嗡的比较吵。希望可以改进。', '短评打分': 5}
{'短评内容': ' 如家是我外出首选住处。不错得', '短评打分': 3}
{'短评内容': '环境不错，周围超市，银行，吃饭的地方挺多。。\n\n隔音效果不怎么好。。', '短评打分': 5}
{'短评内容': '基本不错，装置味很难闻这个饭店是新开的。\n', '短评打分': 5}
{'短评内容': '价钱比较合适，房间里面也很整洁干净，我感觉这个性价比还是可以的。', '短评打分': 5}
{'短评内容': '位置不错,离火车站要走10多分钟, 比另外一家如家酒店离火车城站远,但是要新的多.而且去古街走路很方面, 去西湖和钱塘江也很方便. 价格性能比很好,房间虽然有点小但是很干净,总之应该是这个价格可以住到的最好的酒店了:-)', '短评打分': 5}
{'短评内容': '总体不错，就是空间有点小！空调是中央空调，非常好！', '短评打分': 5}
{'短评内容': '很干净，很舒适，如果有外卖电话提供就好了', '短评打分': 3}
{'短评内容': '还行，就是有点吵，早上都睡不着觉，希望能改善一下。', '短评打分': 5}
{'短评内容': '好，性价比不错，值得推荐，交通方便，安静', '短评打分': 5}
{'短评内容': '这酒店在新街口往东走三个四个路口 距离市中心不算太远 \n\n处在一个居民区里 环境还算安静 四周也有不少吃饭的地方 \n\n房间里有免费的浴巾毛巾 都挺好的 \n\n空调也很给力 整体不错 推荐一下', '短评打分': 5}
{'短评内容': '离火车站步行大概15分钟左右，房间偏小，空调太热，无法调节。', '短评打分': 1}
{'短评内容': '房间环境还挺好 就是小了点  还有我们比较吵  价格有点偏贵了   一句话 房间挺好的 ', '短评打分': 5}
{'短评内容': '酒店离火车站很近，我和朋友订的是十周年标准房，很小很迷你，因为没窗初进时觉得很压抑，但整体打扫的很干净，布置的也很温馨，里面的用品也都很新，很满意。但无论是登记入住还是退房，前台人员始终无表情的机械的冷漠的说着书面的礼貌语，这个跟墙上贴的“每天微笑多一点”笑脸标识有极大反差，望改进。', '短评打分': 5}
{'短评内容': '房间有点挤', '短评打分': 3}
{'短评内容': '酒店非常不错，很舒适，唯一不足就是网络真的不怎么样，半夜才通畅', '短评打分': 5}
{'短评内容': '卫生很干净，隔音效果不太好，没有窗户有点闷', '短评打分': 5}
{'短评内容': '整体环境不错,就是房间偏小点,价格也适中.', '短评打分': 5}
{'短评内容': '一切都好,就是房小了点...吃饭方便 旁边有超市 房间干净卫生  就是房太小了一点  ', '短评打分': 5}
{'短评内容': '空间封闭，隔音效果不好，其他社备不错。', '短评打分': 3}
{'短评内容': '第二次住，感觉还不错，隔音效果差点，东西还干净', '短评打分': 5}
{'短评内容': '\n非常不好，房小，商务大床房明明没写无窗，到店非说特价都无窗，受骗！千万别订！并且不隔音！', '短评打分': 3}
{'短评内容': '噪音很大，以后不会考虑住', '短评打分': 3}
{'短评内容': '就是太小了。', '短评打分': 3}
{'短评内容': '环境不错，服务很好哦，交通也很方便，真的很有家的感觉，喜欢！', '短评打分': 5}
{'短评内容': '刚刚入住，房间挺干净的，就是空间太小。。。。', '短评打分': 5}
{'短评内容': '我正月初四入住，住的是5楼，刚进去时感觉很好，基本设施都齐全，可晚上睡觉时声音太大，开始以为是空调或排气扇发出的声响，全关了还有，问前台才知道是楼上的机房发出的噪声，要求换房，回答是没房了，所以一晚上没睡着，第二天结账时我要求开发票，回答是名称只能开单位名称不能开个人，我又不报销，开什么单位名称。回来后后悔没开，让他们逃税了。', '短评打分': 1}
{'短评内容': '赞，遇到了超大床一张。房间虽然不大，但真的很温馨。超级喜欢的，很清爽。绝对推荐，以后就认定如家了！还是中央空调。', '短评打分': 5}
{'短评内容': '房间温馨，就是隔音效果不好。房间空气流通不好。', '短评打分': 3}
{'短评内容': ' 房间确实小，箱子打不开。。。。有点郁闷。不过很干净温馨，城站过来打车起步价就好~不算很近，旅途很累的话不建议步行。', '短评打分': 3}
{'短评内容': '房间太小，隔音效果也不好，整夜都能听到水管的声音，别人抽马桶和洗澡的声音', '短评打分': 1}
{'短评内容': ' 房间好小，位置还好，外面有点吵，其他还好。不知道网上说的优惠30元去哪拿', '短评打分': 3}
{'短评内容': '总体来说还是不错的 对得起这个价格 服务也不错 唯一不足的地方就是被子太厚了', '短评打分': 5}
{'短评内容': '房间太小了,小的有点可怕的,床是挺大的,', '短评打分': 1}
{'短评内容': '还行...干净  暖气不错   就是房间很小    情侣住的话  大床房应该不错...', '短评打分': 5}
{'短评内容': '地理位置不错，房间是新装修的，热水和空调不错的，卧具也很新，缺点是房间有点小，隔音不太好', '短评打分': 5}
{'短评内容': '还行，就是隔音确实不怎么的~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '运气不错，遇到了超大床一张。房间虽然不大，但真的很温馨。超级喜欢的，很清爽。绝对推荐，以后就认定如家了！', '短评打分': 3}
{'短评内容': '酒店清洁卫生，商务大床房间小的让人失望，对面就是铁路太吵了，不能安静休息。', '短评打分': 1}
{'短评内容': '刚入住总体感觉不错 ，不过房间比我想象的小多了 刚不小心碰到脚了 疼死俺了 不过还是推荐的 很干净 很舒心', '短评打分': 5}
{'短评内容': '一如既往的好，离世纪联华大超市只有2分钟路程，还有肯德基', '短评打分': 5}
{'短评内容': '很好!房间很热,非常温馨,交通方便,离火车站很近!', '短评打分': 5}
{'短评内容': '感觉还不错来了正好酒店又搞活动又便宜了点挺值得', '短评打分': 3}
{'短评内容': '隔音一般 其他蛮好 附近有超市 离火车站比较近 ', '短评打分': 5}
{'短评内容': '除面积小隔音差外,其他都较令人满意.服务态度也不错.', '短评打分': 5}
{'短评内容': '新酒店,干净,整体感觉好.软硬件都不错.唯面积小了点.', '短评打分': 5}
{'短评内容': '好小的房间，很闷，比较干净', '短评打分': 3}
{'短评内容': '距离火车站很近，不错！就是隔音不怎么好。', '短评打分': 5}
{'短评内容': '只有一个建议。。。空调虽然很给力但是温度真的好高。。。晚上睡觉热死了。。。略微有点闷，但是房间卫生、电视这些服务都很好', '短评打分': 5}
{'短评内容': '刚入住，虽然小，不过蛮温馨的！推荐！', '短评打分': 3}
{'短评内容': '很新的 住得很舒服 ', '短评打分': 3}
{'短评内容': '有一种很干净，很舒服的感觉。特别是被子是绿色的，感觉好温馨。 就是稍微小了一点。有热水、网线，都齐全。 蛮好的。', '短评打分': 5}
{'短评内容': '离火车站10分钟。房间还行，算是比较安静的位置。房间隔音效果一般', '短评打分': 3}
{'短评内容': '环境还好。交通也挺便利。。总体还不错。。。', '短评打分': 3}
{'短评内容': '房间很舒服，交通也便利，很好。', '短评打分': 3}
{'短评内容': '卫生各方面都还不错，就是隔音效果不好，太吵了。。。。。。。', '短评打分': 5}
{'短评内容': '感觉还是不错的，很干净，感觉很温馨', '短评打分': 3}
{'短评内容': '房间太小，没窗户，很压抑。而且电吹风也没有。', '短评打分': 3}
{'短评内容': '离火车站15分钟之内,房间干净,IPTV节目也不少.\n靠近铁路的房间，有火车开过时会有些声音，不过晚上不吵，不影响睡觉', '短评打分': 5}
{'短评内容': '交通很便利，就是房间不太大哦', '短评打分': 3}
{'短评内容': '位置很好，就在火车站旁边。房间较小，开始的一个房间有异味，不过换了一个房间大点，味道也少了很多。设施比较规范。', '短评打分': 5}
{'短评内容': '酒店离火车站有点距离但可以接受。酒店是新的很干净且服务员态度也不错。', '短评打分': 3}
{'短评内容': '地理位置十分不错，酒店服务很好很热情，房间稍稍小了点', '短评打分': 5}
{'短评内容': '服务员态度不是很好，前台所售物品牟取暴利，感觉很不爽', '短评打分': 1}
{'短评内容': '还不错很有家的感觉，唯一缺点隔音稍微差些', '短评打分': 5}
{'短评内容': '很不错啊 不愧是如家连锁  干净 而且很便宜才161  真合算', '短评打分': 5}
{'短评内容': '离火车站还是比较近的，走过去不到十分钟；从那儿走到南宋御街和河坊街也可以；周围有一个大型超市，新丰小吃也比较近；价格比城站附近的那个如家便宜，可能因为是新开的，设施都很新，房间很干净。但是有个小问题，感觉我们那个房间的空调有问题，总是有滴水声~', '短评打分': 5}
{'短评内容': '酒店是新开的，房间装修还可以，挺干净，而且电视可以看很多频道，有很多电影可以看，而且比较新；但是做活动的房间空间太小了，隔音效果很差，晚上睡觉会听到很响的流水声音，而且隔壁房间的声音也听得很清楚，由于和城站很近，所以时不时会有火车压铁轨的声音。吹风机不是每个房间都有配备，要亲自去前台拿。性价比一般，但毕竟属于比较繁华的路段，离城站相对较近，房间也干净，前台态度很好，赶火车的朋友可以关注下。希望不足', '短评打分': 5}
{'短评内容': '住了一晚，没多大感觉，总体环境还不错，没有特别好，也没有特别差的......', '短评打分': 5}
{'短评内容': '  床很大~ 就是房间不大， 但两个人刚刚好  卫生部错', '短评打分': 5}
{'短评内容': '面积大体估计了下，12-14个平方， 超小', '短评打分': 1}
{'短评内容': ' 走到西湖约20分钟', '短评打分': 3}
{'短评内容': '不错，市区里这家如家价格便宜也干净卫生，就是好多房间好像没窗户，有的有窗户的也是靠走廊的，靠外面的比较少，最好早点跟前台说下可能换的到', '短评打分': 5}
{'短评内容': '干净  舒适  如家', '短评打分': 3}
{'短评内容': '我定了大床房 很舒适 被子很厚很舒服 比较温馨～', '短评打分': 5}
{'短评内容': '房间比较小,在公路和铁路边比较吵,不过性价比还让人满意.杭州消费贵啊', '短评打分': 3}
{'短评内容': '态度很好，环境也不错，就是房间稍微显小了点，但一个人住住够了，值得住', '短评打分': 5}
{'短评内容': '不错，很干净，下次来还住这里，只是被子太厚了，不太舒服\n', '短评打分': 5}
{'短评内容': '工作人员服务态度很好，房间也很干净\n而且交通也很方便，离火车站很近', '短评打分': 5}
{'短评内容': '干净，便利，不错', '短评打分': 3}
{'短评内容': '还可以，新装修的。\n但就是离火车站不远不近的，走路有点费劲，打的又太近。', '短评打分': 5}
{'短评内容': '，酒店很干净，服务态度好，交通方便，打车到西湖就十多快，到吴山广场跟古楼美食街步行就十多分钟，打的就起步价。', '短评打分': 3}
{'短评内容': '地理位置很方便，酒店的氛围不错，就是房间的确小了点儿，但是服务还不错', '短评打分': 5}
{'短评内容': '就是国庆期间价格略高了点，连锁酒店就这样吧。', '短评打分': 5}
{'短评内容': '房间虽然小 感觉很温馨 干净 服务员内心', '短评打分': 5}
{'短评内容': '新店，房间比较小，但是干净，隔音不好，洗澡很爽', '短评打分': 5}
{'短评内容': '\n服务态度好，卫生环境都很不错', '短评打分': 3}
{'短评内容': '这个酒店是新开的,房间很干净,交通也很便利.', '短评打分': 3}
{'短评内容': '房间很小，不过位置可以拉，另外玻璃隔音不错，赞一个', '短评打分': 3}
{'短评内容': '还不错。。', '短评打分': 3}
