{'descr': '前台服务很棒，就是安排的房间空调坏了。', 'star': 4}
{'descr': '环境舒适，安静房间，地理位置优越  公交站点方便去景点！前台mM服务一流！态度 非常OK！下次还会考虑入住！', 'star': 5}
{'descr': '隔音效果不佳，早上有点吵，被子有点薄，晚上有点冷，其他还行', 'star': 5}
{'descr': '房间挺干净的，没什么难闻的味道，住的挺舒服的。', 'star': 5}
{'descr': '房间还行。。。就是我订的两晚变成一晚了。。。多花了一百。。。', 'star': 3}
{'descr': ' 环境不错，离旅游景点近，交通方便，晚上也可以逛街', 'star': 3}
{'descr': '还不错 一如既往喜欢如家 \n只不过一个观前区店，让我跑遍了三家店 旅游的童鞋们还是要好好看看地图', 'star': 5}
{'descr': '虽然有点小，但是很干净，很卫生，而且前台的MM很热情，还把我要出行的公交路线写给我~~~', 'star': 5}
{'descr': '就在市中心 非常方便 早餐后直接步行就能去 拙政园 美的很！', 'star': 5}
{'descr': '感觉蛮像家里的卧室。不像别的宾馆都是白色的。喜欢如家！愿意下次还选如家。', 'star': 3}
{'descr': '地处市中心区，卫生好。性价比好。只是网速低。电视机陈旧，使用不便。', 'star': 3}
{'descr': '外出方便，在观前街附近，不过不要和老观前街店混淆，推荐', 'star': 5}
{'descr': '位置很好，环境也不错，关键是住的比较温馨！', 'star': 5}
{'descr': '环境真的很不错，而且服务态度很好，很安静！', 'star': 5}
{'descr': '酒店位置虽然比观前街稍微远点，靠路边，不过晚上睡觉没有其他评论的那么吵，服务态度很好，丢了手机充电器在房间里，回到家才想起来，给总台打电话很热心的帮我快递过来了，感觉很不错/', 'star': 5}
{'descr': '酒店位置很好，旁边就是物美超市，买东西很方便，离观前街也很近，步行就可以。', 'star': 5}
{'descr': '地点挺好的，干净，价格也很便宜，挺好的地方，下次还回去', 'star': 5}
{'descr': '酒店挺干净的，虽然客房不是很大，但是离观前街挺近的，下次去苏州应该还会去住的。', 'star': 5}
{'descr': '价格合理，房间不大，交通很方便，临街比较吵，要有心理准备', 'star': 5}
{'descr': '特价房面积并不小，服务什么的都没打折，很不错。。。。\n但是就是靠路，有点吵。。。。。。\n总体来说不错', 'star': 5}
{'descr': '位置理想，周边环境很好，旁边就有物美超市，价格便宜，服务态度好。赞一个', 'star': 5}
{'descr': ' 酒店位置不错,也比较干净.', 'star': 3}
{'descr': '旁边有个超市，交通很方便，环境也很好，推荐！', 'star': 5}
{'descr': '位置不错，很安静很整洁，旁边物美大超市，距离观前街步行10分钟，距离拙政园3站公交车。', 'star': 3}
{'descr': ' 酒店还不错，灯光很好。', 'star': 3}
{'descr': '酒店位置很好离景区很近，旁边有超市和餐厅都很方便。', 'star': 3}
{'descr': '服务态度不错，地理位置好，交通方便，比较像的感觉。', 'star': 5}
{'descr': '性价比高，地理位置不错，交通方便，卫生环境不错，房间的配套比较温馨。', 'star': 5}
{'descr': '环境很不错，比较温馨。性价比还可以，地理位置好，交通方便。如果含早就好了。', 'star': 5}
{'descr': '店家服务非常好，酒店位置也很好去旅游车站都很方便', 'star': 5}
{'descr': '交通便利，环境不错，价格性价比高，如果含早就好了。', 'star': 5}
{'descr': '还不错，闹中取精，很舒服。', 'star': 3}
{'descr': '交通便利，环境不错,服务很好，下次出差还会考虑这里的。', 'star': 5}
{'descr': '，地理位置很好，房间虽然不大但很整洁，在观前市中心能这个价格还是不错的', 'star': 3}
{'descr': '非常好，交通很便利。下次还会来，老爸老妈非常满意。', 'star': 5}
{'descr': '给老爸老妈订的，他们说很满意，交通非常便利，酒店也不错。', 'star': 5}
{'descr': '没有早餐，有点不是如家的风格，另外周六加价很讨厌', 'star': 1}
{'descr': '性价比很好', 'star': 3}
{'descr': '离火车站近，便于换成，其他也没什么了，和所有的如家一样', 'star': 5}
{'descr': '价格实惠，房间小但是很干净。离观前街走路就几分钟，，很方便。而且酒店旁边就是物美超市，非常方便。。。', 'star': 5}
{'descr': '新开的观前店房间很干净，虽然有些小但是蛮温馨的，出门坐车逛街都方便，还能无线上网，不错，推荐', 'star': 5}
{'descr': '还可以，个人感觉挺不错的，！比较温馨！推荐大家前去居住！', 'star': 5}
{'descr': '还不错哦、电吹风随叫随到，离市区也比较近', 'star': 5}
{'descr': '洗臉盆堵住了,還會有髒汙的毛髮跑出來\n\n其他一般\n\n有無線網路提供不錯', 'star': 1}
{'descr': '网络很慢，付费用品直接放在房间也不通知一声有种诱买的感觉', 'star': 5}
{'descr': '房间比较干净，住着也很舒服，地理位置不错，交通也很方便，不错的入住体验！', 'star': 3}
{'descr': '苏州购物 旅游中心 方便 干净 服务态度好', 'star': 5}
{'descr': '地理位置很好，但是还是推荐挨着观前街那家的如家，本来想能走着去拙政园，实地走了一下，确实有点远，还是的打车', 'star': 5}
{'descr': '很好，很舒适，可惜周六一直无房；旁边有超市，不错', 'star': 5}
{'descr': '离观前街很近，隔壁购物中心可以免费停车，很方便！房间整洁，应有尽有，房价也很适合，下次还会考虑！', 'star': 3}
{'descr': '房间小了点，但是蛮干净的，就是我住的102旁边是物美超市的停车场白天很吵，晚上好一点。', 'star': 5}
{'descr': '房间不大，但很舒服，虽然毛巾旧了点；工作人员态度都很好。下次，我还会选择住那里。', 'star': 5}
{'descr': '喜欢如家，房间虽然不大但整洁，服务不错。这家酒店停车方便，就在隔壁的物美超市的地下停车场。', 'star': 5}
{'descr': '酒店，服务态度不错，挺温馨的感觉，服务也还ok，就是外部有些吵。可能在市区的原因。', 'star': 5}
{'descr': '酒店位置不错，位于人民路，离观前街很近走路十分钟左右，乘的士到平江路在起步价内，拙政园，狮子林等景区也不远。酒店服务到位、尽职。喜欢', 'star': 3}
{'descr': '酒店很干净，下次还会去住。离观前街很近，交通方便。', 'star': 5}
{'descr': '交通很方便，到火车站就3站路，到观前街不行也就5分钟的路程，夜里睡觉还是比较安静的。', 'star': 5}
{'descr': '服务态度很高，没有房间了，换了家庭套房，没有增加价格。', 'star': 5}
{'descr': '房间小巧干净可以选择', 'star': 3}
{'descr': '酒店的位置很适中，靠观前街比较近，交通方便，方将隔音效果不错， 最满意的是客房服务很好，服务员态度热情，打扫很及时，不足之处是前台收银态度不是很好', 'star': 5}
{'descr': '不错，地点很便利,房间也很不错。', 'star': 1}
{'descr': '地理位置不是在步行街旁边 不如另外一家靠的近 不过离得也很近了 房间很小 服务和设施还行 第一次住如家 没想象中的好 不过房价倒是不贵 挺合理', 'star': 1}
{'descr': '本月14、15日入住该酒店，感觉不错，地段在市中心，离观前街走路10分钟就到。离拙政园、狮子林等景点公交知道，出行太方便了。另外酒店房间不大，但是很温馨，设备不是高档，但很舒适，总之，以后到苏州就住在这里了。', 'star': 5}
{'descr': '走路去观前街10分钟，店里都还行，住那里还可以', 'star': 5}
{'descr': '环境很好！很温馨', 'star': 3}
{'descr': '蛮舒服的一家 服务态度也很好  下次肯定还会去\n', 'star': 5}
{'descr': '＋挺好', 'star': 3}
{'descr': ' 环境不错！交通便利！房间干净！', 'star': 3}
{'descr': '比我想的要好很多呢。很温馨舒适', 'star': 3}
{'descr': '洗澡的热水太冷了，枕头有污点，及时通知换了，打开空调后有灰吹出来。', 'star': 1}
{'descr': '地段较好，属于闹中取静，价位比较合适，离观前街、火车站都很近，但是酒店设施较弱，遥控器按键基本已经看不清了，毛巾也比较老旧，希望能有所改善', 'star': 5}
{'descr': '位置不错。去狮子林，拙政园，观前街，太监弄，平江路都可以步行，市中心的位置，离火车站也近，基本上打车是起步价吧。干净，很安静，下次还会选择如家。', 'star': 5}
{'descr': '房间很干净，也很安静，很满意，就是停车场太挤了，停车不太方便，前台很热情，下次还会考虑入住。', 'star': 5}
{'descr': '不错，在人民路上面，离观前街路口不到300米。订的大床房很干净，床单是粉红色的，很可爱，空调是1级节能的哟，牛。晚上睡觉很安静，养足精神好出游。', 'star': 5}
{'descr': '位置还行，不过商务套房太小了。不如直接叫大床房算了。', 'star': 1}
{'descr': '地理位置好在人民路上,边上就有物美大超市,到观前街5分钟.', 'star': 5}
{'descr': '这家快捷酒店真的很棒，客房很干净 配备的设施也好用，之前在预定的时候也看了几家酒店的差评 比如说空调不好用啦、淋浴的出水量小啦、床单被罩不干净啦，其实没入住之前我也很担心，但是到了如家以后，所有的顾虑都没有了。前台服务员小姐的态度也很好，我说我怕吵的，服务员给我换了一间背街的房，很安静，早晨睡到7点钟是没有问题的，问到旅游景点的时候她们会很热心的告诉你怎么走。酒店的位置也很好 临街 打车、坐公交都', 'star': 5}
{'descr': '位置很好，在观前街附近。出门就有公交车。房间还被免费升级。干净、整洁。服务人员很友善。下次还会住。', 'star': 5}
{'descr': '楼下吃饭和交通都挺方便的，但浴室水太小了。', 'star': 5}
{'descr': '不咋的，感觉亏了,218太贵了，设施一般而已，哎，以后不会去如家啦，郁闷', 'star': 1}
{'descr': '位置不错，离观前街很近，吃饭交通等都很方便，酒店也还行，性价比算可以', 'star': 5}
{'descr': '这家酒店服务相当周到 房间也相当不错 真是有回到家的感觉 不愧如家 我相当的喜欢 下次还去这里住', 'star': 5}
{'descr': '＋酒店不错…', 'star': 3}
{'descr': '入住满意', 'star': 3}
{'descr': '不错，房间很大，床也很大。\n就是早上起来洗澡时，水比较凉，很冷。\n电视节目很少，410房间的电视遥控器上的字符都看不见，找个确认都找不到', 'star': 5}
{'descr': '离观前街比较近，可惜我们住的楼梯口的房间，早上吵得不行。下次要吸取教训了。\n毛巾很新很干净，这个比较赞。\n去到才知道原来观前街口就有2家如家呢，不过可能街口会更吵一点吧。', 'star': 5}
{'descr': '   服务态度还是蛮好的，给人的感觉不错，以后还会选择这样的酒店······', 'star': 5}
{'descr': '房间超级小，而且毛巾很旧，早就应该换了。', 'star': 1}
{'descr': 'GOOD，较新，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '总体而言还是舒适的，隔音效果不是很好，潮湿感较重。', 'star': 5}
{'descr': '特意要求房间不临街，但搞不清楚是锅炉还是空调外机，震动极大，吵得人心情烦燥。\n位置不错，离拙政园和观前街都很近，很方便。', 'star': 1}
{'descr': '在市中心，交通比较方便，房间还是很干净，就是小了点。', 'star': 5}
{'descr': '环境很好服务不错交通也便利', 'star': 3}
{'descr': '位置较好，干净，不贵。遥控和空调不太好用', 'star': 5}
{'descr': '比较干净，位置不错，离观前街、火车站不远。房间不是很大，电视遥控和空调不太好用', 'star': 5}
{'descr': '提前咨询了酒店，想订一个安静一些的房间，服务人员很热情，也很周到。房内空间不大，但看上去还是蛮干净的。并且，地方距离观前街很近。\n总体来说，值得推荐的。', 'star': 5}
{'descr': '不错，位置还可以，也挺卫生。', 'star': 3}
{'descr': '位置很繁华，到观前街方便，环境也不错。\n下次还会选择这家', 'star': 5}
{'descr': '不错，但和优秀有差距，有一回我们通过其他公司定上房', 'star': 5}
{'descr': '相比第一次在哈尔滨入住的如家，感觉差了点，价格贵了，房间变小了。感觉放了一张大床，基本就没什么空间了。', 'star': 5}
{'descr': '酒店位置很好，出门就是最热闹的地方。房间也比较舒适。', 'star': 5}
{'descr': ',苏州如家服务周到，我很满意。', 'star': 5}
{'descr': '宾馆条件不错，接待人员工作热情。下次还来。', 'star': 3}
{'descr': '不错，比较干净。就是价格比较贵，不晓得能不能多点折扣', 'star': 5}
{'descr': '位置相当不错, 入住当晚深夜修理电梯, 被吵醒了.', 'star': 5}
{'descr': '给朋友订的  据说不错   在市中心  又可以上网  里旅游景点都近', 'star': 5}
{'descr': '电梯慢的跟牛一样 而且 室内设备需要更新有线电视这年代还用。。。消防通道有一条是锁着的 据说有另外条 可惜没找到。。', 'star': 1}
{'descr': '房间新颖，交通位置好，离火车站/观前街很近，卫生及设施条件很好！值得推荐', 'star': 3}
{'descr': '酒店客服，卫生，位置较好，唯一不足是没有停车场，自驾游的话有些麻烦', 'star': 5}
{'descr': '卫生、服务、设施等各方面条件都非常好，但价格偏贵！还是值得推荐的！', 'star': 5}
{'descr': '价格也偏高，环境也很一般，房间的设施和别的如家还是有些区别感觉不是太正规，位置还可以。服务也就那么回事感觉就是私人的那种不太像如家那种酒店。', 'star': 1}
{'descr': '距离观前街较近，逛街方便。房间干净，24小时热水，洗澡方便。酒店服务热情。', 'star': 5}
{'descr': '还不错,简洁,干净,帮朋友订的,朋友很满意!', 'star': 5}
{'descr': '不错~', 'star': 5}
{'descr': '入住环境不错，服务态度也很好。', 'star': 5}
{'descr': '干净，舒适，上网比较方便位置好，窗户打不开。', 'star': 5}
{'descr': '很不错', 'star': 3}
{'descr': '环境很干净，非常明亮的感觉\r\n       对于外出旅游是个很不错的选择', 'star': 5}
{'descr': '环境还可以，卫生设施做的还行，位置比较市中心了出行倒还是挺方便的，但是早餐提供的挺一般的感觉没有这么的好，其他的都还可以。', 'star': 5}
{'descr': '卫生设施还行，但是酒店午餐和晚餐没有，早餐也比较差，位置是挺好找的比较市中心，价格还行吧。', 'star': 5}
{'descr': '卫生设施还行，但是酒店午餐和晚餐没有，早餐也比较差，位置是挺好找的比较市中心，价格还行吧。', 'star': 5}
{'descr': '第二次入住了，感觉还不错，主要是地理位置好，服务也不错，下次还会来住的。', 'star': 5}
{'descr': '位置好，出门逛观前街很方便，交通便利。', 'star': 5}
{'descr': '客房布置的很温馨，让人很喜欢，床也很舒服的。', 'star': 5}
{'descr': '很舒适，服务也好', 'star': 5}
{'descr': '服务很好！不过房间稍微紧凑了点，还有就是电视机不舒服，超小。', 'star': 5}
