{'短评内容': '酒店非常不错，服务态度好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '理想中的大酒店！实在太喜欢这里了，很新，房间里看出去就是花的海洋！服务很好，都是笑脸迎宾，特别贴心的服务。美食随处可见，游泳池也是大气舒服，喜欢极了！', '短评打分': 5}
{'短评内容': '房间很舒适，阳台很大，景观利用的很好。周边环境不错，附近的小区比较高端，街道很适合散步。晚间在酒店的泳池游泳，非常舒服。酒店的海上餐厅很有物色，不过因为时间紧张没有机会去吃，不知道味道怎么样。不知道是不是去的季节不对，酒店提供的自助早餐没有大家说的那么好，种类少，口味也马马虎虎。', '短评打分': 5}
{'短评内容': '酒店周边环境好，邻海，早餐丰富，房间宽敞明亮', '短评打分': 5}
{'短评内容': '酒店周边环境好，往前100米就是海边，早餐好，', '短评打分': 5}
{'短评内容': '整体感觉还是非常好的。洲际的设施我觉得配备还是很全面的。', '短评打分': 5}
{'短评内容': '酒店服务很好，特别的日子帮忙安排了很多，位置也很好。', '短评打分': 5}
{'短评内容': '正海景,就是房间有点小.', '短评打分': 4}
{'短评内容': '酒店环境非常好', '短评打分': 3}
{'短评内容': '洲际做活动，行政大床房买2送1，价格比较满意。酒店地理位置不错，单独的一个海湾，景色绝佳。离第一市场打车15元，酒店叫车25元，吃海鲜还算方便。酒店每天整点都有免费的巴士去免税店及大东海夏日百货，很人性。酒店房间的硬件设施很舒适，洗浴用品都是欧舒丹，值得称赞。俱乐部的行政酒廊几乎全天都有免费的食物供应，退房后还可以在行政酒廊喝下午茶，看海景，确实很大气。三亚洲际的度假氛围很浓，俱乐部的泳池非常喜欢', '短评打分': 5}
{'短评内容': '洲际酒店！名副其实！三亚度假尊选！我们一家四口去三亚度过了非常舒适的假期！\n特别感谢前台来自内蒙古赤峰市的李翔宇，非常热情周到的接待！还有地中海餐厅的吕鹏十分热情！\n服务非常好！\n房间收拾的也是别有用心！确实很期待下一次再次入住洲际酒店！', '短评打分': 5}
{'短评内容': '吃，住都很满意，下次去也要去那住，会推荐朋友去，这次旅行很开心', '短评打分': 5}
{'短评内容': '环境很不错，房间也比较舒适，去沙滩和泳池很方便，儿童项目设计的很丰富。就是整个楼层只有一端边缘位置有电梯很不方便，这次带着孩子和老人，而且房间在另外一端，每次都要走很远才可以回房间，此点很郁闷。', '短评打分': 5}
{'短评内容': '非常好的酒店，比亚龙湾的大部分酒店在房型上都更胜一筹，遗憾的是沙滩砂质较差。', '短评打分': 5}
{'短评内容': '酒店的确不错，硬件设施没的说，就是前台办手续有的服务员有些糊涂，不太机灵，慢。另外春节期间那条路容易堵车。', '短评打分': 5}
{'短评内容': '这个酒店不错', '短评打分': 3}
{'短评内容': '非常不错，下次继续住！还会推荐给自己的朋友。服务非常好', '短评打分': 5}
{'短评内容': '酒店设施一流，景色也超好，可惜天公不做美，游泳有些冷！', '短评打分': 3}
{'短评内容': '酒店设计现代而漂亮，服务居中等水平，房间的灯光按钮需要适应。总体来说是个好酒店。', '短评打分': 3}
{'短评内容': '酒店整体很好，特别是它的卫生间用品，很齐全；风景也非常好。但是因为设计的缺陷，泡浴缸的时候，无法打开窗帘，因为你会因为打开窗帘而被别人看到你的隐私。酒店的泳池设备也很好，可惜就是水比较浅。如果你是打算去海游度假的话，劝你不要去，沙滩的质量比较差，可能你看上去不错，但是当你去游泳的时候，你就会发现浪花处的沙滩都是那些硬物，而不是细沙。我因为没有穿鞋下水，而满脚伤痕累累。至于食物，还是比较好的，我只是', '短评打分': 5}
{'短评内容': ' 海景房很好，海景无敌，阳台外景色好美，房间设施很新，够五星标准！', '短评打分': 3}
{'短评内容': '房间超大,特别是卫生间足足有十个平方,泡在浴缸里赏着海景太享受了,早餐也很丰富.不足的是海滩,根本不能下水,海水很混浊,沙滩的沙子很粗,很砸脚,与亚龙湾不能比,没办法只好去泳池,泳池又很小,真不够游的.酒店的绿化也很一般,植物也不茂盛,住这间酒店也只能在房间里发呆.', '短评打分': 5}
{'短评内容': '14号入住，人不多，很不错。环境很好，景观很美，夜景特别漂亮。酒店的设计和室内以及园林都很有现代感觉，很舒服。很喜欢在海边就这样晒着太阳。在亚洲餐厅吃饭，味道不错，环境面海，很有感觉。早餐在地中海餐厅吃的，种类也不错，味道很好。晚上到啤酒工厂观看了乐队的表演。住的是超豪华海景房，观景阳台很有感觉，房间也很舒服呢。酒店的服务人员态度都很不错，相当满意这次的入住，现在我又往下一站了，下次来的话还是会入', '短评打分': 5}
{'短评内容': '酒店是2010年7月開幕,裝修很新,豪華海景房很不錯,但是海景房的水景閣就不好,部分水景閣只能看到前面庭院池塘,看不到海景,交通不方便,酒店協議車隊品質也待加強', '短评打分': 5}
{'短评内容': '酒店挺漂亮，但是建的很奇怪，去房间要走好久，好几次迷路。酒店一共三个泳池，服务员告诉我们，有一个是会员泳池，你们不能去，会员才可以。还有一个泳池，因为奔驰团队来，所以给他们用，就封上了，不让我们用。就真不知道酒店怎么想的。我花了两千多住一天，就受到这样的待遇。反正下次我是不会再去了。', '短评打分': 1}
{'短评内容': '本酒店硬件以及服务还不错，但是地理位置不太好。客人比较少，餐厅也不是太好。', '短评打分': 5}
{'短评内容': '这家酒店的服务国际一流，尤其是床和枕头很舒服，还有淋浴很爽，饮食方面也很好，就是价格稍微贵些。', '短评打分': 5}
{'短评内容': '酒店的位置并不是有些杂志说的3个5分钟（去市区、去免税店5分钟）。欢迎水果有的房间摆放有的却没有摆放，电话通知次日补放，最后未补，如果自己去没关系，如果是会务安排，必须特别关心此细节！餐厅的海鲜点单时不明码标价，斤两在上菜前也不告知客户，如果要去那个海上餐厅，一定要注意这2点，另外餐厅的环境并非真的很不错。SPA的水池正在维修会很吵，并且水疗池还要停用一个月，水疗项目并没有因为装修而调整其价格。酒', '短评打分': 1}
{'短评内容': '这个酒店的设施很新，因为是新建的关系，酒店的服务也很好，五一期间去的，人不是很多，宝宝特别喜欢酒店里的儿童泳池，有滑梯等。整个酒店很大，还有水上餐厅，从酒店到水上餐厅还有酒店的电瓶车接送，服务好好奥。整体感觉很现代，时尚。以后还会来住。', '短评打分': 5}
{'短评内容': '\n世界级服务和笑脸，360度海上餐厅，别具一格，游泳池里有水吧和网球及潜水池，是我去过的最高级和最奢华的酒店！明年还想去住宿！', '短评打分': 3}
{'短评内容': '紧挨市中心，近海可游泳。适合年轻时尚人群', '短评打分': 3}
{'短评内容': '在三亚的五星里还是有特色，玩的吃的丰富。', '短评打分': 3}
{'短评内容': '酒店还不错', '短评打分': 3}
{'短评内容': '酒店风景相当好，服务一流，每天早点挺好的，海边挺浪漫的，', '短评打分': 5}
{'短评内容': '新开张的酒店，别致，水景海景都很好，酒吧特别别致，房间d阳台很大，坐在阳台看水景和海景都十分惬意。\n\n\n', '短评打分': 5}
{'短评内容': '酒店设施不错，服务态度也很好，下次还会入住！', '短评打分': 5}
{'短评内容': '酒店设施不错，服务也很好，下次来还会入住。性价比很好，会向朋友推荐。', '短评打分': 5}
{'短评内容': '酒店很高档，设施高档、现代化，舒适，早餐也不错。喜欢宽敞的阳台卧榻。', '短评打分': 5}
{'短评内容': '好像是住半山半岛的住户可以与洲际酒店的客人共用一个海滩。所以海滩上的人多的快可以和大东海的比了。最无法忍受的是在沙滩上呆上一会儿酒店的工作人员跟你至少确认三次以上房间号。理由是为了保护酒店客人的权利。太闹心了！人多闹、工作人员更闹。（我观察了一下，是反复问所有客人。是不是大家都长得差不多呀？还是真是人太多了，记不住了。）还是亚龙湾的酒店消停。', '短评打分': 1}
{'短评内容': '非常舒适，景色和服务都很好。', '短评打分': 3}
{'短评内容': '三亚半山半岛洲际度假酒店设施完备服务周到环境优美无可挑剔', '短评打分': 3}
{'短评内容': '其实我是觉得花了这点钱不值得，沙滩比不上亚龙湾，服务和管理也比不上亚龙湾。', '短评打分': 5}
{'短评内容': '1、酒店景观很好，设计很有品位；\n2、海天阁和海景阁房间都很开阔，阳台的休闲沙发挺有特色的；\n3、缺点是还在建设中，新的一期，旁边就是工地。', '短评打分': 5}
{'短评内容': '设计及设施非常好，服务更好，在三亚住过的五星级国际品牌的酒店不算少，唯独洲际的服务的确称得上五星，贴心，真诚，有效率。以后去三亚只住洲际。唯一不足是沙滩碎石太多。', '短评打分': 5}
{'短评内容': '虽然海水和沙滩的质素不及亚龙湾的那几家五星级，但是房间让我很满意，我住的是俱乐部豪华海景房，卧室外面还有供小孩玩耍的私人泳池，全程可以享用俱乐部给会员提供的餐饮以及会员的游泳池，很不错。', '短评打分': 5}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '不错的酒店，不错的环境，度假不错的地方。', '短评打分': 5}
{'短评内容': '酒店海景很好，，适合旅游渡假，，值得推荐', '短评打分': 5}
{'短评内容': '酒店环境和建筑还好，就是一些服务人员素质还有待改进。', '短评打分': 5}
{'短评内容': '卫生设施还可以，出行还是挺方便，酒店的也是刚开业所以客人不是很多挺冷清的不过应该以后就会好很多吧，价格还可以。', '短评打分': 5}
{'短评内容': '很新的酒店，房间配的大凉亭大沙发很爽，最有创意的是水景房有个小户外淋浴间，旁边还种了棵树绿意盎然，蛐蛐经常跑到浴缸里来。儿童区、游戏室很好，可以和孩子一起玩。早餐很精致，比悦榕庄的好，西餐也不错，法国大厨的香煎鹅肝超赞，每天都点。\r\n说说不足，沙滩不行，礁石很多，据说还在清理中，周围及海上的工程还在进行，很碍眼。俱乐部房间及餐厅也没开放，没体验到有些遗憾。', '短评打分': 5}
{'短评内容': '服务态度是我住过的所有5星级酒店中最好的，员工回答客人咨询很殷勤周到，用早餐的客人虽然不少，但煮面和煎蛋都是现煮，也很快。不象很多酒店都会煮好摆着。房间很大，宽敞明亮，有门厅，床背和沙发床靠背都极舒适。浴缸面海。但有几点明显不足：首先是酒店刚开业，很多地方在建，影响了景观；绿化还没有长茂盛，缺乏热带酒店郁郁葱葱的感觉；可游逛的地方还不够多，而且不象三亚文华东方酒店客人在海边、泳池边、绿地上一落座，', '短评打分': 1}
{'短评内容': '服务很好很到位,而且房间舒适程度也高.性价比还不错.', '短评打分': 5}
{'短评内容': '地理位置非常僻静，非常适合喜欢纯休闲的旅行，而且沙滩虽然不如亚龙湾细白，却有很多的野趣。 服务非常好，餐厅食物很精细，但早餐品种较少。设施不是特别前卫。嘿嘿，估计要求太高了~~~', '短评打分': 5}
{'短评内容': '服务员很热情，会主动介绍三亚哪里好玩，怎样实惠，真的很贴心', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，离海很近，周围的热带风情让我终生难忘', '短评打分': 5}
{'短评内容': '酒店的饿设施设备都很齐全，用起来很舒服，而且房间设计的很有特点，值', '短评打分': 5}
{'短评内容': '卫生很好，很干净，餐厅的口味很不错，种类比较多，住的很开心', '短评打分': 5}
{'短评内容': '服务态度真的没话说，反映出的问题基本3分钟就能解决，效率很赞', '短评打分': 5}
