{'descr': '酒店环境很好，也很安静，值得在去。', 'star': 3}
{'descr': '整体房间的样式还是对的起这个价格的，但是，浴室的莲蓬头有问题，一直漏水，洗澡很不给力；二，马桶盖也坏掉了，总是站不起来，男士用起来不方便；三，小广告太多，比较烦人。\n其他无明显大问题，住的是715房间，且无暖气，还好空调温度尚可。房间环境也相对安静。', 'star': 1}
{'descr': '条件一般吧，主要是卫生条件不够好。离地铁也有段距离。周围的餐饮店不错，还有个小超市。', 'star': 5}
{'descr': '酒店卫生条件不太满意，感觉到处都是脏兮兮的。', 'star': 1}
{'descr': '地处北四环亚运村商圈，步行10分钟能到达惠新东桥，出租车、公交车都很多。房间面积较大，电视机是显像管的那种，而且不大，看电视很不爽。网络需要让前台给开通一下，网速很快。酒店一层是两家不错的饭馆，吃饭很方便。我住的是朝北不临街的房间，很安静，但是饭馆的味道也会向上影响到房间里（不知道朝南临街的房间是否也有味道），对味道敏感的人可能无法接受。', 'star': 5}
{'descr': '饭店时间比较长了，比较旧，十分推荐一楼的一个粥房，不错', 'star': 5}
{'descr': '每次第二天早上去机场前一天晚上一定住在哪儿 所有的都很方便！\n', 'star': 5}
{'descr': '房间挺满意，空间大，干净卫生，周围饮食起居方便', 'star': 5}
{'descr': '如家统一标准，还可以。去我办事的地方比较方便。', 'star': 5}
{'descr': '房间满意，楼道不通风；', 'star': 3}
{'descr': '位置比较好，房间比较不错，价格也比较便宜。经常到北京开会，一般都在国际会议中心或者国家会议中心，比较方便，下次还会再来。', 'star': 5}
{'descr': '墙上有点脏，地上没有扫干净，躺床上身上会痒，其他一般\n隔音效果太差，门上还有乱七八糟的小广告\n空调开了等于没开', 'star': 1}
{'descr': '酒店位于鸟巢、水立方、中国科技馆等旅游景点，适合带孩子参观游览北京入住。', 'star': 5}
{'descr': '基本还是比较满意。房间挺大的，设施也比较好', 'star': 5}
{'descr': '交通比较便利，环境还不错，服务态度也还好', 'star': 5}
{'descr': '房间很紧张，不过周围的酒店好像都不容易订到房。价钱便宜，服务还行', 'star': 5}
{'descr': '前台的服务倒是没得说，就是门面太小了，不太容易找到。另外，餐厅装修，没有早餐也不方便', 'star': 5}
{'descr': '很一般，不过价钱低，也没什么好挑剔的', 'star': 3}
{'descr': '很可愛的大粉床 很是喜歡。', 'star': 3}
{'descr': '还不错，房间挺好，周围吃饭也挺方便。就是出门坐地铁不太方便。', 'star': 5}
{'descr': '＋交通还好，周围便利。', 'star': 3}
{'descr': '環境比較亂 但交通不錯 近地鐵  电梯不是很方便  附近飲食店很多', 'star': 5}
{'descr': '交通便利，周边环境也不错。服务快捷，周到，细致。', 'star': 5}
{'descr': '房间有点吵，隔音效果不太好，不过床还是睡得很舒服的，离着机场大巴也就走路10分钟的距离，比较方便', 'star': 5}
{'descr': '环境好，服务到位，交通方便，周边比较繁华。', 'star': 5}
{'descr': '比较满意，就是电梯不是很方便，卫生间设施不错，电视机信号不清楚，没有几个台', 'star': 5}
{'descr': '/住宿满意，服务周到。', 'star': 3}
{'descr': '环境还不错，房间及设施很干净，服务员态度也很好，只是没有吹风机，总之入住满意', 'star': 5}
{'descr': '所住过的如家中服务最差的一个', 'star': 3}
{'descr': '还可以~~ 。其它都还挺好的 \n交通很便利', 'star': 5}
{'descr': '还可以~~ 就是没暖气。但是其它都还挺好的 \n', 'star': 5}
{'descr': '\u3000比较满意', 'star': 3}
{'descr': '不错，就是有点老，其它的还行吧，交通买东西挺方便的', 'star': 5}
{'descr': '很干净，很温馨，还会来', 'star': 3}
{'descr': '如家快捷酒店（北京惠新东桥店）性价比高，会向朋友推荐这酒店，床也很好。呵呵。 \n', 'star': 5}
{'descr': '很不错。房间很干净，喜欢这里。如家，使我们商旅人士的家。\n', 'star': 5}
{'descr': '住过好多次如家，房间不大，但还算舒适温馨。最近2次住都是大床房，感觉被子不大干净，不如标准间好。还有就是这家的饭菜实在是太差了。', 'star': 1}
{'descr': '不错，值的入住，房间就是有点小，其他都挺好，交通方便', 'star': 5}
{'descr': '居然大早晨的在隔壁施工，那么大的电钻声，不管喝服务员说还是和前台说都不管用，而且还要求我们离开房间，太可怕了，而且在网上订的房间时208元，但是结账的时候坚持收220元，我不知道算不是一种欺骗，这家如家的服务态度是我见过最差的，没有之一', 'star': 1}
{'descr': '距离公司很近，每次都住这里，以前不返券，这次返券，但是房价也涨了。还是以前的房价比较好。', 'star': 5}
{'descr': '床单是粉红色的 地方很大 旁边就是几家小吃店 跟水立方啊什么的都很近 就是借了两次吹风机都没借到 不知道是吹风机少还是大家都要用  总之还可以', 'star': 5}
{'descr': '服务不错，人也不错，地址也不错，不知道价格能再优惠就更好了，环境安静', 'star': 5}
{'descr': '如家酒店，我认为一直都是很好的，干净、舒适，价格不贵。以后还会住如家。需要改进的是饭菜非常一般，我基本上都是在外面吃。', 'star': 5}
{'descr': '打车到鸟巢15元', 'star': 5}
{'descr': '来京出差，主要是离总公司近。发觉楼道里味道较大。', 'star': 3}
{'descr': '离公司位置较近，房间还可以。就是觉得楼道的味道较重', 'star': 5}
{'descr': '边上有很多美食，交通还挺方便的。去鸟巢也很方便是。离国家会议中心很近，若有展会住这里不错的。', 'star': 5}
{'descr': '在北京算是性价比不错的。\r\n我住的房间可能刚装修过，有一股油漆的味道。', 'star': 5}
{'descr': '如家，不错的酒店。干净、舒适。', 'star': 5}
{'descr': '惠新东桥店规模还不小，交通也便利，公交车很多，地铁的话要走一段路.房间内不算大，但很干净!值得表扬的是服务态度很好!', 'star': 5}
{'descr': '如家的积分制度应该按照实际消费额或者天数进行计算，住那么多天只能积分一次，不合理', 'star': 1}
{'descr': '在这样的位置有这样的价格和设施服务，总的来说是很不错的！', 'star': 5}
{'descr': '很一般', 'star': 1}
{'descr': '卫生很好，服务热情，交通还比较方便。就是临街有些吵。', 'star': 5}
{'descr': '第一次住如家惠新东桥店，离公司很近，方便。不过在马路边有些吵。卫生还算干净。服务不错，有要求能及时满足。下回还会住这里。', 'star': 5}
{'descr': '如家一直都是很不错的，干净、舒适，给人以安静的感觉，价格也不贵。', 'star': 5}
{'descr': '不是很喜欢房间的设计，靠路边有些吵', 'star': 3}
{'descr': '服务员态度很好，但我觉得内部的装饰没锦江的好。隔音效果不够好。', 'star': 1}
{'descr': '员工有点儿忙不过来~~等房间用了40分钟', 'star': 3}
{'descr': '入住2天，总的感觉还可以，就是头一天晚上11时左右有人敲门，没有报名，就没敢开门。还有，早上出去告诉服务员把房间卫生打扫一下，结果下午2点回来时房间没有打扫，在我们的要求下三点左右才打扫。前台服务人员素质不错，来有迎语，走有送话。希望巩固优点，克服不足，再次到京我还会入住该酒店。', 'star': 5}
{'descr': '周围都是家属区，离四环步行要7、8分钟，没有直达公交车。阳光不是很好，楼道比较昏暗、狭窄。', 'star': 5}
{'descr': '前台人员太少~客房服务人员也太少，等了很久才能等到把房间打扫干净', 'star': 1}
{'descr': '房间比较干净，服务不错，就是门脸比较小，停车不太方便', 'star': 5}
{'descr': '房间小，环境不是很好。', 'star': 1}
{'descr': '位置不错，我去修车就去这！', 'star': 5}
{'descr': '总体来说还不错，服务到位，也很干净', 'star': 5}
{'descr': '总体还行', 'star': 5}
{'descr': '酒店的位置还可以，就是房间的设施一般。尤其是卫生间，很冷。。。', 'star': 5}
{'descr': '地理位置还可以，离华堂不远不近。不到一站地。旁边有俩可以喝粥吃宵夜的地方24小时营业还不错。再往西一点有个7-11便利店。如家酒店都差不多，没有什么特别大差别的，只是这家店让我很不爽的就是前台的速度极慢。开房、结账，都要在10分钟以上。也不知道他们在那里忙什么，也可能的确是客人太多了吧。酒店门口没有停车的位置，门脸也比较小。', 'star': 5}
{'descr': '沿马路噪音特大，可以考虑加双层窗户。', 'star': 5}
{'descr': '还算可以吧!', 'star': 5}
{'descr': '屋子面积非常小，卫生间洗澡下水不好，下回不会再去了', 'star': 1}
{'descr': '如家连锁酒店，硬件条件基本都是不错的，房间很干净，舒适，而且这个店的位置也不错，挺方便的。', 'star': 3}
{'descr': '各方面都很好。', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '房间很大，也很干净，不错的地方。', 'star': 5}
{'descr': '位置不太好,有点偏,,找了好长时间才找到,其它方面都不错,价格也很合适.', 'star': 3}
{'descr': '酒店非常的温馨舒适，粉色的被褥有一种家的感觉。就是电视节目太少。这点希望能改进。\r\n', 'star': 5}
{'descr': '这里就是一个基本的经济型酒店，价格也不便宜，服务和硬件设施都很一般，卫生条件还不错，位置也挺好的，如果在到这个附近的话，我还是可以的。', 'star': 5}
{'descr': '酒店很一般,服务还可以,位置不错,房间很小硬件设很差,感觉不如锦江之星好只住了一晚就换了酒店.', 'star': 5}
{'descr': '酒店各方面都挺好的,没有遇到什么问题,服务也很热情周到,住着还是比较满意的.', 'star': 5}
{'descr': '房间太小了', 'star': 5}
{'descr': '酒店的环境挺好的，价格也不是很贵，位置也不错', 'star': 5}
{'descr': '去北京旅游时选择的这家酒店,交通比较方便,适合自己出行选择', 'star': 5}
{'descr': '服务不好,态度不好.酒店负责人解决问题态度不好, 酒店附近施工把客人衣服给我们弄脏了.这件事情给我们解决的不满意,主要是负责人态度不好.当时酒店内部外部都在部分装修.', 'star': 1}
{'descr': '这个酒店位置还可以，在经济连锁酒店来说如家算是贵点的，但是这个店他的房间很狭小，卫生间的地也不是很干净，感觉很不舒服。', 'star': 1}
{'descr': '酒店的环境很好，设施也不错，就有个缺点是一个房间只有一条宽带上网线，如果两人住一个房间，不能同时上网', 'star': 5}
{'descr': '奥运期间去的，看比赛很方便，尤其是晚上看完比赛回酒店路程比较近，不过平时去玩到旅游景点可能会有点远，旁边超市和饮食店比较多，还是挺方便的', 'star': 5}
{'descr': '酒店的服务卫生还是不错的。价格稍微偏高些了。', 'star': 5}
{'descr': '住了两次这家酒店，感觉还可以，就是早餐很一般，其他都比较不错，交通也很方便', 'star': 5}
{'descr': '和儿子去看残奥会时入往该酒店，感觉还比较方便，在地铁5号线惠新西街北口下车后步行15分钟可以到达，打车去鸟巢十几块钱就到了。附近有家海鲜店很不错。', 'star': 5}
{'descr': '奥运会期间去的，酒店也就一般了，不过卫生可以，离地铁有2里路吧，附近有个什么华堂商场', 'star': 3}
