{'短评内容': '设备有些陈旧，还算干净，安静。', '短评打分': 4}
{'短评内容': '隔壁很吵啊，隔音怎么就这么的差，一点改进都没有啊，声音太大鸟', '短评打分': 1}
{'短评内容': '总体还好，离外高桥比较近，离金桥开发区也不远。早点是如家标准的，适合私人出行。', '短评打分': 5}
{'短评内容': '基本还不错，就是周围餐馆不太多，周围的都不太好吃', '短评打分': 5}
{'短评内容': '服务很好价格合理，下次还来！', '短评打分': 3}
{'短评内容': '很干净，但是每天早上打扫卫生的特别吵，每天都这样，', '短评打分': 3}
{'短评内容': '很好实惠', '短评打分': 3}
{'短评内容': '还不错吧 整体满舒适的 店如其名  好地方 很有气息', '短评打分': 5}
{'短评内容': 'ok~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '环境还可以，干净卫生，只是隔音稍差，总的来说还不错。', '短评打分': 5}
{'短评内容': '房间比较干净，整洁，这也是如家一贯的特设色，就是特惠房间空调比较吵，其他还好。', '短评打分': 3}
{'短评内容': '隔音差\n其他都好\n性价比还好把~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '一如既往的选择。干净，温馨，服务态度很好。', '短评打分': 5}
{'短评内容': '恩，很好', '短评打分': 3}
{'短评内容': '希望入住前问清楚是否为无窗房！\n本人第一次住的是有窗房感觉挺舒服的。第二次住的是无窗房，正巧隔壁有个人鼾声雷动啊。隔音效果不好，害得我一夜没睡好。', '短评打分': 5}
{'短评内容': '酒店管理还是比较严格的，因为距离我的目的地较近，地理位置比较有优势，较整洁。整体不错。', '短评打分': 5}
{'短评内容': '藏在一家饭店后面，找了一会\n设施 服务还是不错，推荐', '短评打分': 5}
{'短评内容': '干净，价廉，性价比高，商务首选，要是电视是液晶的就更好了~', '短评打分': 5}
{'短评内容': '性价比不错，交通方便，早点有些简单，服务人员态度尚可。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '地理位置还是相对方便的 房间也还是很干净 就是第二天走廊比较吵杂', '短评打分': 5}
{'短评内容': '以前可以住二楼的，今天莫名其妙只能住1楼了，烦', '短评打分': 3}
{'短评内容': '很好满意！', '短评打分': 3}
{'短评内容': '同事来上海出差，我帮他定的，很不错的，房间很温馨，卫生条件也不错。', '短评打分': 5}
{'短评内容': '长期在上海出差，金桥附近的商务酒店基本上都住过了，感觉如家的房间最温馨，卫生条件也不错。如果不是边上的变电站有点让人不爽我们很希望长住在这儿。三天两头换宾馆也很烦人。', '短评打分': 5}
{'短评内容': '其他都好，就是隔音有些个差。晚上睡觉都能被隔壁的讲话声吵醒', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '服务态度不错噢 房间也还是很干净的 总的来说 挺满意的', '短评打分': 5}
{'短评内容': '整体蛮舒适的', '短评打分': 3}
{'短评内容': '卫生还是很干净的，连锁的宾馆还是很放心的，就是位置比较偏，离会展中心不远，一楼的隔音不好', '短评打分': 5}
{'短评内容': '环境可以，卫生干净，早餐挺全的，就是隔音不好，走廊的什么声音都听得到', '短评打分': 5}
{'短评内容': '都蛮好的 就是走廊里有一点点吵 服务态度蛮好的', '短评打分': 5}
{'短评内容': '各方面都还不错,就是房间那种空调噪音太大了,影响睡眠', '短评打分': 5}
{'短评内容': '挺干净的 就是不太好找', '短评打分': 3}
{'短评内容': '  整体感觉还不错,设施比较人性话,但隔音效果欠佳', '短评打分': 3}
{'短评内容': '很干净，非常喜欢', '短评打分': 3}
{'短评内容': '交通便利，性价比较高，靠近马路的房间有点吵，早餐很好。', '短评打分': 5}
{'短评内容': ' 除了洗澡水要放很久才会出来热水外 其他都很不错 如家的服务很好', '短评打分': 3}
{'短评内容': '还不错啊 离金桥商业区很近  上班方便！！！', '短评打分': 5}
{'短评内容': '性价比还不错,就是位置太偏了。', '短评打分': 3}
{'短评内容': '还行房间有点小价格偏高', '短评打分': 5}
{'短评内容': '还凑活。还凑活。还凑活。还凑活。还凑活。还凑活。还凑活。还凑活。', '短评打分': 5}
{'短评内容': '整体还行，没有自己的早餐店，上网也太慢了。', '短评打分': 5}
{'短评内容': '隔音效果实在太差！地段也很不好，价格太贵了…', '短评打分': 5}
{'短评内容': '酒店位置不太好，离地铁站不很方便，服务还是到位，热情周到，房间稍小，下次不会入住了', '短评打分': 1}
{'短评内容': '店总体不错，设施也较为齐，就是地点偏僻，难找，如能在大路上竖立个指示牌就好了', '短评打分': 3}
{'短评内容': '整体设施还可以，就是位置偏，标识不清晰，如能在外面路口有个指示牌就好了', '短评打分': 5}
{'短评内容': '酒店有点偏僻，而且房间有股味！大床房要300多有点小贵了…', '短评打分': 5}
{'短评内容': '环境不错，服务态度良好，交通便利，值得推荐！', '短评打分': 3}
{'短评内容': '还算可以吧！！！就是偏僻一点（离地铁站远一点）其他的还算好了！！！！', '短评打分': 5}
{'短评内容': '粉色的床單很喜歡....就是搭車不怎麼方便...沒有電吹風機洗頭沒法吹乾這點不怎麼好....其他的都滿滿意的....', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '干净、太贵！SB期间只能这样了。SB以后看你们如何生存？', '短评打分': 3}
{'短评内容': 'SB啊！能住上就不错了！上海的酒店业，今年可要发死啦！可是过了今年怎么办呢？', '短评打分': 5}
{'短评内容': '环境舒适优雅，设施齐全，楼层合理，卫生清扫及时干净，服务人员态度良好，就是价格有点偏高。。。。。。。。。。', '短评打分': 3}
{'短评内容': '如家酒店的住宿条件态度还是有待提高件还不错，干净整洁，在卫生、服务个方面都很周到，由于刚入住尚未有其它的意见', '短评打分': 5}
{'短评内容': '帮朋友订的，世博期间，这个价格也是没办法，位置太偏', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 1}
{'短评内容': '早餐一般 ', '短评打分': 5}
{'短评内容': '地板如果可以提前拖就更好了,有点潮湿', '短评打分': 5}
{'短评内容': '隔音太差了，窗户外挂好多空调压缩机\r\n服务还行\r\n早餐质量要加强', '短评打分': 5}
{'短评内容': '就是室外声音比较响', '短评打分': 5}
{'短评内容': '距离地铁站有些远。。。不过很舒服', '短评打分': 5}
{'短评内容': '电视机比较破，隔音太差。', '短评打分': 5}
{'短评内容': '隔音效果不太好, 地理位置有些偏. ', '短评打分': 5}
{'短评内容': '喷头坏了，没有及时更换，', '短评打分': 5}
{'短评内容': '很干净！隔音不是很好，交通不是很方便.', '短评打分': 3}
{'短评内容': '很干净！隔音不是很好，交通不是很方便，出了地铁还要乘出租车。', '短评打分': 3}
{'短评内容': '需要出地铁再乘出租车，起步价可以到。地理位置不喧闹，但是隔音不是很好。', '短评打分': 5}
{'短评内容': '总的感觉还行,就是地方小点,且在楼中间一排,前后是过道,隔音效果不太好', '短评打分': 3}
{'短评内容': '最近因为新装修，房间里、走廊里空气不好，房间太小，隔音效果也很差，走廊里有什么动静全能听见。', '短评打分': 1}
{'短评内容': '服务很好~不错的价格', '短评打分': 5}
{'短评内容': '房间隔音效果差，旁边有施工工地，玻璃隔音效果也不是很好', '短评打分': 5}
{'短评内容': '交通便利。尤其是离浦东机场十分方便。', '短评打分': 3}
{'短评内容': '性价比很好。', '短评打分': 5}
{'短评内容': '入住后的第一间房空调坏了,换了一间,房间里少个凳子,半天也没拿来,后来不要了,别的还可以,就是偏僻些.', '短评打分': 5}
{'短评内容': '房间的通风系统和空调系统一般', '短评打分': 5}
{'短评内容': '地方非常偏僻，空间非常小。但是卫生可以，性价比还可以。', '短评打分': 1}
{'短评内容': '酒店价格便宜，超好', '短评打分': 3}
{'短评内容': '酒店价格便宜，而且环境也好，下次还住', '短评打分': 5}
{'短评内容': '位置有些偏了,不太好找,酒店的条件还是不错的,没什么不满意的地方,价格也比较合理.', '短评打分': 3}
{'短评内容': '总体来说不错。就是位置比较偏。', '短评打分': 5}
{'短评内容': '比较满意，干净，服务态度比较好，价格网上定没有便宜多少，只有9元。我设置用40元消费券，结果也没的用', '短评打分': 5}
{'短评内容': '不错，特价房还是蛮核算的，就是房间都是一楼，有点暗。', '短评打分': 5}
{'短评内容': '每次来都住这里.服务还可以.', '短评打分': 3}
{'短评内容': '就是位置偏了点,其它还可以.已经住了十几次了.价格会经常稍微有一点波动.网速超慢.有时开机就会收到杀毒软件病毒进攻的警告.', '短评打分': 3}
{'短评内容': '就是位置偏了点,其它还可以.价格会经常稍微有一点波动.', '短评打分': 5}
{'短评内容': '服务特别好！！！', '短评打分': 5}
{'短评内容': '网速不怎么快！', '短评打分': 1}
{'短评内容': 'N次入住，一如即往的好~！\r\n', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 3}
{'短评内容': '不错，很好的，每次来这边都住这家', '短评打分': 3}
{'短评内容': '很好&#183;', '短评打分': 5}
{'短评内容': '房间里面蚂蚁太多了，卫生还不错，房间还是比较干净的，设施都一般吧，服务很好，很热情，我觉得这家酒店性价比一般', '短评打分': 3}
{'短评内容': '当时住在中间的房间,窗户朝向走廊,感觉通风不太好,其他倒没什么,毕竟是全国连锁,挺干净的,价格也实惠.', '短评打分': 3}
{'短评内容': '位置不好找，而且当时住一楼，信号超级不好', '短评打分': 5}
{'短评内容': '环境干净，但位于变电站旁边，会有地磁辐射的心理阴影', '短评打分': 5}
{'短评内容': '房间比较小设施有些老旧了,酒店是第一次去不好找是在一条小路里面,有些偏.其它很一般下次不会在选这家酒店.', '短评打分': 3}
{'短评内容': '总的来说不错~它的房间是这样的，两边的有窗的，基本都是标间，中间部分没有窗的是大床房，我是比较挑剔的人，而且一般住酒店都睡不踏实，开始的时候要求服务员帮我换了标间，但是那屋子有蚂蚁，又换到了大床房，说是第二天有房间了再帮我换回来。本来觉得窗户靠走廊不舒服，不过拉上窗帘就都一样了，而且只是晚上住住，出乎意料的是我睡得非常踏实，所以这三天就都住在这里了。服务员态度很好，我换了好几回房间他都不生气，还是', '短评打分': 5}
{'短评内容': '就是太偏僻了。出门不打车的话，还得走老长一段路。打车的话，又不划算。12块钱还没跑完，就到公交车站了。', '短评打分': 5}
{'短评内容': '酒店的设施还算可以，价格也还比较优惠，但是这个位置出门只能打车，公交基本没有，而且他们的服务很一般。', '短评打分': 3}
{'短评内容': '我住的是没有窗户的，感觉通风不是很好，卫生都是弄的挺干净的，设施条件一般了点了，整体感觉价格还是比较合适的。', '短评打分': 5}
{'短评内容': '当天我住的是一楼，蚊子特别多，晚上花了好长时间打死了９只蚊子后才睡觉．', '短评打分': 1}
{'短评内容': '位置太点偏，交通不方便，别的都还可以，以后不会选择了', '短评打分': 1}
{'短评内容': '酒店总体感觉一般,不如其它的如家,房间不太通风,可能是我住的房间的问题,周边没有其它什么酒店可选,卫生服务还不错,其它也还可以.', '短评打分': 5}
{'短评内容': '房间里还是蛮干净舒适的,设施也比较齐全,位置有点偏了,整个感觉价格还可以.', '短评打分': 5}
{'短评内容': '感觉酒店的设施很一般,而且中间的房间晚上总是亮着灯,因为窗户是对走廊的,窗帘遮不严,最主要是周围交通非常不方便,坐地铁都得打车', '短评打分': 1}
{'短评内容': '房间还算宽敞,但是房间搁距太小,淋浴设施不错,但是卫生间很小.另外地理位置难找,停车场很宽裕.', '短评打分': 3}
{'短评内容': '&lt;font color=&quot;Blue&quot;&gt;&lt;font size=&quot;2&quot;&gt;&lt;font face=&quot;宋体&quot;&gt;先订了大床房，基本上是暗窗，窗在过道上，出于安全与隐私，都用玻璃封掉的那种，住进去后就发现手机没有信号，短信发不出，电话打不出，即使开了门也一样，后来无奈之下换了商务大床房，房间还是比较新的，看得出是新装', '短评打分': 3}
