{'短评内容': '好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '重庆洲际酒店的地理位置太好了，绝佳！地处解放碑商业中心地带，购物、美食、观光景点都不远。酒店装饰装潢也很漂亮，酒店服务很到位，我们入住的洲际高级双床房，房间很宽敞，床很宽大且非常舒服。每张床的宽度相当于一个普通的双人床哎！前台办事效率很高。酒店大门口的服务人员非常热情，为我们指路，帮我们叫车。入住的当晚，在中餐亭用餐，比较冷清，菜品比较贵一些。\n总的感觉相当的不错，下次来重庆再来洲际酒店，那是必须', '短评打分': 5}
{'短评内容': '地理位置及周边环境非常好，客房服务较为到位！但唯一一点需要改进，房间内隔音效果尚需改进！', '短评打分': 5}
{'短评内容': '酒店内部设施好，交通便利，用餐较贵，总体不错', '短评打分': 5}
{'短评内容': '酒店内部设施很好，交通很便利，只是用餐较贵，好在酒店周围有很多吃饭的地方。', '短评打分': 5}
{'短评内容': '位置很好，酒店硬件陈旧，水龙头水很细，不给力。健身中心值得推荐。', '短评打分': 5}
{'短评内容': '名副其实的五星酒店，体贴细致的服务。值得推荐', '短评打分': 5}
{'短评内容': '地头一流,步行街就在边上,服务也不错,房间干净漂亮', '短评打分': 5}
{'短评内容': '位置很好,交通便利,周边吃\\购\\娱都很方便!装修豪华典雅!服务热情周到!唯一不足之处就是房间电视居然还是老式的,又小又不清楚!这和洲际的形象与定位不太相符!再有就是房间网络不稳定,经常断网,而且收费较贵!', '短评打分': 5}
{'短评内容': '虽说大堂并不显大气..但房间还是蛮舒服的', '短评打分': 5}
{'短评内容': '入住手续快简单服务好', '短评打分': 3}
{'短评内容': '，大堂很小气，不过洲际的大床一直是我的最爱。', '短评打分': 3}
{'短评内容': ' 酒店服务很好，地域绝佳。但酒店大堂环境一般', '短评打分': 3}
{'短评内容': '非常不错的酒店，各方面都不错在，早餐一般', '短评打分': 3}
{'短评内容': '地理位置十分便捷，大厅有点小巧，价位品质符合5星标准！！！', '短评打分': 5}
{'短评内容': '酒店的泳池不错，服务也不错，就是晚上自助餐太垃圾，性价比极低。。。。。。。', '短评打分': 5}
{'短评内容': ' 真的不错，服务到位', '短评打分': 3}
{'短评内容': '酒店地理位置好，就在解放碑旁，逛街食东西玩都方便。', '短评打分': 3}
{'短评内容': '酒店硬件设施很好，环境不错，坐车很方便，只是早点有些贵。', '短评打分': 5}
{'短评内容': '还不错，相当方便的', '短评打分': 3}
{'短评内容': '很不错，位置好，服务好。下次去重庆还住这里。', '短评打分': 5}
{'短评内容': '酒店没有想像中的大，但很干净。周边小吃、购物都很方便。', '短评打分': 3}
{'短评内容': '766的房价没有早餐，感觉不太值。不过位置绝佳，房间设施和服务是不错的，值得向朋友推荐', '短评打分': 5}
{'短评内容': '品质水平都比较满意，地理位置很也很方便，商务行比较适合', '短评打分': 5}
{'短评内容': '很好的酒店，环境、服务都很好！下回有朋友出差或到重庆旅游，仍然会推荐该家酒店！', '短评打分': 5}
{'短评内容': '一般般，没有什么特色，还要先交担保费，很麻烦，为什么', '短评打分': 1}
{'短评内容': '非常不错 逛街也方便  fuhadkla', '短评打分': 5}
{'短评内容': ' 好', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '除了我认为每晚756均价不含早，我认为换可以外，其它不好，我住过上海的和迪拜的，难道他们的标准都不一样吗？别的就不多说了，希望重庆的这家向上海的学学啊 \n', '短评打分': 1}
{'短评内容': '酒店硬件和服务都不错，交通便利，方便出行和购物，但房间宽带不免费，还很贵，每小时40元。', '短评打分': 3}
{'短评内容': '好舒服高级！！！！！好舒服高级！！！！！好舒服高级！！！！！好舒服高级！！！！！好舒服高级！！！！！', '短评打分': 5}
{'短评内容': '酒店环境不错哦，住的是商务套房，房间很大，设施也不错。', '短评打分': 5}
{'短评内容': '服务比较热情，房间很干净，床很舒服噢。', '短评打分': 3}
{'短评内容': '环境位置都不错', '短评打分': 3}
{'短评内容': '大堂略显小气，吃饭购物也很方便，房间设施不错。但是我入住后，房间赠送的矿泉水竟然是喝过的，虽然开了夜床，但是拖鞋也明显被人穿过，我没有投诉，但是很失望，洲际也会犯这种错误', '短评打分': 5}
{'短评内容': '环境干净卫生,服务好,在CBD中心区域,交通方便.', '短评打分': 5}
{'短评内容': '酒店条件比较好，位置适中，吃住行都很方便。管理服务也不错，接待、礼宾、房间服务都可以。还会来的。', '短评打分': 5}
{'短评内容': '酒店交通很方便，前台服务员态度很好，安排的房间也很安静，整体感觉不错。', '短评打分': 5}
{'短评内容': '酒店还是比较不错的，住的也挺开心，下次还回再来', '短评打分': 5}
{'短评内容': '酒店地处解放碑步行街，非常方便，外出购物或吃东西选择也很多。酒店总体设施和服务都不错，物有所值。', '短评打分': 5}
{'短评内容': '位置很不错。，但是房间有点旧。', '短评打分': 3}
{'短评内容': ' 黄金地段有特色，空调噪音有点大早餐种类少了点，总体还行吧', '短评打分': 3}
{'短评内容': '地段和价格都可以，就是装修稍微有点老了！', '短评打分': 5}
{'短评内容': '下次去重庆还会住这里哈，，，比较不错。。', '短评打分': 5}
{'短评内容': '一如既往的好,地理位置优越,购物方便,离美丽的洪崖洞五分钟距离,周围还有许多好吃的火锅店,适合入住', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '房间真的没话说，五星就是五星！！~~~~~~~', '短评打分': 5}
{'短评内容': '位于商业区,购物方便,房间也不错.\n门口在修路,打的稍有不便.', '短评打分': 5}
{'短评内容': 'good location with good service ', '短评打分': 5}
{'短评内容': ' 服 务 还 不 错，  但 酒 店 大 堂 有 些 狭 窄 不 够 气 派。', '短评打分': 5}
{'短评内容': '酒店品质很好', '短评打分': 3}
{'短评内容': '我住的高级客房。卫生间有五星级的感觉，卧房有点窄。电视居然还不是平板，有点降档次。', '短评打分': 3}
{'短评内容': '很不错~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '不错，地点较好，就在解放碑旁；服务优，房间清洁；就是上网还要每天100元，不太合理', '短评打分': 5}
{'短评内容': ' 还不错！', '短评打分': 3}
{'短评内容': '还可以,在重庆商业中心解放碑的中心位置。酒店餐饮一般', '短评打分': 5}
{'短评内容': '酒店设施较好，环境干净整洁，就是价格有点小贵。服务非常不错', '短评打分': 5}
{'短评内容': '酒店设施和服务都挺不错的。', '短评打分': 3}
{'短评内容': '洲际品牌·值得信赖···洲际品牌·值得信赖···洲际品牌·值得信赖···', '短评打分': 5}
{'短评内容': '房间和早餐都很棒.', '短评打分': 3}
{'短评内容': '酒店交通还是比较方便，环境安静，下次还会来', '短评打分': 5}
{'短评内容': ' 酒店地理位置不错，房间也挺舒服，推荐！', '短评打分': 3}
{'短评内容': '地理位置很好，依窗能将两江景色尽收。房间舒适，就是早餐品种少了点', '短评打分': 5}
{'短评内容': '酒店管理还是国际水平的，但是物业因为是烂尾楼改造而成，很多硬件的东西不是很满意，比如电梯太慢等！', '短评打分': 5}
{'短评内容': '酒店地理環境優越,服務員非常專業有禮,我因航班誤點,半夜才到酒店,身心疲累,他們把我的房間級別免費提升到豪華房,令我意想不到,非常高興,下次再到重慶必定再次入住.', '短评打分': 5}
{'短评内容': '位置不错,房间很大,服务比较热情.\n但是,上网要收费,比较贵,如果在意的话,需要注意.\n', '短评打分': 5}
{'短评内容': '，今晚入住。', '短评打分': 3}
{'短评内容': '位于市中心解放碑区域，位置优越，服务也不错，发间够大                                             ', '短评打分': 5}
{'短评内容': '酒店不错，有点贵，服务和其他城市同类相比，有提高的空件', '短评打分': 3}
{'短评内容': '地理位置很好，解放碑广场近在咫尺，洲际酒店的设施还是非常齐全的，强烈推荐。', '短评打分': 5}
{'短评内容': ' 房间很宽敞，就是服务有点慢', '短评打分': 3}
{'短评内容': '因为和重庆建行比邻,大堂较小.但其内涵秉承洲际一贯风格,698(含双早)这个价格值得体验', '短评打分': 5}
{'短评内容': '不符合洲际酒店的水准,会失望的,具体就不细说了.', '短评打分': 1}
{'短评内容': '酒店位置很好，离洪崖洞、解放牌很近，门童服务热情敬业，值得表扬。但早餐服务员对老外很热情，茶水咖啡一直不停帮助续杯，对国人服务差远了。', '短评打分': 5}
{'短评内容': '值得推荐的地方是，地理位置非常非常好，走到解放碑等著名景点都灰常方便', '短评打分': 5}
{'短评内容': '装修豪华，周边配套非常齐全。 如果住在渝中区的话，可以优先考虑。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '目前来说算重庆最好的酒店了，在全国洲际来说价钱偏低，床很舒服，地理位置也可以。但是电视还是很古老的款式，上网40元每小时也很贵，其他一般。', '短评打分': 5}
{'短评内容': '市中心，繁华，服务好，天天大雾，没见到太阳，', '短评打分': 5}
{'短评内容': '酒店位置不错，服务也很满意，离解放碑5分钟步行，就是在重庆四天，没见过太阳，郁闷啊，什么好夜景都没看到。', '短评打分': 5}
{'短评内容': '酒店位置不错，服务也很满意，离解放碑5分钟步行，就是在重庆四天，没见过太阳，郁闷啊，什么好夜景都没看到。酒店位置不错，服务也很满意，离解放碑5分钟步行，就是在重庆四天，没见过太阳，郁闷啊，什么好夜景都没看到。', '短评打分': 5}
{'短评内容': '酒店还不错，位置好，适合打望，房间如果能够大点价格再低点，更合适了。', '短评打分': 5}
{'短评内容': '重庆洲际酒店。对于去到重庆旅游的游客是不错的选择。临近解放碑商业步行街。又临近闻名的好吃街。是集于吃喝玩乐的繁华地带。而且酒店措施齐全。环境是闹中带静。。下次去重庆，洲际还是首选。。', '短评打分': 5}
{'短评内容': '看了很多介绍，选中了洲际，实话说，除了地段是绝对的好以外，其它的是无比的失望。ELONG订的房间很不行啊，房间很小，而且房间里还有一个大柱子，总体感觉很压抑，电视还是上个世纪的机型。大堂小的可怜，居然连客人坐的地方都很难找到，只在大堂厕所间门口有一个三人沙发。洲际也算是知名品牌，可惜了。反正下次是不会再住的。', '短评打分': 1}
{'短评内容': '不错的酒店，各方面服务都挺好，下次还会再住这里', '短评打分': 5}
{'短评内容': '很不错的酒店，地理位置不错,早晨还可以的', '短评打分': 5}
{'短评内容': '房间不错，很新。电梯时用卡来刷的，很安全，但也很麻烦，如果隔楼层串门就不好了。', '短评打分': 5}
{'短评内容': '十最贵但不是最好', '短评打分': 3}
{'短评内容': '位置极好，客房也不错，酒店房间往下看就是热闹的步行街，由于楼层高，隔音好，很有点闹中取静的感觉，缺点则是早餐的品种和味道是我住过五星里最差的。', '短评打分': 5}
{'短评内容': '还是洲际好，强烈推荐。洗澡很舒服~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '硬件设施不错，早餐还可以。床非常软，睡起很舒服。另外提供的东西很齐全，想得很周到。卫生间挺漂亮的！！！', '短评打分': 5}
{'短评内容': '同事反馈还不错，性价比还可以，比较适合商务差旅住宿', '短评打分': 5}
{'短评内容': '酒店不错，值得推荐，环境和位置都挺好的，给大家参考', '短评打分': 5}
{'短评内容': '+酒店硬件比较新。床和卫生间都很舒服。就在步行街上出行很方便。缺点：房间内无无线，有线宽带要收费。自助早餐品种太少。前台速度慢', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '不错，值得推荐，地理位置很好，周边餐饮较多', '短评打分': 5}
{'短评内容': '地理条件不错服务周到', '短评打分': 5}
{'短评内容': '坦白说，这个酒店老了，门面和大堂一点没有五星的概念，房间设施较旧，不过还是保留了洲际的国际化概念。性价比一般。', '短评打分': 1}
{'短评内容': '酒店的服务态度很好 住的很舒适', '短评打分': 5}
{'短评内容': '+环境舒适，房间很漂亮。', '短评打分': 5}
{'短评内容': '酒店所处位置就在步行街附近，非常方便，房间设施、卫生间非常好！我会再次选择的。', '短评打分': 5}
{'短评内容': '位置不错，房间比较大。', '短评打分': 5}
{'短评内容': '很好,房间很舒服,很漂亮.希望大家如果在入住的时候晚上不要出门,因为晚上不是很好打车.还有就是建议在一楼咖啡吧台的服务员提醒一下有些客人,那里不是吃火锅喝酒的地方,还是不要大声喧哗.', '短评打分': 5}
{'短评内容': '应该是重庆最好酒店之一了。服务和设施都不错，入住率也很高，只是大堂不是很大，对前台的小姐印象挺深，服务态度很好。用不用网上订房价格都是一样。希望以后从网上订房能免费包早，否则没啥价格优势。', '短评打分': 5}
{'短评内容': '酒店服务好,交通便利,周边购物餐饮极其方便.但遗憾的是在退房后不慎丢在房间的玉坠没了,酒店相关工作人员尽力排查寻找,但最终无果,此次旅行中最大的痛点.', '短评打分': 5}
{'短评内容': ' 酒店位置很好', '短评打分': 5}
{'短评内容': '市中心解放碑的位置，性价比很高！住的也很舒适！设施很齐全,就是房间里的摆设有点杂乱,没有直接饮用水的水龙头,的是总提还是值得推荐！ ', '短评打分': 5}
{'短评内容': '就是酒店有些吵。因为装修。这个价格和性价比在重庆确实一般', '短评打分': 1}
{'短评内容': '地理位置好，很方便，适合旅游，商务，酒店服务很好，性价比高．', '短评打分': 3}
{'短评内容': '地理位置好，\u3000很方便，酒店服务很好，性价比高．', '短评打分': 5}
{'短评内容': '这家洲际虽然老了点，但是在软件上的各项设施都让人非常满意，最值得一提的是床上用品，柔软舒适服帖。\r\n另外房间也非常安静，我们在这里睡了非常舒适的一晚。', '短评打分': 5}
{'短评内容': '地理位置很好，位于解放碑CBD，旁边就是王府井百货、美美百货、太平洋百货和大都会广场，周边还有洪崖洞等特色街区。从34层的房间可以俯瞰重庆的夜景！作为世界顶级酒店品牌，服务和设施自然也相当不错！唯一有些遗憾的是，近40层的摩天大厦，电梯却比较慢。\r\n\r\n', '短评打分': 3}
{'短评内容': '地理位置很好，位于解放碑CBD，旁边就是王府井百货、美美百货、太平洋百货和大都会广场，周边还有洪崖洞等特色街区。从34层的房间可以俯瞰重庆的夜景！作为世界顶级酒店品牌，服务和设施自然也相当不错！唯一有些遗憾的是，近40层的摩天大厦，电梯却比较慢。', '短评打分': 5}
{'短评内容': '位置很好，下次还会去住。', '短评打分': 5}
{'短评内容': '很好，唯一缺点就是隔音效果不太好。', '短评打分': 5}
{'短评内容': '非常好。但是，给会员的水果忘了送来。', '短评打分': 5}
{'短评内容': '总体上都很不错的酒店', '短评打分': 5}
{'短评内容': '蛮喜欢的酒店，性价比很好，我还会住', '短评打分': 5}
{'短评内容': '性价比挺高，还不错。', '短评打分': 5}
{'短评内容': '经常住的，不错的', '短评打分': 5}
{'短评内容': '我看到了一些下面的评论。我住过世界上很多洲际酒店，包括国内在内，重庆这家的确大堂小些，但是足够亲切，服务到位，徒步到解放碑。房间也满好，我住入套房，相当好。就是和周边的塔楼距离太近，不拉窗帘会不自然，看江景多少受到影响。总体不错，性能价格比也蛮高的。', '短评打分': 3}
{'短评内容': '房间很大，大堂很大，早餐丰富。位置很便利。是到位的五星级酒店。', '短评打分': 5}
{'短评内容': '房间还不错，只是大堂小了些。', '短评打分': 3}
{'短评内容': '此酒店跟集团其他洲际相比，是比较低档的，个人觉得应该相当于同集团的sheraton 或four points。厅堂比较小。位于解放碑中心地带，比较堵车，应该比较适合旅游者吧。', '短评打分': 1}
{'短评内容': '比周边的酒店差很多', '短评打分': 1}
{'短评内容': '离解放碑很近，客房环境也很好，床也很舒服，就是隔壁在施工，有点吵，但不影响睡眠，下次还想住', '短评打分': 5}
{'短评内容': '位置不错，房间设施布局好，早餐比较丰富，因为紧挨海逸酒店，所以从性价比上两家有一拼。', '短评打分': 5}
{'短评内容': '设施不错,位置没得说\r\n但酒店里的配套设施好象不全.希望改进.早餐的品种也少了点,不符合五星级的预期啊.\r\n', '短评打分': 5}
{'短评内容': '5星级酒店就是不一样', '短评打分': 3}
{'短评内容': 'good ', '短评打分': 3}
{'短评内容': '性价比不太高入住一千多的俱乐部房和普通几百块的房间区别不大。位置很好。', '短评打分': 3}
{'短评内容': '酒店的条件和环境都非常不错，服务态度也很好很满意，而且交通方便，价格适中，很不错。', '短评打分': 3}
{'短评内容': '价格太贵，服务和设施都不错', '短评打分': 3}
{'短评内容': '不错的酒店，位置很好，服务也很好', '短评打分': 3}
{'短评内容': '不错的酒店，位置好，服务也不错，就是价格稍贵，值得推荐.', '短评打分': 5}
{'短评内容': '酒店整体不错，就是位于解放碑，交通太过拥挤，大堂和其他洲际比起来，略微小了一些。早餐也凑合了。', '短评打分': 5}
{'短评内容': '酒店条件不错，房间内电视机稍旧，和五星酒店的品质有些不符。', '短评打分': 5}
{'短评内容': '5星的酒店肯定舒服啦', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置也不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '无论是内部的环境还是人员的服务，我认为都不错，毕竟是国际品牌的酒店。位置在解放碑旁边，很便利', '短评打分': 3}
{'短评内容': '重庆住到现在最好的酒店。。。', '短评打分': 5}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '5', '短评打分': 5}
{'短评内容': '淋浴漏水, 美中不足', '短评打分': 5}
{'短评内容': '设施，地段都绝对是一流的。之是服务水平上还有待改进。我们当时入住酒店的时候是晚上九点左右，原来预定的房型没有了，酒店方面考虑到我们第二天早上一早就离店就免费将我们升级到套房。让我感觉很是满意。不过在CHECK IN的过程中，我要求预定一辆送机场的酒店车，那个礼宾部的人，在我和前台人员对话是总是要夹进来，抢着说话，急于完成自己的那部分工作，让我感觉不是很好。一度出现同时有三个人根我讲话，我都不知道该', '短评打分': 5}
{'短评内容': '服务一般', '短评打分': 5}
{'短评内容': '酒店整体环境不错，位置较好，就是有两点建议改进：一是大街上几乎见不到酒店的指示系统，在重庆尤其是解放碑附近道路比较复杂的情况下，不利于客人方便达到；酒店的服务不能只管酒店内部，还应该照顾到路途指示。二是上网收费，对于商务客人来讲，利用互联网处理公务是必需的，本来酒店价格就相对偏高，在这个问题上不仅显得小气，而且反映出酒店内部部门利益与整体利益有冲突，服务档次下降。', '短评打分': 5}
{'短评内容': '很喜欢洲际，下次还会入住，但大堂不够气派', '短评打分': 5}
{'短评内容': '位置是不错但和旁边的五星酒店比起来性价比差好多，1200多的房间和万豪600的房间一样一样的嘛', '短评打分': 5}
{'短评内容': '房间大比较舒适', '短评打分': 5}
{'短评内容': '可以算是重庆最好五星酒店了。', '短评打分': 5}
{'短评内容': '洲际是我最喜欢的酒店品牌，房间舒适干净，服务贴心，就是重庆的洲际大堂是在和5星的形象不符，希望能改进下。', '短评打分': 3}
{'短评内容': '是我住过比较好的酒店了，性价比非常好，早餐也非常好，就是房间上网要收费，小气。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都很不错，位置出行交通方便。卫生服务都很好，价格也算是比较合理适中的，整体来讲酒店的性价比很合理值得推荐入住。', '短评打分': 5}
{'短评内容': '除了叫车漫天要价，3岁以下孩子也要收早餐费以外都还可以', '短评打分': 5}
{'短评内容': '位置不错，房间设施也比较人性化，很方便和得体。卫生间舒服简洁。如果到重庆，很愿意再去这家酒店入住。', '短评打分': 5}
{'短评内容': '不错的饭店,就是设施老了点,早餐很丰富', '短评打分': 3}
{'短评内容': '我在4月17日入住的该饭店,地理位置好,早餐很丰富,服务好,下次还会考虑入住,建议每天晚6点整理房间!', '短评打分': 5}
{'短评内容': '这是我经常入住的酒店，总体感觉很好，符合我的要求，建议商务客人首选重庆洲际', '短评打分': 5}
{'短评内容': '我出行一般都是选择5星级酒店，这家洲际酒店的条件不错，设施挺整洁的，服务也比较的热情', '短评打分': 5}
{'短评内容': '服务太差，我春节本来订了三晚住了一晚就搬家了。房间放的衣服都没叠过。卫生间洗澡后就像是发了洪水一样。我告诉酒店的总台后，那个经理就只会不停的问我他们要怎么改进，就不会说别的了。\r\n   难道酒店的管理是我们客人的职责吗？\r\n我觉得这家酒店与他国际知名酒店集团名不符实！！！！', '短评打分': 1}
{'短评内容': '酒店整体来说都很不错，环境服务设施，都很好，但是他的位置太偏，交通也不是很方便。', '短评打分': 1}
{'短评内容': '酒店位置不错， 但服务一般。', '短评打分': 1}
{'短评内容': '酒店整体感觉还不错，干净舒适，服务也不错，就是上网需要不太好', '短评打分': 5}
{'短评内容': '挺好的，服务很周到，酒店也很干净，在那边出差办事，离我办事的地方也很方便', '短评打分': 5}
{'短评内容': '环境不错，服务也到位，位置好', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '设施卫生价格都不错，就是check-in时觉得大厅有点乱，前台服务不够热情。上网2元/分收费不太好，要么免费，要么直接加到房费里。看着一串串的收费心里烦，谁记得一次上多少分钟啊？', '短评打分': 3}
{'短评内容': '周末入住价格合适就是不能续房!不得不另找饭店不够人性化!', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '很棒的酒店！或者说，是我住过的最棒的。位置环境和房间都很好，绝对是Wonderful Hotel Experience.美中不足是服务人员虽然态度都非常好也非常热情，不过有时候水平还不够五星的标准，继续加油啊。总之，强烈推荐周末入住！', '短评打分': 3}
{'短评内容': '&lt;font size=&quot;-2&quot;&gt;Sample Text&lt;/font&gt;&lt;br /&gt;\n4月刚在这家酒店住过三天。的确是一家很不错的酒店！位于解放碑商业中心，但房间内很安静。开始营业的时间不算长，客房内设施很干净，住着很舒服。员工比较友善，最主要的是对国人和外宾一视同仁，没有在北京或上海常看到的五星酒店员工的那种洋奴相。这就是重庆人可爱的地方。9层', '短评打分': 3}
{'短评内容': '绝对是最新最时尚的洲际,堪称洲际的旗舰店!设施,服务堪称一流!&lt;br /&gt;\n但是我帮客户订的房间含双早,酒店离店居然还要收早餐钱,管理有问题,大家要注意哦!!!', '短评打分': 3}
{'短评内容': '我是3月28,29日如住这家酒店的. &lt;br /&gt;\n很好, 很舒服, 房间服务也特别好. 使用过的浴巾他们会及时帮你换成新的. 设施很新.服务也不错. 就是价格有点贵. 不过下次我还会再住.', '短评打分': 3}
