{'短评内容': '最主要太吵了 外面在施工 阿姨打扫隔壁房间的时候说话声音很大 性价比倒是不错 地点也可以 在地铁站旁边', '短评打分': 2}
{'短评内容': '地理位置好，地铁农讲所站。吃饭逛街方便，可以步行到步行街。缺点是：我定的是大床房，无窗空气不流通，闷。不喜欢。', '短评打分': 5}
{'短评内容': '地理位置十分好，农讲所地铁出口。周边食肆林立~', '短评打分': 5}
{'短评内容': '还是住7楼最好 这次住的是2楼 窗口旁边居然是别人的烟囱 ', '短评打分': 5}
{'短评内容': '交通很方便 下面还有水果档 唯一缺点是床比较硬 枕头比较矮 ', '短评打分': 5}
{'短评内容': '地理位置很好…靠近中华广场…出行方便…房间也很整洁…', '短评打分': 3}
{'短评内容': '地理位置很好。。下次出去广州玩我也会选它，而且比较整洁，房间比7天要大。', '短评打分': 5}
{'短评内容': '房间挺干净的，地理位置无敌，总体来说还是不错。。。。。。凑字数', '短评打分': 3}
{'短评内容': '房间挺干净，地理位置无敌，还是不错的。。以下凑字数', '短评打分': 5}
{'短评内容': '位置很不错，吃住行都方便，地铁站就在门口。就是设施有些老了，需要再装修下，床真的是不太舒服，床垫的弹簧都直接印在背上，不爽。', '短评打分': 5}
{'短评内容': '唯一一点不足就是窗口的锁坏了 有点不安全', '短评打分': 5}
{'短评内容': '位置巨好,衣食住行超级方便,但房间枕头太簿叫服务员多要一个又说没有,搞到整晚都没睡好,如酒店不改善下次不会再住', '短评打分': 5}
{'短评内容': '卫生服务都不错，就是无窗的房间空气不好，位置也很方便', '短评打分': 5}
{'短评内容': '位置好,环境有的房间没窗很一般', '短评打分': 3}
{'短评内容': '位置没得说，好！', '短评打分': 3}
{'短评内容': '位置方便', '短评打分': 3}
{'短评内容': '位置还可以，1号线农讲所B1出口。', '短评打分': 5}
{'短评内容': '方便实在。', '短评打分': 5}
{'短评内容': '地理位置好，房间较小，其他还可以', '短评打分': 3}
{'短评内容': '出行方便，就图这点', '短评打分': 5}
{'短评内容': '很方便，地铁一上来就是酒店了。\r\n就是电视台老化了，还没有声音，最后也没有修好。\r\n整体不错，今后还会住那里。', '短评打分': 5}
{'短评内容': '位置挺好的，只是房间缺少可以挂衣服的地方。我住的是大床房。商务房，会有可以挂衣服的地方。', '短评打分': 3}
{'短评内容': '交通方便，还行！', '短评打分': 3}
{'短评内容': '入住后才发现房间没窗，很潮，房间很小！如果不是为了方便出行是不会选择的', '短评打分': 5}
{'短评内容': '以这个价格，这个位置，酒店还算是不错的了。就是洗澡洗一半要等一个热水。', '短评打分': 5}
{'短评内容': '不错的地方,觉得还行', '短评打分': 5}
{'短评内容': '帮客人订的，客人很满意', '短评打分': 5}
{'短评内容': '交通实在是便利。性价比可以。可能楼板较薄，楼道里常常很吵。', '短评打分': 5}
{'短评内容': '地理位置佳，周围有美味小食', '短评打分': 5}
{'短评内容': '地点好，邻近地铁站。靠近北京路步行街和中华广场。在市中心，出每一个地方都不会太远。\n', '短评打分': 5}
{'短评内容': '很喜欢 下次还来这里 就是洗澡的时候水会流到房间里 排水有点问题', '短评打分': 3}
{'短评内容': '很好 位置也不错，楼下有很多可以逛得小店，就是晚上睡觉外面有些吵，房间很舒服，洗澡水也很热，水流很大，不过这里似乎很多房型都是无窗的，还好自己这次运气不错，建议就是能给厕所安个门不', '短评打分': 5}
{'短评内容': '还算方便，就是设施旧了些。', '短评打分': 5}
{'短评内容': '很不错的酒店，地理位置超好，逛街、吃饭都很近，距北京路也就一点点路，到全球通大酒店乘机场巴士步行10分就到了。房间内的保险箱很有用，不用带贵重物品逛街。另外冬天有暧空调，在广州已很少见了。\r\n', '短评打分': 3}
{'短评内容': '地理位置优越，靠近北京路商业街，步行即可到达。无停车位，房间的卫生设施较差，连洗发液都没有。', '短评打分': 5}
{'短评内容': '位置很好，在地铁站出口即是，冬天天冷有热空调在这里比较稀有\r\n室内有保险箱，还是很有用的，笔记本都不用带出去了。', '短评打分': 5}
{'短评内容': '酒店地理位置非常好 下楼马路对过就是 地铁站 农讲所站 非常方便 去其他地方的公交车辆也很多 期待下次入住', '短评打分': 5}
{'短评内容': '位置非常好，离地铁、机场巴士站都很很近，周围的餐饮也很不错，最喜欢百花甜品、百搭果。房间嘛，一般啦，比如家小。卫生间没有挂毛巾的地方，很不方便。', '短评打分': 5}
{'短评内容': '酒店整体条件，设施包括人员的服务都还算还可以，位置比较一般。', '短评打分': 3}
{'短评内容': '酒店交通还不错,不过酒店房间的隔音实在太差了,连走廊里走路的声音都听得到,卫生和服务还挺好的,价格也觉得蛮舒适的.', '短评打分': 3}
{'短评内容': '卫生环境都不错，就是贵了一点', '短评打分': 5}
{'短评内容': '整体感觉中规中矩，住着感觉还可以。只是性价比一般，呵呵。', '短评打分': 5}
{'短评内容': '酒店地理位置不错,交通挺方便,人员服务蛮热情的,而且房间也很舒适', '短评打分': 5}
{'短评内容': '酒店的设施比较好，价格对我来说比较优惠', '短评打分': 5}
