{'短评内容': '早餐还可以，接送机服务', '短评打分': 4}
{'短评内容': '宾馆的确有点旧，不过帮提行李的服务生，早上接车的服务员，餐厅的服务员态度都非常好，但是前台的小姐态度极差，非常冷，让人很不舒服', '短评打分': 5}
{'短评内容': '设施比较老旧。位置偏，夜间入住接待员态度很不热情，甚至有些轻慢。房间空调噪音大影响休息，不推荐入住。', '短评打分': 3}
{'短评内容': '服务一般，洗澡没热水，但离机场近，方便，价格便宜。', '短评打分': 1}
{'短评内容': '该宾馆离重庆江北机场还是比较近的，但是对于外地人来说就算在近的宾馆我们还是要打的过去，近的地方司机一般都不愿意跑，划不来，本来是10几元就可以到的，司机说近不用打表，收了20元，所以建议大家如果下了飞机要打的还是住离自己想去的地方比较近的宾馆。宾馆环境不吵，但是就是设施太过于陈旧了。', '短评打分': 1}
{'短评内容': '的确不能算是3星宾馆啊，不怎么样啊。不过早点很不错，我很喜欢。', '短评打分': 5}
{'短评内容': '离机场很近 后面有一个公园 环境不错 房间条件一般般', '短评打分': 5}
{'短评内容': '住的地方到机场很近，适合第二天一大早去坐飞机的人', '短评打分': 5}
{'短评内容': '房间旧的,但是还提供早餐,所以不再说啥.谁让咱贪便宜了. 那间是二星的标准.', '短评打分': 3}
{'短评内容': '房差，看在有早餐的份上，谁让咱贪便易', '短评打分': 5}
{'短评内容': '房間好像沒有打掃似的,又沒有冷氣,跟前台說了,她說客房已滿沒法轉房,浴室設備尤其差,沐浴的冷水壞了,叫人修理好後,仍然有水流出,房間的地毯非常殘舊,又有一陣陣的霉味,如果RMB138是這樣的,酒店應該在網路上寫清楚,好讓我考慮是否預訂,唯1可取之處是相當近機場。', '短评打分': 1}
{'短评内容': '犀牛宾馆设施老化，热水流量太小。', '短评打分': 5}
{'短评内容': '卫生条件和服务都很一般，确切地说，厕所的卫生条件较糟糕，房间还过得去，不过离机场很近，价格也不高，所以如果只是小住一晚、第二天一大早就去赶飞机的话，还是可以考虑这家旅店的。', '短评打分': 5}
{'短评内容': '酒店确实相当陈旧了，墙面脱落，家具和房门上的油漆也脱落得斑斑驳驳，很难相信这是三星级的酒店，强烈建议酒店重新装修一下！唯一的优势是离机场近，如果不是凌晨到重庆，第二天又要赶早班机，也绝不会考虑这样的酒店的。', '短评打分': 1}
{'短评内容': '以入住', '短评打分': 5}
{'短评内容': '硬件设施很垃圾，隔音效果很差，楼道一股霉味，还有就是从机场打的过来，很多司机都很抱怨，我在机场打了两次的，司机都在骂。很郁闷..主要是酒店离机场不是很远8块钱就到了，这些司机没钱赚。。酒店房间还有蚊子，被咬了一晚，冲凉的设施更差，马桶看着就LA不出来，旧旧的。下次不再入住这家了！！', '短评打分': 1}
{'短评内容': '还不错啦，位置离机场很近，离两路很近， 普通标间那就不一般了！', '短评打分': 3}
{'短评内容': '还不错啦，位置离机场很近 普通标间那就不一般了', '短评打分': 5}
{'短评内容': '酒店内部装修比较陈旧，风格不是很舒服，有点类似道教装饰。不过酒店还是比较正规的', '短评打分': 1}
{'短评内容': '各方面都还不错，很适合第二天一大早到机场的住，只是洗澡不太方便', '短评打分': 3}
{'短评内容': '还是不错的，到机场很近，很适合第二天一大早坐飞机的旅客。', '短评打分': 5}
{'短评内容': '这个饭店还是不错的，到机场比较方便。如果要座车去机场，要先和司机说好价格，不然只要八元的会收你二十', '短评打分': 3}
{'短评内容': '还行，门有些不结实，环境还不错，地理位置有些偏', '短评打分': 1}
{'短评内容': '+前台服务一般,有待提高,房间有点霉味,总体还行!', '短评打分': 5}
{'短评内容': '还行吧，对得起这个价格！到机场的确很方便，只要八元就行了。', '短评打分': 5}
{'短评内容': '很方便的，门口就是碧津公园，从酒店出来的路口就可以看到机场了~  很近的~ 从酒店出来的路口左边走200米就有沃尔玛超市,买特产什么的都很方便，没有必要再市区买了在拎过去~ \r\n酒店出来的路口右边走300米就有一个美西百货，都是卖的一线品牌的东西~  早晨起来在酒店门口就有的士在那边的，很方便~~~', '短评打分': 5}
{'短评内容': '洗手间太糟糕了,没办法好好洗澡！不过位置不错。。', '短评打分': 1}
{'短评内容': '还行吧，空调不错，价格便宜，不过设施很陈旧了。', '短评打分': 3}
{'短评内容': '总体不错，性价比好，服务态度好', '短评打分': 5}
{'短评内容': '前台服务很差一点热情都没，房间有很大的味道，隔音很差晚上老是有人敲门，里面还不能反锁；门设施很陈旧，窗户不能上锁如果居住在一楼，东西很容易被盗', '短评打分': 3}
{'短评内容': '服务态度差，房间设施更差，象９０年代遗留下来，\u3000还有很大的味道，并且窗户都是不能上锁，如果在一楼居住东西很容易被盗，', '短评打分': 1}
{'短评内容': '酒店离机场近，硬件条件一般，总体来说还行。', '短评打分': 5}
{'短评内容': '宾馆很不干净!!!有蟑螂!!活的!给总台打了很多遍电话才给换了房!!!', '短评打分': 5}
{'短评内容': '房间除没有电梯外基本符合预期。', '短评打分': 5}
{'短评内容': '住了还多次了，对于乘坐第二天一早的飞机是非常合适的~~', '短评打分': 5}
{'短评内容': '+价格比较实惠,附近环境很好,前台服务热情,只是房间设施有点陈旧,厕所味道比较大.', '短评打分': 5}
{'短评内容': '机场旁边，很方便，服务还可以，价格也便宜，性价比比较高！', '短评打分': 5}
{'短评内容': '位置不错，性价比比较高，但是房子里感觉一直有股药味，空调出问题了，打电话给总台很久都没有人来修&#183;&#183;', '短评打分': 3}
{'短评内容': '旧楼的普通标间太潮了，霉味冲鼻，设施也比较旧了', '短评打分': 5}
{'短评内容': '位置比较好，性价比较高…就是床有点小了！', '短评打分': 3}
{'短评内容': '位置比较好，性价比较高…就是床有点小了！', '短评打分': 3}
{'短评内容': '离机场近，方便，对地起128块钱,还有双早。', '短评打分': 5}
{'短评内容': '这个位置，这个价位，没什么好说的，够好了。', '短评打分': 3}
{'短评内容': '这酒店离机场近，价格在那块比较实惠，舒适性也比较可以，总之是可以！', '短评打分': 5}
{'短评内容': '第二次入住了，在重庆这家店都算得上性价比很高的，但是这次我被安排到了4楼，还有淋浴开关基本上算是坏的，放出来的水很小，洗手池是正常的。不过房间里面的物品看起来还不错。还有就是灯的开关能不能放在中间呀？在边上很不方便', '短评打分': 5}
{'短评内容': '还行吧，对应这个价格。不算贵，离机场也近', '短评打分': 5}
{'短评内容': '＋离机场比较近，房间也还行，这个位置这个价格，很好。', '短评打分': 5}
{'短评内容': '设施、环境还不错，只是服务较一般。不过离机场较近。', '短评打分': 3}
{'短评内容': '设施还不错，只是服务一般。离机场也还不远，适合到江北机场乘机的游客入住。', '短评打分': 5}
{'短评内容': '128的房价还是比较合适，不过环境有点差，卫生间相当简陋.不过离机场比较近，还是将就.', '短评打分': 1}
{'短评内容': '喜欢九十年代风格的可以去试试。无语', '短评打分': 5}
{'短评内容': '+酒店较旧卫生可以周边环境很好', '短评打分': 5}
{'短评内容': '卫生间设施太旧', '短评打分': 5}
{'短评内容': '酒店的最大优势就是离机场很近，走路只需要10分钟时间，赶飞机确实很方便，不过酒店的卫生条件实在不敢恭维，走廊里很潮湿的感觉，还有股霉味，周边环境倒是很好，紧靠公园，不过早饭太晚了，赶早班飞机是来不及吃早饭的。', '短评打分': 1}
{'短评内容': '实在太潮湿了，房间里一股发霉的味道，而且卫生间太恶劣了，好在位置佳，距离机场近，相对于这个地段的宾馆，价位还是很优惠的', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '卫生间陈旧，其余还好，自助式早餐不错！', '短评打分': 5}
{'短评内容': '价格和条件成正比，房屋反潮。', '短评打分': 1}
{'短评内容': '虽然有些人觉得洗手间设施陈旧，但是128的价位在机场附近已经可以了！而且旁边就是碧津公园接着就是商业圈，购物吃喝玩乐都有！环境很好，还有早餐！怎么着人家也是三星级的啊！安全啊什么都有保障！比机场其他那些100多民营好太多了！唯一的问题就是说应该免费送客人去机场！~大家从机场打车过去就行，不觉得麻烦的可以走过去，30分钟！', '短评打分': 5}
{'短评内容': '卫生间的设施陈旧', '短评打分': 1}
{'短评内容': '性价比不错！', '短评打分': 5}
{'短评内容': '宾馆位置和环境不错，硬件设施太老旧', '短评打分': 5}
{'短评内容': '犀牛宾馆环境很好，而且确实是三星的，这个价位很划算，门口的公园和超市都很方便，就是坐车去市区有点麻烦。我和我女友非常满意', '短评打分': 5}
{'短评内容': '洗澡的热水很差！！！还有铁锈呢。好像好久没人住了', '短评打分': 1}
{'短评内容': '好东西值得推荐。', '短评打分': 3}
{'短评内容': '酒店离机场步行10分钟就可以到，设施很好，早餐也非常丰盛。值得推荐。', '短评打分': 5}
{'短评内容': '在同样的价位情况下,改善一下设施,内部装修受潮严重,墙体掉皮,衣柜都坏了,电视等设备也该换代了.不过值得一提的是,床单被罩挺干净的.环境很好,在公园边上.', '短评打分': 5}
{'短评内容': '作为离机场近的酒店性价比还算很高了，设施虽然有点老但是酒店周边的生态环境很不错，附近也有大型超市等很便捷。', '短评打分': 5}
{'短评内容': '就是离机场近，比较方便，其他的不做评价', '短评打分': 5}
{'短评内容': '离机场很近，吃饭也很方便，这个价格算公道了，下次住的话一定会选200多的标间，有电梯的', '短评打分': 5}
{'短评内容': '128元，设施一般，坐飞机的比较方便，性价比高', '短评打分': 5}
{'短评内容': '卫生间是旧点,但床铺干净,环境很好,100多的价钱还不错.', '短评打分': 5}
{'短评内容': 'GOOD,WONDERFUL!', '短评打分': 3}
{'短评内容': '不错 不错 酒店环境真好 透过窗子可以看见公园', '短评打分': 3}
{'短评内容': '服务有点差劲。前台的女孩说自己不会操作撤销信用卡担保。还冲客人瞪眼睛。距离机场很近，估计很多客人都是为了转机才住这里。但是早餐7点才开始，赶早班飞机根本吃不到早餐。如果是城里的酒店也就罢了，但是作为机场附近的酒店，感觉早餐太晚了。', '短评打分': 1}
{'短评内容': '周围环境很好，建议去', '短评打分': 5}
{'短评内容': '价格合适，条件很好。', '短评打分': 5}
{'短评内容': '到机场非常方便！周边有很多好吃的东西。', '短评打分': 3}
{'短评内容': '位置还是很方便的，设施比较旧，比较潮湿，性价比一般，服务态度倒是挺好的，早餐不错。我住的是老楼，要想好的可以多加一些钱住新楼可能好一些', '短评打分': 5}
{'短评内容': '方便到机场，条件环境好', '短评打分': 5}
{'短评内容': '还可以，这个价格的话', '短评打分': 5}
{'短评内容': '离机场近，性价比还可以', '短评打分': 5}
{'短评内容': '对于第二天早上要搭飞机的人是个很好的选择，价格合适，位置合适，去机场也就几分钟！', '短评打分': 5}
{'短评内容': '在机场下车后，如果走对路的话，其实还是很近的。我那天给绕了大圈子，呵呵。宾馆附近就是一个旅游的好场所-碧津湖，感觉不错。在里面走对路的话，从门出去有比较多小吃，也不贵。宾馆的早餐很丰盛的。可以的。如果要打车的话，到机场20元，是固定价格。如果不累，走过去就好了。整体感觉，除了房间设施有些旧之外，其他还是可以的。', '短评打分': 5}
{'短评内容': '离机场不到十分钟的车程，不过要拖着行李出来打的不是很方便。酒店有接送机服务，需要付费，还算方便，晚上很安静，就是设施太旧了，浴室都是老旧的痕迹。', '短评打分': 5}
{'短评内容': '还不错,很方便', '短评打分': 5}
{'短评内容': '离机场很近的酒店之一，规模蛮大。住的是普通标间，设施一般。主要是离机场近。宾馆有叫车服务，去机场一车20.服务很好。', '短评打分': 5}
{'短评内容': '距离机场很近，交通便利。', '短评打分': 3}
{'短评内容': '离机场很近，就是房间比较老化，但是价格合适！', '短评打分': 5}
{'短评内容': '卫生间比较糟糕，主要是很久，其他都还不错。', '短评打分': 5}
{'短评内容': '宾馆环境舒适，离江北机场不到十分钟车程，服务态度好，只是有些房间需重新装修一下，或更换一些设施，那样住得会更佳舒适，总之，洒店的各方面从性价比来说，是很不错的。', '短评打分': 5}
{'短评内容': '设施太陈旧，服务差。但地理位置很好，价格便宜。', '短评打分': 5}
{'短评内容': '晚上很安静.就是装修不是很好.', '短评打分': 5}
{'短评内容': '各方面比较均衡，还算说的过去', '短评打分': 5}
{'短评内容': '酒店价钱还行，就是硬件太差了', '短评打分': 3}
{'短评内容': '只有距离还可以。。。但是去机场还是要绕好多路，带着行李很不方便', '短评打分': 1}
{'短评内容': '关键还是位置不错，离机场近，方便。内部设施比较陈旧，不过还好都能用。服务还行，服务员比较慢，效率有些低。', '短评打分': 5}
{'短评内容': '酒店里是没有电梯的,所以带着行礼上楼会很麻烦,而且当时的房间隔音比较差,房间设计也不是很合理,两个房间是有一道门的,不过位置还算方便,价格也蛮便宜的.', '短评打分': 3}
{'短评内容': '位置很好，设施差了点~', '短评打分': 3}
{'短评内容': '旧了点，但是位置很好', '短评打分': 1}
{'短评内容': '就是一般的酒店，，，没什么好说的。。。', '短评打分': 1}
{'短评内容': '卫生服务方面做的都非常好,打扫的很干净,位置也不错,位于市中心,出行很方便,唯一一点就是硬件设施有点陈旧了.', '短评打分': 3}
{'短评内容': '设备陈旧，洗澡都是问题，冬天就不要住了，要冻死人', '短评打分': 3}
{'短评内容': '酒店的位置还是不错的,靠近机场挺近的,赶飞机还是蛮方便的,酒店的内部环境太差了,设施太陈旧了,服务卫生很一般了,价格方面都还是比较实惠的.', '短评打分': 3}
{'短评内容': '酒店去机场还是比较方便的,人员服务也挺热情的,卫生也挺好的,就是里面看着有点陈旧,要是能更新一下就更好了.', '短评打分': 3}
{'短评内容': '只是位置还行。其它不都行。早餐还得七点以后。', '短评打分': 1}
{'短评内容': '离机场确实近，但是普通标间是我住过最差的房间，不重新装修没法住人了', '短评打分': 1}
{'短评内容': '酒店位置很不错，价格也便宜，但是条件不行，外面看起来还可以，但是里面比较旧了，装修也不好，空调什么的效果都不行了。', '短评打分': 3}
{'短评内容': '酒店条件不错,没什么不满意的,位置虽然有些偏,不过感觉很幽静,住着挺舒适的.', '短评打分': 3}
{'短评内容': '设施有些陈旧了,价格还是比较实惠的,服务也怎么接触到,位置还行离机场挺近的,还是比较一般的酒店.', '短评打分': 3}
{'短评内容': '酒店比较老了，有点旧，设施也比较简单，服务还可以，挺干净的，位置也还行，还是可以考虑，但是不一定会住这里。', '短评打分': 3}
{'短评内容': '酒店的楼比较陈旧了，卫生间很多东西都是坏的，也就是离机场近，位置好，而且在机场附近的话，这个价格还可以，如果在别的地方，我觉得价格就不合适了。', '短评打分': 3}
{'短评内容': '很适合赶飞机的旅客', '短评打分': 5}
{'短评内容': '离机场近是最大的优势，环境一般，整个宾馆占地面积较小，房间设施将就，价格适中，适合乘机的朋友。', '短评打分': 5}
{'短评内容': '酒店的条件还不错，环境设施和服务也都比较好，价格适中，挺好的。', '短评打分': 3}
{'短评内容': '环境比较清静，价格也合理，设施方面在些陈旧了，餐厅都是以辣为主，应该考虑全面些，吃不辣的客人都没什么选择，附近餐饮又不多，很不方便', '短评打分': 3}
{'短评内容': '便捷是酒店最大的特色，离机场真的很近。但是卫生和设施有待提高。不过也许提高了，就不止这个价格了', '短评打分': 5}
{'短评内容': '卫生条件还可以,很干净,设施完善,服务人员态度热情周到,性价比不错的酒店,下次有出行还会选择入住', '短评打分': 3}
{'短评内容': '酒店的环境硬件设施都还好，价格合理适中卫生服务也比较达标，整体来讲算是比较不错的酒店，主要是位置很好距离机场很近值得推荐入住。', '短评打分': 3}
{'短评内容': '觉得酒店各方面条件基本上都还是可以的,地理位置也还可以,去机场挺方便的,价格也可以接受.', '短评打分': 3}
{'短评内容': '酒店的服务不错.卫生和设施条件很好.位置挺好的挺方便出行办事的.', '短评打分': 3}
{'短评内容': '我们是从丽江到重庆到的很晚了,服务员很慢的给我们安排房间是在负楼没有电梯的房间在4楼,我们提着很多行李让她们也不管,一进去房间也很破旧.', '短评打分': 3}
{'短评内容': '网上订房的都给的就房间，很不是滋味！不过离机场很近，五分钟车程。', '短评打分': 5}
{'短评内容': 'Very good!!!', '短评打分': 5}
{'短评内容': '我对酒店的要求不高，这家酒店我感觉还不错，经济实惠，位置离我出差办事的地方也比较的方便', '短评打分': 3}
{'短评内容': '酒店的服务不够热情,不过卫生和设施还是可以的.位置很好很方便出行.其它各方面一般.', '短评打分': 3}
