{'短评内容': '酒店交通方便，房间相对比较便宜，很实惠，下次还会去住。', '短评打分': 5}
{'短评内容': '早餐太差,没有吃饭餐厅.服务员态度很一般.会员价格比网上预定要便宜得多.', '短评打分': 1}
{'短评内容': '＋服务很不错。', '短评打分': 3}
{'短评内容': '整体环境部错，配套设施也很好，价格也比较公道。', '短评打分': 5}
{'短评内容': '挺便宜的，离火车站很近，就是提供的食物不多，早餐不好，种类少，不太好吃', '短评打分': 5}
{'短评内容': '服务非常好.下次会来', '短评打分': 5}
{'短评内容': '不错，在火车正对面，还能免费打电话，但是我住的302电话坏了，打不了，呵呵 小郁闷了下！', '短评打分': 5}
{'短评内容': '位置离火车站很近服务不错', '短评打分': 5}
{'短评内容': '非常不错交通方便价格便宜', '短评打分': 5}
{'短评内容': '酒店位置还行，方便出差，也还干净，适合出差赶路的人士', '短评打分': 3}
{'短评内容': '服务态度挺好的，位置就在火车站对面，要是能带上早餐就更好了', '短评打分': 5}
{'短评内容': '蛮好的，很简洁，适合年轻人住，呵呵，还是不错的', '短评打分': 5}
{'短评内容': '该酒店经济实惠，设施良好，是出差的优选，但没有服务员值夜，晚上有事找人帮忙不是很方便。', '短评打分': 5}
{'短评内容': '好的方面不说！\r\n门的隔音差了些，外面人家开门总以为是开自己的门。\r\n卫生间是在房间里用玻璃隔开的，那个磨砂程度太浅了些，害得淋浴的时候都有些不好意思！', '短评打分': 5}
{'短评内容': '工作人员挺尽心的。但是硬件细节上不太好。大体上还好了，这个价位这个条件。', '短评打分': 5}
{'短评内容': '还行！', '短评打分': 5}
{'短评内容': '总的来说还不错，交通方便，环境还不错，挺干净的，各项设施比较完善，就是客房清理不到位，我挂了清理的牌子，最后也只是跟我换了套洁具，其他什么没弄！', '短评打分': 3}
{'短评内容': '+酒店挺干净,空间挺大,交通也方便.', '短评打分': 5}
{'短评内容': '我通过电话帮朋友定的房，第二天，朋友对酒店的整体评价非常高！', '短评打分': 3}
{'短评内容': '就环境我位置而言，值得推荐！', '短评打分': 5}
{'短评内容': '我两次住这里了，每次都是凌晨到阜阳，这店就在火车站旁，很干净，房间比较舒适，交通也方便，很好。推荐', '短评打分': 5}
{'短评内容': '总体都还不错 位置挺好', '短评打分': 5}
{'短评内容': '位置不错.距离火车站非常近.硬件和卫生都比较不错.总体感觉还可以.', '短评打分': 5}
{'短评内容': '一般，淋浴器和马桶在一起的，一洗澡都湿了', '短评打分': 5}
{'短评内容': '離阜陽車站近,雖然與市區還有段距離,可是公交打的也都很方便.', '短评打分': 5}
{'短评内容': '有好多蚊子，我自己全部消灭掉了，哈哈！整体感觉不错，推荐！', '短评打分': 5}
{'短评内容': '感觉很好，比汽车西站要好很多。唯一缺点发票没有要到西站店去打。', '短评打分': 5}
{'短评内容': '房间还是挺干净的，内部环境和设施也很不错，服务态度也挺好有什么问题也能及时解决，地理位置还比较不错的，在当地我感觉还是算比较不错的酒店了，性价比还是挺高的。', '短评打分': 5}
{'短评内容': '酒店位置交通便利，环境较好，价格适宜，就是没有早、中、晚餐，还要去外面吃', '短评打分': 3}
{'短评内容': '环境较好、距离火车站较近，较经济', '短评打分': 5}
{'短评内容': 'hen fang bian', '短评打分': 5}
{'短评内容': '性价比一般', '短评打分': 1}
