{'短评内容': '环境不错，酒店位置可以', '短评打分': 5}
{'短评内容': '價格方面性價比高，而且位置不錯，距離七寶古鎮很近，而且周圍還有小吃店比較多，房間安靜舒服。晚上就是門口夜總會吵雜聲比較厲害，車子停的讓人走路都不方便。', '短评打分': 5}
{'短评内容': '离莘庄地铁站比较近，打车15左右吧！房间设施有些老化！', '短评打分': 5}
{'短评内容': '价位比较适中。房间设施有些陈旧，房价不包含早餐。希望可以有所改变。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '第三次入住，感觉还是挺好!', '短评打分': 3}
{'短评内容': '前台服务很怠慢。房间地毯很脏。卫生间很陈旧。淋雨房下水不畅快。床太硬了。不如快捷型酒店。\n但是价位还可以的，也许就是因为是特价房，所以才这么烂吧。', '短评打分': 1}
{'短评内容': '地段闹中取静，不过附近没什么吃饭的地方。走路去吃饭有点远！\n房间装修有点老了，毛巾不大干净！有异味！', '短评打分': 5}
{'短评内容': '价格还是很实惠的，但是高级两个字就建议去掉，一点也不高级的啊，一楼有个很大的味道，还要注意额，我在她们哪儿丢了钱包，没找回来，还看了监控录像，很郁闷，她们大厅老是有一些看上去怪怪的人在哪儿晃悠，不知道是干啥的，也不知道是不是坏人。外面吃饭很麻烦，晚上很冷清的', '短评打分': 1}
{'短评内容': '地段不错，价格便宜，就是设施略差一些，遥控器的电池都没有电。', '短评打分': 5}
{'短评内容': '还不错，挺实惠，就是旁边娱乐中心有点吵，勉强推荐', '短评打分': 5}
{'短评内容': '酒店内部还算干净，价位一般，就是周边不大热闹。', '短评打分': 5}
{'短评内容': '楼层很低，最高三层，服务员清理垃圾不及时，我朋友还在地毯上踩到呕吐物。房间地毯很脏，觉得没有比较好。', '短评打分': 1}
{'短评内容': '上海菜林国际商务酒店性价比不错，到上海的朋友可以去体验下。', '短评打分': 5}
{'短评内容': ' 第二次入住，感觉不错，挺实惠。', '短评打分': 3}
{'短评内容': '找了好长时间才找到。房间烟味很重，地毯上有血、墙壁上也有血迹，想换个房间，居然没有。更要命的是蚊子很多，一夜无眠啊。', '短评打分': 1}
{'短评内容': ' 房间地毯有些脏', '短评打分': 3}
{'短评内容': ' 性价比不错 下次还来', '短评打分': 3}
{'短评内容': '1。酒店的地理位置，虽说处在闵行区七莘路旁，但感觉好像是城乡结合部，并由此带来些许生活上的不便。2。酒店的房间面积偏小。我订的是高级大床房，但比普通的标房还要小，与网页上的照片在视觉上有很大的差距，疑有虚假宣传之嫌。况且，地毯不但品质低劣，而且又破又脏，不知高级两字是如何标上去的。3。酒店连午晚餐都不供，却号称国际商务酒店，至于管理人员，故计连培训资格考试都难以通过。因此，他与这个价格应该提供的设', '短评打分': 1}
{'短评内容': '可以接受吧。各方面都还可以的。本来就不是在很热闹的区域。', '短评打分': 5}
{'短评内容': '不错，价格也可以。服务也可以。早餐简单了点。', '短评打分': 5}
{'短评内容': '房间配套设施齐全，不错！', '短评打分': 3}
{'短评内容': '订的大床房，房间大小适中，总之这个价位是不错的了！', '短评打分': 5}
{'短评内容': '大堂服务员不错。但是酒店房间嘛，不说也罢，地毯还不如不要，如果搞得那么脏的话。免费早餐，真的是免费早餐的质量。', '短评打分': 1}
{'短评内容': '不推荐原因：1、预订好的，到店说没有，结果按酒店前台价结帐（小贵10元）；2、安排的套房，没实际介绍得那么大，其实不能称为套房，不过在厅里安排了一张床而已；3、房间设备老旧、烟味很浓，而且隔音很差；4、早餐去得晚了些（9点15分左右），结果啥都没了，牛奶、面包、酱菜等等都有，也没人加。', '短评打分': 1}
{'短评内容': '离地铁站有点远，3公里左右，酒店设施比较新。', '短评打分': 5}
{'短评内容': '这次去住烟味太浓,根本没有办法在住下去.网线老是出问题,要不是考虑朋友家住在附近以后肯定不住这了.', '短评打分': 1}
{'短评内容': '酒店环境不错，早餐也很好。虽然地点有点偏但门口就有公交车站，交通还算方便。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很好，周边环境很好，交通更便利，卫生很好；服务也不错。', '短评打分': 5}
{'短评内容': '房间比较清爽，\n\n早餐也比较可口，\n\n性价比感觉还比较高。\n', '短评打分': 5}
{'短评内容': '房间比较大，\n价格还不算太贵，\n只是晚上噪音稍微大点。', '短评打分': 5}
{'短评内容': '酒店所处的地段还可以，吃饭、打的都还行。\n房间环境也比较干净。\n就是房间隔音效果不好，隔壁的水声都能听见', '短评打分': 5}
{'短评内容': '地理位置有点偏，别的还好，感觉比较干净，不过女士房大床的房间面积比双床的小不少啊。。', '短评打分': 5}
{'短评内容': '马马虎虎!', '短评打分': 3}
{'短评内容': '物美价廉！\n可惜，交通是个问题。对于背包族，希望坐公交车迷路的那种类型，极力的推荐！', '短评打分': 5}
{'短评内容': '环境很好，交通也还方便，卫生很好，早餐也不错，如果有机会还会去住。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，就是交通不太方便，离失去视乎有点远', '短评打分': 5}
{'短评内容': '该酒店卫生状况较好，地点虽然较偏，但交通方便。今后还是可以考虑的。', '短评打分': 5}
{'短评内容': '入住家庭房，给了标准房，不过马上换了，是2张大床，还不错，但接着发现淋浴房地漏堵塞，第二天又给换房，可马桶漏水……还有毛巾浴巾，那个旧啊黑啊……都不敢用，我老婆一拧毛巾，刺啦破了……吓的我老婆问我要不要赔，我说给你都拧破的毛巾还好意思叫人赔？不过前台服务真不错，值得表扬！', '短评打分': 1}
{'短评内容': '地理位置较偏，离七宝也6,7站地，这个价格实在是不值。', '短评打分': 1}
{'短评内容': '酒店还涨价了，涨了好多，这样性价比就不是很高。', '短评打分': 1}
{'短评内容': '确实不错，性价比高，就是周边吃饭的地方不多，但下次还会来', '短评打分': 5}
{'短评内容': '酒店环境还可以，服务还好，餐厅好，按摩好。可是卫生一般。', '短评打分': 5}
{'短评内容': '房间真的很大，免费的早餐非常好，屋里有冰箱，风筒。浴室花洒大洗澡很舒服。', '短评打分': 5}
{'短评内容': '酒店很不错房很干净的哦，，就是没有浴缸阿，电视看起来非常得到舒服阿，还有早餐比较完阿，赶早点飞机 就来不及吃阿，，服务员态度有待改善\n', '短评打分': 5}
{'短评内容': '房间还不错，早餐不行', '短评打分': 3}
{'短评内容': '标间房价不错，设施也挺全的，有冰箱，风筒，还有人体称，就是屋里灯光不够亮。', '短评打分': 5}
{'短评内容': '房间很大很舒服，设施齐全，洗浴的花洒大，水流足。每天还送矿泉水。', '短评打分': 5}
{'短评内容': '价廉物美，只是床差了点，性价比比较高。特价房物有所值。', '短评打分': 5}
{'短评内容': '现在的特价房怎么不提供免费早餐了，之前还是提供的啊。', '短评打分': 5}
{'短评内容': '房间很大，设施也比较齐全，只是年前特价房还有早餐，现在都没有了。', '短评打分': 5}
{'短评内容': '第二次入住了，感觉不错，房间很大很舒服。卫生间得花洒特别大。', '短评打分': 5}
{'短评内容': '3年前入住过，感觉还是蛮不错的！今年初三入住时发觉取消了在地铁接送的车辆，酒店也有些旧了，抽水马桶和龙头都有些故障，提出后能及时解决，态度尚可！门缝里的小广告太多，对小孩子影响不好！', '短评打分': 1}
{'短评内容': '酒店房间很大，设施齐全。早餐也不错。虽然地理位置有点偏，但交通还算方便。', '短评打分': 5}
{'短评内容': '酒店房间很大，设施齐全。早餐也不错。虽然地理位置有点偏，但交通还算方便。', '短评打分': 5}
{'短评内容': '总之环境不好。床硬的很，房间一股发霉的味道。设施真的很简陋', '短评打分': 1}
{'短评内容': '很好 很不错的酒店 卫生 服务在这个价位算可以 早餐也可以', '短评打分': 5}
{'短评内容': '安静，舒适，属三星级酒店，目前的入住价钱很实惠，也许是因为离市中心较远的关系吧。我住的房间内卫生间抽水马桶漏水，沐浴器的水会往上喷，喷在顶上滴下的水冰冷，掉在头发上，不想洗头也不行了，边上的手持沐浴器又无法切换，牙刷牙膏梳子都没有，好在自己都带着，反正住一晚，也就不必计较了。', '短评打分': 5}
{'短评内容': '房间很大，环境不错。有冷藏的冰箱，可以放些牛奶保存。屋里没有晾衣服的地方不是很方便', '短评打分': 5}
{'短评内容': '房间很大，环境不错。有冷藏的冰箱，可以放些牛奶保存。屋里没有晾衣服的地方不是很方便', '短评打分': 5}
{'短评内容': '房间很大，环境不错。有冷藏的冰箱，可以放些牛奶保存。屋里没有晾衣服的地方不是很方便', '短评打分': 5}
{'短评内容': '酒店不错，服务热情', '短评打分': 3}
{'短评内容': '酒店环境很好，服务也很周到。房间住起来也比较舒服。附近吃饭还是比较方便的。', '短评打分': 5}
{'短评内容': '标间的房间和浴室都很大，住起来比较舒服。屋内设施齐全，有冰箱，液晶电视。免费的早餐也不错 。', '短评打分': 5}
{'短评内容': '该酒店地方比较偏，价位比较便宜，但设施达四星标准，将来升值空间大。', '短评打分': 5}
{'短评内容': '酒店房型比较好，也有很难多选择，由于靠近开发区农村，房间内能发现小动物。', '短评打分': 5}
{'短评内容': '只要是在七宝和莘庄一带入住酒店，该酒店是你不二的选择。', '短评打分': 5}
{'短评内容': '属于超值类酒店，周围消费便宜，早餐也非常丰富，服务态度也', '短评打分': 5}
{'短评内容': '酒店的标间房间很大，液晶电视，独立写字台，住得很舒服。早餐也不错。', '短评打分': 5}
{'短评内容': '标间的房间很大，很舒服，有独立的写字台，还有单人沙发，电视还是液晶的，屋里有冰箱，设施很全，连人体秤都有。', '短评打分': 5}
{'短评内容': '酒店环境还不错。标间的浴室和房间都挺大的。虽然位置有点偏，但交通还算方便。门口就有公交车站。', '短评打分': 5}
{'短评内容': '环境挺好的。设施也齐全，尤其是有小冰箱，可以冷藏些东西。还送矿泉水。', '短评打分': 5}
{'短评内容': '房间很大，设施齐全，电视也是液晶的，还可以点播电影。但发现屋里有蟑螂。', '短评打分': 5}
{'短评内容': '操作灵活，服务态度好，交通方便，周围设施齐全。', '短评打分': 5}
{'短评内容': '酒店房间设施陈旧，卫生间的浴盆有污垢。早餐基本没什么吃的。', '短评打分': 1}
{'短评内容': '感觉很好，第二次了', '短评打分': 3}
{'短评内容': '物有所值,非常好.', '短评打分': 3}
{'短评内容': '酒店环境不错，设施齐全还有小冰箱。早餐也很好。门口有公交车站。', '短评打分': 5}
{'短评内容': '房间很脏，地毯上有很多脏东西，不是因为工作的地方比较近，决不选择那里。', '短评打分': 1}
{'短评内容': '地理位置有点偏，附近便利店，饭店都没有，要乘车五六站才能到七宝老街。虽然拿的特价房，性价比还行，但是空调由问题，到了20度就停了，换了间房打到14度就上不去了，向前台再三反映也没能解决，居然对我说，我付的这个这个价钱就只能住这样的房间！！！有这样说话的吗？网上预订时你说明你家空调是坏的我也不会订了。后来找到值班经理，拿了个取暖器过来才勉强过了一夜。各位如果不怕冷，倒是可以去试一下。', '短评打分': 1}
{'短评内容': '标准间的房间很大，设施齐全，早餐也不错。门口有到七宝的公交车。去乐购走不到十分钟。', '短评打分': 5}
{'短评内容': '很干净，服务不错；电视是用什么IPTV的，捣鼓了半天才看上电视，遥控器按起来很费力。', '短评打分': 5}
{'短评内容': '一切都好！就是里面的额外费用多。不知不觉就破费了！', '短评打分': 5}
{'短评内容': '挺好的。', '短评打分': 3}
{'短评内容': '房间很大，设施齐全。离乐购不远，走路七八分钟。去七宝也不算远。整体来说很好的。', '短评打分': 5}
{'短评内容': '双标房间很大，设施齐全，免费早餐吃得非常好，离乐购也不远，步行七八分钟。', '短评打分': 5}
{'短评内容': '酒店房间设施旧，感觉好久没人入住，全是灰。早餐基本没什么吃的。', '短评打分': 1}
{'短评内容': '酒店很干净，也很安静。性价比高，不错。', '短评打分': 3}
{'短评内容': '标间的房间很大，屋里设施是否齐全，还有小冰箱，能冷藏东西。卫生间花洒大，水足。免费早餐也很好，每天都不相同。', '短评打分': 5}
{'短评内容': '环境不错。标间的房间非常大。屋内设施齐全。液晶电视看起来也很爽。', '短评打分': 5}
{'短评内容': '总体还不错，可是洗漱的水怎么那么小呢？放了半天也没有热水，倒是洗澡的水压力挺大的，也挺热的。', '短评打分': 5}
{'短评内容': '房间设施齐全，也很干净。虽然不是市里，但交通还算方便，门口就有公交车站。大床房和标间一样价钱，但小了很多', '短评打分': 5}
{'短评内容': '房间很大，设施齐全，才发现屋里还有小冰箱。', '短评打分': 5}
{'短评内容': '性价比很高，房间不是很大，但设施很全，还有冰箱。门口就是公交车站，很方便。', '短评打分': 5}
{'短评内容': '性价比高，交通便利。从酒店去虹桥高铁很方便。早餐不错', '短评打分': 5}
{'短评内容': '操作灵活，周围生活方便，出行方便，地方宽敞，靠近上班地点。', '短评打分': 5}
{'短评内容': '房间很大，干净，舒服，设施齐全；电视还液晶的。', '短评打分': 5}
{'短评内容': '上海菜林国际商务酒店真的非常一般 位置也太偏了', '短评打分': 1}
{'短评内容': '房间超级棒，很大很舒服，屋里设施齐全，风筒，人体秤，手电筒，格尺基本能用的都有，还有报销柜。有单人躺的沙发和独立的写字台，花洒也超大。整体来说就是非常不错。免费早餐也不错。', '短评打分': 5}
{'短评内容': '比较干净整洁,价廉物美,交通方便,但不方便就餐,', '短评打分': 5}
{'短评内容': '酒店整体感觉在这个价位上还是可以的，尤其在闵行这个区，离我家近,这个价位应该算超值了,找了很多酒店，发现这个比较适合，服务也不错，帮自己妹妹订的，挺满意的。', '短评打分': 5}
{'短评内容': '该酒店干净整洁，服务态度较好，周围配套也可以，但酒店内没有商店和餐厅', '短评打分': 5}
{'短评内容': '总体来说还算不错，最喜欢的就是液晶电视够大，浴室的下水管道不行，老是堵住需要改善。早餐没有去吃，有时间还会去体验下早餐。交通很方便，靠大马路，出门打车太方便了', '短评打分': 5}
{'短评内容': '酒店的设施有些破旧，地点也有点偏，一定要打车到。实在够不上4星的标准，只是价格还是比较合适的。对于一些要求不高的朋友可以考虑。自己本身不会再入住了', '短评打分': 1}
{'短评内容': '还算可以，没有什么很不满意的地方。莘庄的酒店比较少，这个就算可以了。早餐比较一般，但是比莫泰之流要强一些', '短评打分': 5}
{'短评内容': '8317', '短评打分': 3}
{'短评内容': '各项指标都很好，干净、卫生，房间大，位置稍微有点偏，离地铁比较远', '短评打分': 5}
{'短评内容': '环境舒适，就是位置有点远，不过交通还是不错的', '短评打分': 5}
{'短评内容': '装修有点老旧，去地铁站不是太方便，其它还行。', '短评打分': 5}
{'短评内容': '装修太老旧，其它还可以，到地铁站不是太方便。', '短评打分': 5}
{'短评内容': '淋浴大喷头确实很爽，每个房间有电吹风，很方便。\n但水池漏水，早餐太单调。\n服务态度着实不错', '短评打分': 5}
{'短评内容': '还可以，就是离地铁莘庄站还需打车，大概十六块，不过门口就有公交莘纪线可直达，设备不是很好', '短评打分': 3}
{'短评内容': '酒店卫生干净,房间空间较大,但房间内生活用品太少.服务质量好，酒店交通便捷.', '短评打分': 5}
{'短评内容': '很好，还赠点心，就是点心不太新鲜，有点硬。希望以后赠品要新鲜，特别是吃的。', '短评打分': 5}
{'短评内容': '酒店房间空间较大，卫生干净。服务较好。房间设施较新！', '短评打分': 5}
{'短评内容': '酒店服务较好，房间内设施齐全。房间空间宽敞，卫生干净。', '短评打分': 5}
{'短评内容': '酒店房间空间较大，房间设施比较完善。酒店卫生干净。房间整体舒适明亮', '短评打分': 5}
{'短评内容': '酒店位置比较不便 硬件还是不错的 不过房间和网上的图片还是有差距 ', '短评打分': 5}
{'短评内容': '卫生很差，地毯很脏，而且居然还有果皮，纸巾等未清理，空调效果非常糟糕，不怎么制冷。卧具等看上去也不干净。早饭非常糟糕，倒胃口，地段偏僻。', '短评打分': 1}
{'短评内容': '酒店的服务很好，而且房间住起来也很舒适.位置很好很方便出行，综合水平很高.', '短评打分': 5}
{'短评内容': '酒店属于上海的郊区了，偏了些，设施有些陈旧，方面面积小，其他都还可以。', '短评打分': 5}
{'短评内容': '还算好吧，只是实际住了4晚付了4晚的钱，资料里显示的竟然是3晚，为什么少了1晚呢？', '短评打分': 5}
{'短评内容': '酒店外表虽然不怎么样，但是内部的配置还是3星级的。酒店门口没有什么商店和超市。', '短评打分': 5}
{'短评内容': '服务员应该经过培训，无论语言还是动作都是整齐划一，很好。', '短评打分': 5}
{'短评内容': '除了酒店位置太偏，其它还不错', '短评打分': 5}
{'短评内容': '房间收拾的干净整洁，床铺很舒适，累一天回来能缓解缓解疲劳。', '短评打分': 5}
{'短评内容': '吧台提供免费的矿泉水、咖啡等，酒店也有早餐，不过不太合我胃口，环境很好。', '短评打分': 5}
{'短评内容': '基本不错，值得推荐，订房方便，交通一般，谢谢', '短评打分': 5}
{'短评内容': '还好！价格低廉，设施豪华，就是餐厅有点陈旧', '短评打分': 5}
{'短评内容': '位置有一些偏,交通不是太方便,卫生和服务还是比较好的,价格也比较适中,感觉还是比较满意', '短评打分': 3}
