{'短评内容': '葫芦岛老牌酒店，回葫芦岛只要在新区基本就他家', '短评打分': 5}
{'短评内容': '不怎么样。', '短评打分': 1}
{'短评内容': '太旧了，服务不好。', '短评打分': 1}
{'短评内容': '总体来说还可以，葫芦岛唯一四星', '短评打分': 5}
{'短评内容': '基本满意', '短评打分': 5}
{'短评内容': '酒店位置很好,性价比比较高,以后还会来住', '短评打分': 5}
{'短评内容': '四星级宾馆，床很宽，房间设施有些旧，停车方便。', '短评打分': 5}
{'短评内容': '酒店设施比较旧，年头久了。在葫芦岛这样的地方这个价格住这样的酒店好像贵了', '短评打分': 1}
{'短评内容': '基本上达不到4星标准，好像在新区也没有什么可选星级酒店了', '短评打分': 1}
{'短评内容': '真的很差的酒店，价格高不算，肮脏之极的地毯满是烟头眼，连写字台上也满是！！！床是最最差的席梦思，我想请问所有的这个酒店的员工，你会花365元来住你们的酒店吗？如果这个酒店放在杭州，恐怕只能买50元，至少如果我看到在肮脏的地毯上满是烟头烧出来的眼，写字台上也都是烧焦的痕迹。我会掉头就走。但是在葫芦岛，你只有这个选择。。。', '短评打分': 1}
{'短评内容': '设施陈旧，价格高。', '短评打分': 1}
{'短评内容': '算是当地比较不错的酒店了 就是比较老旧', '短评打分': 5}
{'短评内容': '卫生服务方面做的都非常好,打扫的很干净,位置也可以,离海边很近,出去玩都很方便,但就是设施上太陈旧了,需要重新装修装修了.', '短评打分': 3}
{'短评内容': '这家酒店在当地来说应该算是比较好的了房间的设施和卫生也是挺不错的,位置还是比较好出行挺方便的,总体还算满意的,挺不错的酒店.', '短评打分': 3}
{'短评内容': '位置还是不错的,出行很方便,但就是硬件设施上太陈旧了,达不到4星级的标准,而且餐厅的饮食也比较单调,下次不会选择这家酒店了.', '短评打分': 3}
{'短评内容': '服务还可以,周到热情,地理位置交通方便,设施完善,就是有些陈旧,卫生也干净,总体来说,不错,下次也会在入住', '短评打分': 3}
{'短评内容': '酒店稍老些，服务很好，菜色很好，好吃大碗', '短评打分': 5}
{'短评内容': '优点：交通比较方便，早餐也不错。服务意识强\n缺点：价格贵点外想不起来了。没什么特别印象\n总结：以后还是可以继续入住的', '短评打分': 5}
{'短评内容': '总的来讲还行吧，性价比不错，离海边很近，停车还可以。', '短评打分': 5}
{'短评内容': '服务不错，就是设施不行了，先住了一间，厕所漏水，换了一间，床头综合控制老是吱吱的响，晚上特别烦人，总体上海算凑乎吧', '短评打分': 5}
{'短评内容': '酒店比较气派，适合自驾车居住（停车场比较大）。房间宽敞，早餐不错，距离葫芦岛龙湾海滨很近，开车5分钟即到。我先后住了两次，第二次住在最东边的房间，可能是由于靠边的房间易受潮，墙皮很难看，但也凑活住了。', '短评打分': 5}
{'短评内容': '这个酒店的服务卫生条件都很不错，价格也不贵，就是设施比较陈旧了，其他没什么。', '短评打分': 3}
{'短评内容': '值得推荐.', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，交通很方便，酒店的价格有点高了。', '短评打分': 3}
