{'短评内容': '酒店环境优美，干净整洁，交通便利', '短评打分': 5}
{'短评内容': '环境不错。早餐一般', '短评打分': 3}
{'短评内容': '酒店管理不错，环境也不错，但自助早餐太一般，感觉不值', '短评打分': 5}
{'短评内容': 'Hotel is by the Yantze River, has very nice view. Staff are very kind and helpful. I like this hotel.', '短评打分': 5}
{'短评内容': 'It is one of best hotels in Yichang which has very good location. Beautiful view from the window.', '短评打分': 5}
{'短评内容': 'A very nice hotel by the Yangtze river. Staff are very professional; and the service is excellent.', '短评打分': 5}
{'短评内容': '条件很好的住得很舒服服务也好', '短评打分': 3}
{'短评内容': ' nice hotel', '短评打分': 3}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '酒店硬件可以算的上是宜昌最好的之一，早餐和午餐也很丰盛。 但你一定得保管好自己的物品，酒店的一些清洁工手脚不干净：结帐时，我的一双价值1000元的皮凉鞋掉在房间里， 第二天去问就说没有。 ', '短评打分': 1}
{'短评内容': '第一次入住，位置好，床舒服，大厅气派，设施较齐全，不足是游泳池水温凉，找工作人员说温度是26度，不用加温，没办法。希望以后加强。', '短评打分': 5}
{'短评内容': '酒店很好，有水果和报纸送，还有免费的国内电话，洗手间比较大，浴缸和淋浴是分开的装修和服务都是五星级的，很喜欢那个电动窗帘。要是可以送早餐就更好啦，哈哈', '短评打分': 5}
{'短评内容': '帮朋友订的，总的很不错，在宜昌这样的地方，是最好的酒店了，可以推荐！就是接码头费用太高了。----------------------', '短评打分': 5}
{'短评内容': '酒店风景很好，面朝长江，景色迷人。硬件也不错。', '短评打分': 5}
{'短评内容': '酒店位置很好，面临长江，内部装修很豪华，很舒适', '短评打分': 5}
{'短评内容': '新开张的酒店，价格在宜昌这种城市价格算比较高的。房间没有什么特别的地方吧。', '短评打分': 5}
{'短评内容': '酒店硬件非常好，晚餐价格也不贵，味道不错。服务尤其是礼宾部服务很好。', '短评打分': 5}
{'短评内容': '还不错就是有点贵，主要是环境好，靠着江边，还有万达，晚上很方便，看电影吃饭都不错', '短评打分': 5}
{'短评内容': '还是很不错的，我会继续入住，并向朋友推荐这间酒店。', '短评打分': 5}
{'短评内容': '第二次入住了，话不多说...................', '短评打分': 5}
{'短评内容': '第二次入住了，话不多说.....................', '短评打分': 5}
{'短评内容': '第二次入住了，话不多说......................', '短评打分': 5}
{'短评内容': '临江的房间风景不错。房间设施挺好。\n万达广场就在旁边，吃饭、购物方便。\n酒店给订的送机的士很好。', '短评打分': 5}
{'短评内容': '酒店不错，服务也不错。中规中矩的五星级酒店。', '短评打分': 5}
{'短评内容': '位置很好，服务态度也不错，硬件很新很现代，总体满意。希望为商务人士准备大床房加单早的选择。', '短评打分': 3}
{'短评内容': '酒店硬件可以说是宜昌最好的，服务也很到位；位置相当好，下次一定要住江景房，旁边万达广场的商业配套非常方便，吃喝玩乐样样齐全。总之，这个端午在宜昌万达过的很好', '短评打分': 5}
{'短评内容': '地理位置很好，硬件条件不错，性价比非常好！', '短评打分': 5}
{'短评内容': '很满意！地理位置很好，硬件条件很不错、、、、、、', '短评打分': 5}
{'短评内容': 'Hotel has good location, but staff need more training.', '短评打分': 5}
{'短评内容': '房间宽敞， 设施也不错。 周边环境也不错。 就是价格有些贵。 ', '短评打分': 5}
{'短评内容': '酒店很新很舒适，位置就在客运站对面，就是前台的服务还有待提高。', '短评打分': 3}
{'短评内容': '环境不错,就在江边上,酒店周围也很方便。', '短评打分': 5}
{'短评内容': '应该是宜昌最好的酒店，邻近万达广场，住在这里吃喝玩乐都齐了。', '短评打分': 5}
{'短评内容': '酒店的装修卫生还好，服务态度一般，价格倒是还有些偏高，位置的话还好。', '短评打分': 5}
{'短评内容': '硬件设施在宜昌算是最好的，唯一电梯好像不到-1楼车库不太方便\n', '短评打分': 5}
{'短评内容': '全新的酒店， 房间已没有装修的味道。 硬件在宜昌算是最好的了。睡眠质量不错！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店不错，就是新开有油漆味', '短评打分': 3}
{'短评内容': '酒店和万达商业广场紧邻，有不少可逛的好去处。我住的是豪华江景房，早上拉开窗帘，透过落地窗看到整幅江景，感觉很好。毕竟是全新的国际五星级酒店，房间设施很新，公共区域的鲜花及装饰非常雅致，很值得体验。', '短评打分': 5}
