{'descr': '周围环境有点脏乱差 但是酒店的环境还算可以 隔音效果不很好', 'star': 5}
{'descr': '房间比较大，其他情况一般，不过作为便捷酒店也只能这样，离机场较近', 'star': 1}
{'descr': '房间还干净，在装修，有味道', 'star': 3}
{'descr': ' 早上服务员打扫周围客房的时候声音太吵 影响睡眠', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '环境不错~住的还挺舒服，服务员态度很好。', 'star': 5}
{'descr': '酒店位置比较隐蔽，门前尚在施工。房间面积比较小，推门见床。周围吃饭的地方不多，倒是有一个比较大的超市。', 'star': 1}
{'descr': '替朋友定的， 不错的经济型酒店，还算满意', 'star': 5}
{'descr': '服务非常不错，房间有点小，排风比较差，不过总体价格还算合理，适合出差居住', 'star': 5}
{'descr': '周边环境不是特别好，住的房间外边也有些吵。不过离我家倒是挺近的。', 'star': 1}
{'descr': '还可以', 'star': 3}
{'descr': '房间安排的格局不好 正对着床就能看到两面镜子 感觉很压抑', 'star': 1}
{'descr': '不错,真的很好，希望你们去住吧，呵呵，我是觉得不错的', 'star': 5}
{'descr': '环境不错，服务也很周到，如果电视能换个大点的，效果会更好', 'star': 5}
{'descr': '不错环境好超便宜161大床很舒服房间很干净.就是刚入住矿泉水半桶都不到不敢喝', 'star': 5}
{'descr': '确实不错，有家的感觉。很舒服很惬意。下次还去那里。', 'star': 5}
{'descr': '还可以，但离马路有点不方便，还可以，但离马路有点不方便还可以，但离马路有点不方便', 'star': 5}
{'descr': '环境不错值得住', 'star': 3}
{'descr': '价格不贵，店内比较干净，环境不错，就是不太好找，七绕八转的才能走进去。', 'star': 5}
{'descr': '还可以 ', 'star': 3}
{'descr': '酒店环境不错，值得入住！', 'star': 3}
{'descr': '位置较隐蔽，房间很安静，没有电梯有点遗憾', 'star': 5}
{'descr': '很好～', 'star': 5}
{'descr': '宾馆外的卫生条件太差，每次换被单都要客人提醒，如果不提醒住5天她们也不会换。', 'star': 1}
{'descr': '我住二楼，楼下是他们的厨房，清晨做饭时鼓风机的声音会把你从好梦中惊醒！', 'star': 1}
{'descr': '洗澡水忽冷忽热，最是难耐。经常搞得楼道满是油漆味，不知在刷什么。优点是里家乐福很近', 'star': 3}
{'descr': '情况一般，3层楼没电梯。巷子里，打车要说到友鹏海鲜，都知道了。', 'star': 5}
{'descr': '酒店坐落在一个垃圾堆上， 外部环境令人惊讶， 同以往见到的如家完全不同。 令人怀疑这真是属于如家系统的酒店， 还是为破坏如家名誉的山寨版的。\r\n屋内电话不能用。 询问柜台， 不仅无歉意还理直气壮。 似乎谁让你找这样烂旅馆的。\r\n【顺便提醒： 请不要用这样的语言“请勿发表违反国家法律的言论”。 你见过“国家法律言论”集吗？ 还是有部法律称作“国家法律言论”？ 你要征求意见就不要先摆出高高在上法官的架', 'star': 1}
{'descr': '酒店本身环境不错，挺干净的，价格也比较合适，就是位置有点太靠里了，', 'star': 3}
{'descr': '酒店的位置特别好，交通便利，房间也挺干净的，就是设施一般', 'star': 3}
{'descr': '酒店房间比较小,卫生还是很好的,设施也是比较新,位置很好很方便,总体感觉很好一般出行还是很喜欢选择如家的.', 'star': 5}
{'descr': '  对于大众消费人群来说很不错的选择~', 'star': 5}
{'descr': '感觉还行，环境不错，附近出行交通也方便，设施与价格是相符合的，还比较舒适', 'star': 5}
{'descr': '酒店的服务卫生方面还是不错的,价格也蛮合适的.就是卫生间面积小了点.', 'star': 5}
{'descr': '酒店的卫生和服务都是非常好的,房间的设施很齐全的,酒店的位置也很好,离我办事的地方很近的,整体来讲性价比不错的酒店', 'star': 5}
{'descr': '卫生间太小', 'star': 5}
{'descr': '新的如家，硬件设施不错，宾馆在一个院子里，比较安静。', 'star': 5}
{'descr': '宾馆附近只有一家餐馆 没的可选  总体住的感觉还可以  门不隔音如果少些没素质的人在楼道大声喧哗会更好', 'star': 5}
{'descr': '闹中取静，交通餐饮方便\r\n', 'star': 5}
{'descr': '酒店的设施还是挺新挺齐全的，地理位置也不错交通挺方便的，服务态度不热情不主动。卫生方面需要加强改进。总体还是不错的。', 'star': 1}
{'descr': '你们（ELONG)没有资格去评论人家，自己的什么烂服务还没有整理清楚，凭什么去评点别人。自己头都烂得差不多了，还去说别人的头发快掉光了，真是贻笑大方了。希望你们能先规范好自己。', 'star': 5}
