{'短评内容': '房子整洁，交通方便', '短评打分': 5}
{'短评内容': '离市中心很近，逛街很方便，交通也便利。', '短评打分': 3}
{'短评内容': '离春熙路很近，没有早饭，网络几乎不能用,离春熙路很近，没有早饭，网络几乎不能用,价格有点高', '短评打分': 5}
{'短评内容': '离春熙路很近，没有早饭，网络几乎不能用,离春熙路很近，没有早饭，网络几乎不能用，价格有点贵', '短评打分': 5}
{'短评内容': '离春熙路很近，没有早饭，网络几乎不能用，离春熙路很近，没有早饭，网络几乎不能用离春熙路很近，没有早饭，网络几乎不能用', '短评打分': 5}
{'短评内容': '网络很差，几本上用不了，网络很差，几本上用不了，网络很差，几本上用不了，网络很差，几本上用不了，', '短评打分': 5}
{'短评内容': '周边购物方便，房间网络差，没有早餐，周边购物方便，房间网络差，没有早餐，周边购物方便，房间网络差，没有早餐，', '短评打分': 5}
{'短评内容': '卫生不错   但靠近街边的房间晚上太吵，很影响休息', '短评打分': 5}
{'短评内容': '酒店还不错，就在春熙路附近。就是外面车流量较大，相对价格有点小贵。', '短评打分': 5}
{'短评内容': '整个酒店只有四楼，楼层矮，又在大马路边上，实在太吵，根本睡不着。前台服务态度不好。除了地理位置好以外，实在没什么好的地方了。\n\n--------------------------------------------------------------------------------\n', '短评打分': 1}
{'短评内容': '半岛酒店的环境不错，值得住', '短评打分': 3}
{'短评内容': '酒店环境卫生不错', '短评打分': 3}
{'短评内容': '酒店位置不错，周边购物也很方便，早餐很一般，服务态度不错', '短评打分': 5}
{'短评内容': '没有以前去的东恒店那种感觉了，设施也很旧了~简直太一般了~唯一的优点就是离春熙路近', '短评打分': 5}
{'短评内容': '位置比较好，价格也公道，设施一般，大床还可以，卫生间也很清洁，\n要叫出租车比较久。难叫出租车。', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，卫生条件也不错，服务员的服务周到细致', '短评打分': 5}
{'短评内容': '酒店还不错，比较方便,以后有机会还会选择入住\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '环境还可以!', '短评打分': 3}
{'短评内容': '地理位置离王府井百货很近，但是房间很吵，设施简陋，前台服务态度不好', '短评打分': 1}
{'短评内容': '   感觉一般 床太小', '短评打分': 3}
{'短评内容': '不行。连热水都没有，晚上11点，凌晨1点，早上7点，试了三次，都是冰凉的', '短评打分': 1}
{'短评内容': '喷头是坏的。空间也不大。收费也好。没什么突出的地方', '短评打分': 3}
{'短评内容': '挺乾淨的，唯一確定就是隔壁在裝修，對面馬路在施工', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '已入住半岛酒店,感觉不错,交通便利,性价比较高', '短评打分': 3}
{'短评内容': '离春熙路很近，逛街很方便，价格比较低，住着也舒服', '短评打分': 5}
{'短评内容': '在城中心\u3000逛春熙路很方便\r\n不过酒店停车场太小要看运气才停的到', '短评打分': 5}
{'短评内容': '房间有点小，有点吵，毛巾给人的感觉好像很旧。总体感觉一般。', '短评打分': 5}
{'短评内容': '卫生间不错，有腔调，总体不错', '短评打分': 5}
{'短评内容': '位置比较好，价格比较高，设施一般，大床还可以，卫生间也普通，性价比不高', '短评打分': 5}
{'短评内容': '感觉很陈旧。比起周边的酒店，不建议大家入住', '短评打分': 1}
{'短评内容': '酒店不错，主要是出行方便，就是有点陈旧，希望改进．', '短评打分': 3}
{'短评内容': '一如既往的优秀，地理位置很好，购物出行方便', '短评打分': 5}
{'短评内容': '位置很好，环境可以，稍微有些噪音，可以推荐', '短评打分': 5}
{'短评内容': '地理位置很好,出行很方便,但房间的条件不太好,硬件设施太简单了,而且房间也小,住着不太舒适.', '短评打分': 3}
{'短评内容': '前台的服务很不好，态度很差，房间的设施还行，卫生不好，尤其是卫生间，位置还不错，出行还是很方便的', '短评打分': 3}
{'短评内容': '环境不错，可能是位置靠近春熙路，  太吵，商务住不合适，旅游住还是可以的', '短评打分': 3}
{'短评内容': '房间比较小，隔音不好，其它房间的声音都听的很清楚，比较吵，他们的服务态度还比较好，酒店的位置很好，出行很方便', '短评打分': 3}
{'短评内容': '位置很方便！出门就是春熙商圈', '短评打分': 5}
{'短评内容': '酒店环境还不错。很满意，位置交通也很方便。值得推荐给大家！', '短评打分': 3}
{'短评内容': '酒店的硬件设施稍微有一点点旧了，不过服务还是不错的，房间也挺干净的，而且他的地理位置比较方便，所以还是可以考虑的。', '短评打分': 3}
{'短评内容': '到达成都都半夜了，第二天要转机，一大早离店，所以只在那睡了一觉，但觉得性价比还不错。推荐！', '短评打分': 5}
{'短评内容': '酒店价格有些偏高,环境设施都还不错,位置位于繁华的春熙路但是酒店的标识不是很明显.', '短评打分': 5}
{'短评内容': '酒店位置很好，房间挺不错，很舒适，就是价格贵了点', '短评打分': 5}
{'短评内容': '顺便评价一下', '短评打分': 5}
{'短评内容': '我住的是大床房，感觉卫生条件还可以．设施还算舒适，房间的灯光有点昏暗。&lt;br /&gt;\n靠路边的房间晚上不能开窗户，会有点吵！房间隔音效果一般！&lt;br /&gt;\n地理位置很好,离春熙路只有5分钟！', '短评打分': 5}
{'短评内容': '优点：&lt;br /&gt;\n地理位置很不错，步行到华兴街5分钟到春熙路不到10分钟。（华兴街盘飧市对面有个“徐姐叶儿粑”的摊子，水平相当高，远远胜过龙抄手小吃套餐里的）&lt;br /&gt;\n自助的洗衣房还是挺管用的。&lt;br /&gt;\n退房的时候忘了拿找钱，前台小姐还特地打电话来。虽然规模不大，总体觉得是一家可以信赖的酒店。&lt;br /&gt;\n&lt;br /&gt;\n缺点：&', '短评打分': 5}
{'短评内容': '和汉庭比还是有差距。&lt;br /&gt;\n优点：&lt;br /&gt;\n1.位置好，出门不到100米就是春熙路；&lt;br /&gt;\n2.比如家更显商务，可能是在像汉庭靠近吧；&lt;br /&gt;\n3.整体来说还是比较干净的；&lt;br /&gt;\n缺点：&lt;br /&gt;\n1.床睡着很不舒服，好像是太软了；枕头很薄；&lt;br /&gt;\n2.面积能再大1－2个平方米就好', '短评打分': 3}
