{'短评内容': '不错，还在4楼，看日出日落', '短评打分': 5}
{'短评内容': '位置还算是好的，后面的泳池跟沙滩很好看，订的时候没有海景房，不知道那边的房间会不会好一点。空调又吵又有臭味。设施很旧很差。洗手间小。打电话问多要一条毛巾说没有了，第二天才有。晚上房间还有灵异事件发生，第二天一早就走了，本来订的两晚的。怕怕！！！！', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店后面就沙滩,非常棒,游泳池也不错,就是侨港这边的沙滩有点脏', '短评打分': 5}
{'短评内容': '酒店海滩景色不错，房价相对较高，大海尽收眼底', '短评打分': 3}
{'短评内容': '海天连一色，海景不错', '短评打分': 5}
{'短评内容': '位置有点偏但离海滩很近,北海银滩人太多,在酒店海滩玩就可以了,就是旺季酒店房源太紧张,我和先生只住一天就被请走路了。', '短评打分': 5}
{'短评内容': '对这次入住结果非常满意！\r\n\r\n刚开始给的是园景房，没有阳台，很暗，我没有同意入住。后来向经理申请免费升级为海景房，入住非常满意！（不知道别人是不是都是这样的，让人有占了便宜的心理，呵呵）\r\n\r\n房子面对的就是海滩，但不是银滩，人不是太多，好！', '短评打分': 5}
{'短评内容': '已经是第三次入住，很适合休闲度假的地方，就是价格高了点。', '短评打分': 5}
{'短评内容': '银滩唯一一家带游泳池的海边宾馆，在北海当地是相当不错的休闲度假宾馆，和海南岛亚龙湾酒店无法比，对自助游的客人来说相当不错，就是海景房的价格性价比不高。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '一个值的去住的酒店，员工的礼貌很好，一个国营的酒店有这样的服务确实难的，环境也很好，下去就是海滩', '短评打分': 5}
{'短评内容': '酒店的后花园就和海滩相邻，到海滩玩很方便。', '短评打分': 5}
{'短评内容': '可能由于最近是海边旅游旺季，客人太多。所以房间的打扫及收拾速度有些跟不上。但是良好的海景及晚上惬意的海边烧烤，给你本身就是良好的感受，下次去还是会继续住的', '短评打分': 5}
{'短评内容': '位置好，房间很干净，比较舒适。自助早餐也还不错，但价格稍稍有点贵。', '短评打分': 5}
{'短评内容': '非常好｀', '短评打分': 5}
{'短评内容': '服务态度也很不错，位置很好离海边很近周围环境真的挺好的，价格也很便宜，性价比还是很高的，房间真的也很不错下次去的话我还会去这家酒店。', '短评打分': 5}
{'短评内容': '不愧是国资背景的 位置那叫一个好！ 穿过酒店后门的花园 就是著名的银滩 穿着泳衣就可以直接下海了 基本是零距离 。酒店的观海阳台视线所及不是美丽的海景， 就是酒店非常独特的建筑和一看就非常惬意的后花园 泳池 ！阳台上的晾衣架还有房间里的干衣机 真的是十分人性的设计！服务人员态度也很好 以后如果去一定还要入住！呵呵！再啰嗦一句，老公回京后落地的第一句话是：我有点恍惚，还想在海珠的阳台上吹吹海风！不想', '短评打分': 5}
{'短评内容': '酒店位置很好，设施也不错，但价格太高，房间内设施一般', '短评打分': 5}
{'短评内容': '虽然这几天天公不做美！但酒店的环境还是让我的心情好了许多。特别是推开阳台门的一刹那，美丽的海景的确让人心旷神怡！', '短评打分': 3}
{'短评内容': '很不错！下次有机会还会入住这里的！', '短评打分': 5}
{'短评内容': '就是价格过高，谢谢', '短评打分': 5}
{'短评内容': '入住当天气温下降，但是酒店还是坚持不开暖气，我觉得，虽然酒店地处北海，但是作为一个4星级的酒店，是不应该有这样的情况出现。 其余的情况都还不错，酒店服务人员的态度非常好，下次去应该还是会考虑这家酒店。', '短评打分': 5}
{'短评内容': '非常舒服，住的海景房，有游泳池，人也很少，住的也很舒服，没什么可挑剔的。只是打折打的比较低，原价800多打完折也还有600整。。。。', '短评打分': 5}
