{'短评内容': '早餐还行', '短评打分': 4}
{'短评内容': '每次出差办事很方便，酒店也很干净，价格稍高', '短评打分': 5}
{'短评内容': '酒店位置非常满意，房间除了面积小点意外比较干净，很方便，性价比好，下次还来这家！！！', '短评打分': 5}
{'短评内容': '酒店位置还好，房间除比较干净，很方便，价位稍高，下次还来这家！！！', '短评打分': 5}
{'短评内容': '如果在普陀区的话还是推荐入住的，虽然旁边的设施不是很好，但是很安静，酒店也很卫生，早餐也不错。', '短评打分': 5}
{'短评内容': '酒店的早餐还是没有改善，已经六点四十了，还没摆好，望改善！', '短评打分': 5}
{'短评内容': '酒店不错，位置离公司不远。就是早餐样式少点，要是再改进些就更好了！', '短评打分': 5}
{'短评内容': '酒店还算方便，因为是和朋友驾车去，感觉还好，但是酒店的房间还是有点陈旧', '短评打分': 5}
{'短评内容': '唉，点评此酒店我有点无语了。也是四星级酒店呢，入住的时候房间差点没把我热死，想开空调凉快下，可居然被告知中央空调没开，我想说要不要这么小气啊！\n中间还发生了好多小意外，那就不说了，总之不推荐入住！', '短评打分': 1}
{'短评内容': '我是江苏的客户,很不错的酒店,自驾游很方便.给个好评!', '短评打分': 5}
{'短评内容': '中央空调不开拿了把风伞给我\n早餐有待改良，还是没什么吃的', '短评打分': 1}
{'短评内容': '装修过了，还行。餐厅不是很给力。上菜那叫一慢。', '短评打分': 5}
{'短评内容': '客人来上海多半都会定这个酒店，老牌子，新装修了，性价比还可以。就是价格张了不少，酒店停车稍微不是很方便。', '短评打分': 5}
{'短评内容': '干嘛干嘛干嘛要50字？干嘛干嘛干嘛要50字？干嘛干嘛干嘛要50字？干嘛干嘛干嘛要50字？干嘛干嘛干嘛要50字？干嘛干嘛干嘛要50字？干嘛干嘛干嘛要50字？干嘛干嘛干嘛要50字？--其实就是如是评价，形式主义没必要。总之，酒店不错，交通方便，服务到位。', '短评打分': 5}
{'短评内容': '帮朋友订此酒店，交通位置不错，环境不错，啊啊啊啊啊啊啊aaaaaaaaa啊啊啊啊啊啊啊啊啊就是价格涨了。', '短评打分': 5}
{'短评内容': '酒店设施还行，环境也不错！酒店设施还行，环境也不错！酒店设施还行，环境也不错！酒店设施还行，环境也不错！酒店设施还行，环境也不错！酒店设施还行，环境也不错！', '短评打分': 5}
{'短评内容': '酒店设置齐全，环境不错，已经第二次入住了。。。不过这次是两张床。。大床房价格稍高。总体不错。就是周边没有地铁站。。', '短评打分': 5}
{'短评内容': '已入住,酒店不错。', '短评打分': 3}
{'短评内容': '居服务员说这里房间没一个空调好的。真的好郁闷哦', '短评打分': 5}
{'短评内容': '\xa0环境不错，交通方便，卫生干净。周围小吃也不少，，会推荐再入住。', '短评打分': 5}
{'短评内容': '马马虎虎，离四星的标准还差很多。房间太陈旧', '短评打分': 1}
{'短评内容': '酒店干净，房间也比较安静，住在12楼基本没有噪音，离地铁较近。就是早餐感觉一般，花色少了点，房间的地毯稍微有点脏。', '短评打分': 5}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '房间太小，与价格不符，地理位置也不好，周围没有什么景', '短评打分': 1}
{'短评内容': '，每次来上海多半都会定这个酒店，老牌子，新装修了，性价比还可以。', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': ',大厅的空气气味不错，就是小了点。', '短评打分': 3}
{'短评内容': '位置不错，进出上海很方便，酒店也干净，朋友来上海很喜欢的酒店。', '短评打分': 5}
{'短评内容': '为朋友订房，还是比较满意。比较干净，性价比比较适中。', '短评打分': 5}
{'短评内容': '说是不错的酒店。不错 值得推荐！很舒服，很休闲！下次还会再去。', '短评打分': 5}
{'短评内容': '服务很好，周边环境很理想。地理位置也不错。\n', '短评打分': 5}
{'短评内容': '酒店不错，可以接受；在上海这个价格也算凑合了。', '短评打分': 5}
{'短评内容': '大体可以，房间有点小', '短评打分': 3}
{'短评内容': '十很满意!', '短评打分': 3}
{'短评内容': '酒店内部很好，配得上四颗星，但是酒店周围餐饮娱乐银行不多！', '短评打分': 5}
{'短评内容': '虽然是家老店，但内部装修还挺新的，服务也还可以。', '短评打分': 5}
{'短评内容': '给客户订的，客户满意。虽然店比较老了，但是东西就还不错。', '短评打分': 5}
{'短评内容': '行政房还不错，比较宽敞。要住高一点楼层。', '短评打分': 5}
{'短评内容': '不错，装修很新，很值这个价钱。地段也好，离我们公司很近，下次客户来了再来入住！', '短评打分': 5}
{'短评内容': '条件很不错，位置比较方便，比较干净，性价比还可以。', '短评打分': 5}
{'短评内容': '设备陈旧，停车场还是不错的，性价比很差，尤其是旅游高峰期', '短评打分': 1}
{'短评内容': '江苏饭店还算不错的，最主要一点就是交通方便，就是世博期间贵了点。', '短评打分': 5}
{'短评内容': '酒店环境不错，交通方便，服务也很好！ ', '短评打分': 3}
{'短评内容': '很满意 房间很大 浴缸也很大 泡了一个很舒服的澡 房间里有液晶台式电脑能上网 床极软睡得很舒服', '短评打分': 3}
{'短评内容': ',酒店还好吧！', '短评打分': 3}
{'短评内容': '，还可以，老酒店了！', '短评打分': 3}
{'短评内容': '很好，干净，吃得很方便，服务好，就是旅游团多，太吵，晚上还有迪厅的音响声', '短评打分': 5}
{'短评内容': '酒店一般，适合周围商务活动的出差。世博会涨价太狠了，取消了早餐，不爽', '短评打分': 5}
{'短评内容': '不错的选择。基本满意吧！以后还会来光顾。服务还不错', '短评打分': 3}
{'短评内容': '酒店地理位置很一般，外观也很一般，但房间里环境还是可以的，床很大，房间也大，服务生也很热情呢', '短评打分': 5}
{'短评内容': '基本还可以的不错交通方便。外来出差上海首选的好地方', '短评打分': 3}
{'短评内容': '基本还可以的不错交通方便。外来出差上海首选的好地方', '短评打分': 5}
{'短评内容': '就是地毯和家具有点旧，其他还可以\n前台等待的时间比较长', '短评打分': 3}
{'短评内容': '酒店以前应该是不错，现在有点老的感觉。\n柜台等待的时间比较长，不过好像酒店都要等\n家具、地毯比较旧，其他还可以', '短评打分': 5}
{'短评内容': '我下次到上海不会选择那里，因为一到晚上特别吵，好像楼上有迪厅，听听晚上20点左右放迪曲，特别闹，还有旅游团多也不好', '短评打分': 1}
{'短评内容': '位置较好，设施有点旧。', '短评打分': 5}
{'短评内容': '重新装修过，好多了，就是4楼KTV有点吵', '短评打分': 5}
{'短评内容': '重新装修过了，比以前好多了', '短评打分': 5}
{'短评内容': '总体还可以，刚装修过', '短评打分': 5}
{'短评内容': '还不错，给免费升级了。商务房住的舒服', '短评打分': 5}
{'短评内容': '整体感觉比较好.', '短评打分': 5}
{'短评内容': '上网速度太慢，条件很一般', '短评打分': 1}
{'短评内容': '前台有些乱一会说有房间一会又说没有房间,服务态度还行的,位置还是比较好找的.性价比挺一般的,总体感觉还是比较好的.', '短评打分': 3}
{'短评内容': '酒店各方面都还挺不错的,去上海也总是住这一家,房间干净也舒适的,价格也不贵', '短评打分': 5}
{'短评内容': '房费高了点，房间隔音不行，上网不太方便，很多网站都无法登陆，服务还行', '短评打分': 5}
{'短评内容': '酒店位置很好,在高速很近,房间也很干净,价格也可以,只是房间面积有些小', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 1}
{'短评内容': '住的是448的豪华标间，南京同样的四星酒店房间宽带上网都是免费的，这里房间的宽带上网居然要3角/分，一小时就是18元，太黑了！&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '这个酒店非常不错，硬件软件都非常过关，地点更不用说，武宁长途车站对门，对于我这样的苏北佬，真是太方便了！！！', '短评打分': 3}
