{'短评内容': '酒店环境还不错，金光闪闪巨浮夸…', '短评打分': 5}
{'短评内容': '晋江金玛国际酒店金碧辉煌，房间装修还不错，性价比还比较高 ', '短评打分': 5}
{'短评内容': '太皇家贵族气息了，价格有些高。因为错过飞机而随便预定一个入住的。感觉不是很好。', '短评打分': 1}
{'短评内容': '非常宽敞明亮干净的酒店，下次还会住。', '短评打分': 3}
{'短评内容': '酒店装修豪华至极，惊艳！厂家接了老外在这个酒店吃饭，老外不知道我帮他定的这个酒店，向我提出要住在吃饭的酒店里。结果搞了半天，我就帮他定的是同一家酒店。老外非常喜欢，说他Never forget，是个令人难忘的酒店，他以后再到晋江，一定还住这个酒店。这个价格强烈推荐！！！', '短评打分': 5}
{'短评内容': '对于这家号称”五星级”酒店，我只能说是我在国内住过性价比最差、最最最烂的酒店。\n我于11/10入住，11/12退房，房费365/晚，缴交押金1000，以下是我在这两晚遇到的状况：\n(1)冰箱上锁，怕房客消费冰箱中饮料，那我交押金干啥？\n(2)下午五点半出门办事请前台通知打扫，深夜一点回来房间仍未打扫\n(3)隔音之差可比经济型商务酒店，如果您是浅睡者，您请准备不用睡了\n(4)明明住了两天，开回来报销', '短评打分': 1}
{'短评内容': '金碧辉煌，房间装修还不错，性价比还比较高', '短评打分': 5}
{'短评内容': '+第一眼感觉是惊艳！宽敞，明亮，典雅的欧洲风情酒店。', '短评打分': 5}
{'短评内容': '多次入住了，感觉总是很舒服，但是电话要开通且收费，不合理。', '短评打分': 5}
{'短评内容': '总体感觉非常不错，很欧式，比较满意，下次有机会还是会入住。', '短评打分': 5}
{'短评内容': '+酒店设施很好、服务贴心、价格接受，好好好', '短评打分': 5}
{'短评内容': '很好，很舒服，下次还住这家，特别是有个很惬意的游泳池。', '短评打分': 5}
{'短评内容': '相当不错的酒店,位置方便，价格还适中，环境很好，是商务住宿的理想场地所。', '短评打分': 5}
{'短评内容': '整个酒店装修很有特色，房型很大，服务态度很好', '短评打分': 5}
{'短评内容': '酒店装修金碧辉煌，规模也很大，卫生条件也不错', '短评打分': 5}
{'短评内容': '条件还不错,室内的环境也很好住起来还是比较舒服的.整体感觉还是比较达标的.', '短评打分': 5}
{'短评内容': '酒店还不错，卫生设施条件都挺好的，环境也不错。', '短评打分': 5}
{'短评内容': '房间的梳妆台不能对着床铺,床有点硬,早餐一般.', '短评打分': 1}
{'短评内容': '内部装修挺好的属于那种金碧辉煌的那种看起来就很不错，而且像当时的价格的话真的很便宜性价很高真的很物美价廉，卫生和设施都不错，服务态度也是挺好的，位置还算可以吧本身晋江就比较小所以找的时候还是很好找的，很不错的酒店我很满意不过当时也是去出差的这家酒店是感觉还是比较适合商务型的人要是旅游什么的那价格方面还是有些偏高了，其他都没什么，酒店确实很不错。', '短评打分': 1}
{'短评内容': '服务很好，还会入住．', '短评打分': 5}
{'短评内容': '工作做的不够细,服务很好,就是需要指点.', '短评打分': 5}
{'短评内容': '环境价格都不错，早餐稍微品种少点，到9点就没什么吃的，早餐劵上说到十点结束。', '短评打分': 5}
{'短评内容': '在去酒店的路上，司机听说去的这家酒店就说：“那酒店很金碧辉煌”，听着还不在意。到了后发现真的是相当的金碧辉煌！最重要是是房间、卫生间的究竟都很大，感觉蛮好的！', '短评打分': 5}
{'短评内容': '酒店挺好了，不错', '短评打分': 5}
