{'descr': '质量挺好的，价格也比较实惠，挺便宜的，房间也挺好的。', 'star': 5}
{'descr': '地理位置还真是优越，就是冲着磁悬浮总站的位置订的，也确实近，条件嘛，快捷酒店也就算是不错的啦。', 'star': 5}
{'descr': '地理位置佳，离地铁站步行6分钟，特别是去浦东机场非常方便，房间还较干净，结帐后可免费寄存行李。', 'star': 5}
{'descr': '酒店位置到机场方便、易找，房间也干净还不错！', 'star': 5}
{'descr': '交通方便，离龙阳路地铁站步行不到10分钟。房间很干净。价格能低点，就更好了。', 'star': 5}
{'descr': '地铁方便，去展览馆近，吃喝样样有，网速有点慢腾腾的，早餐品种算可以，如果有加多一上小冰箱最好', 'star': 5}
{'descr': '方便外出 ，参加展览会最佳住房，周围吃饭方便，累了有安按摩地方，', 'star': 5}
{'descr': '在展馆和龙阳路地铁站中间。交通还算方便，但是走路的话不算近，还是打车的。', 'star': 5}
{'descr': '酒店总体还是比较干净的，由于处于地铁站附近，价格也相应的比较高。', 'star': 5}
{'descr': '出行方便，离地铁口近，房间设施和服务一如既往', 'star': 5}
{'descr': '蛮干净的，就是房间比较小，感觉有点小压抑。。。。', 'star': 5}
{'descr': '经济实惠。很干净。如果走廊是地毯的话，就更好了，客人晚上走路的声音\n，就不会那么响。\n', 'star': 5}
{'descr': '很好啊，离地铁蛮近的，也很舒适，在上海逛了一天，然后进去休息，然后坐第二天飞机回家', 'star': 5}
{'descr': '位置好找，离火车站不远，就是有点旧，对得起这个价格了。', 'star': 5}
{'descr': '酒店不错，靠马路的房间有点吵。', 'star': 3}
{'descr': '距离磁悬浮不是很近，打车太近，走路有点远，房间一般了，感觉不如其它城市的锦江之星', 'star': 1}
{'descr': '细节相当考究，干净整洁，设施合理又简单。', 'star': 5}
{'descr': '优势：距离新国际博览中心相当近，弱势：网速忒慢', 'star': 5}
{'descr': '房间有点小，不过上海向来是寸土寸金的，可以理解。网速就不敢恭维了，呵呵……', 'star': 5}
{'descr': '和其他经济连锁酒店相比，他家早餐还挺好，味道可以，种类较多。就是房间小，比较拥挤', 'star': 5}
{'descr': '房间比较小,隔音也比较差.可能是由于展览会期间，所以感觉比较的乱。', 'star': 1}
{'descr': '酒店挺好，离新展览中心挺近，旁边还有个大超市', 'star': 5}
{'descr': '交通很方便，酒店设施也不错，酒店有早餐，挺方便', 'star': 5}
{'descr': '第一次住，感觉和如家，莫泰差不多，还不错吧', 'star': 5}
{'descr': '距离展馆非常近,步行过去,比打车或者开车更方便.\n以后的展会,还会入住的.', 'star': 5}
{'descr': '＋房间挺干净的，只是窗户有点关不牢，有点吵。', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '还不错啦，离磁悬浮很近\n房间也还干净。。。。', 'star': 5}
{'descr': '挺不错的酒店，距离磁悬浮很近，交通方便.', 'star': 5}
{'descr': '离展馆近，交通方便，周遍也有不少小吃,不错的。', 'star': 5}
{'descr': '离展馆近，交通方便，周遍也有不少小吃，价格实惠。', 'star': 5}
{'descr': '看中交通便利才订的，房间小了点，洗手间的门坏了，性价比一般吧', 'star': 1}
{'descr': '替老公订的，听他说比较满意。价格合理，交通便利。', 'star': 5}
{'descr': '酒店位置挺好，靠地铁口，周围配套挺全，非常方便。而且性价比也不错，比我前两天住的那个东绣精品酒店不知好了多少，下次还是住这里。', 'star': 5}
{'descr': '服务很好，只是空调漏水，不是很好。总算是很安静，去展会很方便，地铁也很近。周围空气都比较好，下次还会继续住', 'star': 5}
{'descr': '房间很干净，还不错', 'star': 3}
{'descr': '很干净、很舒服、很安全、离新国际博览中心很近，附近便利店很多，离龙阳路2号线也不远，对面是所中学。周边打车也很方便，吃了次午餐，也很利索。应该是新开的锦江。', 'star': 5}
{'descr': '很好。没想这样的价格可以有这么理想住宿。性价比非常高。干净。前台1人员有礼貌。床不会太硬，一般“经济型”酒店床垫都是过硬的。这点是个小惊喜。', 'star': 5}
{'descr': '比较满意', 'star': 3}
{'descr': '离车站不算太远，房间还算干净，就是有点潮，而且有点异味。整体上来说这个价钱有点贵。要是200元左右就没啥挑得了。', 'star': 1}
{'descr': '第一次入住锦江之星，位置好。本想住两天，因新国际会展中心典礼，只能住一天。以后还会住的。没有早餐，要外出就餐。', 'star': 5}
{'descr': '位置不错，就是房间设施有点旧，还可以了，繁华地段。硬件设施希望能改善。整体的服务还可以，房间的人性化服务，有待改善。安全性挺好，上海不愧为国际大都市。如果可能的话，下次还是会过来入住的，怎莫说，也是经济实惠型的。', 'star': 5}
{'descr': '交通比较方便，离地铁和磁悬浮步行就可到达。。。机场大巴下车走去也很方便。。。。房间比较小，但比较整洁。。。。', 'star': 5}
{'descr': '房间设施有点儿旧，网速一般，周围吃东西也还方便。\n总体来说，还行吧！交通比较方便的，去浦东机场很便捷！\n', 'star': 5}
{'descr': '条件不错，但是网速太慢了。离龙阳路地铁站很近。周围有些小店有吃的，附近有个麦德龙。去其他的地方也比较方便，们算是浦东整洁繁华的地方了，价格有些虚高，但是住一两天还是可以的。', 'star': 5}
{'descr': '酒店设计很合理！空间也布置的很好！不过卫生间有点小，而且五金件用的很差，特别是洗脸盘的落水不能灵活的转动！', 'star': 5}
{'descr': '环境很好，到浦东机场很方便，一楼可进餐，出门右边一条路上有几家吃处。房间设置不错，网速还可以。下次去浦东乘机还住此处。', 'star': 5}
{'descr': '交通方便，就是毛巾有点旧了，洗头膏和淋浴露，两合一的', 'star': 5}
{'descr': '不错，床型是一大一小的，去看CJ很方便大概走路8-10分钟吧，就是吃饭的地方要去后面的小区多点，周围很少~~', 'star': 5}
{'descr': '交通还可以，酒店服务一般，设施比较欠缺，希望提升服务品质。', 'star': 5}
{'descr': '离国际博览中心超级近，环境也不错，服务态度也很好，总体都不错', 'star': 5}
{'descr': '这个店交通非常方便，到各个地方都比较容易，靠近地铁和磁悬浮。到会展中心步行就可以了，各方便服务也还不错。下次还选择。', 'star': 5}
{'descr': '离磁悬浮车站很近，走路十几分钟就可以到。就是酒店餐厅比较难吃，不能点菜，只有套餐，根本吃不饱', 'star': 5}
{'descr': '靠内一侧的房间安静，周围环境很好，去浦东机场很方便。', 'star': 5}
{'descr': '酒店很干净，位置在路边，居民区，只是周边环境不安静，影响休息。', 'star': 5}
{'descr': '方便！\n就是房间内电源插座位置不好  手机不能在床头充电', 'star': 5}
{'descr': '方便！\n快捷！\n交通便利！ \n房间手机信偏弱', 'star': 5}
{'descr': '很不错！有卡才能上去，这点很安全，推荐！下次还会入住', 'star': 5}
{'descr': '很不错！有卡才能上去，这点很安全，推荐！', 'star': 5}
{'descr': '交通还可以，据磁悬浮，走路10分钟，设施不错，晚餐一般，早餐很好', 'star': 5}
{'descr': '性价比OK。尤其是如果要参加新国际博览中心的活动。', 'star': 5}
{'descr': '位置离龙阳路地铁站近，离新国际展览中心步行要20分钟。参加展会适合。\n房间小。吹风机和熨斗数量不足,借了两天才借到,很困扰。 雨伞倒是很好借。\n可能因入住的人多,清洁不是很乾净,前房客掉的一些头发连两三天都没扫掉。\n', 'star': 5}
{'descr': '酒店硬件可以，窗户太小，停车不方便，性价比不是太高', 'star': 5}
{'descr': '房间太小了，不过服务员态度还可以，最关键是交通方便', 'star': 5}
{'descr': '地點離磁浮站很近，非常方便！價格很公道！服務人員也很親切，下次一定會再來這家酒店！', 'star': 5}
{'descr': '早餐里的煎饺味道很不错，和家乡的差不多。特别是靠后排的房间，窗外就是花园，很舒适。', 'star': 5}
{'descr': '这家酒店装修简约舒适，床很舒服，软硬度适度，并且离新国际博览中心特别近，离龙阳路的美食街也很近。', 'star': 5}
{'descr': '所谓的大床房，房间超小、不隔音、269一天，又不是旺季，离龙阳路地铁站走路还要10分钟，真不合适。', 'star': 1}
{'descr': '酒店房间很干净，服务周到，住起来很舒适，周边环境优美情景。', 'star': 5}
{'descr': '进去房间时，感觉有点湿。。。\n网络速度也慢\n\n不过位置蛮近，不错', 'star': 1}
{'descr': '很干净，就是房间有点小', 'star': 3}
{'descr': '位置不错，交通便利！离新国际展览中心步行10分钟，比较方便，但360元的房价太贵了！', 'star': 5}
{'descr': '酒店很干净，坐磁悬浮到浦东机场也很方便，床也非常舒服。不足的是网速太慢了，正常收邮件都成问题。', 'star': 5}
{'descr': '很晚才到，原本以为帮我取消了，没想到总台服务人员还是为我保留着房间，非常感激.房间虽然沿马路，但是一点都不吵，空间还行，空调也很给力，工作人员很热情，主动帮我们提行李进房间，有机会还会回来。', 'star': 5}
{'descr': '隔音太差了邻间的说话听得一清二楚', 'star': 3}
{'descr': ' 干净、安静、很合算。外国人也能满足。', 'star': 3}
{'descr': '离上海国际博览中心很近。', 'star': 3}
{'descr': '還可以', 'star': 5}
{'descr': '位置不错，到龙阳路地铁站步行要20分钟，很清静，只是房间有点太小。', 'star': 3}
{'descr': '交通出行好，', 'star': 3}
{'descr': '交通方便，服务态度是好的', 'star': 3}
{'descr': '位置还行。价格高了点', 'star': 5}
{'descr': '可以，交通进出行好', 'star': 5}
{'descr': '整体还好，早餐要每天有变化更好。', 'star': 3}
{'descr': '服务态度好，离国际博览中心近。', 'star': 5}
{'descr': '地點很棒，但是容易客滿，要定早定喔。這回我提前一周訂房，當天下午竟然通知因為沒人退房所以無法入住...還好後來客服的處理讓我勉強滿意，不過也代表這間酒店太受歡迎了...呵呵', 'star': 3}
{'descr': '一楼延马路的房间太吵。干净还是挺干净的，但这样的水准应该价格再便宜点', 'star': 3}
{'descr': '去会展中心，交通比较方便。总体比较干净，但是房间太小', 'star': 5}
{'descr': '可以能接受', 'star': 3}
{'descr': '酒店不错，靠近麦德龙能找到无数的吃的。', 'star': 3}
{'descr': '酒店不错。', 'star': 5}
{'descr': '酒店的位置不错，交通很方便，去浦东机场很方便，卫生也不错，美中不足就是房间小了点。不过总的来说还可以，下次有机会还会去住。', 'star': 5}
{'descr': '交通很方便，房间很新，服务态度很好，是附近性价比比较高的酒店。餐厅味道一般。隔音不太好，但是也不是很严重了，睡觉很轻的可能受不了。楼道里很浓的香水味，不知道为什么喷那么多香水', 'star': 5}
{'descr': '交通便利，每次同事出差都要求订这家酒店。', 'star': 5}
{'descr': 'Convenient location\r\nNeat and tidy room\r\nSincere services from all staffs\r\nbut net speed needs to improve cause can not access web sometimes. ', 'star': 5}
{'descr': '交通方便，环境不错', 'star': 5}
{'descr': '酒店服务员的态度很好。去浦东机场的话很方便。', 'star': 5}
{'descr': '去浦东机场很方便', 'star': 5}
{'descr': '交通方便  性价比较高 ', 'star': 5}
{'descr': '经过在网上的比较，选择了这家酒店。位置很好，交通方便，尤其是需要去浦东机场的人，很便利。房间很干净，也很舒适。唯一的美中不足是 个别的前台接待人员的态度不是很好。望改进！', 'star': 5}
{'descr': '外面看起来还不错，尤其是服务还算不错，也还算干净，但是房间实在太小了，床也不怎么舒服，特别是隔音非常差，站在门口连房间里的咳嗽声和电视声音都听得很清楚，在房间内就更不谈了，连走廊那头的开门声和说话声听得清清楚楚，影响休息。', 'star': 1}
{'descr': '每次去上海首选这家店，交通方便，环境不错.', 'star': 5}
{'descr': '房间隔音差，早上六七点就被门外来来回回的脚步声吵醒！', 'star': 1}
{'descr': '参观，参展览会，位置极方便，', 'star': 5}
{'descr': '整体环境还可以,但是价格比以前高了一些,位置稍有些偏交通方便公交地铁都很方便.', 'star': 3}
{'descr': '房间很卫生，只是咨询电话要打通很不容易老占线。', 'star': 5}
{'descr': '设施很简单的经济酒店，房间太小了', 'star': 1}
{'descr': '酒店干净卫生，服务人员专业。早餐简单可口，附近有大型超市，购物（日常用品）方便，是个不错的商住酒店。如果以后需要到附近出差，还会再次选择这家酒店。 ', 'star': 5}
{'descr': '不知道是上海的雨还是密闭的卫生间，整个房间非常的潮湿，墙上都摸的出水汽来！', 'star': 5}
{'descr': '麻雀虽小，五脏俱全。这已经是我第N次入住这家酒店了，服务人员很热情也很有耐心的解决客人的疑问，相当不错的一家酒店，非常有家的感觉。', 'star': 5}
{'descr': '房间较小，卫生一般，桌子一抹都是灰尘。', 'star': 1}
{'descr': '酒店的房间面积比较小的，酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店', 'star': 5}
{'descr': '值！', 'star': 3}
{'descr': '性价比较高的一家酒店，服务也相当的好，地理位置也好，交通很方便，整体感觉很干净。', 'star': 3}
{'descr': '淋浴的喷头是坏的，不如我想象中好。因为价格比较高，觉得性价比不太合适，但是酒店的位置非常好。出行交通方便，还是可以考虑入住的酒店。', 'star': 5}
{'descr': '工作人员很热情，服务也很周到，离新国际博览中心很近，很适合我们这种参展的人士，周边购物、交通等非常方便，下次参展还会选择住这里！', 'star': 5}
{'descr': '地理位置还不错，交通方便，服务周到热情，感觉十分温馨。', 'star': 5}
{'descr': '酒店还不错,性价比较蛮高的,就是地理位置有点尴尬,因为当时是要去新国际博览中心的,从酒店步行过去要十几分钟,打车又觉得太近了,不过也还可以,但如果房间里要是有个冰箱就更好了.', 'star': 5}
{'descr': '房间蛮干净的，人员服务也挺周到的，价格也不贵，还是可以接受的，离展会挺近的。', 'star': 5}
{'descr': '酒店的服务卫生方面还是可以的,设施条件也还可以了,价格有些偏高了.', 'star': 5}
{'descr': '位置还可以。房间太小。餐厅不错。', 'star': 5}
{'descr': '餐饮味道不好，可以改善一下，卫生环境和服务都还好，价格也适中，出行也很方便', 'star': 5}
{'descr': '除了我当时住的房间小点，别的都不错，价格合适，服务周到', 'star': 5}
{'descr': '服务热情周到，房间也干净整洁，很舒适，价格也比较实惠，周边的交通很方便', 'star': 5}
