{'短评内容': '早餐菜样少', '短评打分': 5}
{'短评内容': '房间很新，服务也蛮好的。就是当天早饭没有得吃，厨师放假了。所以够不上四星的标准。不是很物有所值', '短评打分': 5}
{'短评内容': '在新区办事还是不错的酒店，房间较大，出行也很方便，唯一是早餐简单。', '短评打分': 5}
{'短评内容': '整体来说不错，前两天去郑州办事住过，房间挺大，很干净，很暖和，洗澡水很热，早餐也很丰富。下次去郑州，还会入住这家酒店。', '短评打分': 5}
{'短评内容': '酒店很新，环境很好！早餐，服务都很不错！就是地理位置稍偏！其他的都可以！', '短评打分': 5}
{'短评内容': '这家酒店很干净，室内环境好，美中不足的是这次网络不稳定', '短评打分': 5}
{'短评内容': '性价比一般，就是交通比较方便，打车容易 ，可以住，不全力推荐', '短评打分': 1}
{'短评内容': '酒店还可以，性价比一般，就是交通比较方便，打车容易', '短评打分': 1}
{'短评内容': '真的是很好不   上面有点灰尘 居然让我全额付款 有点黑店的感觉 我后来说 如果我能洗掉我就一分钱不少的给你 结果 我刚一放到水里 就马上干净了 2个服务员不在嚣张了，吧再那种表情说话了 ，是我的原因 我全额 不是我的原因 不可能，在说酒店怎么可能使用的毛巾有点都没有灰尘，如果有点灰尘就要要钱 要全额付款，感觉真的很可怕，并且所说的打车容易，也是骗人的，旁边虽然是个加气站，但是根本就不拉人，还是需', '短评打分': 1}
{'短评内容': '这家酒店室内装修别致，室内用品很新，出行也较方便', '短评打分': 5}
{'短评内容': '整体来说不错，我是在特价的时候去的，房间挺大，很干净，很暖和，洗澡水很热，129元很好，电视很太小，原价258有点贵，', '短评打分': 5}
{'短评内容': '这家酒店的设施较新，室内环境好，离加气站站很近，出租车很多', '短评打分': 5}
{'短评内容': '酒店装修比较新,房间打扫得不是很干净,前台服务员不太专业。其他还好,安静。', '短评打分': 3}
{'短评内容': '酒店不错，很安静，离会展中心，机场都很方便，不过离市区还是蛮远，如果要到市区办事的还是有点不方便，郑州的交通实在太堵了', '短评打分': 5}
{'短评内容': '还可以吧,房间够大的呢,就是从外面看不像个酒店.', '短评打分': 5}
{'短评内容': '安静，房间大，舒服，下次到郑州还会住这个酒店的', '短评打分': 5}
{'短评内容': '价格不便宜，房间也够大，只不过住了一天，就过敏了，郁闷，还好旁边就是皮肤病医院', '短评打分': 1}
{'短评内容': '房间宽敞，视野不错，也许是新开业的酒店吧，感觉很棒。', '短评打分': 5}
{'短评内容': '酒店比较新，装修风格还不错。但位置比较偏，离会展中心也有段距离。由于挨着一个加气站，打车非常方便，这在郑州来讲很方便。周边吃饭的地方不多，但也有些尚可的饭馆供选择。酒店内设施和器具的质感不好，早餐也不够丰富，但对得起这个价格了。', '短评打分': 5}
{'短评内容': '相当不错,环境也可以,服务也好,就是离市区有点远', '短评打分': 5}
{'短评内容': '酒店房间面积大，中央空调的反映速度确实比较慢！  希望在细节上多为宾客考虑一下！', '短评打分': 5}
{'短评内容': '性价比不高，内部装修简单，设施简陋', '短评打分': 3}
{'短评内容': '酒店环境不错，设计特别，一楼餐厅的杭州菜不错，只是没有风筒。。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房屋设计的很好 空间很大 附近有KFC 也蛮干净的 大床房睡的很舒服 能上网 这个价位不错了 推荐', '短评打分': 5}
{'短评内容': '还行，可以住，与价格基本相符，但距离四星的差距还是很大的，房间的灯光系统需改善的', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店位置在城新区，有点僻静，设施尚可。', '短评打分': 3}
{'短评内容': ' 还可以', '短评打分': 3}
{'短评内容': '这家酒店整体还可以，床上用品很新，而且紧邻加气站，打车很容易，不足是整理房间不是很及时', '短评打分': 5}
{'短评内容': '房间很干净很宽敞，蛮不错哦！', '短评打分': 3}
{'短评内容': '环境优雅，。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好的酒店，不用广告就会有房客追逐，酒店不愧时尚二字，服务也好，装修也好，继续努力！！！！！！', '短评打分': 5}
{'短评内容': '非常非常非常好的酒店，环境，客房，餐厅都彰显时尚之气，希望继续努力！！！！！！！！', '短评打分': 5}
{'短评内容': ':较安静', '短评打分': 3}
{'短评内容': '很好…主要房间里没有旅游指南…', '短评打分': 3}
{'短评内容': '这哪儿是4星酒店啊，就普通快捷酒店。现8：00PM就没有餐厅可以吃饭了。前台服务态度不是很好，我打电话过去问餐厅开到几点，她让我自己上7楼看，电梯只到6楼，要走楼梯到7楼。上去了，没有人。房间内部还算可以这个价位，但外出了房间就让你发狂了，房间内没有任何指示，前台电话是多少，餐厅电话等。房间内还标签食物，个人感觉这会给酒店打折很多，有点低档。如果不是ELONG推荐，我打车到门口就想离开了。', '短评打分': 5}
{'短评内容': '并不是四星的标准。', '短评打分': 3}
{'短评内容': '＋酒店挺干净 早餐不好', '短评打分': 3}
{'短评内容': '酒店环境还行，离国际会展中心比较近，早餐也不错，唯一不满意的是晚上洗头要吹风机，说是都借光了，害得我住了3天没洗头。。。', '短评打分': 5}
{'短评内容': '酒店很超值，感觉有准四星的标准，房间很大很干净，风格也是我喜欢的。与同事在边上一家价格差不多的酒店形成很大对比，感觉自己定的是很正确的。早餐也不错，挺丰富的。', '短评打分': 5}
{'短评内容': '酒店很超值，感觉有准四星的标准，房间很大很干净，风格也是我喜欢的。与同事在边上一家价格差不多的酒店形成很大对比，感觉自己定的是很正确的。早餐也不错，挺丰富的。性价比较高！', '短评打分': 5}
{'短评内容': '还是值得推荐的酒店。挺安静的，出行也比较方便！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '不错，很干净。', '短评打分': 3}
{'短评内容': '有点偏，不过环境还算不错！早餐得走楼梯上七楼吃有点麻烦！', '短评打分': 3}
{'短评内容': '酒店宽带一到晚上9点后就近乎无法使用，对商务客影响极大。早餐不错，干净。酒店环境清静，交通状况正在改善中。', '短评打分': 5}
{'短评内容': '比较干净。酒店设施属于便捷类型。就是有蚊子，幸好要的电蚊香。早餐还不错，比较可口。大床比较舒服。\n比较干净。酒店设施属于便捷类型。就是有蚊子，幸好要的电蚊香。早餐还不错，比较可口。大床比较舒服。', '短评打分': 5}
{'短评内容': '环境还不错，比较安静，一楼有一家餐厅，但质量一般。冲着边上的加气站去的，打车很方便。早餐不错，很喜欢', '短评打分': 5}
{'短评内容': '黄升正.赵丽荣8316.8416', '短评打分': 3}
{'短评内容': '还不错吧，挺清净的，新酒店，很干净,早餐很简陋', '短评打分': 5}
{'短评内容': '还行吧。。。还送水果了呢。。就是没有吹风机。。头发湿着睡了。。', '短评打分': 5}
{'短评内容': '酒店房间很大，装修也很新，周边交通吃饭也很便捷。', '短评打分': 5}
{'短评内容': '蛮好滴，这次又定了大半个月额。环境还好，就是这次涨价了嘛', '短评打分': 5}
{'短评内容': '该酒店是属于经济型的，设施等都很一般，不过早晨和中午等都很好打车！', '短评打分': 5}
{'短评内容': '挺僻静的，偏僻了才安静嘛，呵呵！早餐很丰富，稍微往西走1公里左右才有个比较热闹的去处。还是值得推荐的。', '短评打分': 5}
{'短评内容': '还可以  不太像三星  价格稍高  地段还好  睡觉比较安静', '短评打分': 5}
{'短评内容': '位置有点儿偏呀。。找了半天。房间挺大，挺安静，斜对面有一家人民公社的优质烩面真是好吃，也不贵，建议你偿偿。', '短评打分': 5}
{'短评内容': '价格比较实惠，但是房间内不是很干净。空调不是很好用，而且酒店的保洁工作不是很好。不过对得起这个价格了。', '短评打分': 5}
{'短评内容': '酒店好像是新建的，比较干净，电视也是液晶的，去机场也不是很远。', '短评打分': 5}
{'短评内容': '打车的确方便，早餐也还不错。房间很简约舒适。\n洗漱和卫生间的地方稍微紧凑了点，其他还好\n有一个要改进的地方就是：晚上网络不好，时好时坏，不太爽', '短评打分': 5}
{'短评内容': '位置方便，服务好，除了略有网友和住客反映的几只蚊子问题外，几乎挑不出什么毛病来', '短评打分': 5}
{'短评内容': '房间内的设施很好，各类用品很新，环境很好，服务周到，', '短评打分': 5}
{'短评内容': '房间不错，旁边是加气站，打车很方便，就是地方偏点儿。', '短评打分': 5}
{'短评内容': '酒店凑合 只能算一般般！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '开发区性价比较好的酒店。对面有家川菜馆。交通方便。', '短评打分': 5}
{'短评内容': '早餐可选比较少，没有水果，房间的床还可以比较舒服的说。', '短评打分': 5}
{'短评内容': '该酒店卫生干净，房间布局很舒适。价位还行。就是早餐需要提高水平。', '短评打分': 5}
{'短评内容': '酒店的硬件不错,环境和卫生条件都不错,餐厅与住宿分别计帐,餐厅消费不能开发票很不好,位置有点偏.', '短评打分': 5}
{'短评内容': '除了的确有不少蚊子外，酒店卫生很好，餐厅也很好，而且早餐也很好', '短评打分': 5}
{'短评内容': '还行，下次还可以考虑入住。在郑东新区出差可以考虑这家酒店。', '短评打分': 5}
{'短评内容': '已经入住,房间环境非常不错,非常舒适,绝对的四星级水平,价格也非常合理,虽然还不知道明天早餐怎样,但可以肯定,值得推荐,以后再来郑州出差就选这里了.', '短评打分': 5}
{'短评内容': '房间不错就是早晨起来厕所上一半发现竟然没手纸晕死 四星级酒店啊', '短评打分': 3}
{'短评内容': '非常不错，环境好，早餐相当好。服务态度好', '短评打分': 5}
{'短评内容': '酒店旁边就是加气站，出租车很多，叫车方便。但住宿条件真的很一般，电梯里还有股刚装修好的味道', '短评打分': 5}
{'短评内容': '酒店位置比较好找，内部装修也够时尚，前台服务也还热情。美中不足的是入住后发现蚊子比较多，水壶盖上居然有个不会动的，还有血迹。。。', '短评打分': 5}
{'短评内容': '位置很不错，环境也很安静，服务也很好，下次还会入住的。', '短评打分': 5}
{'短评内容': '新装修的酒店，设施不错，而且旁边有个汽车加气站很多出租车，出行叫车方便的很', '短评打分': 5}
{'短评内容': '比较新的酒店，房间大也干净。早餐不错。可惜枕头不是很舒服。在新区，郑州交通太堵，出租车难叫，如果到火车站、汽车站，酒店的交通就不是很方便。', '短评打分': 5}
{'短评内容': '电梯气味很大 房间挺好的 设计的很好玩 屋子里面有植物 早餐吃的一般 要发票一定要提前和前台打招呼', '短评打分': 5}
{'短评内容': '还不错的酒店，服务不错，只是大堂经理态度再好一些就更好了！卫生还可以（在郑州来说),如果每天有吸尘就更好了！装修还可以，很新，要是墙纸没发霉，房间没有装修味就更好了!早餐不错!', '短评打分': 5}
{'短评内容': '沒浴巾,沒抽纸,没长途 ,但电脑不错望在设施建设方面加强加大投入.', '短评打分': 5}
{'短评内容': '消费不能刷卡，不能出机打发票，我住房间因端口问题上不了网', '短评打分': 1}
{'短评内容': '位置太偏僻了 不好找 周边就是加气站 打车好打 没有什么吃的', '短评打分': 5}
{'短评内容': '房间很新，价位有点虚高，目前是刚营业，希望下次入住就正规化；前台只能用现金结账，这个很不方便；另外，早餐有待提高一点；洗浴时，淋浴喷头的水会溅出。房间格局非常棒,特别适合房间内办公。', '短评打分': 5}
{'短评内容': '新开的酒店，房间设施还不错。前台不能刷卡很不方便，早餐还不错，其他服务设施几乎没有。', '短评打分': 5}
{'短评内容': '悦莱是新酒店，整洁，早餐一般，房间里还有装修的油漆味。', '短评打分': 3}
{'短评内容': '非常不错的酒店，感觉性价比很高，早餐也不错，房间含早餐，但是一点都不应付，丰富、干净、可口，房间真的是干净、时尚。服务员也很可爱而礼貌。唯一一点就是说是能免费上网，结果都没在房间提供网线，这点细节要注意。', '短评打分': 5}
{'短评内容': '新酒店 很多服务跟不上 空调不行 怀疑是酒店为省成本故意给关了 房间里饮料都没有 \n前面那么多好评 都是托???', '短评打分': 1}
{'短评内容': '环境服务都挺好', '短评打分': 3}
{'短评内容': '对停车场的服务态度超级赞一个！！住过不少酒店，只对这家酒店停车场服务生的笑容记忆犹新！！\n餐厅服务很好！\n房间装修很漂亮!很大气!很超值！\n缺点也有，房间窗户太小了，可以打开的部分几乎可以忽略不计，因为房间是新装修的，味道相当的大，住了两晚熏得难受，只有一个40厘米见方的窗户可以打开，气味如何能散发出去？这点酒店当初装修设计时可能没想到！算是一个瑕疵吧！', '短评打分': 5}
{'短评内容': '酒店非常不错，就是有点冷。中央空调不给力。但是价格便宜，总体来说还是很好的。卫生间漏风。很冷。。。', '短评打分': 5}
{'短评内容': '酒店非常不错，就是有点冷。中央空调不给力。但是价格便宜，总体来说还是很好的。', '短评打分': 5}
{'短评内容': '干净，房间宽敞装修时尚，服务人员和蔼可亲。问题：卫生间的装修不太实用，洗澡时水会流到地板上。', '短评打分': 5}
{'短评内容': '服务挺好，卫生挺好，网速不慢，早餐挺不错，这次住的挺满意的。', '短评打分': 5}
{'短评内容': '停车挺方便，管理也挺好，停着挺放心的，房间挺时尚，卫生打扫很干净，住的挺舒心的。', '短评打分': 5}
{'短评内容': '环境不错，干净卫生，服务也挺好，设施完善，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店装修环境都不错，位置也可以，服务态度和价格都挺好的。', '短评打分': 5}
{'短评内容': '前台服务很热情，房间看着挺新挺舒适，结账还能刷卡，感觉挺方便的。', '短评打分': 5}
{'短评内容': '为朋友定的,大家都说不错.环境好,地理位置优越,为首选.', '短评打分': 5}
{'短评内容': '新，空间布置合理；\n免费宽带；\n但无商务中心和商店', '短评打分': 5}
{'短评内容': '水是苦的 消毒水味道太重', '短评打分': 3}
{'短评内容': '酒店还可以，新酒店干净卫生，不过奇怪这明明是商务酒店为什么会被归为“四星/高档”一类，明显的误导', '短评打分': 5}
{'短评内容': '一家不错的酒店，可能是没找到灯的开关，晚上灯少一些。', '短评打分': 5}
{'短评内容': '还不错，就是房间里没有电脑啊！能配上电脑就好了！', '短评打分': 5}
{'短评内容': '感觉很好，能达到四星级酒店标准、环境不错。去酒店看了一下，但没有住。另时有事，下次一定住。', '短评打分': 5}
