{'短评内容': '环境优雅，安静舒适，值得信赖', '短评打分': 5}
{'短评内容': '前台的服务态度极差', '短评打分': 5}
{'短评内容': '作为四星级酒店，设施很陈旧。卫生一般，睡觉时墙皮掉了，入住时床单上有头发', '短评打分': 1}
{'短评内容': '不错的酒店，服务的好，卫生条件基本还好，能住。', '短评打分': 3}
{'短评内容': '邢台不错的酒店，基本条件还好，现在涨价了，不知是什么原因。', '短评打分': 5}
{'短评内容': '服务非常好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '原来住过.性价比不高,房间比较小,设施比较陈旧.', '短评打分': 3}
{'短评内容': '原来住过一次,设施比较陈旧,房间不大,性价比一般.', '短评打分': 5}
{'短评内容': '地理位置还可以，房间挺干净的，就是设施有点旧！', '短评打分': 5}
{'短评内容': '4星级的标准哪里来的', '短评打分': 1}
{'短评内容': '除了位置差之外,都还不错', '短评打分': 5}
{'短评内容': '在邢台市来说，这家酒店四星，还可以。', '短评打分': 5}
{'短评内容': '感觉性价比 一斑斑吧', '短评打分': 5}
{'短评内容': '雖說4星級，但性價比其差，房間很髒', '短评打分': 1}
{'短评内容': '酒店还可以，但达不到四星标准。服务一般', '短评打分': 3}
{'短评内容': '房间比较小～ 床小', '短评打分': 5}
{'短评内容': '太老了', '短评打分': 1}
{'短评内容': '前台服务的质量有待提高', '短评打分': 5}
{'短评内容': '我是给同事预定的酒店，他回来后说酒店整体挺好的！', '短评打分': 5}
{'短评内容': '酒店价格与设施不成正比，酒店该重新装修了。', '短评打分': 1}
{'短评内容': '该酒店据说是邢台最早的四星级酒店，如果该酒店的商务楼层很好', '短评打分': 3}
{'短评内容': '看得出曾经的辉煌，但是肯定没有与时具进，落伍了。', '短评打分': 1}
{'短评内容': '房间装饰的还不错 ，就是感觉有些旧了，床很舒服', '短评打分': 5}
{'短评内容': '还可以的拉', '短评打分': 3}
{'短评内容': '还可以的 每次去都住这家', '短评打分': 5}
{'短评内容': '性价比一般的酒店，除了早餐不错，其他没什么优点。', '短评打分': 1}
{'短评内容': '干净，卫生，服务较好', '短评打分': 5}
{'短评内容': '该酒店门口正在施工，非常吵。酒店设施很一般，本人入住的会所客房还稍好一点。酒店服务人员素质很差，工作效率很低，在楼道大声讲话，晚上显得很吵。另外，早餐要在7：30以后供应，要早起办事的可能等不到，早餐也很糟糕。', '短评打分': 1}
{'短评内容': '非常不错的酒店 环境 档次都可以 以后还会住的', '短评打分': 5}
{'短评内容': '邢台较好的酒店，还行。', '短评打分': 5}
{'短评内容': '设施太破旧，实在和四星酒店名不副实。', '短评打分': 1}
{'短评内容': '各方面都不错，空调稍微冷了一点。', '短评打分': 5}
{'短评内容': 'sheshitaitaitaitaicha!', '短评打分': 1}
{'短评内容': '第二次出差入住了,感觉还行.', '短评打分': 1}
{'短评内容': '在邢台，也算好的啦！', '短评打分': 3}
{'短评内容': '入住会所是很好的，设施不错，酒店内的餐厅算是邢台非常出名的。楼下就是大超市，购物很方便。', '短评打分': 5}
{'短评内容': '我觉得性价比一般，其他还可以，价格稍微有点高.网络不稳定。', '短评打分': 5}
{'短评内容': '酒店设施胃肠陈旧，桶装纯净水，居然还是酒店自己的纯净水。网络不稳定。', '短评打分': 1}
{'短评内容': '价格还可以，服务还可以。', '短评打分': 5}
{'短评内容': '位置虽偏一点，但周边环境还是很方便，且酒店边上就可以定火车票，这点真的很好。', '短评打分': 5}
{'短评内容': '我觉得性价比一般，其他还可以，价格稍微有点高', '短评打分': 3}
{'短评内容': '在邢台，没有其他家的挂牌4星！\r\n', '短评打分': 5}
{'短评内容': '感觉很脏，很乱。也许是我下雪的夜晚到的缘故？', '短评打分': 1}
{'短评内容': '设施陈旧、服务质量不高，和挂牌四星的名称相差太远。但在邢台还算可以了吧。', '短评打分': 3}
{'短评内容': '在邢台这边也就这家酒店还算不错,但是位置上离火车站远了些,设施,服务,卫生都是很一般的.', '短评打分': 3}
{'短评内容': '如果按挂牌四星标准来看差的比较远。服务员的素质需要大幅度的提高。但和价格相比，还是比较匹配的。', '短评打分': 5}
{'短评内容': '性价比比较高的一家酒店，卫生服务都还可以，值得推荐给朋友。', '短评打分': 3}
{'短评内容': '服务不是很好,当时我本身订的是大床房,后来到酒店之后给我安排的是双床房,那天也累了,到房间之后就不想动了,就不想换了,后来他们又打了两个电话给我非让我换房间,挺烦的,对这点不是很好,不过地理位置和价格挺好的,其他方面都挺不错的,总体感觉还是比较满意的.', '短评打分': 3}
{'短评内容': '感觉这家酒店还是比较不错的,内部环境挺好的,地理位置也比较方便,挺满意的.', '短评打分': 3}
{'短评内容': '这个酒店和它的价格不成正比的，酒店的设施太旧了，全是80年代的家具，地毯出奇的脏，好像小孩子撒尿的痕迹，一进屋子就有很大的烟味，很恶心，没有浴袍，等等，非常的差，真的不希望朋友们住这家酒店，我第二次出差就住的普通的3星级的，很便宜，但比这个号称是四星的干净的多，住着很舒服。\r\n\r\n  辰光唯一的就是好点就是早餐丰盛点，但是，我不会为一顿早餐选择这家酒店的。', '短评打分': 1}
{'短评内容': '在邢台这样的小城市里有这样的酒店就已经不错了', '短评打分': 5}
{'短评内容': '位置还可以但辅助设施不怎么样', '短评打分': 5}
{'短评内容': '听说是邢台唯一一家挂牌四星的酒店,也知道是开业时间较早的,但ELONG的接线员说2008年刚装修过,故就住了,大床间果真很旧,所有家具都很差,基本在90年代水平,床更是不用说很不舒服,卫生间很多设备都有问题,没浴袍,这好像是四星酒店的标配,估计有也不敢穿,毛巾浴巾显然新旧程度不一,浴室也没防滑垫.房间的地毯很脏.最让人受不了的是窗外一个和垃圾场一样的平台(我住4层),根本不敢拉开窗帘.去的时候正好', '短评打分': 1}
{'短评内容': '性价比比较高,位置也还可以,服务、卫生和设施比较一般,总体还是比较满意的,如果价格再便宜一些那就更好了.', '短评打分': 3}
{'短评内容': '酒店有些时间长比较老旧,装修还有设施,卫生服务还是可以的.', '短评打分': 3}
{'短评内容': '酒店的整体上觉得还可以，硬件设施不错，就是有一点安全措施做的不够，我的412房间旁边是能下到楼下的（不是正常的门），晚上酒店也没关，也没保安，感觉不是太安全', '短评打分': 5}
{'短评内容': '总体服务还是不错的,服务员都很亲切,还是很喜欢这里的,充满回忆的地方,下次来还会选这里吧~', '短评打分': 5}
