{'短评内容': '赵雅环境不错！', '短评打分': 5}
{'短评内容': '酒店位置虽然有些偏，但是硬件和服务还是不错的。自助餐和早餐的花样和品种略微少了一些。', '短评打分': 5}
{'短评内容': '很好！只是交通不是很方便，下次还住这里。', '短评打分': 5}
{'短评内容': '虽然位置不在墟沟市中心，但是她们的服务真的是好好，每个服务员都有着温暖的笑容，酒店也比较新，比较舒适。就是早餐的大厅，有点点冷哦。\n另外，他家2楼的鱼做的好好吃哦。。。', '短评打分': 5}
{'短评内容': '酒店环境及服务都不错，但路边汽车噪音较大，早餐不够丰盛', '短评打分': 1}
{'短评内容': '虽然离市区远了点，但上海过去的交通还算方便，\n入住的是金秋特惠房，送了两晚的自助晚餐，\n很不错，海鲜也新鲜，\n', '短评打分': 5}
{'短评内容': '酒店挺干净的，服务也不错~出去玩最注重住了，这家，很满意的~', '短评打分': 5}
{'短评内容': '房间非常舒服,最后都不想走了.但是早餐还是一般般,不是很丰富.还不如四星级的.', '短评打分': 5}
{'短评内容': '该酒店完全没有国际四季酒店的服务风格，我几乎怀疑来到一个完全国内的酒店。房间设备可以。', '短评打分': 1}
{'短评内容': '好的方面不说了。缺点：豪华大床房窗户太小，感觉很暗，服务生说房型都如此。早餐供应有问题，9点以后好多品种都没了，服务跟不上。', '短评打分': 5}
{'短评内容': '房间很舒服，游泳池也很大。浴室和门厅地上沾了水会很滑，要小心。', '短评打分': 5}
{'短评内容': '酒店挺新的~装潢不错~服务也不错！自助餐东西不算多，但够新鲜，价格合适。', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '住的是套房，算紧凑型吧，不过安排合理，另只有咖啡机没有电热水器，蛮尴尬的。位置有点偏，其他倒还好！', '短评打分': 5}
{'短评内容': '硬件还行，新酒店。周边没有吃的没有逛得，停车方便。', '短评打分': 5}
{'短评内容': '硬件非常不错  位置有点尴尬  但对于我这次出差非常近  自助餐有点贵  部分服务人员素质和水平有待提高  游泳池水很干净 就是没有救生员  ', '短评打分': 5}
{'短评内容': '干净、设施新、服务好，值得一住。', '短评打分': 3}
{'短评内容': '酒店住的很舒服，服务也很好，价格也很优惠，早餐品种和质量也都很不错，要说缺点吗，就是洗浴用品比较差，需要自带，而且不能泡澡。哈哈', '短评打分': 5}
{'短评内容': '酒店很好，设施很新，服务也比较到位，符合喜来登的级别。\n就是地点有点尴尬\n', '短评打分': 5}
{'短评内容': '酒店服务很好，泳池比较喜欢。早餐时发现苍蝇，请注意。', '短评打分': 5}
{'短评内容': '这个酒店硬件软件都很不错，我是开车去的，所以对于交通没什么感觉\n', '短评打分': 5}
{'短评内容': '很好的一家酒店，设施齐全，服务周到，消费明白，地理位置也不错。特别是有室内游泳池和建设会所，可以满足一些人群的需要。就是房间小了些，不过也没有太大问题，但是早餐单份不是人性化的体现啊，如果另加一份早餐需要55元人民币，应该价格偏高了，所以酒店还是要考虑更加人性化的服务啊！', '短评打分': 5}
{'短评内容': '酒店很满意，床很舒服，外围环境很安静，整体感觉很好。以后来连云港还会来住。', '短评打分': 5}
{'短评内容': '交通便利，环境优雅，硬件档次较高，但软件配置差（马虎能达到中国3星级标准），服务水准也不高，虽然有不少年轻美貌的服务员，但个个都面无表情，个别还想找人打架似的。基本上配不上499/每夜的收费。', '短评打分': 5}
{'短评内容': '喜达屋酒店住过几家了，福朋喜来登第一次入住，感觉各家酒店定位不同。这家酒店在连云港应该算是不错的酒店，位置比较好，服务也算热情，床铺舒服，但面积较小。值得入住体验。', '短评打分': 5}
{'短评内容': '建筑比较显著，服务热情，房间设施较好，但面积较小。临近马路，房间隔音效果一般，空调响声太大，影响睡眠。酒店自助餐不错，菜品丰富，质量挺好，价格还算公道。', '短评打分': 5}
{'短评内容': '强烈推荐该酒店。距离花果山及海滨都不算远。周围环境安静，空气清新，与喧闹的城区有一点距离。设施齐全，服务态度好。最佳的是有游泳池，对酒店客户免费。本人过了一把瘾，呵呵，在池里扑腾了半天。虽然房费有点贵，可是物有所值，不枉此行！', '短评打分': 5}
{'短评内容': '连云港最好的酒店.干净整洁.如果能安排接送机服务就好了.', '短评打分': 5}
{'短评内容': '酒店不错，就是早餐的价格稍贵了些，如果早餐种类再丰富些就好了~', '短评打分': 5}
{'短评内容': '太偏', '短评打分': 3}
{'短评内容': '这个酒店在连云港经济开发区，如果在这边办事的话，这个酒店是不错的选择。早餐很好。酒店设施也不错。', '短评打分': 5}
{'短评内容': '一楼餐厅苍蝇太多，希望能有措施，洗澡的水容易流到到外面，地面都是水。\n希望能注意整改\n\n酒店设施还可以，性价比可以，可以推荐朋友住。', '短评打分': 5}
{'短评内容': '除了地理位置偏了点，其他都未来未来咕得，值得一住，目前是连云港最好的九点了，不错，每次去都会住该酒店，保持了四点的一贯品质', '短评打分': 5}
{'短评内容': '空调不好···早餐很好···全套设施也很OK，去连云港还住喜来登 ', '短评打分': 5}
{'短评内容': '酒店很好，超值！！！！！！！！！！！！！！！！！！！！1', '短评打分': 5}
{'短评内容': '酒店较新,499的价格带双早,性价比高,没有浴缸有点遗憾,餐厅东西不错,但有苍蝇不够卫生。还有被子象是迪纶的,不透气!', '短评打分': 3}
{'短评内容': '酒店的位置有点偏，但周围交通很好，离景点也很近，很适合自驾车入住。\n酒店的硬件设施很好，服务也很周到。\n有些细节还有改进的余地。', '短评打分': 5}
{'短评内容': '酒店相当不错， 早餐丰富，晚餐便宜，服务到位，就是离市区有点远', '短评打分': 5}
{'短评内容': '还可以的，可以去住住啊，价格同类酒店不算贵', '短评打分': 5}
{'短评内容': '8888 还不错，客人住了说好，下回还会预定的.', '短评打分': 5}
{'短评内容': '很好，就是离市区有一点远，没车不是很方便，周末可以去试一下他们的自助餐，周末有优惠的，大概好像是到10月31号，3人同行一人免费，平时没有优惠', '短评打分': 5}
{'短评内容': '朋友说不错哦、因为朋友是去办公的，环境位置都不错`他说下次还来还会选择这家的', '短评打分': 3}
{'短评内容': '房间比较不错，是我住过的最便宜的喜来登酒店，品牌效应，我以后还会住这家旗下别处的酒店', '短评打分': 3}
{'短评内容': '很好的房间，遗憾就是装修的味道受不了,床很大很舒服', '短评打分': 5}
{'短评内容': '离市中心远了点，但是如果是风景区的话，还是可以的，总体感觉非常好，服务态度也很好，就是有可能因为我是国庆假期去的，竟然中餐厅是不开放的，虽然同意勉强点菜，但是还是有很多家常菜都没有，我感觉毕竟是中国境内，是中餐的还是比较多，不能只开放西餐', '短评打分': 5}
{'短评内容': '比较中式的酒店设施，在开发区附近吃饭的地方比较少，没有达到预期的喜来登标准。性价比有待提高。', '短评打分': 5}
{'短评内容': '帮朋友订的  朋友说不错~~呵呵  推荐', '短评打分': 5}
{'短评内容': '酒店的地理位置还可以，周边银行挺夺得，房间硬件设施蛮齐全的，还有餐饮服务不错，种类很多，而且食材很新鲜', '短评打分': 5}
{'短评内容': '酒店的室内条件非常好,硬件和软件条件都很到位,就是位置有点偏不太好找,不过综合来讲还算不错.', '短评打分': 5}
{'短评内容': '酒店设施很新,服务也不错,但下午到达时门口竟然没有任何一个服务生在. 所订的豪华间没有了,免费升级到豪华套间. 房间很舒适, 设施齐全. 酒店距离连岛和花果山都蛮近的, 离高速入口也很近.', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '一切都不错，就是早餐差点。', '短评打分': 5}
{'短评内容': '这次入住出了点小意外,酒店有所处理,也到了歉,但还是觉的很不舒心,五星酒店实在不应该.希望下次入住能有所表现.', '短评打分': 5}
{'短评内容': '新开酒店，设施、服务均不错', '短评打分': 3}
{'短评内容': '酒店硬件非常好！房间全景落地窗，坐在窗前和伴侣喝茶聊天看室外山山水水，车来人往，无比的惬意。值得推荐的是酒店的泳池，全景玻璃，通透清凉！', '短评打分': 5}
{'短评内容': '连云港最好的商务酒店！', '短评打分': 5}
