{'短评内容': '酒店挺不错的', '短评打分': 5}
{'短评内容': '大，位置好，靠市中心，娱乐舞厅。\n早餐难吃，不过内地的好像都差不多，就几个包子，粥，豆浆和一些凉菜\n前台服务员态度很一般\n该店不能另外打印酒店清单，即只能按实际消费打清单。\n夜有来电，你懂的\n', '短评打分': 5}
{'短评内容': '价钱合理,服务不错,挺喜欢这的早餐..就是隔音不是特别好,稍微吵闹了一点.总体不错.', '短评打分': 5}
{'短评内容': '还行吧,就是家具太陈旧,出行还是很方便', '短评打分': 3}
{'短评内容': '位置在市中心，交通方便，购物也近，还不错。', '短评打分': 5}
{'短评内容': '虽然位置很好 但大门在小弄堂里车子开不上 前台服务人员态度差 房间隔音很差 吵得人睡不好 ', '短评打分': 1}
{'短评内容': '成都凯宾酒店（盐市口店）位置不错，但内部设施一般!', '短评打分': 5}
{'短评内容': '没有星级的商务酒店，价格比四星的还高，信用卡不能做预授权，很失望。建议星级酒店和没有评星的分开来，免得误导旅客。', '短评打分': 1}
{'短评内容': '位置非常好！\n\n服务也不错。\n\n20字？', '短评打分': 5}
{'短评内容': '设施配置挺一般的，感觉就是标准的经济型酒店配置。房间挺干净的。', '短评打分': 3}
{'短评内容': '地理位置非常优越，逛街出行都非常方便，酒店也有自己的停车场。', '短评打分': 5}
{'短评内容': '酒店设施很全，标准也还可以，当时入住的房间还带电脑还是液晶的。住的挺满意的。', '短评打分': 5}
{'短评内容': '客房条件还算不错.位置比较好.交通出行很方便，其它各方面条件还不错.', '短评打分': 5}
{'短评内容': '成都这家凯宾酒店环境设施基本达标，但还是更喜欢新的酒店，相对来讲设施配置比较旧了。', '短评打分': 3}
{'短评内容': '成都这家酒店最好的是地理位置，出行交通非常方便，其它都比较一般。', '短评打分': 3}
{'短评内容': '酒店最好的酒店是位置，非常方便的市中心，去哪都很便利。价格也比较适中。', '短评打分': 5}
{'短评内容': '房间小，电视小，床小。早餐管饱不管好。订房价格比临时开房价格高，是按水牌价格执行，没有折扣。', '短评打分': 5}
{'短评内容': '酒店设施配置很一般，卫生服务还不错，房间打扫的比较干净。', '短评打分': 3}
{'短评内容': '客房条件整体来讲还不错，就是隔音不好，有些吵，其它各方面都还不错.', '短评打分': 5}
{'短评内容': '房间面积倒是挺宽敞的，基本的设施配置也都有。和价格比较还是挺满意的。', '短评打分': 5}
{'短评内容': '酒店的价格比较优惠，整体来讲性价比还是很不错的。', '短评打分': 5}
{'短评内容': '住的238的商务间，刚好在那栋楼的角上，不但不吵，还是两天采光，可以直接看见天府广场，景色好，赞！', '短评打分': 5}
{'短评内容': '房间很舒适，主要是位置很好，出行交通方便，吃饭购物都是很好的选择。', '短评打分': 5}
{'短评内容': '酒店在写字楼里面的其中一层.感觉很不专业.室内的硬件设施一般化，位置好在天府广场边上，交通出行方便，性价比还好.', '短评打分': 3}
{'短评内容': ' 反正市中心这个价格 还是能接受得  比较平价  ', '短评打分': 5}
{'短评内容': '这次出差住了5个晚上  主要图方便   总体感觉一般  不温馨  住着有点压抑', '短评打分': 5}
{'短评内容': '酒店一般，感觉这个酒店就是租用他人的房子做的酒店，住一两天还可以！住长时间我想应该不推荐！', '短评打分': 1}
{'短评内容': '房间还可以  只是有点旧 地毯感觉很脏 市中心200多的价位差不多吧\r\n', '短评打分': 5}
{'短评内容': '+还行', '短评打分': 5}
{'短评内容': '地理位置不错，距离春熙路不太远，不过酒店条件一般！', '短评打分': 1}
{'短评内容': '酒店地理位置不错，交通蛮方便的，距离天府广场不远，价格也合理，住宿环境还是很好的', '短评打分': 5}
{'短评内容': '酒店的房间还算比较大，住着不会感觉很拥挤，如果安排的房间较高，可以俯视天府广场，感觉很惬意，房间卫生条件特别好，床铺收拾的很干净，住着蛮放心的', '短评打分': 5}
{'短评内容': '房间里的设施很新，基本上以淡水调为主，房间下面有个很大的停车场，卫生间很干净', '短评打分': 5}
{'短评内容': '酒店停车蛮方便的，地理位置特别的好，就在市中心，出行蛮方便的，服务很好很周到，下次我们还会住的', '短评打分': 5}
{'短评内容': '酒店的服务还可以，服务员很热情，卫生不错，地面和墙壁都很干净，早餐很好吃，住宿环境很好', '短评打分': 5}
{'短评内容': '房间里可以上网，感觉很方便，酒店的位置也不错，就在市中心，出行特别的方便，服务蛮好的，性价比还可以', '短评打分': 5}
{'短评内容': '酒店在市中心，出门打车很方便，附近有九龙购物商场，买东西蛮方便的，还有很多小吃，总体感觉还是不错的酒店', '短评打分': 5}
{'短评内容': '位置很好，出行方便，适合购物旅游。价格比较合理，餐厅较小。', '短评打分': 5}
{'短评内容': '服务很好，办事效率快，让她们拿什么东西，很快就能拿来，酒店整体装修还是很全面的，住着挺舒服的', '短评打分': 5}
{'短评内容': '酒店服务人员服务还可以，有求必应，而且前台人员服务态度很好，另外酒店早餐很好，品种多，口味也很好', '短评打分': 5}
{'短评内容': '酒店靠近春熙路，出行特别的方便，酒店住宿环境还是不错的，相对来说住着还算舒服', '短评打分': 5}
