{'短评内容': '酒店柱子型建筑，很有特色，各方面还不错。', '短评打分': 4}
{'短评内容': '地理位置挺不错的，附近很多小吃店和商场，KFC，一应俱全。室内装潢不算华丽但是让人感觉很舒适。服务态度也不错。', '短评打分': 5}
{'短评内容': '4星的外表，不及3星的房间。号称3人间，结果一床是另加的。', '短评打分': 1}
{'短评内容': '位置不错，价格还行，设施比较老，服务员态度有待进一步提高。', '短评打分': 5}
{'短评内容': '差,空调基本不起作用,个别前台傲慢', '短评打分': 3}
{'短评内容': '千万不要去，骗人的垃圾，设施陈旧，服务差，床上很臭，我到了上去一个小时下来退房换别的酒店竟然说收全天房价，抢劫啊！！！！千万别去', '短评打分': 3}
{'短评内容': '性价比都不是很好。不推荐。以后不会再入住', '短评打分': 1}
{'短评内容': '收费偏贵了，我只能说这种服务实在连三星也说不上', '短评打分': 1}
{'短评内容': '定的788元的房间.蚊子乱飞.连一次性的拖鞋都没(还得电话找客房服务),这个价格的房间配得洗漱用品也特差.国庆的价格很离谱.性价比不高.然后服务上,前台的某肥男,给人感觉好像是我们去找他要账的.然后服务员多次来打扰问我们是不是退房了(这个问题,如果是一次,觉得弄错还能接受,结果是同样的问题出了两次).然后然后就是早餐奇差.9点结束,8点半去的,基本就已经结束,在收拾残局了.还剩下残羹剩饭,让我们来', '短评打分': 1}
{'短评内容': '酒店位置很好到市区景点都很近,但晚上停车要20元。车位很少。', '短评打分': 3}
{'短评内容': ' 定得三人间，结果是标准间加床的，不过还算干净了。能上网，不过电视信号太差，没几个台能看。', '短评打分': 3}
{'短评内容': '硬件设施不错，周边环境好，出行方便。。。', '短评打分': 5}
{'短评内容': '酒店比较干净，顾客比较多，总体还可以，房内的矿泉水价太高，每瓶10元。其他酒店的矿泉水都是免费的。但这里需要交费，当然，不喝也就不用缴费喽。', '短评打分': 5}
{'短评内容': '该酒店是一个比较年长的酒店，整体呈圆柱形，卫生还不错，只是酒店的矿泉水买的太贵，大概有400ml左右，标价是10元，一不小心喝了，那就扣你10元，哈哈，过的离谱。\n房内空间不是很大。', '短评打分': 1}
{'短评内容': '酒店较干净，但服务员查房不够认真。', '短评打分': 3}
{'短评内容': '住着很舒服，是一家新宾馆，交通也很方便，离西街，汽车站都很近，推荐~ \n', '短评打分': 5}
{'短评内容': '和火车站的距离可以用零距离来形容，不过很吵，晚上基本睡不好觉，窗户的开关很多坏了，窗户关不上，最可怕的是地毯里面和床上都发现臭虫，以后不会再入住了', '短评打分': 1}
{'短评内容': '总台的服务感觉还是那么差，环境差不多  建议在网上定房后早点到，要不然会告诉你没房了的', '短评打分': 5}
{'短评内容': '房间里几乎没有什么设施，感觉完全不够四星级，有点失望', '短评打分': 1}
{'短评内容': '一般啦，不过不失，也就是这个价钱的东西，性价比一般，在路口，自驾车的话不太够车位，房间有点吵', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '空调不行，睡到半夜会把你热醒的。价格乱七八糟，胖胖的大堂经理还说了一句“房价是看人来定的”搞得相当郁闷。。。', '短评打分': 1}
{'短评内容': '酒店交通方便，价格不高,但比较吵杂，尽管选择在10楼以上，晚上依然被马路上来往的车辆吵得难以入睡。', '短评打分': 1}
{'短评内容': '整体还不错，大大的窗子可以看见远处群山连绵，免费上网，房间相对干净安全，使人颇感放心，微微有点潮湿，不过相对舒服，下次去桂林会首先选择这里。尤其交通非常便利，到机场、火车站、客运站都十分便捷，周围小吃店桂林米粉很好吃~~', '短评打分': 5}
{'短评内容': '一百七十多的双标 太值当了。一开始看别人说设施旧没报太大希望。大厅的确略显陈旧，但里面都还是相当不错的！', '短评打分': 3}
{'短评内容': '还可以，就是早餐太差了简直是，如果能提高就更好了！', '短评打分': 5}
{'短评内容': '酒店老旧，本来服务应该完善的，但是居然连烫衣板也没有，估计是接待旅行社为主，四星标准不够。', '短评打分': 3}
{'短评内容': '很好,离车站近,有三十年历史的老酒店,室内也很好.', '短评打分': 3}
{'短评内容': '酒店里面前台一个短发披肩的女的很没素质，我老婆怀孕，标准间床小我问可以换大的或者退房么，居然给我的回答是“你和你老婆又不是要做什么运动，不能换”~~~~态度极其恶劣，我当时真想直接给你一嘴巴子，但是我忍了。酒店没停车场，楼下那停车场人家的，要付钱，房间小，卫生一般，设备陈旧，服务差~~~~~你可以去查下我的住店记录，2011年3月22号晚上.房号好象是1107。如果觉得我侮辱你们酒店了要找我来告我', '短评打分': 1}
{'短评内容': '该酒店是桂林最高的并且唯一的圆柱形酒店，感觉不错。', '短评打分': 5}
{'短评内容': '酒店整体不错，窗户可以看到城市的风景，视觉效果很好;酒店位置不错，距离机场不远；房间设施齐全，卫生条件也还好', '短评打分': 5}
{'短评内容': '酒店前台服务质量太差,床太软。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '服务还不错 床很软 就是网线相当隐蔽 一般人找不到', '短评打分': 3}
{'短评内容': '地点还不错，服务一般 ，装修也还行。卫生还可以。', '短评打分': 5}
{'短评内容': '很不错，值得在住', '短评打分': 3}
{'短评内容': '由于是圆形建筑，导致房间不规则，床比较小，也太软！', '短评打分': 1}
{'短评内容': '酒店位置比较好，周围买东西也比较方便，房间不算很大，但比较感觉，酒店服务人员态度还可以，就是前台管理比较混乱，经常找不到单子', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '环境很好,交通方便,酒店还算漂亮,卫生干净', '短评打分': 5}
{'短评内容': '整体觉得这家酒店还可以，主要位置挺好的，靠近市中心，购物出行方便，房间住宿条件比较一般，卫生很好，服务到位', '短评打分': 5}
{'短评内容': '房间布置的比较一般，不过空调，电视，冰箱都有，设施齐全，舒适度还行，前台服务不错，酒店距离火车站，汽车站，市中心都不远，对面是民航售票大楼，交通出行方便', '短评打分': 5}
{'短评内容': '价格比较能接受，当时住的房间是扇形的，空间感觉很好，里面装修的很到位，看着也很新，卫生条件不错，打扫的很干净，住宿条件还行', '短评打分': 5}
{'短评内容': '酒店位置优越，去火车站，机场，市中心都很近，出行方便， 这里的服务都很周到细致，服务员着装整齐，性价比高', '短评打分': 5}
{'短评内容': '酒店地理位置还可以，周边比较繁华，出行方便些，房间装修的很普通，卫生还可以，服务一般', '短评打分': 3}
{'短评内容': '酒店房间比较宽敞，配备的硬件设施很齐全，舒适度很好，周边环境不错，出行也很方便', '短评打分': 5}
{'短评内容': '工作效率低，员工的职业素质比较差，对于酒店的规章制度不是很了解，但是房间和地理位置还是不错的。', '短评打分': 1}
{'短评内容': '酒店处于繁华地带，在象鼻山附近，出行还可以，房间卫生条件很好干净整洁，前台服务周到热情，住宿条件很不错', '短评打分': 5}
{'短评内容': '酒店整体格局不错，打开窗户可以看到整个城市的风景，视觉效果很好，酒店位置不错，距离机场不远，房间设施齐全，卫生条件也不错', '短评打分': 5}
{'短评内容': '很不错的酒店，他们有自己的停车场，蛮大的，房间里可以上网，网速很畅通，床品和卫生间很干净，我们住着感觉很放心', '短评打分': 5}
{'短评内容': '酒店性价比还可以，位置不错，距离火车站不远，门口打车，坐公交都很方便，房间应该是新装修的，设施齐全也很新，卫生条件很好，隔音效果不错', '短评打分': 5}
{'短评内容': '还不错，周围不少桂林米粉店，味道很好，房间里面比较新，上网等都不错，下次来桂林还住这里', '短评打分': 5}
