{'短评内容': '酒店房间挺好的，非常的值得！', '短评打分': 5}
{'短评内容': '出差住在这里，总体条件还不错，出行很方便', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '好地房', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '代朋友订的，觉得不错又续订了一晚，很喜欢', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境不错，电视略显陈旧。', '短评打分': 3}
{'短评内容': '房间小，窗户小，光线不好，我们租的套房呢还是，但是我觉得不是特别的值', '短评打分': 1}
{'短评内容': '床不舒服，改换了！', '短评打分': 3}
{'短评内容': '环境可以，服务也很好，就是装饰有点旧。以后还会去住。', '短评打分': 5}
{'短评内容': '房间偏小，但酒店位置适中，价格还算合理。', '短评打分': 3}
{'短评内容': '还是给朋友订的，就是价格涨了', '短评打分': 3}
{'短评内容': '酒店是那标准酒店,环境不错,对于本地人来说,位置也不错', '短评打分': 3}
{'短评内容': '性价比不高性价比不高性价比不高性价比不高性价比不高性价比不高性价比不高', '短评打分': 1}
{'短评内容': '比较老旧，但在那附近还算可以的酒店，价格方面也还行', '短评打分': 5}
{'短评内容': '老饭店，比较老，但房间整体还行,价格也还算可以，，，，', '短评打分': 5}
{'短评内容': '酒店的软件不错；服务很好！房价偏高，建议降低房价。。。', '短评打分': 5}
{'短评内容': '房间被升级了，感觉不错，环境和设施。第二天回到标间，反差较大。不过还好吧。', '短评打分': 5}
{'短评内容': '房间还可以，卧室和小客厅之间有门隔开。房间和窗户的隔音不好，可以听到隔壁和走廊说话。近600元信价比不高。 浴室的喷淋坏了，浴帘的位置也不对，淋浴的水会顺墙流到浴室地上。有一天洗到一半居然没水了。 前台的态度一般，问个问题有点不耐烦。 自助早餐78元没有什么东西，', '短评打分': 1}
{'短评内容': '开会去住的，不过就算旅游住也可以，离天坛很近，而且一出门就有公交站，坐2站就到地铁5号线，方便。不足的地方：自助餐选择太少。', '短评打分': 5}
{'短评内容': '酒店服务很好', '短评打分': 3}
{'短评内容': '这次免费从特惠房升级到了高级标准间，有点小惊喜。不过也没有什么，其实就是一个是CRT，一个是液晶电视的区别，但房价却差了100多，不是很厚道', '短评打分': 5}
{'短评内容': '这个酒店还好，只是房间小点。总体感觉还不错', '短评打分': 5}
{'短评内容': '酒店各项设施满意            位置还可以 ', '短评打分': 5}
{'短评内容': '典型的四星级酒店，不好不坏，早餐有点单调', '短评打分': 5}
{'短评内容': '性价比一般般，就是名气大，旧式饭店中还算中规中距，', '短评打分': 5}
{'短评内容': '这是我住过最差的4星级酒店了，应该不会再住了', '短评打分': 3}
{'短评内容': '服务有创新，我们离店很顺利，大家都很满意', '短评打分': 5}
{'短评内容': '很干净，设施稍成旧', '短评打分': 3}
{'短评内容': '早餐太差，房间不干净，地上居然有上个客人丢弃的鸡蛋皮。', '短评打分': 1}
{'短评内容': '虽然是标4星的宾馆，但是硬件设施都比较旧了，唯一的好是离便宜坊烤鸭比较近。', '短评打分': 1}
{'短评内容': ':服务快捷!', '短评打分': 3}
{'短评内容': '行政楼层房间不大，但挺干净，房间色彩让人舒服。地理位置不错，就是稍贵了些。', '短评打分': 3}
{'短评内容': '这个位置，配上相应设施，国庆期间的价位还好嘛！我觉得不错。可以推荐', '短评打分': 5}
{'短评内容': ' 房价还可以，出门就有公交，离地铁远点。', '短评打分': 3}
{'短评内容': '酒店位置极好！房间面积较大，较新！早餐一般！', '短评打分': 5}
{'短评内容': '国庆提前两天才订的，感觉不错', '短评打分': 3}
{'短评内容': '酒店位置和交通状况一般,各方面还行,价格合理', '短评打分': 5}
{'短评内容': '天坛饭店交通位置很好;价格适中!', '短评打分': 3}
{'短评内容': '整体挺好，房间干净，卫生。只有一个遗憾就是电梯与房间距离较远，有一个电梯之间在餐厅里面。另外退房的时候查房速度应该再快一点', '短评打分': 5}
{'短评内容': '订好的大床房，结果跑过去只给我标间，前台态度还行，但是既然预定了，没有的话就明说，忽悠俺的感情。\n水池和淋浴设置很不合理，龙头距离水池边缘太近，根本没法洗手；淋浴水小，花洒还很落后。除了距离天坛近，没什么优势，居然也是四星，哥hold不住了', '短评打分': 1}
{'短评内容': '住过很多次了，基本感觉各方面还算不错，但对于天海轩中餐厅包间定1700元最低消费甚感不快，所以从未在那儿吃过。', '短评打分': 5}
{'短评内容': '很不错的酒店，干净、安静，外国人比较多，设施有点旧，不过整体还不错', '短评打分': 5}
{'短评内容': '酒店性价比实在是不高，冰箱里也没东西吃。可能是旅游定点酒店的原因吧。', '短评打分': 1}
{'短评内容': '地理位置很好，离天坛很近，就是卫生间的浴盆太不干净了，房间装修的也有些旧了，所以400多的价格觉得还是有些贵了，但是服务的很好，周到，热情，', '短评打分': 5}
{'短评内容': '设施很老，水龙头都生锈了，水压很低，床很小，早餐很贵，78元1位也没啥吃的，总之不象4星的酒店', '短评打分': 1}
{'短评内容': '还算好吧！就是房间有点小了点儿，与他的星级配不上。。。。。。。。', '短评打分': 5}
{'短评内容': '中规中矩的四星级酒店，服务和硬件都符合标准四星级水平，价格在北京来说性价比蛮高的。', '短评打分': 5}
{'短评内容': '挺安静的，就是稍微有些难找，交通不算特别方便。', '短评打分': 5}
{'短评内容': '＋晚上酒店广告牌没开灯，不好找', '短评打分': 3}
{'短评内容': '老饭店 但是如果选择靠近红桥市场的酒店，好像没有别的选择', '短评打分': 5}
{'短评内容': '洗澡水龙头出了黑水，客人无奈换房……这样的酒店设备实在不能称为4星。', '短评打分': 1}
{'短评内容': '综合点评如上一条~另外要说的是：598元的房间窗户蛮大气哦，比较舒服哦~', '短评打分': 5}
{'短评内容': '因为要挑选离国家体育总局非常近的酒店，因此预订了这里。酒店会严格按照网站预订时选择的入住时间办理入住，所以提醒各位TX要认真思量好可能入住的时间哦！赠送了免费的入住水果，满意！自助餐98一位，还算OK啦！', '短评打分': 5}
{'短评内容': '交通比较方便，周围天坛虹桥都适合外国人转转', '短评打分': 5}
{'短评内容': '.酒店很好，干净，下次还住这个酒店', '短评打分': 3}
{'短评内容': '点评同另外一条，门童那位一定要换！！很影响我们的情绪！还告诉我们，我们没有告诉他拿行李，跟他有什么关系！他是干什么吃的！', '短评打分': 1}
{'短评内容': '开车到酒店门口，门童让我们自己拿行李，我们表示有意见，他还闹情绪，让同伴把我们的包放在地上，不要管。美金换人民币有限制，不给换超过200的。酒店打扫慢~交完deposite还一直等，等到老外不耐烦，带着行李上车去办事儿了。', '短评打分': 1}
{'短评内容': '性价比不高，老设备与星组级不是那么相配，可能近体育局的原因吧，入住客人还是多的，二点多入住还要等待', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '位置不错，环境很好，交通便利，价格合理。', '短评打分': 5}
{'短评内容': '服务什么的还行，配套餐饮也还算可以吧，就是房间有点小。', '短评打分': 5}
{'短评内容': '10层的单人间显得还不错，液晶电视，房间也还行。比上次的特价房强不少...景色就马马虎虎，有个键盘不知道做什么用的。', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '酒店位置尚可，离地铁五号线天坛东门站大概500米-1000米。酒店设备陈旧，很多东西都是坏的，联系客房中心时，接线员接线的速度倒是蛮快的，但服务人员到房间的服务速度相当慢。总体而言，酒店陈旧、价格偏贵，性价比偏低。', '短评打分': 1}
{'短评内容': '卫生好，舒适度不错，早餐有些贵，不过，可以接受了哈', '短评打分': 5}
{'短评内容': '价格不错，酒店设施也比较新，就是走廊层矮。。。离龙潭湖很近！', '短评打分': 5}
{'短评内容': '标间双床的房间比较大。。。舒服。。。。可能是赶上一个拐角的房间所以比较大吧，不过大床房我还是喜欢啊。。。', '短评打分': 5}
{'短评内容': '环境不错，服务很好，交通方便，下次还来！', '短评打分': 5}
{'短评内容': '很好，很不错，很给力，下次继续预订和入住', '短评打分': 5}
{'短评内容': '非常非常好的酒店， 但是就是价格偏贵了点，不过服务好，正常。', '短评打分': 5}
{'短评内容': '房间不错，价格也合理。南城好酒店太少了。', '短评打分': 3}
{'短评内容': '酒店位置还不错，离同仁医院比较近，老酒店，有点陈旧', '短评打分': 5}
{'短评内容': '个人感觉房间环境很不错，很安静，特惠间稍微小点，不过住起来还是比较舒服地。', '短评打分': 5}
{'短评内容': '交通方便,对我们体育系统的人来说出差到北京这是最佳选择', '短评打分': 3}
{'短评内容': '这个位置在北京来说是不错的价格，好，，，，，，，，，', '短评打分': 5}
{'短评内容': '酒店还可以，老牌酒店配套服务都不错，就是房间比较旧', '短评打分': 3}
{'短评内容': '一直住这家酒店，不错。位置可以，价位可以，服务也可以', '短评打分': 5}
{'短评内容': '酒店很好很满意', '短评打分': 3}
{'短评内容': '性价比高，交通便利，是外出办事的好住处，推荐一下', '短评打分': 5}
{'短评内容': '性价比高，交通便利，下次还会来，给个好评', '短评打分': 5}
{'短评内容': '交通很方便，房间不大，但自助餐还行，性价比还行！', '短评打分': 5}
{'短评内容': '很方便，自助餐还分了无烟区，服务员态度也很好', '短评打分': 5}
{'短评内容': '酒店就在天坛旁边，很方便。房间也不错，值得一住。', '短评打分': 3}
{'短评内容': '不错！推荐。离体育总局很近，每次出差都住的这儿', '短评打分': 3}
{'短评内容': '位置不错，环境一般，房间挺小，感觉性价比一般,就是位置好，', '短评打分': 3}
{'短评内容': '位置不错，环境及舒适度一般,性价比有待进一步提高', '短评打分': 1}
{'短评内容': '房间较小', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置很好，是标志性建筑，离我公司办事的地方较近性，价比高', '短评打分': 5}
{'短评内容': '位置挺好，去天坛很方便，马路对面就是国家体育总局，在这经常能碰到体育明星', '短评打分': 3}
{'短评内容': ' 挺好的', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '位置佳,交通方便,环境还行.就是在路边晚上有点吵', '短评打分': 3}
{'短评内容': '位置佳,交通方便,环境还行.就是在路边晚上有点吵', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '.天坛酒店服务亨不错,离天坛公园很近', '短评打分': 5}
{'短评内容': '酒店位置比较好,可以看见天坛,酒店环境也不错.', '短评打分': 5}
{'短评内容': '感觉较好，服务非常好！换了房间，及时解决上网问题。', '短评打分': 5}
{'短评内容': '酒店的地理位置好，距离市中心很近，而且服务不错，值得推荐', '短评打分': 5}
{'短评内容': '卫生、服务都不错，交通也方便，适合旅游。', '短评打分': 5}
{'短评内容': '给老外住的地方，非要凑够20个字，非要凑够20个字，非要凑够20个字，', '短评打分': 5}
{'短评内容': '不错的酒店，每次到北京都住，以后也一样还会继续入住的。\r\n', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '好好好，就是好，下次还住天坛饭店。没有任何不满意的地方。', '短评打分': 3}
{'短评内容': '客房非常好，干净，服务员服务态度好，设施完备。', '短评打分': 3}
{'短评内容': '服务员很热情，酒店设施很完备，早餐很好，入住很舒服，没有骚扰电话，健康文明。', '短评打分': 5}
{'短评内容': '总体评价还不错', '短评打分': 3}
{'短评内容': '基本上不错，门锁早该更换了，每次开门都成为负担', '短评打分': 3}
{'短评内容': '基本不错，就是门锁早该换了，每次开门都成为负担', '短评打分': 5}
{'短评内容': '经常入住这家酒店，很不错', '短评打分': 3}
{'短评内容': '到总局办事很方便，不错', '短评打分': 3}
{'短评内容': '不错，下次还会入住', '短评打分': 5}
{'短评内容': '因为在附近办事所以选择这里，总体感觉还可以，还是可以推荐的。', '短评打分': 3}
{'短评内容': '总体不错，很满意', '短评打分': 5}
{'短评内容': '酒店的位置很好，服务也不错，唯一美中不足的是离马路太近，晚上外面过路的车辆很多，酒店的隔音措施有待改进', '短评打分': 5}
{'短评内容': '总体不错，就在体育总局对面，公交打车都比较方便，地铁站要走15分钟', '短评打分': 5}
{'短评内容': '不错的一家酒店', '短评打分': 5}
{'短评内容': '卫生条件很好，就是打车需要在车辆进口处才容易找', '短评打分': 5}
{'短评内容': '酒店干净卫生，设施不错，位置好，离天坛公园很近。酒店里的餐厅很一般，价格贵，菜式一般。', '短评打分': 5}
{'短评内容': '真的是不错的酒店，位置，性价比都还可以！', '短评打分': 5}
{'短评内容': '不错的酒店，位置，性价比都还可以！', '短评打分': 5}
{'短评内容': '前台服务员态度不好，建议不要住', '短评打分': 1}
{'短评内容': '10几年前就住过该酒店，设施老旧了，华油接手后应该彻底装修一次。前台和客房的服务态度不错，赞一下。', '短评打分': 3}
{'短评内容': '位置较好，方便。但价格变动太过频繁，同种房型：5月3日398元，5月7日458元，5月8日588元，恰逢需续住，烦恼！', '短评打分': 5}
{'短评内容': '四星级的消费 五星级的享受', '短评打分': 5}
{'短评内容': '这次比上次入住服务态度好了很多，就是晚上入住手续办理太慢。', '短评打分': 5}
{'短评内容': '离天坛东门很近,走着就到了,其他还行吧', '短评打分': 5}
{'短评内容': '不错的酒店，离体育总局很近，我出差大部分都住这个酒店！', '短评打分': 5}
{'短评内容': '前台服务员态度不好，业务不熟悉', '短评打分': 3}
{'短评内容': '前台服务员态度不好，业务不熟悉。', '短评打分': 1}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还可以，设施有点旧。隔音效果普通', '短评打分': 1}
{'短评内容': '不错的', '短评打分': 3}
{'短评内容': '适合商旅及招待，离天坛很近，服务也不错', '短评打分': 5}
{'短评内容': '房间很干净，服务到位，性价比很高。', '短评打分': 5}
{'短评内容': '总的来说挺不错的。地理位置特好，出门直行800米到天坛东门，旁边有地铁口，离北京游乐园和龙潭公园一站地，正对面是国家体育总局，离天安门、北京站也不远。房间窗子很大，很安静，网络很方便，但标间设施有点旧，地毯和电视该换了。服务还好。入住的老外特多。性价比还是挺高的。', '短评打分': 5}
{'短评内容': '离5号线地铁稍微远了一点，空调不是很热，浴缸下水奇慢，感觉一般了。', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': 'very good', '短评打分': 5}
{'短评内容': '酒店地毯应该换一下，冬天静电比较厉害', '短评打分': 5}
{'短评内容': '服务很周到，一开始安排了一个窗外都是排风管子的房间，后来要求换房，很迅速，态度也很好。', '短评打分': 5}
{'短评内容': '是个不错的选择', '短评打分': 5}
{'短评内容': '体育总局的对面，方便', '短评打分': 5}
{'短评内容': '位置环境还不错，值得一试', '短评打分': 3}
{'短评内容': '位置环境都很好，价钱有点贵，不过在网上预订已经不错了', '短评打分': 3}
{'短评内容': '达到4星级酒店的标准，环境确实不错，值得推荐', '短评打分': 5}
{'短评内容': '前台的服务不是很好,爱答不理的,环境还不错,设施有些老旧了,位置很好.', '短评打分': 3}
{'短评内容': '帮客人订的,指定该酒店,想必不错.', '短评打分': 5}
{'短评内容': '太差了', '短评打分': 3}
{'短评内容': '条件还可以，性价比较高', '短评打分': 5}
{'短评内容': '太差了', '短评打分': 1}
{'短评内容': '地理位置不错', '短评打分': 5}
{'短评内容': '因为比赛的原因,每周我都要入住天坛饭店两天,这次给我的感觉是前台服务人员的服务很好,虽然没有免费升级到高级标准间,不过天坛饭店的长途花费也要加收15%的服务费,我觉得很不合理,现在手机漫游长途花费才五毛钱一分钟,而天坛的长途话费资费却是七毛钱一分钟外加15%的服务费=0.805元一分钟了.希望贵酒店在这方面能加以改进.', '短评打分': 5}
{'短评内容': '地理环境优越,距离北京火车站,天坛,天安门等地距离都不远,与国家体育总局训练馆就一路之隔.性价比也相对较高,比如它的特价房,虽然面积不是很大,不过设备还是较完善,不过好多服务项目都要加收服务费,比如一楼的中餐厅,堂吃也要加收15%的服务费,相对不是很合理.而且特价50元的自助早餐,相对于4星级的酒店来说,相比还是比较差的.希望以后能在这些方面加强完善.', '短评打分': 5}
{'短评内容': '房间小了一些,设施比较简陋电视不太好用,地理位置非常好.性价比一般.', '短评打分': 1}
{'短评内容': '又去体验了一次。前台服务仍然没有改观，仍旧是不冷不热，共4个人中3位还算中规中矩，但绝对没有亲切感，令人反感这个词我想送给剩下的那位接待（恕不细表）。除了地理位置，天坛饭店的优势在宾馆酒店遍地都是的如今，已经在倒退。至少目前我没有推荐给其他人的想法，真诚希望管理层不要光说不练，实际抓抓服务水平，不要只盯着体育界的人士和老外，广大人民群众才是真正的财神爷。', '短评打分': 1}
{'短评内容': '老品牌的酒店了，服务还是很专用的。卫生和设施方面现在感觉一般般了，位置还是蛮不错的，交通蛮方便的，整体感觉价格还是比较合适的。', '短评打分': 5}
{'短评内容': '本来刚住的时候还可以，但刚刚发表了不错的评论后的两三天内，却遇到很不爽的事情。开始感觉不错时，偶尔我还会放一些小费在房间，以表辛苦。可是后来发现房间打扫很随意，烟灰缸甚至都没倒干净，更没清洗。另外冰箱内饮料补充很慢，不及时。再有，拖鞋只要是不放在垃圾筒内就不补充，要穿好几天。投诉后有领班过来道歉，可是第二天我就搬出来了，北京到处是宾馆。\r\n印象最好的是礼宾部的男员工，服务非常热情有礼！总台服务只能', '短评打分': 5}
{'短评内容': '总的来说还可以，位置是我比较满意的，稍微差一点的是服务只能算一般，冰箱里的饮料补充和打扫卫生比较随意，其他还不错。', '短评打分': 5}
{'短评内容': '酒店太吵，无法入睡。', '短评打分': 1}
{'短评内容': '房间的面积比较小,硬件设施舒适度不是特别好.环境都还不错,位置也很好,价格合理', '短评打分': 5}
{'短评内容': '房间很好，服务也不错，就是中餐厅。。。差了些~', '短评打分': 5}
{'短评内容': '酒店位置还不错,在市中心,交通也蛮方便的,房间很干净,住着也蛮舒适的,价格也能接受', '短评打分': 5}
{'短评内容': '酒店很不错，环境设施，硬件服务，交通都很方便，价格适中。', '短评打分': 5}
{'短评内容': '大堂服务蛮好，卫生也还不错，比较喜欢', '短评打分': 5}
