{'短评内容': '房间挺干净的，人员服务态度也很好', '短评打分': 5}
{'短评内容': '相对来说距离火车站比较近，地铁及公交车交通还算方便，服务方面有待提高，比如，给我安排的房间窗户直接就是面对的一面墙，距离大约1米吧，最不能够容忍的是隔段时间会有噪音，估计是加压泵，比较吵。服务员态度不错。要求更换房间，答应另外的那个客人（当时告诉我很快就会退房）退房了就给调换，到我离开也没有再提。酒店不提供地图，哪怕前台也没有，问他们想找的地方，他们也不知道。总之感觉很一般，比5月4日入住的广州酒', '短评打分': 1}
{'短评内容': '挺满意的，位置离火车站近，条件也不错，以后还会去的', '短评打分': 5}
{'短评内容': '都还不错，就是房间小了点，我住的双床房。还有就是没有洗衣服的服务。', '短评打分': 3}
{'短评内容': '挺不错的,交通方便,离1号线近.周边有红墙食廊,吃饭都挺方便', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '环境一般，看了附近几家酒店也都差不多，价格随着空间走！环境都一样！', '短评打分': 3}
{'短评内容': '交通方便，虽然有点旧，但性价比还是比较高，下次还会来', '短评打分': 5}
{'短评内容': '离一号延长路近,房间还可以,走一会有麦当劳和餐厅,结果酒店的讨厌大叔还说:没有,你们去东方明珠去吃....还要倒车,不知是不是脑子疼', '短评打分': 3}
{'短评内容': '酒店位置非常好 交通方便 设施齐全 但有椅子已经坏掉了 查房的时候要仔细查看 及时修理更换', '短评打分': 5}
{'短评内容': '还行！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '万好万家环境还不错，性价比高，这样的价格还是很不错了。', '短评打分': 3}
{'短评内容': '价底才是硬道理！给力！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '一般般！洗澡的水太小！滴滴滴！空调一般', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '店门较小，设备有点陈旧，但可以接受，特别是149的电脑房，这个价格还可以有电脑用，网速超快的，这个要评价一下，好评，卫生间淋浴空间较小，而且帘子上好像有霉点，建议改成抽拉门，不会溅出去，床较舒适。', '短评打分': 5}
{'短评内容': '价格便宜，可惜隔音效果不好，房间的设施一般', '短评打分': 1}
{'短评内容': '性价比很高，要是办会员卡可以优惠一些，地毯有些陈旧', '短评打分': 5}
{'短评内容': '环境不错，房间不是很大。', '短评打分': 3}
{'短评内容': '隔音真的是太差了～环境也不好～我住的是特价大床房，简直就跟那种7、8十块的小旅馆差不多～', '短评打分': 1}
{'短评内容': '一般般，还不错。离地铁站较远，要走10+分钟', '短评打分': 5}
{'短评内容': '很不错，这个价位的在上海性价比很高，赞一个！', '短评打分': 5}
{'短评内容': '一般般。。不是特别干净。交通还算便利。走到1号地铁口要15分钟。\n周围好吃的不多。。到晚上10点钟酒店附近马路都米人了。\n而且这个酒店跟台球室在一个楼上。这个让人纠结。', '短评打分': 5}
{'短评内容': '订了三天的标准房，只住了一晚我就逃离了，总之不是很满意。卫生间超小，床单被子也不太干净，床不舒服。', '短评打分': 3}
{'短评内容': '从地铁下车乘192路公交车可到达，比较便利。房间比较干净，不错。', '短评打分': 5}
{'短评内容': '基本服务和设施都到位，还可以。就是我住的房间有地板破损，如能及时修复更好。', '短评打分': 5}
{'短评内容': '酒店環境不錯，枕頭非常好，有四個吶，性價比很高\n不足之處麽個人覺得浴簾實在是太小了點，要很小心才能洗澡時不把水濺的整個衛生間都是，另外距火車站坐巴士十分鍾左右，不是步行。\n最後總評還是很不錯的一家酒店，下次還會考慮的', '短评打分': 5}
{'短评内容': '总体还不错 性价比高  旅游想省点钱的朋友 推荐这里', '短评打分': 5}
{'短评内容': '房间隔音太差，隔壁说话声音听得一清二楚。', '短评打分': 1}
{'短评内容': '说实话隔音不太好    好像门下面有些露缝   不过已经物有所值了     干净卫生   大小也适中    服务也不错', '短评打分': 5}
{'短评内容': '环境还不错，比较安静，离地铁站大概500米距离，总体比较满意', '短评打分': 5}
{'短评内容': '位置离火车站还有段距离，不过房间网速不错。', '短评打分': 3}
{'短评内容': '床还是蛮舒服的，就是隔音不好，早上会被走廊里走路的人吵醒…', '短评打分': 3}
{'短评内容': '地方不大，但是什么都有。卫生也一般吧，总体都一般', '短评打分': 5}
{'短评内容': '环境不错 房间很干净 价格也实惠', '短评打分': 3}
{'短评内容': '挺干净的,还不错', '短评打分': 3}
{'短评内容': '性价比很不错,离地铁站稍有点距离,还能接受', '短评打分': 3}
{'短评内容': '服务态度不错，宾馆性价比比较高', '短评打分': 3}
{'短评内容': '我订的是特价大床房，一人住还可以，两人稍微拥挤一点，总体来说还不错，价格实惠。\n唯一遗憾的就是淋浴的热水供应不上，洗到一半就没水了，希望商家改善一下。', '短评打分': 5}
{'短评内容': '不错，好地方，下回还来。不错，好地方，下回还来。', '短评打分': 5}
{'短评内容': '不错，好地方，下回还来。不错，好地方，下回还来。不错，好地方，下回还来。', '短评打分': 5}
{'短评内容': '不错，好地方，下回还来。不错，好地方，下回还来。不错，好地方，下回还来。不错，好地方，下回还来。', '短评打分': 5}
{'短评内容': '阳光网的返现卷不能用，房间以及服务都好。', '短评打分': 5}
{'短评内容': '这个酒店交通挺方便，酒店的服务设施也说得过去，服务也不错，下次来还可以住。', '短评打分': 5}
{'短评内容': '酒店瞒干净的，我定的是特价房间，大床房，还算安静，房间虽小，但样样齐全，就是离地铁站很远，其他都很不错。', '短评打分': 5}
{'短评内容': '卫生一般，但服务非常好，房间太小，隔音不是太好，性价比不错，交通很方便，就是没有早餐不方便、不好。', '短评打分': 5}
{'短评内容': '价格便宜 房间但过旧 隔音太差 服务一般', '短评打分': 5}
{'短评内容': '条件挺好的，很满意，装修和家具给人很温馨的感觉\n下次可以再定~！', '短评打分': 5}
{'短评内容': '位置不好，环境又差，不是世博才不要去住呢', '短评打分': 1}
{'短评内容': '比其他宾馆干净点，性价比还可以，就是离一号线有点远，要走15分钟才到中兴路', '短评打分': 5}
{'短评内容': '价格挺便宜  地势还可以  乘坐1号地铁 可换线  就是隔音效果差了点  电脑慢  马桶和空调会发出 咒怨一样的怪声···', '短评打分': 5}
{'短评内容': '酒店还是不错的，出行也还方便！就是旧了一点~！', '短评打分': 5}
{'短评内容': '就是房间小了点，灯光暗了点，但是服务态度还不错的！楼下有一家金津老鸭粉丝汤很不错！下一次去上海，如果在火车站附近，还是会选这家的1', '短评打分': 5}
{'短评内容': '房间没有宣传的大，但是价格还算实惠。地理位置其实不算很好，但也算是闹中取静。离火车站很近，步行大约十几分钟吧！距闸北公园很近，闸北公园旁边有一个卖气球的老太太，蛮好的。\n', '短评打分': 5}
{'短评内容': '服务好 环境不错 周边方便', '短评打分': 3}
{'短评内容': '这家酒店在地铁延长线和中山北路之间，均需要走路15分钟左右，周边十分方便，各式门店齐全。酒店服务很好，房间的价格很低，对于上海的高物价来讲。', '短评打分': 5}
{'短评内容': '服务员态度好，设施差', '短评打分': 3}
{'短评内容': '电视频道很多，床很舒适，周边吃饭娱乐也很方便，推荐下', '短评打分': 5}
{'短评内容': '房间设计合理，较舒适，看电视上网都很方便，总体感觉不错', '短评打分': 5}
{'短评内容': '不错，屋子挺大，还有穿衣柜，而且被子也多，价格也便宜，就是电视几个台，沐浴水小。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '第二次住了，延迟到2点退房还得加半天房费，个人觉得 有点那什么。。。。', '短评打分': 5}
{'短评内容': '万好万家是上海性价比很高的酒店了，条件不错，值得推荐！', '短评打分': 5}
{'短评内容': '还好，挺实惠的，房间只能住两个人吧，其他的还好。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还是挺经济实惠的。打车到南京西路18左右，到火车站12起步价。', '短评打分': 5}
{'短评内容': '服务态度非常好,酒店卫生也不错!\n周边环境有吃有玩!顶个..', '短评打分': 5}
{'短评内容': '感觉有点旧……而且感觉不是很干净。还有浴巾还破了个洞……', '短评打分': 1}
{'短评内容': '服务态度很好，交通也方便，房间很干静，不错', '短评打分': 3}
{'短评内容': '蛮舒服的一家酒店，服务人员也很热情。住的电脑房，电脑比较傻！隔音也不怎么好，外面人说话都能听到。而且外面出行也不是很方便，下次应该继续住这里。', '短评打分': 5}
{'短评内容': '已经是第二次住进这个酒店了，价格还算公道，卫生也不错，虽然离地铁站远了一点，但挺好找的。就是设施差点，卫生间有点小。', '短评打分': 5}
{'短评内容': '＋房间很干净，服务很好，但是空调好像坏了，睡的很冷，我住的是特价大床房', '短评打分': 3}
{'短评内容': '条件一般，价格公道，交通还算方便。下次还会入住的。', '短评打分': 5}
{'短评内容': ' 环境还好，挺干净的。就是隔壁晚上打起来了，不知道有没有出人命…', '短评打分': 3}
{'短评内容': '地点还算方便，离地铁站稍微远了一点，不过周边有公交车。房间较小，设施一般，偶尔住住还好。价格还算公道', '短评打分': 5}
{'短评内容': '感觉性价比蛮高的，房间蛮干净也很大，下次还会来的！位置很好哦，离延长路的2出口500m左右，隔壁的东北菜馆很好吃的啊！极力推荐', '短评打分': 5}
{'短评内容': '房间有一点点小，设施比较陈旧，其他的都还可以', '短评打分': 5}
{'短评内容': '以前住过··还蛮安静的··\n就是酒店没有自动贩卖机··\n', '短评打分': 5}
{'短评内容': '还好  如果增添一些细节服务如：地图、客户咨询某地址能对答如流等会更好', '短评打分': 5}
{'短评内容': '房间有点小 其他都还不错 价钱很便宜 性价比还是满高的', '短评打分': 5}
{'短评内容': '还可以吧，就是距离地铁站远了一些。其他方面还可以，价钱比较便宜。', '短评打分': 5}
{'短评内容': '朋友来上海玩，我帮朋友订的，朋友说感觉有点旧，总体还好。', '短评打分': 5}
{'短评内容': '   绝对不会第二次入住这样的酒店，设施陈旧，卫生条件不好，前台服务态度也叫人失望！', '短评打分': 1}
{'短评内容': '住房了两个晚上，除了空调声音有点大，我都被它吵醒了一两次，如果不怕这个的人住进进去就没问题，其它都还好，有免费的上网，卫生也还可以，热水，空调的都有，毕竟109元便宜了呀。', '短评打分': 5}
{'短评内容': '服务还可以，就是地址偏了一些，不好找。最好第一次去打车去。', '短评打分': 5}
{'短评内容': '总的来说是不错的，离公交车站比较近，但是离地铁比较远。', '短评打分': 5}
{'短评内容': '房间很干净，单人房可用于夫妻房，枕头有四个，洁具两副。就是洗澡间有点小', '短评打分': 5}
{'短评内容': '酒店的性价比很高，房间有点旧，位置不错，离火车站很近。', '短评打分': 5}
{'短评内容': '酒店的位置不错，离火车站比较近，但是房间有点旧。', '短评打分': 5}
{'短评内容': '房间里有股不知道什么味道，总体还是可以的。', '短评打分': 5}
{'短评内容': '卫生环境都还不错，性价比蛮高的，就是房间的隔音不怎么好，热水不是很热！', '短评打分': 5}
{'短评内容': '卫生太差，环境很不好，没有窗户，而且房间很小，两个人很挤，以后再也不会来这家酒店了', '短评打分': 1}
{'短评内容': '一开始是定了他们家的特惠大床房，没想到一进去很失望，很小而且设施很破旧，卫生间的淋浴房挡水也坏了漏水了，所以就找前台免费给我换了双标间。前台服务还可以。双标间就面积大多了，也舒服多了，灯光也是暖色调的比较融合温馨，但是卫生间没有铺地垫是最大的败笔，洗澡会把卫生间的水溅的到处都是，而且热水也要开好久水才慢慢热起来。所以该酒店的特惠大床房不予推荐，双标嘛不管怎么样还算便宜，可以稍微推荐下吧', '短评打分': 5}
{'短评内容': '价格贵的要死，房子跟设备都很旧，房间也比想象中的小，要不是世博会，绝对没有人住。唯一的亮点估计就是服务员态度很好', '短评打分': 5}
{'短评内容': '  交通还算方便  房间很干净  卫生也很好  下次还会考虑来这入住', '短评打分': 3}
{'短评内容': '+房间小又差 很差', '短评打分': 5}
{'短评内容': '由于在世博期间，算是比较还好的价格了~\r\n地段不错，去哪都挺方便。\r\n', '短评打分': 5}
{'短评内容': '条件非常一般，完全不值这个价。同别人住的感觉一样，隔音效果非常差。个人建议，如果不是迫不得已，就别住这家店了，晚上周边都是黑灯瞎火，没啥逛的，太差了！', '短评打分': 1}
{'短评内容': '这家酒店离地铁延长路那个远啊，走过了一个路口又一个路口，旁边有锦江之星和如家。\r\n这家店是实在没有办法了才定的，反正从前厅到房间，没有什么让人满意的，如果要做连锁，实在是各个方面都要提高哎。\r\n', '短评打分': 1}
{'短评内容': '房间小，设施陈旧，洗澡水很小，洗澡不舒服；隔音很差，床垫质量差，睡觉不舒服，如果不是世博期间，不是信用卡担保坚决不会入住。', '短评打分': 1}
{'短评内容': '感谢帮我订房间服务很好', '短评打分': 5}
{'短评内容': '+简陋 隔音差 门破旧', '短评打分': 5}
{'短评内容': '世博期间，性价还是比较高的，位置也不错，靠近车站，出门还比较方便，就是开门需要诀窍，喊了阿姨过来，没想到阿姨正走过来门就开了，难道门认识阿姨的？！', '短评打分': 5}
{'短评内容': '还不错，就是房间小了点！另外隔音太差...', '短评打分': 3}
{'短评内容': '总体还是不错的，卫生服务都很好，就是房间小了点！酒店有点老，屋子有点霉味！', '短评打分': 5}
{'短评内容': '万好万家上海闸北店离火车站，南京路打的仅十几元钱，坐地铁1号线也不远。价格便宜。性价比不错。', '短评打分': 3}
{'短评内容': '+还可以', '短评打分': 5}
{'短评内容': '还不错！就是小了一点！', '短评打分': 5}
{'短评内容': '服务挺好的，就是住宿环境一般，这次住的房间墙面还很脏，让人看着心里很不舒服。', '短评打分': 3}
{'短评内容': '酒店卫生还不错，环境也安静，总体上来说还可以推荐…唯一不足就是热水不够热，洗澡起来感觉好冷…', '短评打分': 5}
{'短评内容': '总的来说还是不错的 虽然房间比较小 服务态度还是可以的 交通也还算方便', '短评打分': 5}
{'短评内容': '+房间挺小，隔音不是很好，不过市博期间性价比算不错了！', '短评打分': 5}
{'短评内容': ' 服务很好，就是墙壁不干净。', '短评打分': 5}
{'短评内容': '+好', '短评打分': 5}
{'短评内容': '酒店服务态度挺热情的,只是房间设施陈旧了点,由于世博期间价格上调了,所以感觉与酒店本身档次有些不符.但是总体还算干净比住小旅馆好.', '短评打分': 5}
{'短评内容': '酒店性价比高，世博期间上海旅馆普遍价位高，特价大床才二百多元的价位很合适，而且走5分钟就到1号地铁延长路站，打车去南京路，火车站也不过十几元钱，所以推荐。', '短评打分': 5}
{'短评内容': '酒店设施齐全，很干净，我们住的是电脑家庭间，房间不大，不过还比较舒适', '短评打分': 5}
{'短评内容': '房间比较小，但是还是挺值得住的，温馨，服务很好，不错，推荐！！！', '短评打分': 5}
{'短评内容': '正值世博期间，房价有稍微的上调.这家酒店在上海的经济型酒店中还是比较实惠的.周边交通很方便.距离上海地铁延长路站非常的近.', '短评打分': 5}
{'短评内容': '酒店房间虽然房间不大，不过给人的感觉很温馨.服务员阿姨很热情,帮了我们不少的忙.很感谢.这次是为了看世博提前订的房间还好价格不贵,这次旅游感觉不错.', '短评打分': 5}
{'短评内容': '店大床房的窗户外面都是墙采光不好，后来加了些钱换成电脑大床房了。酒店里有点闷空气不好，但世博期间这个算是交通便利的了。', '短评打分': 5}
{'短评内容': '没有吹风机，屋内很潮湿，服务态度不错。', '短评打分': 5}
{'短评内容': '位置还不错，坐车.地铁什么的都挺方便的.房间虽然有点小不过挺温馨的,整体给我感觉还不错.因为世博期间房间是很难订得到的.', '短评打分': 5}
{'短评内容': '房子小，插座少，在枕头下发现了小蟑螂。看在服务态度还行的份上，勉强住了两晚。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '性价比高，很实惠，居住也比较舒适.很实惠的一家酒店，世博期间涨价的幅度不是很大.感觉还是挺好的.', '短评打分': 5}
{'短评内容': '不错的地方', '短评打分': 5}
{'短评内容': '还可以！现在世博嘛，价格高了点但是房子干净，服务也还好。\r\n楼下的东北馆子，虽然馆子里面有点霉味，但是菜确实好吃！', '短评打分': 3}
{'短评内容': '环境还行，就是早上楼道里有些吵。离地铁很近，还算方便。', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '由于世博期间，价格是比平时贵好多了；\r\n位置不错，离火车站南广场3站（95路），离北广场2站（912路）；\r\n挺干净的！！\r\n洗澡也方便！\r\n全木板地板，挺清爽的。\r\n不足之处：在路边，晚上稍微有点吵，不过因为柳营路车少，所以这个问题不是很大。\r\n推荐入住。', '短评打分': 5}
{'短评内容': '房间很小,感觉不太干净', '短评打分': 5}
{'短评内容': '员工服务态度好，房间干净整洁，不足之处房间有点小', '短评打分': 5}
