{'短评内容': '价钱实惠，早餐不错。', '短评打分': 5}
{'短评内容': '想当物有所值，性价比高。服务也好，还会来光顾', '短评打分': 5}
{'短评内容': '白天空调挺强劲，不知为何晚上就不给力呢，风力开到最大声音有点响，开小点又感觉热，另外被子好像不透气。除了上述不足外，房间整体相当不错，装修让人感觉很舒服。餐厅环境、性价比都挺好；周边还在继续建设中。总之这样的价位住到这样的酒店非常不错，下次有机会还会入住。', '短评打分': 5}
{'短评内容': '酒店很不錯,性價比高,打的到西湖大概25-30元.比一般的商務酒店好很多,以後還會入住.', '短评打分': 5}
{'短评内容': '酒店很干净，住的很舒适，就是位置有点偏。出差办事的话可以选择。', '短评打分': 5}
{'短评内容': '前台服务员很热情，服务非常好，我到的晚，还给我免费升级到江景房，服务很好，风景好，房间也大。下次还会住这里！', '短评打分': 5}
{'短评内容': '位置稍偏，比较清静，性价比高，服务好！适合自驾的朋友，下次还会选择！', '短评打分': 5}
{'短评内容': '酒店真的非常棒、也新、床很舒服、特别是枕头很好、柔软度适中。房间价格也不贵、物有所值。就是酒店旁边有在施工有点吵。下次肯定还会入住。', '短评打分': 3}
{'短评内容': '非常好的酒店,', '短评打分': 3}
{'短评内容': '这家不错哦，很新环境很好。', '短评打分': 3}
{'短评内容': '酒店不错,挺干净的,就是离景区远了点,这次入住他们可能望放浴衣了,细节上注意到,那就更好了.', '短评打分': 5}
{'短评内容': '位置偏，不方便。向服务员要冰块客房餐厅都说没有，不符合星级要求', '短评打分': 5}
{'短评内容': '干净，优雅，安静，是个值得推荐的好酒店！', '短评打分': 5}
{'短评内容': '已经多次入住该酒店了，很喜欢，在下沙是难得的好酒店，卫生干净，酒店设计很温馨，不过早餐一般，性价比高', '短评打分': 5}
{'短评内容': '物超所值，好店！', '短评打分': 3}
{'短评内容': '酒店很新，性价比高。不错', '短评打分': 3}
{'短评内容': '酒店新开， 很不错，服务号，江景房，就是附近有很多工地，相信造好之后会更棒', '短评打分': 5}
{'短评内容': '真不错,四星级对得起这个价格。', '短评打分': 3}
{'短评内容': '服务太差', '短评打分': 3}
{'短评内容': '  酒店真的很不错。到达酒店时较晚，前台服务员给调整免费升级了豪华大床，还是靠江能看到全景的；房间装修很温馨；前台服务员热情、细致、周到！赞一个！下次还会选择入住！', '短评打分': 5}
{'短评内容': '酒店还不错，干净温馨，空调比较给力，就是声音大了点，以后还会去的', '短评打分': 5}
{'短评内容': '非常好！就是位置有点偏僻，吃饭可以在一楼餐厅，也不错。', '短评打分': 5}
{'短评内容': '刚开业，硬件蛮好的但软件需改进，早餐15一位物有所值。位置在江边钱江新城，推荐自驾游有车的朋友可以考虑。', '短评打分': 5}
{'短评内容': '酒店很好!位置有点偏.离嘟嘟城很近!', '短评打分': 3}
{'短评内容': '不错，房间的硬件是4星以上水准的，还比较新。早餐也可以，住大床房298元非常值，有机会还会住。', '短评打分': 5}
{'短评内容': '性价比很高！不错！下次还会入住！非常好！', '短评打分': 5}
{'短评内容': '距离出差地点很近，所以预订这间酒店。房间设施有四星水平，特价房性价比很高。', '短评打分': 5}
{'短评内容': '卫生比较干净，设施也齐全，床边的吊灯很不错…就是地理位置稍微偏僻了点…', '短评打分': 5}
{'短评内容': '，下次不会再住这家了。', '短评打分': 3}
{'短评内容': '服务很好，内部环境也不错', '短评打分': 3}
{'短评内容': '不错，还是可以的，服务态度不错，酒店设施也不错，周边环境也好', '短评打分': 5}
{'短评内容': '物超所值，真的很不错啊，很值啊 ，酒店装备很新，刚开张的样子，确实不错值得推荐', '短评打分': 5}
{'短评内容': '房间就小了点，其他还好吧。', '短评打分': 3}
{'短评内容': '入住酒店感觉不错，到钱江新城的各个角落都很方便。', '短评打分': 5}
{'短评内容': '房间很大,床也很大,很温馨,就是打车不方便.', '短评打分': 5}
{'短评内容': '酒店的设施在这个价位是没的说的,但打车真是麻烦,半小时打不到车,保安还可以,长时间打不到车,酒店会送', '短评打分': 5}
{'短评内容': '房间不错，但酒店远了点', '短评打分': 3}
{'短评内容': '总体还不错，就是位置有点偏，周边没有什么配套设施，还有很多工地。', '短评打分': 5}
{'短评内容': '设施较新 房间很干净 位置一般 叫出租车不方便需很长时间 酒店无餐厅不提供午晚餐', '短评打分': 3}
{'短评内容': '很干净，服务也好', '短评打分': 3}
{'短评内容': '非常好', '短评打分': 3}
