{'descr': '环境挺干净的，酒店位置也不错', 'star': 5}
{'descr': '地理位置不錯,周邊吃喝玩樂都方便.房間裝修簡潔明亮,但空間真的太小,兩個人的行李箱無法完全攤開, 房間氣味不佳', 'star': 5}
{'descr': '位置很好，保安负责，住的条件也很好。价格合理，前台态度也不错。 ', 'star': 5}
{'descr': '除了有点味道其他的真的不错，我觉得挺超值的。', 'star': 5}
{'descr': '促销的大床房，很好，和145的差不多，就差了一个窗户，环境很好，服务态度也很好。强烈推荐', 'star': 5}
{'descr': '每次出游的选择，服务`设施`环境都不错，家的感觉……', 'star': 5}
{'descr': '服务可以，位置较好，紧靠商业街，性价比较高', 'star': 5}
{'descr': '来了很多次了，住的还是很好~希望越来越好！', 'star': 5}
{'descr': '环境，地段都很不错~\n特别靠近商业圈，交通也很方便~', 'star': 5}
{'descr': '房间很干净。服务也很周到！退房的时候有点慢。', 'star': 5}
{'descr': '各方面都中规中矩，位置很不错，紧邻江边，而且离老商业街很近，去吉林的话不妨作为一个选择。', 'star': 5}
{'descr': 'HENHAOA  不错 不错好好好好好哈好哦啊哈\n', 'star': 5}
{'descr': '太闷了，没有窗户确实不爽，不过价格确实便宜~~', 'star': 5}
{'descr': '非常好，服务员的态度很热情，我因火车误点给客房打电话留房，在房源紧张的情况下还给留下很讲信誉，下次还会去住的！！', 'star': 5}
{'descr': '很好，房间很干净也很大。前台服务也不错！  \n隔音效果有待提高', 'star': 5}
{'descr': '客房服务很好，前台人员也很热情，很喜欢这里，下次有机会还会住的。', 'star': 5}
{'descr': '我住的88元特价房~卫生不错~就是隔音差~没有窗户~空气不好~其他都很满意~介意房间里最好也有排气管道~只有卫生间有个排气口~而却很小~空气流通太差了~', 'star': 5}
{'descr': '非常干净，舒适，快捷，服务态度还算不错，不过落下东西了不知道可不可以找回', 'star': 5}
{'descr': '卫生不错，如果酒店能有晚餐吃就好了。', 'star': 3}
{'descr': '很满意，很干净，服务业很好，位置是市中心，到哪都比较方便', 'star': 5}
{'descr': '距离江边步行5分钟。离河南街2分钟！很霸道啊！房间虽然临街，但是隔音很不错！推荐入住！', 'star': 5}
{'descr': ' 环境温馨，有家的感觉，卫生条件也不错，出行的高性价比选择', 'star': 3}
{'descr': '安静干净，环境好。地处市中心，交通便利。', 'star': 5}
{'descr': '很满意。房间很舒适，下次还去速8，愿速八越来越红火', 'star': 3}
{'descr': '很干净。要比其他酒店舒适。服务态度很好。', 'star': 5}
{'descr': '酒店还行~就是住的屋子有点小~总体还不错~', 'star': 5}
{'descr': '位置不错，价格合理。交通方便。性价比很高。', 'star': 5}
{'descr': '服务不算到位 楼下房间的卫生间漏水严重 不分时间就要进房间查看 很不礼貌 很正常的生活用品酒店都不配备 下次不会再来住 不推荐 ', 'star': 3}
{'descr': '环境不错 第二次入住了 值得推荐', 'star': 3}
{'descr': '还好 好好 很不好吗 难道是 到底好不好呢 不去怎么知道好不好呢啊', 'star': 5}
{'descr': '地理位置不错，从那边到北山只有两站地，到江边也非常方便。价格比较经济，很适合走在路上的旅行者。', 'star': 5}
{'descr': '位置和环境还不错，房间隔音有点差~~这也是连锁酒店的通病~~', 'star': 5}
{'descr': '已经是第n次入住了，周围环境不错，卫生条件也很好。美中不足就是房间隔音效果不好，希望改进！', 'star': 5}
{'descr': '说实话~特价房就是便宜~真的不怎么好~房间好矮~好压抑~屋子又潮湿~没有窗户~空气很不好~刚进去呼吸闷闷的~就是便宜啊~要不真的不住这样的房间~我推荐有窗户~南面的房间~北面的也别住~墙都发霉的~还有蚂蚁~我发现他家蚂蚁特多~我买的蛋糕回去~结果早上起来~全是蚂蚁~恶心死我了~', 'star': 5}
{'descr': '除了房屋不隔音,其他都不错', 'star': 3}
{'descr': '整体环境还行，离江边比较近，离商业街区也很近，特价房的门又很大的缝隙、而且味道比较重', 'star': 5}
{'descr': '速8不亏是全球连锁的酒店 环境是真不错  特别是浴室 是我住这么多酒店里感觉装修的最好的 不错  ', 'star': 5}
{'descr': '胜在位置好，在北京路上，距河南街、晖春街都近，房间小点不过挺干净，带电脑很方便，推荐。', 'star': 3}
{'descr': '整体还是不错的，挺干净，特价房要是可以带窗户的更好了', 'star': 5}
{'descr': '性价比高，交通方便，还不错。但上次住吉林大街的那家店，特价房也有窗户，更好些。', 'star': 5}
{'descr': '很糟糕！', 'star': 3}
{'descr': '安静 舒适 干净，总体上来说还不错 值得出差的人士下榻。', 'star': 5}
{'descr': '干净舒适的感觉·就是前台确认有点慢·不过还是很推荐的·', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '比较好，比较满意。觉得价格还是有点偏高，我住的是无窗的特价房还是很便宜的，但是其他房间网上价格好像是159吧', 'star': 5}
{'descr': '紧邻吉林市的市中心，购物方便。却不是在主干道上，所以很安静。前台很亲切，会详细解答宾客的问题，性价比很高。', 'star': 5}
{'descr': '地理位置不错，离江边很近。服务也不错。\n淋浴不是很好，不道为啥，水温不够稳定。', 'star': 5}
{'descr': '位置佳，设施新，服务优。', 'star': 3}
{'descr': '水不错 立竿见影 哈哈哈哈 很合适促销放\n', 'star': 5}
{'descr': '总体还不错，距离河南街、早市、夜市都很近，20元/天的电脑租金也可以接受', 'star': 5}
{'descr': '比较干净、整洁，房间的衣挂该换了，半夜挂钩掉了，吓了我一跳', 'star': 5}
{'descr': '挺干净的。里面的装修不错，给人的感觉跟舒心', 'star': 5}
{'descr': '房间很干净...也很舒适', 'star': 3}
{'descr': '不错 ，很好……不错 ，很好……不错 ，很好……不错 ，很好……看不错 ，很好……', 'star': 5}
{'descr': '水有些锈色，收款方式有点纠结，押金必须是现金或信用卡，没有信用卡的人表示很有压力~', 'star': 5}
{'descr': '非常不错，押金有点多', 'star': 3}
{'descr': '感觉还真不错，前台很周到…很满意…不过临江得绕段路才能看见', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '环境很好，服务也很好，而且北京路的店也在市中心，逛街，去江边也很方便', 'star': 3}
{'descr': '啥都挺好，唯独洗浴的水有锈，自来水放来是锈黄色。', 'star': 3}
{'descr': '还不错，就是空调失控，有必要修理一下…', 'star': 3}
{'descr': '床蛮大的，挺干净\n无窗房就是有点儿闷\n有空调但是不给遥控器\n冬天还可以夏天估计就热了\n\n旁边就是步行街，走到头儿是北山公园\n地理位置倒是超级好', 'star': 5}
{'descr': '  环境好 服务态度也可以', 'star': 3}
{'descr': '经济实惠，就是房间比较小，没有空调，通风也不好，半夜睡觉很闷', 'star': 5}
{'descr': '酒店位置不错，去哪都方便，环境好！值得推荐！', 'star': 5}
{'descr': '地理位置为止很好，环境和服务都不错。就是房间墙壁有些潮湿', 'star': 5}
{'descr': '我所预订的房间竟然没有了，只好要了一个带电脑的房间，希望能够知道这是怎么回事', 'star': 3}
{'descr': '环境还不错。隔音效果不是很好。前台的工作人员不算太专业，门卡第一次都没给我注册上。', 'star': 5}
{'descr': '环境好，地理位置佳，干净卫生。值得推荐！', 'star': 5}
{'descr': '性价比不错，但是没有窗户真的是难过的要死。', 'star': 5}
{'descr': '有点旧，大致上还挺干净的。这个性价比还行', 'star': 5}
{'descr': '位置不错，靠近商业中心，附近的吃的也不错，也靠近江边！看雾凇也很好！酒店很干净，价格也不错！', 'star': 5}
{'descr': '理的松花江边很近，冬天可以看到雾凇奇景，周围能吃饭的地方不是很多，楼下有一个李先生，', 'star': 5}
{'descr': '宾馆的硬件设施还可以，只是结账要走的时候，服务员说毛巾上有烟灰，要赔偿，后来又说没事了', 'star': 5}
{'descr': '住过很多回了、很好、很不错、以后会常来、还会向朋友推荐\n', 'star': 5}
{'descr': '太热了', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '房间干净卫生，设施也不错，住的很舒服，下次还会选择的', 'star': 5}
{'descr': '酒店很干净，服务也很到位，热水空调都挺给力的 ，不错，呵呵', 'star': 5}
{'descr': '服务态度还是比较好很周到，房间设施也很新，位置也不是太难找，价格还是很合理。', 'star': 5}
{'descr': '酒店还算干净，就是地沟反味太熏人，换了房可还是味道很大', 'star': 3}
{'descr': '挺不错的，干净，就是太热了。', 'star': 3}
{'descr': '酒店的位置还可以，就在商业街的路口，因为是老楼后改造的，天气寒冷，内墙上有黑霉斑。如果是快捷酒店的话，这个价格在吉林市略高，还有很多更好的选择。刚办好入住，又来了一对开房，前台直接给报价139元。TMD，易聋咋能158涅。', 'star': 1}
{'descr': '屋里没窗户，刚进去的时候感觉有点闷，但是开排风之后感觉好多了，其他都还不错，这个价格很值得了', 'star': 5}
{'descr': '速8 是非常值得信任的一家快捷酒店。干净舒适，性价比高。', 'star': 5}
{'descr': '挺好的，位置不错，出去就是江边，下次还会去那，就是预定为什么一定要用信用卡呢？', 'star': 3}
{'descr': '内容', 'star': 3}
{'descr': '环境挺好', 'star': 3}
{'descr': ' 很不错哦。。。', 'star': 3}
{'descr': '挺好的酒店，位置不错，温馨，舒服！推荐！！！', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '不错的地方，推荐入住，环境不错，就是前台有点忙', 'star': 5}
{'descr': '房间很干净价格也便宜就是太热了', 'star': 3}
{'descr': '不错的地方，整体很不错！就是前台有些忙啊！', 'star': 5}
{'descr': '整体很干净，前台服务到位，就是工作人员比较少，有些忙不开', 'star': 5}
{'descr': '不错啊、第二次去住了、感觉很好、、以后还会去的\n', 'star': 5}
{'descr': '便宜，但店员的态度不是很好，我们定的特价间，她查都不查就说没有了，明明就是有，我们问几点退房，她一口说12点，我们又问不是现在规定是两点么？结果她又改口说有。', 'star': 5}
{'descr': '服务态度很好，室内条件也不错，但是不知道为什么139的房间和88的房间没有什么区别', 'star': 5}
{'descr': '房间内有些小虫子、类似蚂蚁一样、挺别扭的、服务挺好、环境还行', 'star': 5}
{'descr': '前台的MM服务态度非常好。性价比高，位置其实不错的，但是如果外地过去的话，找还是有点困难，应该放个显眼的标示牌比较好。卫生不错，餐厅的早点不算丰盛。', 'star': 5}
{'descr': '服务没有刚开业的时候好了，服务员素质的问题，估计没有经过培训，房间依旧和以前一样，不送矿泉水了，要一卷手纸一个小时也没送来，后来看到打扫房间的阿姨自己要了一卷，就是便宜~', 'star': 5}
{'descr': '非常好，暖气给力，服务周到，房间大而且舒适，性价比很高！', 'star': 5}
{'descr': '以前没住过速8酒店，挺朋友说不错，这次尝试了一下，感觉不错，环境很温馨！', 'star': 5}
{'descr': '很好,价格便宜又卫生。位置也在市中心。', 'star': 3}
{'descr': '快8的服务态度很好，房间很干净！就是前台的服务员太少，忙不开。', 'star': 5}
{'descr': '价格比较便宜，环境不错，性价比相对来说较高。', 'star': 5}
{'descr': '曾祥明入住吉林市北京路速八酒店。2010-11-26_27', 'star': 3}
{'descr': '酒店很好 逛街也很方便 环境不错 值得推荐', 'star': 3}
{'descr': '服务优良  环境优雅  干净卫生', 'star': 3}
{'descr': '酒店干净0地段甚佳o服务员态度良好0', 'star': 3}
{'descr': '挺好的', 'star': 3}
{'descr': '价格合适，环境也还行，最主要的是靠近松花江。', 'star': 5}
{'descr': '入住酒店5天，没有打电话基本上就没人来给整理打扫房间，挺不好的。第一天去吃早餐感觉很不错，但是连着吃五天同样的早餐就没有任何好的感觉了，也许这家酒店适合住一两天的客人，建议改善哟！', 'star': 5}
{'descr': '服务人员态度很好，有事找的话效率很高，没事的话服务员也不会打搅客人。', 'star': 5}
{'descr': '北京路这家速八位置挺好的，出行交通很方便。', 'star': 5}
{'descr': '酒店的开业比较新，各方面环境配置都很不错。', 'star': 5}
{'descr': '就在商业街附近，交通方便，房间很干净，床很舒适！', 'star': 5}
{'descr': '除了服务差外，其它一切都好。', 'star': 1}
{'descr': '配置硬件设施都比较新，房间看上去整洁舒适。', 'star': 5}
{'descr': '这家店的性价比还是很好的，服务也很好。', 'star': 5}
{'descr': '房间面积略小.显得有些拥挤.位置不错，市中心交通还算方便.整体还可以.', 'star': 5}
{'descr': '大床房房间小，位置还行吧，服务较好。', 'star': 1}
{'descr': '性价比高', 'star': 5}
{'descr': '还可以，房间有点小，不过住起来还可以了，如何10分给8分。', 'star': 3}
{'descr': '屋子有点小，但还比较干净，服务态度不错\r\n如果１０分满分，我打８分', 'star': 5}
