{'短评内容': '就是多了个厨房和门禁，其他没啥区别。厨房还缺工具。', '短评打分': 5}
{'短评内容': '酒店环境尚可。但设施不是很好，我住的房间门吸坏的，床头灯无法关闭，睡觉只能拉掉插头。客房服务水平与商务酒店差不多。', '短评打分': 3}
{'短评内容': '国际五星 设施服务都很好 中西式早餐很丰富 我的外商客户很挑剔常熟所有五星级酒店都住过了唯独对这一家酒店满意', '短评打分': 3}
{'短评内容': '前台很亲切，总台很负责，服务人员也都非常积极贴心，感觉很好，下次还会去住的。\n走前15~30分钟可以打电话去前台，让他们帮着叫好出租车，这样出行也方便了。', '短评打分': 5}
{'短评内容': '全新的装潢与设备是他们最值得说明的特点，如果你要一个干净的环境，这是最佳的选择。', '短评打分': 5}
{'短评内容': '设施比较陈旧，周围景色也一般。性价比不高', '短评打分': 1}
{'短评内容': '房间宽大，整洁，气派，卫浴设施齐全，舒适。服务到位，有效率。', '短评打分': 5}
{'短评内容': '住的非常舒服床单很干净被子很透气，客房服务很到位，希望下次能继续入住～！', '短评打分': 5}
{'短评内容': '酒店设施非常完善，服务温柔到位，但入住时给的房间窗外有噪音，以后还会选择。', '短评打分': 5}
{'短评内容': ' 入住时给的房间窗外有噪音，投诉后马上换了房间，还派人来拿行李，服务很到位。', '短评打分': 3}
{'短评内容': '酒店服务态度很好!设施基本可以，下次还会光临。', '短评打分': 5}
{'短评内容': '酒店设施非常完善，服务温柔到位，餐饮也很上档次，我非常喜欢，以后还会选择。', '短评打分': 5}
{'短评内容': '环境幽静，房内装饰豪华稳重，床也舒适，液晶电视挺大的，也挺新的。只是附近没有什么可以吃饭的地方，我在房间打电话去餐厅让送到房间吃的，可以点的品种不多。点了一些吃的，记忆最深刻的是那个云吞面，菜单上描述的很好，有很多配菜，送过来才发现只有不多的青菜放在面上。。。\n附近打车比较困难，建议和前台商量一下，看看什么时候走，是不是可以代为叫好出租车。', '短评打分': 5}
{'短评内容': '酒店还是很不错的，位置比较偏，算新区吧。早饭种类蛮多的。', '短评打分': 5}
{'短评内容': '预订好的房间，到前台查不到，拖了半个小时才解决。整体服务比其他万利酒店要差些。早餐连位子也找不到，品种也恨少。下次还是住虞山锦江。', '短评打分': 1}
{'短评内容': '硬件设施可以，离市中心较远，出行不便，服务质量有待提高！', '短评打分': 5}
{'短评内容': '酒店设施不错，环境整洁，性价比较好。但离市中心有点远，商业氛围缺少。', '短评打分': 5}
{'短评内容': '如不是自驾的话有些不方便，离中心城区还是你有些距离。酒店本身不错。', '短评打分': 5}
{'短评内容': '交通略显不便，如果不是自驾的话。酒店硬件、服务都不错。', '短评打分': 5}
{'短评内容': '常熟地区最好的酒店，硬件相对比较好，但是同五星还是有距离的，房间的玻璃窗很脏，严重影响观景。', '短评打分': 5}
{'短评内容': '不错的酒店，交通方便。但离商业区稍远。推荐。', '短评打分': 5}
{'短评内容': '出租车啊出租车！地方偏了一些，出去不方便。当然，开车还是很OK的。硬件一般般，服务没什么特色。感觉不到热情。早餐吃完了，也没给我一杯茶或咖啡。', '短评打分': 1}
{'短评内容': '住过很多次，房间感觉很一般，服务业完全没有所谓五星级的水平。最郁闷的还是，永远叫不到出租车！', '短评打分': 1}
{'短评内容': '中规中矩没什么特色。位置对于去东南开发区倒是还可以。', '短评打分': 5}
{'短评内容': '设施很好，环境优美，就是服务员素质有待进一步提高达到五星标准。', '短评打分': 5}
{'短评内容': '环境、服务都很好，是外籍人士和高级商务人士的首选之一。', '短评打分': 5}
{'短评内容': '位置不错，设施也较新。离市中心还语录也很近。', '短评打分': 5}
{'短评内容': '非常不错的酒店,就是价格有点高.650元还没有早餐,郁闷', '短评打分': 5}
{'短评内容': '设施不错，就是早餐的服务和食物很一般。离常熟的景点远了些。', '短评打分': 5}
{'短评内容': '这次入住，卫生间比以前住的小了很多。而且下午搞演习吵了一下午', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '非常不错。。。。还会住的。。。。。。。。。。。\n', '短评打分': 5}
{'短评内容': '酒店人性化管理,环境也很好,设施一流,而且价格也很公道,值得一住!', '短评打分': 5}
{'短评内容': '这个酒店环境比较好，酒店设施比较豪华，房间较大，卫生间有淋浴和浴缸，服务还可以。', '短评打分': 5}
{'短评内容': '不错，酒店很干净,住的也很舒服，房间面积也较大，喜欢.', '短评打分': 5}
{'短评内容': '酒店不错年初一的前台接待先进服务很好', '短评打分': 3}
{'短评内容': '这个酒店非常好。前台很体贴。上次我入住，第二天外出拜访客户，回来时超时了，前台告诉我可以延时，不要多付钱，一下子帮我省了好多。很感谢。', '短评打分': 5}
{'短评内容': '服务挺好，房间整洁，位置有点偏。硬件还好。', '短评打分': 5}
{'短评内容': '服务人员非常热情,任何一位工作人员无论从事十么岗位,都会主动为您提供优质服务,舒适度很好,标间很大,景观很好 ', '短评打分': 5}
{'短评内容': '感觉很好。', '短评打分': 3}
{'短评内容': '该酒店位置稍偏交通不太方便外，其他都好。但在退房时，前台工作人员向我推荐加入该酒店集团会员，还说会邮寄会员卡，1个半月过去了，却始终不见踪影，难倒是和客人开玩笑吗。', '短评打分': 1}
{'短评内容': '一如既往，常熟皇冠假日常熟最好的酒店，不论硬件还是软件。', '短评打分': 3}
{'短评内容': '常熟中江广场皇冠假日酒店除了酒店位置较偏外，其他都很好。尤其前台工作人员服务规范，待客亲切。 ', '短评打分': 5}
{'短评内容': '除了酒店位置较偏外，其他都很好。尤其前台工作人员服务规范，待客亲切。', '短评打分': 5}
{'短评内容': '酒店房间蛮大的，比较舒服，在常熟开发区，周边配套少一点。', '短评打分': 5}
{'短评内容': '每次住假日酒店都感觉服务很好，尤其是这家，前台服务生的热心都是发自内心不是虚假的。演唱会看的很过瘾，酒店的服务和舒适度也让我很满意，对常熟留下了好印象', '短评打分': 5}
{'短评内容': '总体来说还是很不错的，酒店的服务和卫生都很不错。性价比也很好。只不过有点远离市区，但也不远。', '短评打分': 5}
{'短评内容': '还不错的酒店，能满足基本的需求，今后还会入住', '短评打分': 5}
{'短评内容': '该酒店非常好', '短评打分': 5}
{'短评内容': 'excelent quality and service is top of class', '短评打分': 3}
{'短评内容': '还要补充说明的是，该酒店淘糨糊的水平一流，结帐的时候，问都不问客人，就把所谓的捐款金额打到帐单上，事先不问，打到帐单上也不和客人说明，客人问了才说，客人表示不需要代捐，前台做了件更有意思的事情，就是只去掉了一间房间的费用，竟然还保留另一间的费用，当客人再次提出后，前台还能面不改色的做恍然大悟，演技绝对一流。其他类似酒店如喜来登也有这样的活动，但都是在记账前主动询问客人的，第一次碰到这种，既不询问，', '短评打分': 3}
{'短评内容': '优点：餐厅的服务人员很勤劳，自助餐人很多，盘子收的也很及时，中餐厅的服务人员态度也很好，这是本次入住唯一满意的地方\r\n\r\n缺点\r\n1.住了N次的五星级酒店，只有在这家酒店前停车，别说有人给你拉车门，连个人影子都看不见，拿着大包小包进去，礼宾部的人员当客人是空气，连个招呼都不打，服务态度连就在旁边的快捷假日都不如（住在其他的酒店，车门被拉得都不好意思，都是很主动的和客人问好，拉车门，指导停车，主动拿', '短评打分': 1}
{'短评内容': '总体不错，酒店房间和设施都还行，交通也蛮方便，服务方面的一些细节还有待进一步加强。。。', '短评打分': 3}
{'短评内容': '中规中矩的酒店，房间和设施都还不错，但服务方面还有待加强。自助餐明档的厨师太少了，等待时间太长。。。。。', '短评打分': 5}
{'短评内容': '服务人员非常热情,任何一位工作人员无论从事十么岗位,都会主动为您提供优质服务,舒适度很好,标间很大,景观很好', '短评打分': 5}
{'短评内容': '第三次入住了,服务还是一如既往的出色,床感觉有点偏软,其余硬件都不错.就是酒店位置有点偏,不过楼下有家可迪,买东西还算方便,', '短评打分': 5}
{'短评内容': 'first class in the city', '短评打分': 5}
{'短评内容': '做为假日的金卡会员，在其他城市的假日酒店都会提供欢迎水果，但在常熟却没有。酒店斤斤计较，对1分钱（房价658.01)都计较照收不误，感觉很不舒服！', '短评打分': 5}
{'短评内容': '一如既往优秀，值得推荐', '短评打分': 5}
{'短评内容': '酒店服务很好，属于高端酒店，价格有点贵', '短评打分': 5}
{'短评内容': '休闲好去处。安静雅致', '短评打分': 5}
{'短评内容': '一流的设施，一流的服务', '短评打分': 5}
{'短评内容': '这个酒店我觉得是挺不错的，无论是硬件，还是服务环境都挺好的，位置也比较方便，价格我能接受，我认为是可以推荐的。', '短评打分': 3}
{'短评内容': '设施比较新。比较豪华、舒适。而且价格也合适。', '短评打分': 5}
{'短评内容': '酒店挺好的，干净整洁，服务也不错，停车也方便，值得推荐', '短评打分': 5}
{'短评内容': '酒店的地理位置有些偏离市中心,环境硬件设施还不错,价格也很合适,就是位置不是很好.其它都不错.', '短评打分': 5}
{'短评内容': '此家酒店的枕头不是很好，睡觉起来后会觉得脖子痛，还有酒店里的用餐选择只有中西两个餐厅。选择性很小，不过西餐的甜品不错，很好吃！', '短评打分': 5}
{'短评内容': '当时所入住房间的浴室不太严，洗澡时会有水流出。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': 'Good', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '听ELONG推荐选择了这家酒店，从上海开车就一个多小时。酒店很新，硬件相当棒，和其它城市的豪华国际品牌相比，毫不逊色，但价格却便宜很多。房间里的三星液晶电视以及热带雨淋花洒让人感觉很舒服。&lt;br /&gt;\n酒店虽然不在市中心，但打车过去也就5，6 分钟，起步价就可以到，还是很方便的。服务还算满意，早餐相当丰富，这个价格入住还是很值得的。下次有机会再去常熟，还是会选择这家酒店。', '短评打分': 5}
