{'短评内容': '居然无故取消我订单 如果没房就不要挂出来', '短评打分': 5}
{'短评内容': '服务质量不错，环境也不错，指定房型返40%现金活动真的不错。。。。。。', '短评打分': 5}
{'短评内容': '感觉房子还行,就是13层到14层没有电梯.', '短评打分': 5}
{'短评内容': '前两天定标间368元，住了两天后准备再住两天，可这是酒店说要涨价到498！不能接受。不过后来经过谈判，同意按原价368结账！', '短评打分': 5}
{'短评内容': '环境还可以，制冷空调效果还行，就是当晚再开标间是不打折，门市价780，而网上订的价格是368，有点不能理解！', '短评打分': 5}
{'短评内容': '还可以，8楼的单间枕头很好，只是不能转到普通标间使用！', '短评打分': 5}
{'短评内容': '位置有点偏，环境不错，前台不错。打车方便', '短评打分': 5}
{'短评内容': '物美价廉，环境不错，房子还比较干净，就是设备有些老化，空调一般，不太好使用，', '短评打分': 5}
{'短评内容': '200多超值   服务很好  全聚德就在楼下很方便', '短评打分': 5}
{'短评内容': '地理位置还可以，卫生环境真的一般。不过对于这个价位也算是可以了。', '短评打分': 5}
{'短评内容': '3星酒店，就是没有早餐（38元）；；；；；；；；；', '短评打分': 5}
{'短评内容': '比较整洁  温馨  关键是离公司本部很近  很方便', '短评打分': 5}
{'短评内容': '酒店整体来说不错，首先：位置离301医院比较近，走路25分钟，附近买水果吃饭也比较方便，离五棵松地铁站比较近，出行坐地铁也方便；第二：软硬件服务设施不错，房间安静，设施虽说不是很新但不算陈旧；第三：个人比较喜欢酒店的热水淋浴，温度和出水大小不错，北京热，洗澡舒服了心情也舒畅了。最后我因为要赶早上的飞机，酒店帮忙预约了凌晨4点的出租车，出租车很早就到了，非常让人放心。如果下次去，我还会入住。', '短评打分': 5}
{'短评内容': '第2次入住了,感觉这次的商务标间比上次的好. ', '短评打分': 5}
{'短评内容': '就是一典型的老三星级宾馆,没什么特别的地方', '短评打分': 5}
{'短评内容': '跟图片明显不符，大厅看上去很宽敞，可是房间里根本不是那么回事，本来以为上星的酒店应该很不错的，但是这个价位还不如住个快捷酒店。以后不会再选这家了，住的是14层和11层，走廊层高相当低，很压抑，房间也很小，真是所谓的单人间了。', '短评打分': 1}
{'短评内容': '挺好的 比较舒适  服务也很热情 主要位置比较好  离公司总部很近', '短评打分': 5}
{'短评内容': '价格还算实惠，离地铁稍微远了点，如果你就在附近办事，是个好选择。', '短评打分': 5}
{'短评内容': '可以，就是房间小点', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间隔音效果很差，特别是隔壁卫生间的放水声巨大，很吵！早餐应该到9：30分，但到9：00就结束。与三星级标准有差距。', '短评打分': 1}
{'短评内容': ',还满意,', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '总体都不错，只是特价的房间要自己多走一层楼的台阶才能到，并且头一晚入住的时候空调不凉，不过第二天酒店就赶紧给调换了房间，舒服了很多。下次还会来，希望酒店即使是特价房间也别让我再爬楼了，谢谢', '短评打分': 5}
{'短评内容': '位置不错，房间有点小，设备有些旧。上网速度有些慢。总的来说还行。', '短评打分': 5}
{'短评内容': '酒店条件设施一般，床很舒服。房间有送矿泉水，并且高级商务间有电视电脑一体机，方便娱乐。卫生条件比较一般。', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。还可以  环境不错', '短评打分': 5}
{'短评内容': '不错的酒店，就是写字台旁插头太少。。。。。。', '短评打分': 5}
{'短评内容': '交通方便，服务也到位。总体感觉不错，下次继续考虑入住。', '短评打分': 5}
{'短评内容': '环境很好服务不错', '短评打分': 3}
{'短评内容': '服务尚可，房间面积太小，房间设施一般，房间网速较慢。', '短评打分': 1}
{'短评内容': '经常住\u3000，方便，周边吃饭也方便。。。还会再来。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '对这个酒店很熟悉，经常住\u3000，很方便，价格也还可以。。', '短评打分': 5}
{'短评内容': '相比之下实惠，吃饭方便，总体而言还会再住！！！', '短评打分': 5}
{'短评内容': '隔音不太好,有点吵', '短评打分': 3}
{'短评内容': '环境和设施都还不错，交通也还可以，离五棵松很近。\n服务也不错', '短评打分': 5}
{'短评内容': '酒店的大堂很好，很不错，给人一种眼前一亮的感觉，楼道挺干净，但是有点不好找房间，14层还要走楼梯，挺干净的，环境也很好，位置很好找。下次一定还会入住！', '短评打分': 5}
{'短评内容': '总体还不错，就是隔音有点差。希望以后的洗漱用品里有擦脸油和护手霜之类的，小细节，大改善。', '短评打分': 5}
{'短评内容': ' 干静卫生，环境优雅，不错，下次若来还定这家。', '短评打分': 3}
{'短评内容': '酒店的隔音差，网速太慢，无法上网，需要尽快改进', '短评打分': 5}
{'短评内容': '酒店上网速度要尽快解决，否则，今后不推荐', '短评打分': 5}
{'短评内容': '上网速度太慢', '短评打分': 3}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': ' 还不错。就是装修有点陈旧。', '短评打分': 3}
{'短评内容': '性价比，还是可以的，就在附近办事的朋友要求不高的话，这家酒店还是不错的选择。', '短评打分': 5}
{'短评内容': '酒店请客吃饭方便，有大宅门、全聚德；就是隔音差，网速特慢，下次准备换了。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '该酒店性能价格比较好，地理位置尚可。门童服务意识需要加强。', '短评打分': 5}
{'短评内容': '  还可以，1318房间不好。', '短评打分': 3}
{'短评内容': '酒店交通，吃住都方便，请客高中档都有，与全聚德连在一起', '短评打分': 5}
{'短评内容': '酒店性价比不错，交通方便，情况也不错，有全聚德烤鸭', '短评打分': 5}
{'短评内容': '酒店性价比不错，交通，吃住方便，高低端都有', '短评打分': 5}
{'短评内容': '房间性价比不错，吃饭、请客都方便，只是楼板有些吵。', '短评打分': 5}
{'短评内容': '酒店OK', '短评打分': 3}
{'短评内容': '酒店卫生、交通、吃住都不错,就是地板有点吵', '短评打分': 5}
{'短评内容': '酒店卫生、吃住不错，就是11楼地板有些响', '短评打分': 5}
{'短评内容': '不错，大床房位置很好，朝阳的，蛮干净。以后还会来，就是价格蛮高还不含早，我在二环的酒店都要便宜点还含早的。', '短评打分': 5}
{'短评内容': '热水不够热,不敢洗澡.空调太热.房间有点儿偏小.', '短评打分': 1}
{'短评内容': '离我要去开会的地方很近，住的标间，有点吵', '短评打分': 5}
{'短评内容': '干净，卫生，地段还是不错，但是房间隔音很差。', '短评打分': 5}
{'短评内容': '地方有点难找，房间卫生说的过去，环境一般般.....', '短评打分': 1}
{'短评内容': '单人大床房，不错，周边比较安静，餐饮也方便', '短评打分': 5}
{'短评内容': '交通便利，离影院特别近。楼下有几家不错的餐厅，大宅门、 全聚德、喜欢吃面食的朋友对面就有一家非常好的餐厅。房间就是暖气不大好使，其它的的OK。值得推荐。\n', '短评打分': 5}
{'短评内容': '  环境一般，不过这个价超值  地理位置也好 ， 出行方便  周边配套设施吃  购物  电影院啥都有，值得推荐。', '短评打分': 3}
{'短评内容': '很好！就是太冷了。', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '环境卫生不错，就是房间小一些。。。总体来说还是不错的', '短评打分': 5}
{'短评内容': '也许是特价房吧 虽然之前客服人员有提过会多走半层楼梯。\n到了才发现房间特别特别的小，浴缸也不是很好用。。\n而且位于14层的客房，隔音不好，走廊的顶棚很低给人一种特别压抑的感觉', '短评打分': 1}
{'短评内容': ' 刚入住，条件还可以。自助早餐贵了点。', '短评打分': 3}
{'短评内容': '已住十四楼1412房间', '短评打分': 3}
{'短评内容': '很实惠', '短评打分': 3}
{'短评内容': '酒店的住宿挺好的，我住在6层，很安静。\n服务态度也很不错。但是感觉单人间的话，空间没有快捷酒店的大', '短评打分': 5}
{'短评内容': '服务员态度还行，交通不太方便，离地铁远，车不好打，酒店周围吃喝玩乐的少', '短评打分': 5}
{'短评内容': '酒店服务很好房间干净也安静', '短评打分': 3}
{'短评内容': '优点：酒店大堂比较豪华，标房价格低廉，服务随叫随到；\n缺点：标房很小，配套服务不全，冰箱中什么都没有，隔音效果很差，晚上噪音比较大。', '短评打分': 1}
{'短评内容': '酒店服务一般 10天前订的大床房到店却无房 楼层交错设置较乱比较难走 超市和吃饭倒很方便 机场下来打车花了130也比较堵', '短评打分': 3}
{'短评内容': '价位适中，环境尚好，服务一般，特价房设施太差，临时调到商务间尚可，交通也还方便。', '短评打分': 5}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '服务很好，继续提高酒店硬件设施。整体还不错。', '短评打分': 5}
{'短评内容': '+硬件一般,服务还可以.', '短评打分': 5}
{'短评内容': '交通便利，距301很近，办事方便，总体还不错。', '短评打分': 5}
{'短评内容': '不错，比较干净舒适，只是房间有点霉味，希望改善。', '短评打分': 5}
{'短评内容': '酒店的卫生很好，服务到位，地理环境好，交通方便', '短评打分': 5}
{'短评内容': '特价房要上楼梯，感觉有点别扭，总的来说还比较不错', '短评打分': 5}
{'短评内容': '挺干净，但是隔音不太好\n', '短评打分': 5}
{'短评内容': '不错的酒店！位置好，服务好，就是傍晚有服务员来问需不需要打扫房间？呵呵，', '短评打分': 3}
{'短评内容': '环境很好,比较满意!', '短评打分': 5}
{'短评内容': '已住', '短评打分': 5}
{'短评内容': '位置很好,设施旧了,有网络但打不开网页!服务热情.', '短评打分': 5}
{'短评内容': '酒店的前台服务还是很到位的 只是房间内的设施一般 主要是隔音有点差！\n 卫生条件还可以，餐饮呢，没尝试，不清楚了。', '短评打分': 5}
{'短评内容': '离301医院很近，因为这次为了看病而来，同时对301医院附近的宾馆不是很满意所以选择这里，感觉还不错。', '短评打分': 5}
{'短评内容': '酒店的服务很令人满意.很负责.一个衣架都给我特地送来.真令人感动.', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房间干净、整洁、隔音效果好。服务也不错，就是房间稍小。在网上订的大床房到店后是双人标间，这点不太如意。总体不错，下次还会住 ', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '交通方便、房间干净、服务好、隔音效果好。就是房间稍微小了点，下次还会继续光顾。', '短评打分': 3}
{'短评内容': '交通方便、房间干净、服务好、隔音效果好。就是房间稍微小了点，下次还会继续光顾。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '挺好的宾馆，就是特价房比较搓一点，交通还算不差', '短评打分': 3}
{'短评内容': '定的单人间 早到了 服务员居然不愿意打扫房间出来 结果住了个标间 多花钱 进去一看还是没收拾 只是床单换了\r\n', '短评打分': 1}
{'短评内容': '位置不是特别理想，出门就堵上了，地铁又比较远，不过比较安静，服务比较好', '短评打分': 5}
{'短评内容': '酒店不错，谢谢！', '短评打分': 5}
{'短评内容': '房间很小，我让他多给我送个毛巾也不行，无奈的很，下次不住了', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常好的服务。客气周到。我推荐。我在出租车上丢失钱包，大厅经理通过录像帮我追回', '短评打分': 3}
{'短评内容': '非常好的服务。客气周到。我推荐', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店看大堂的话还是可以的，位置也有些偏，距离地铁公交车站都不算近，不过靠近五棵松！！\r\n入住的时候，不知道是不是因为住的是经济间，我们再要毛巾和浴巾的时候均不给送，说什么只能换，服务态度很一般，真不建议大家入住~~就因为住的便宜，就能这样，实在是无话可说~~', '短评打分': 1}
{'短评内容': '总体感觉不错~', '短评打分': 5}
{'短评内容': '很好的房间，不错，性价比很高', '短评打分': 5}
{'短评内容': '小而精', '短评打分': 5}
{'短评内容': '很一般的酒店。', '短评打分': 1}
{'短评内容': '288 的特价房真的不值 不建议选择 ', '短评打分': 1}
{'短评内容': '不错的酒店，就是周围环境不太好', '短评打分': 5}
{'短评内容': '位置还可以，价位高了点，自助早餐价位太高了，周围饭店就一个大宅门还可以，没有其他好的就餐环境', '短评打分': 5}
{'短评内容': '我提前订的房间，但安排在噪音很大的房间，想调换一间，告知没有！无奈！', '短评打分': 1}
{'短评内容': '早餐、全聚德质量差。', '短评打分': 5}
{'短评内容': '我订了3间房，2个大床房，1个标间，大床房居然没有了，也没有跟我说一声，很是郁闷……屋里的味道很重，说不好什么味道，位置也没有想象中的好，距离地铁还是有一段距离的，走路至少15分钟，一般般的酒店吧……', '短评打分': 1}
{'短评内容': '还可以！很好！', '短评打分': 5}
{'短评内容': '和我原来对北京3星酒店的印象有很大不同.早年到北京,最大的问题是酒店的星也不低,价格和上海深圳相比也不低,但是进去后,实际差别很大.\r\n这次在瑞成,房间装潢和大堂电梯等方面,卫生条件, 装潢维护都可以达到3星的标准.\r\n虽然我在网上定的是大床商务标间,但是登记入房后发现还是双人间, 不知是哪里出错了. 看看房间还可以, 也就没有换了.\r\n瑞成有自助餐和全聚德, 早餐30, 晚上自助餐是60. 出门', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '宾馆不错，就是空调不是太好，晚上热，温度不能调，中央空调的，一般吧，不是特别满意，早餐还不错', '短评打分': 1}
{'短评内容': '本次入住11层，房间靠东面，很热，很闷，没有空调。\r\n普通标间面积太小，还不如桔子酒店和如家宣武门店呢。和如家普通的店差不多。\r\n早餐质量较差，价格却不低。酒店里只有全聚德餐馆，附近也没有什么合适的规模大一点的餐馆，十分不方便。\r\n下次不打算再住到这里来。', '短评打分': 1}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '方便、舒适、感觉很好', '短评打分': 3}
{'短评内容': '舒适、卫生、方便，感觉很好', '短评打分': 5}
{'短评内容': '酒店交通方便，出门就是车站，酒店对面还有一个超市，离100M左右还有一个商场和超市，价位不高，下次我住这家酒店。', '短评打分': 5}
{'短评内容': '商务差旅', '短评打分': 5}
{'短评内容': '楼内吃饭的地方有点贵，总体来说不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '服务不错，设施也不错。', '短评打分': 5}
{'短评内容': '还不错，就是单人间太小了，以后不住单人间了', '短评打分': 5}
{'短评内容': '服务卫生都很好!', '短评打分': 5}
{'短评内容': '总体说感觉很好，下次一定还会入住。', '短评打分': 5}
{'短评内容': '住过二次，总体感觉：不是很好，但是还好。下次还会再住', '短评打分': 5}
{'短评内容': '总台服务差', '短评打分': 5}
{'短评内容': '酒店整体很好，环境也不错，就是离地铁有点儿远', '短评打分': 3}
{'短评内容': '酒店整体不错，空调很足，装修偏旧不破，建议入住。', '短评打分': 5}
{'短评内容': '性价比不错，推荐入住', '短评打分': 5}
{'短评内容': '酒店里面有很大异味,好像发霉的味道,住着很不舒服,地理位置还可以,不过这种味道要是不除去的话,自己下次是不会再去住的.', '短评打分': 3}
{'短评内容': '位置还算好找.还不错,大床房很好.\r\n貌似多一个门厅,比较敞亮.', '短评打分': 5}
{'短评内容': '本人多次入住该酒店，后退键给朋友入住感觉确实不错，周边交通也很方便，每次是来都是开车，停车很方便，朋友外出逛街周边又849路、605路公交都很方便，在万寿路换成地铁也很方便，用餐有全聚德、大宅门、还有一些餐饮小店铺，出行很方便，很是喜欢、每次都会再次入住。', '短评打分': 3}
{'短评内容': '停车方便，服务也不错，地理位置很好。周围比较安静，每次来京都会住在这里。', '短评打分': 3}
{'短评内容': '停车比较方便，服务也不错，多次住在这里。', '短评打分': 5}
{'短评内容': '卫生服务方面做的非常好,很干净,呆着很舒适,但就是酒店的位置有点偏,不太好找.', '短评打分': 3}
{'短评内容': '位置不是很方便，房间设施陈旧', '短评打分': 5}
{'短评内容': '住宿一般，公寓的电源插座少、个别没电，餐饮方便、有全聚德、大宅门，离301医院近', '短评打分': 1}
{'短评内容': '酒店的服务还不错，硬件设施我觉得是非常不错的，而且性价比我觉得还可以，就是位置不是特别方便，因为他离公交，地铁站都有点距离，大概一公里的样子，其他都还好。', '短评打分': 3}
{'短评内容': '和预定时所说得有差距。', '短评打分': 1}
{'短评内容': '楼层不太好,位置还算可以,因为也是在北京,又离家近,基本上老家来人都会预定这家酒店,总体感觉还可以.', '短评打分': 3}
{'短评内容': '酒店设施比较差，空调不好，卫生一般，位置还可以，离301医院比较近', '短评打分': 1}
{'短评内容': '酒店各方面感觉都还可以,服务态度也蛮热情,性价比挺好的,没有遇到什么问题.', '短评打分': 5}
{'短评内容': '感觉这个酒店还挺好的，像是他们房间里挺干净，准备的用品家具挺齐全的，而且交通很方便，服务也比较周到。', '短评打分': 5}
{'短评内容': '本人2年前住过，当时不错。前几天给朋友预定的，反应不好，说从机场出来很难找，半天才找到，洗澡时水往出跑，很不方便，就住一天也没有必要找人修了，反正几个小时就将就住了，下次不想去了。', '短评打分': 1}
{'短评内容': '这个离我要去的地方比较近，而且离机场也不太远，来回四环很方便，作为三星级酒店来说，他的硬件设施和环境都不错，服务也挺好的。', '短评打分': 5}
{'短评内容': '酒店整体感觉都还挺不错的,房间很干净,价格也不是很贵,只是当时安排的房间位置不太好,早上有些吵', '短评打分': 5}
{'短评内容': '好,推荐给朋友', '短评打分': 5}
{'短评内容': '我对这家酒店很满意,环境卫生都很不错,硬件也很好,位置出行也很方便.', '短评打分': 5}
{'短评内容': '酒店的服务和卫生还不错，就是房间里的装修和布局太旧了，不行，但是位置也很不错，交通方便。', '短评打分': 1}
{'短评内容': '酒店交通方便，价格合适（08年9月特价房158元），服务小姐态度不错。周围有许多价格便宜的小吃店。', '短评打分': 5}
{'短评内容': '酒店的位置非常好,出行非常方便.环境卫生都很不错,价格也很优惠.就是设施稍微有些偏旧了.', '短评打分': 5}
{'短评内容': '酒店档次不错，大厅很好，但是房间效果不好。', '短评打分': 1}
{'短评内容': '挺好的，各方面都不错', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '三星像二星', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '服务相对比较好，卫生还可以，室内安静，没有额外的打搅，如有机会下次将再次入住。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '客房的暖气供应很不足', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '房间有异味 怀疑是下水道泛水的味道 要一直开着通风', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;周围有没有比它性价比高的酒店呀&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;总体感觉还行。价格适中，房间内比较干净。吃饭有时让人受不了，等的时间太长，服务一般。千万别提上网。一个字&amp;#8220;贵&amp;#8221;。出行还比较方便。&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '服务太差，以后一定不会住了', '短评打分': 1}
{'短评内容': '我住的是两居室，感觉不错！设施齐全，房间舒适，有一张大床和2张单人床，适合3-4个朋友一起住！房间内什么都有，很有家的感觉！就是价钱贵了点，要600块！', '短评打分': 5}
{'短评内容': '感觉一般,服务态度端正,就是还要提高服务效果', '短评打分': 3}
{'短评内容': '可能是301医院附近最好的三星级酒店了.', '短评打分': 3}
{'短评内容': '房间内部还不错，空调不是很好，我6月8日10日住了三天。有电话服务。', '短评打分': 5}
