{'短评内容': '挺好，不错，服务一直都特别周到', '短评打分': 5}
{'短评内容': '最近这段时间真不能住了。全是甲醛味。不过刀削面真的不错。而且很便宜。才6块一碗。', '短评打分': 3}
{'短评内容': '酒店整体环境比较好，内部设施好，房间卫生干净，服务到位，房间比较安静，网速很快，酒店比较新，早餐非常丰富，值得推荐。', '短评打分': 5}
{'短评内容': '硬件很好，房间布置的很舒适，床很大很舒服，早餐也丰富。就是位置稍偏，打车的时候司机都找不到。总之这个价格很值得。', '短评打分': 5}
{'短评内容': '酒店挺好的，就是确定的手续办的太慢，我到酒店后不能马上入住。', '短评打分': 3}
{'短评内容': '该酒店性价比较高，早餐很好，服务不错，装修较新，下次还住！', '短评打分': 5}
{'短评内容': '总体硬件非常好，但入住时，前台服务很让人反感，有待提高', '短评打分': 5}
{'短评内容': '  大同王府至尊酒店是我住过所有酒店里面性价比最好的一家，服务很人性化，如果是自\n\n驾车的话，酒店的免费地下停车场里还有酒店的电瓶小巴可以把客人从停车位直接送达电\n\n梯口，（因为这个停车场比较大，而且车位很充足）。\n\n    酒店的房间设施一流，为宾客想的很周到，例如保险箱、电吹风、浴袍等等，很贴\n\n心。\n\n  酒店的早餐相当丰盛，餐厅也富丽堂皇。位于27层的商务酒吧有来自菲律宾乐队的精彩\n\n演出', '短评打分': 5}
{'短评内容': '性价比不错的酒店！总的来说还行！', '短评打分': 3}
{'短评内容': '性价比还可以，就是服务和硬件设施还肯定不够五星级的标准。', '短评打分': 5}
{'短评内容': '性价比总体来说还行，服务员也都很好。就是觉得不够五星级标准。', '短评打分': 5}
{'短评内容': '价位还可以不算高，但是房间的装修和硬件设施，根本不够五星级酒店的标准。', '短评打分': 5}
{'短评内容': '酒店房间很宽敞，比预想的大，干净整洁，还比较满意，老公说下次来还住这里！', '短评打分': 5}
{'短评内容': '一个新酒店，总体感觉都不错，7楼的餐厅也不错，味道不错，价格也不算贵', '短评打分': 5}
{'短评内容': '绝对物超所值，环境十分的好，早餐也很不错，就是房间有点太热，晚上没有休息太好。', '短评打分': 5}
{'短评内容': '350定的商务大床，总的来说很值.貌似是五星级，装修很好，透着豪华，也比较舒适，就是一些细节上需要继续改善，比如房间里大部分电源插座都没电，房间里都是小灯，所有的灯都开了也没法让整个房间亮堂起来，中央空调也不给力。酒店位置也不错，离大同最繁华的地方不远，离高速入口就3~4公里，去主要的景点都挺方便，另外特别值得一提的是自助早餐，花样繁多，中西餐应有尽有，单独去吃的话估计150/人都拿不下来。总之以', '短评打分': 5}
{'短评内容': '酒店设施非常好，很新，很卫生，服务态度优秀，值得一住，由于是新酒店所以价格很优惠可能是最便宜的5星酒店了吧。下次来还会住。', '短评打分': 5}
{'短评内容': '特别好的酒店，新装修的五星级，美中不足的就是没有浴缸，其他都无敌了，位置也好交通也方便，出了京大高速没多远就能找到，周围有两个不错的餐厅，一个叫老爷庙风味食府，一个叫凯鸽酒楼，都是好吃不贵型，酒店性价比算是很高的，休闲套间住三四口人没问题，房间也大，洗澡水也好，服务也都很好，才350一晚便宜的要死啊！', '短评打分': 5}
{'短评内容': '很新的酒店，床很舒服，房间够大，早餐不错。', '短评打分': 5}
{'短评内容': ' 方便, 但隔音不好', '短评打分': 3}
{'短评内容': '服务非常好，餐厅也很好。很满意。确实五星级的服务！是挺好的。', '短评打分': 5}
{'短评内容': '新开的5星级酒店，服务和设施都不错，相当超值。', '短评打分': 5}
{'短评内容': '房间不错,价格公道,很满意。', '短评打分': 3}
{'短评内容': '很不错，环境，服务，卫生都非常好，超值呀！', '短评打分': 3}
{'短评内容': '房间大，装修好，物超所值。还会选择入住。价格也比较公道。', '短评打分': 5}
{'短评内容': '在试营业阶段，价格很实惠，就是在细节上还是做得不够,希望能够改进。。。。。。。。                                                                             ', '短评打分': 5}
{'短评内容': '电视效果差、很多台看不清，浴室下水堵，服务反应慢，地下停车场像迷宫、指示不清。失望之至', '短评打分': 3}
{'短评内容': '房间气味重', '短评打分': 3}
{'短评内容': '有钱就去住，大同硬件设施最好的酒店，那叫一个爽啊！！！！但有一件事我没搞明白，第一天我们住的时候和第二天去吃早餐的地方不一样，最重要是第一天明显高过第二天，道理都反过来了？？？', '短评打分': 5}
{'短评内容': '酒店硬件条件不错，房间比较干净。服务也还可以，价格不贵。值得一提的是商务套房，一家三口住正合适。一张大床间加一个单人间就不用加床啦', '短评打分': 5}
{'短评内容': '该酒店为新装修的，硬件较好，早餐还行，服务也不错，下次还会住这里。', '短评打分': 5}
{'短评内容': '该酒店为新装修的酒店，房间面积较大，早餐不错，服务也很好！值得一住！！', '短评打分': 5}
