{'短评内容': '酒店较老', '短评打分': 4}
{'短评内容': '入住的房间窗户都关不上，门卡不能使用，对于非自驾游游客不推荐，打车不方便', '短评打分': 1}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '+交通实在不便,打车要走一公里,好多的哥都不知道具体位置!活似世外桃源!非自驾车建议不要去!', '短评打分': 5}
{'短评内容': '地理位置还是很好的，距离极地海洋管特别近，门口大坡走下去，就可以直接走到极地海洋馆，然后可以在附近的海边走一下！位置还不错，相对来说你想在极地海洋馆附近玩的话！', '短评打分': 5}
{'短评内容': '价格还不错，就是周边环境不太尽如人意，不方便打车。', '短评打分': 1}
{'短评内容': '安静，有点不方便', '短评打分': 5}
{'短评内容': '位置太崩溃了 半山腰  十分不好找...如果要是自己不开车的话 不推荐去 因为出租车都找不到的地方.....不过价位来说挺实惠了 在青岛...服务一般 卫生一般 早餐不错：）', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很一般很一般的地儿  不会推荐给朋友', '短评打分': 1}
{'短评内容': '没有网络，很不方便，应该要增加', '短评打分': 5}
{'短评内容': '位置比较偏，但是性价比高，很舒服。', '短评打分': 5}
{'短评内容': '住着觉得比较安全，位置不好找，我们是两个女生，住的比较放心', '短评打分': 5}
{'短评内容': '服务比较差，前台冷冰冰的，环境也不好，晚上走廊都没有灯，位置也很不好，交通不方便，到公交站最少要走800米，打车都不方便 ', '短评打分': 3}
{'短评内容': '位置有点偏，不好找，到出问不好问，从价格来说还是蛮便宜的，因为属于部门的，内部的设施有点陈旧了', '短评打分': 3}
{'短评内容': '设施比较陈旧,硬件设施还是不行房间也显得老化了,服务一般,位置有些偏.价格比较适中一些,总体感觉还是比较一般的酒店.', '短评打分': 3}
{'短评内容': '推荐入住都是骗人的 卫生条件之差 头一天入住马桶好脏都是尿还发霉 第二天入住卫生间都没清理 杯子也没洗 床单脏了也没换 地板没吸 第三天入住更扯完全都没整理 请他们的人员来打扫还一副他们没错的态度 且也只是把床单拉平垃圾带走而已 要求吸地板还跟我们说一客一吸 意思是说不管你入住几天都不会有人来打扫 直到你离开才会来整理 就自己看着办吧 且管理人员的素质差比一个打扫卫生的服务员的素质更差.', '短评打分': 1}
{'短评内容': '离海边的位置较近，宾馆位置不太好找，位置太靠里。标准间空间较小，卫生间设施较简陋。离市中心15公里左右离崂山35公里左右，旅游旺季自驾游的话在此居住还算合适。宾馆下方大渔港酒家还是很不错的，海鲜相对较便宜，菜量很大。', '短评打分': 5}
{'短评内容': '我是天津的游客,在09年10.01期间在网上预定的这家宾馆,价格不到200,地理位置离海边才不到3km,因为是自驾游所以这样的距离很近了!卫生和环境都很不错,最重要的是外地的游客在这里感到非常的安全,因为是部队宾馆嘛!人也不是很多!真的很好!下次去还住这里!!!', '短评打分': 5}
{'短评内容': '如果您实在是找不到宾馆，不妨住一夜。', '短评打分': 1}
{'短评内容': '如果您看了有关这家酒店的好评,那绝对不能相信。它地理位置极其偏僻，离崂山35公里，距市中心至少15公里，没有什么所谓的海景房，也不会是有什么评级的星，不过就是一个部队招待所，前店服务人员态度极差，连刷卡先付房费都予以拒绝，晚上走廊一片漆黑，电话不能拨外线，打800开头的免费电话也不行，早餐到处飞苍蝇，所以介绍这家店的纯粹就是一托，Elong也是一家极差的网，它们的接电人员根本就不知道任何一家酒店的', '短评打分': 1}
{'短评内容': '不会再住了', '短评打分': 1}
{'短评内容': '位置偏僻，出租司机都不知道的酒店，酒店设施非常陈旧，深夜入住酒店都不开门。连挂牌二星的标准都不够，就是军队的一个招待所，还不如找私营酒店，评价上说2008年开业根本就是在瞎说。', '短评打分': 5}
