{'短评内容': '非常满意哦', '短评打分': 5}
{'短评内容': '如家的环境是没有说的了，就是汽车导航的时候，找不到具体地址，很郁闷，估计是导航系统需要升级了，呵呵.\n另外建议酒店在地址后面注明是老汽车南站：）', '短评打分': 5}
{'短评内容': '挺不错，交通方便，附近小吃挺多。服务也不错。', '短评打分': 5}
{'短评内容': '在价格方面还不错，服务也可以，前台服务员的素质比较高，很客气！', '短评打分': 5}
{'短评内容': '酒店很干净舒适，价位适中，出差住还是值得去的。', '短评打分': 5}
{'短评内容': '很干净 很好 是比较好的如家了 很干净 很好 是比较好的如家了', '短评打分': 5}
{'短评内容': '服务不错，房间较小，吃东西方便', '短评打分': 3}
{'短评内容': '不错。价格优惠。环境好。服务周到，下次去还会光顾', '短评打分': 5}
{'短评内容': '感觉不错， 下次还来。环境优美，交通方便。', '短评打分': 5}
{'短评内容': '价格便宜，环境也不错，可以考虑住住……………………', '短评打分': 5}
{'短评内容': '不错，蛮好的，下次去还到这，这是我值得回忆的地方', '短评打分': 5}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '第二次入住了，还是一如既往的干净，房子有点小，整体还是不错的。', '短评打分': 5}
{'短评内容': '环境和服务都不错，就是房子小了点，临街的一边 会有点小噪音，不过影响不太大', '短评打分': 5}
{'短评内容': '开的时间不长 设施都比较新 这一点比较满意 就是大床房的话 真的就一个床 没有什么空间了 不好活动 来了人坐的地方都没有 只能是睡觉', '短评打分': 5}
{'短评内容': '房间很温馨，前台服务态度不错，早餐还可以，推荐入住！', '短评打分': 5}
{'短评内容': '很干净，还不错，只是感觉有点贵，呵呵~~如不是服务好这个价我还真不会选这间酒店。。。', '短评打分': 5}
{'短评内容': '酒店是新的,感觉特别舒服!被子特别软.很舒服', '短评打分': 5}
{'短评内容': '位置很方便，一下长途客运站就可以找到宾馆，而且房间也不错，干净卫生，可惜房间有点小。', '短评打分': 5}
{'短评内容': '位置方便。干净卫生。房间很小。但是还好。', '短评打分': 5}
{'短评内容': '非常好！看起来很舒适很干净，心情特别好，这是我第一次住如家，不错，顶！', '短评打分': 5}
{'短评内容': '如家感觉最好的是床，特别是被子和枕头，让人感觉特别舒服，睡眠特好', '短评打分': 5}
