{'短评内容': '无早餐', '短评打分': 5}
{'短评内容': '酒店很好，服务也很好，比以前好多了请勿发表违反国家法律的言论。) \n', '短评打分': 5}
{'短评内容': '唯一好的 是 离医院挺进的。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，环境很好,挺干净的。等立交造好了就更好了', '短评打分': 5}
{'短评内容': '环境不错，就是离市区太远了,房间很干净，卫生做的不错，呼吸新鲜空气很好', '短评打分': 5}
{'短评内容': '服务态度不错，就是有点偏僻，附近超市什么的都没有。', '短评打分': 5}
{'短评内容': '虽然卫生条件 和房间总体不错 但是离市区太远 而且管理有待改善 半夜被人敲门惊醒 一晚上没睡好', '短评打分': 1}
{'短评内容': '房间还是比较大的。坏境也还好、卫生间还不错。就是没有浴缸、', '短评打分': 5}
{'短评内容': '服务态度可以,卫生也不错', '短评打分': 3}
{'短评内容': '价格比较合适，房间很大，快捷酒店中算是不错的了，推荐', '短评打分': 5}
{'短评内容': '房间还比较干净，晚上不是太吵，就是太远了。', '短评打分': 5}
{'短评内容': '酒店性价比可以，同事出差住了以后感觉不错。', '短评打分': 5}
{'短评内容': '还好的，就是水太小了，服务员的态度也可以，房间比较清洁', '短评打分': 5}
{'短评内容': '房间挺干净，就是离市区远了点,不过在国庆长假内，能定到不错了', '短评打分': 5}
{'短评内容': '环境比较干净，装修也舒适，就是水龙头比较小，开关标识弄错了，临马路的有点吵', '短评打分': 5}
{'短评内容': '酒店设施还好，就是热水量压力小了点', '短评打分': 3}
{'短评内容': '酒店还行，价格也还可以，就是地方很偏加上前台不能刷卡消费，很郁闷', '短评打分': 5}
{'短评内容': '房间挺宽敞，窗外环境也不错，就是离景区太远，好在有换乘的公交车， 也还算方便，只是——浴室是透明的，很是尴尬啊！前台小姐欠缺基础服务礼仪教导！', '短评打分': 3}
{'短评内容': '还不错，就是空调不好，老有响声了，房间通风也不怎么的~', '短评打分': 5}
{'短评内容': '位置离西湖景区太远了，太远了。。。不过酒店内的环境还不错。', '短评打分': 1}
{'短评内容': '环境还好是靠电梯的房间。虽然价钱还算合理但我们逛完西湖花了两个半小时才到店。', '短评打分': 5}
{'短评内容': '交通不便，离车站很远，其他设施还可以，个人不推荐', '短评打分': 1}
{'短评内容': '+服务很差，服务员一点耐心都没有，环境很嘈杂搞的人一晚没睡着!不知道怎么有这样的宾馆的，下次再也不定了!', '短评打分': 5}
{'短评内容': '+非常好!热情', '短评打分': 5}
{'短评内容': '服务尚可,路边房噪音较大!', '短评打分': 3}
{'短评内容': '酒店总体还不错，就是卫生间有些设施需要改善，淋浴龙头的架子是坏的，水较小。', '短评打分': 5}
{'短评内容': '感觉前台不太专业，靠马路比较吵，卫生方便还是蛮干净的', '短评打分': 3}
{'短评内容': '离我家很近，里面的设施配置很超值。朋友来，下次还会去住的！', '短评打分': 5}
{'短评内容': '卫生方面还算干净，位置太差了，床不太舒服，隔音太差！', '短评打分': 1}
{'短评内容': '现在是续住的，连续住了四天，不错。晚上也挺安静的', '短评打分': 5}
{'短评内容': '环境卫生，不错。房间够大。只是位置稍为偏点', '短评打分': 5}
{'短评内容': '已入住格林豪泰石橋店，房間還不錯，就是感覺前臺很不專業', '短评打分': 5}
{'短评内容': '酒店不错就是比较远', '短评打分': 5}
{'短评内容': '房间不错，价格便宜，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '房间卫生干净，大厅看到太简单，地点比较偏了一点，其他都不错', '短评打分': 3}
{'短评内容': '房间卫生干净，大厅看到太简单，地点比较偏了一点，其他都不错', '短评打分': 5}
{'短评内容': '感觉不错，位置稍偏', '短评打分': 5}
