{'短评内容': '还不错，特价的时候买的', '短评打分': 5}
{'短评内容': '里面的节目不错，房间差了点，不值这个价格', '短评打分': 5}
{'短评内容': '。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '价格相对大众便宜，可以返京豆', '短评打分': 5}
{'短评内容': '酒店非常棒。在景区里非常方便。价格还可以接受。几个餐厅也都非常不错。', '短评打分': 5}
{'短评内容': '早餐味道好！', '短评打分': 5}
{'短评内容': '还可以还好寒假订的早，不然鬼死，缺点，吃的太坑', '短评打分': 5}
{'短评内容': '酒店很棒，喜欢！', '短评打分': 5}
{'短评内容': '酒店环境一级棒，客房整体也很不错，就是隔音有点差。', '短评打分': 5}
{'短评内容': '果然名不须传，京东价格也不错！', '短评打分': 5}
{'短评内容': '酒店服务很好，设施有些旧了，可能因为开业很多年了吧', '短评打分': 5}
{'短评内容': '孩子喜欢，老婆喜欢，这就可以', '短评打分': 5}
{'短评内容': '儿童趣味比较强，适合亲子游。但是酒店入住的人太多，并没有感受到太多五星级酒店的服务', '短评打分': 5}
{'短评内容': '很成熟的酒店，设施完善，食物不错。就是白虎自助餐厅真叫人不爽，留下遗憾，服务人员态度不好。因为小朋友早歺没吃什么，怕等下会肚子饿，就拿袋装了两件小蛋糕，有位姓刘短发女领班看到后语气生硬的说不能外带然后我就解释说只给小朋友留的，她就说不给，然后还放在桌边不拿走，我一生气就让她给拿走，别放在桌边眼不见为净。我9:30才到，自助餐十点结束，就拿两件小蛋糕，都不通融，我花真金白银来吃，居然这种态度，不是星', '短评打分': 5}
{'短评内容': '房间太臭了，可能是开的时间比较久了，没翻新过', '短评打分': 5}
{'短评内容': '房间阳台直接能看到白虎和白鹳，风景很赞，值得家庭亲子游', '短评打分': 5}
{'短评内容': '酒店干净整洁，去长隆玩很方便！', '短评打分': 5}
{'短评内容': '不错，就是价格浮动太大了！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '各方面都满意的全五星酒店，从环境到服务，孩子很喜欢，定时会有长隆的吉祥物卡卡和琦琦在大堂跟小朋友们合影，还会有小丑给孩子们现场制作气球，孩子开心的不得了～酒店大堂有卖门票的地方，可以打九折，如果住宿珠海的酒店，可以预定免费巴士到珠海长隆，非常方便！', '短评打分': 5}
{'短评内容': '999\n【铁路客服】12306用户注册或既有用户手机核验专用验证码：595575。如非本人直接访问12306，请停止操作，切勿将验证码提供给第三方。\n【铁路客服】(2/2)利川13:53开。\n【', '短评打分': 5}
{'短评内容': '酒店很高大上，设施还算新，卫生一般，屋子里有一点点霉味儿，地点就在度假区内，去玩很方便。但是服务就实在不敢恭维了，基本上没见到一张笑脸。这个档次的酒店实在与这种服务不相匹配啊！', '短评打分': 4}
{'短评内容': '非常满意，下次还会入住！', '短评打分': 5}
{'短评内容': '非常不错的酒店，适合带小孩玩，已经第二次来了，以后还会来。', '短评打分': 5}
{'短评内容': '很喜欢长隆酒店，吃住都不错', '短评打分': 5}
{'短评内容': '各方面都不错，以后渡假的常住酒店', '短评打分': 5}
{'短评内容': '很好玩，孩子玩的很开心，酒店住宿也舒服。', '短评打分': 5}
{'短评内容': '整体看下来服务还不错 硬件不错 环境不错 ', '短评打分': 4}
{'短评内容': '元旦期间人数较多，办理入住大概半小时，但前台服务员耐心讲解细节。房间很舒适，生活用品也很到位。', '短评打分': 5}
{'短评内容': '服务和环境可以！物有所值', '短评打分': 3}
{'短评内容': '帮别人定的，她去年也是住的这家酒店感觉很好。', '短评打分': 5}
{'短评内容': '清洁、环境都好，带小孩出来玩又方便，不过中餐厅收费就有一点不对哟！收了15%服务费还要收茶位费，这不是收重复了吗？并且小孩不到1米也收,这是怎么收费呀!', '短评打分': 5}
{'短评内容': '带小孩出来番禺玩住长隆是方便的哟！清洁环境又好！', '短评打分': 5}
{'短评内容': '设施齐全，环境很好，适合带孩子旅游度假。水上乐园又增加了四个新项目。巨洪峡很好玩，建议可以买夜场票入园，人少，不晒，价格还便宜！', '短评打分': 5}
{'短评内容': '酒店不錯的去長隆玩2天住就合適距離四大園區的距離都比較近。就是不要假日去太多人拉', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '环境很不错。前台服务人员服务态度很好。因为是夏天去的，挺有夏威夷风格', '短评打分': 5}
{'短评内容': '其他挺好，就是交通太不方便了！!!!!!', '短评打分': 5}
{'短评内容': '刚过去的周末，带女儿入住长隆酒店。大床房1698元/晚，且不含早。我个人认为，如果不是要去长隆若干个游乐区玩，千万不要住这里，因为酒店的走廊里有很强烈的动物的味道，令人略有窒息感。\n因为，比这个价格低50%，在附近能找到特别好的酒店。\n\n但是，如果你别无选择，非要在周六日带孩子到长隆的动物园、欢乐世界、水上乐园玩，一定要住在这里。它能提供VIP通道，节省你大量的排队时间，这是别的酒店无法比拟的。\n', '短评打分': 1}
{'短评内容': '环境很好，小孩和老人玩起来很方便，下次找机会再来', '短评打分': 3}
{'短评内容': '很不错的酒店，去各项游乐设施很方便，不愧是一流的主题酒店', '短评打分': 5}
{'短评内容': '酒店不錯值得入住', '短评打分': 3}
{'短评内容': '很好的酒店。这次帮朋友订的，也是很称赞。就是周末的价格不便宜。', '短评打分': 5}
{'短评内容': '很好！很舒服！适合家庭出游！节假日人流较多！', '短评打分': 5}
{'短评内容': '这酒店真的不错，非常豪华服务也好，在酒店的白虎餐厅吃饭一边可以看见白虎另一边可以看见火烈鸟，而且只要是住该酒店并且订门票不仅有VIP绿色通道，还可以享受两天无数次入园，比以前住在长隆外面好多了，下次去还会选择入住该酒店的。', '短评打分': 5}
{'短评内容': '酒店人员的素质很不错，值得推荐。下次值得入住', '短评打分': 5}
{'短评内容': '酒店環境幽雅有特色，房間夠大非常舒服，餐廳的東西都相當不錯！', '短评打分': 5}
{'短评内容': '我们还没入住酒店。', '短评打分': 3}
{'短评内容': '酒店很大很漂亮', '短评打分': 3}
{'短评内容': '就是个景区，做的还不错，有点贵哈', '短评打分': 3}
{'短评内容': '很有主题特色的一间酒店，已经带小朋友去过两次，每次小朋友都很喜欢。', '短评打分': 5}
{'短评内容': '帮朋友定的，他们没来过，我介绍他们来玩一下', '短评打分': 3}
{'短评内容': '每年来两次，很好，不错', '短评打分': 3}
{'短评内容': '我们一家到前台被告知我们订好的狩猎房已经全部没房了。另外安排一间野趣房给我们，但到下午三点半我们进房间都是未清洁卫生的。其他方面还算可以。', '短评打分': 3}
{'短评内容': '真不错。。会员尊享狩猎房。。太舒服了。。推荐。。服务环境都一流。', '短评打分': 5}
{'短评内容': '舒服！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '每个房间都对着泳池，房间大舒适，服务好。还会来。', '短评打分': 5}
{'短评内容': 'Good for vacation! It would be better if the room price is lower than I expect.', '短评打分': 5}
{'短评内容': '酒店环境不错，价格偏贵。', '短评打分': 3}
{'短评内容': '很不错的酒店，环境很好。只是房价有点贵。以后还会来的……', '短评打分': 3}
{'短评内容': '利用高铁就要选择。很近，很方便而已。利用高铁就要选择。', '短评打分': 5}
{'短评内容': '房间很大，离广州南站近才入住，不然的话，不会选择。但，就是很近。利用高铁就要选择。', '短评打分': 5}
{'短评内容': '离广州南站近才能入住的。没办法。前台和房间的距离很远很远，很累很累的，小心点。入住时要求离前台很近的房间。要不然累得要命的。', '短评打分': 5}
{'短评内容': '酒店是第三次住了，觉得配套越来越来完善，下次还来。', '短评打分': 5}
{'短评内容': '很好，配套完善，住得很舒服，房间大，餐饮也很方便。', '短评打分': 5}
{'短评内容': '长隆服务超优，环境够南国，酒店夜晚要是有烧烤自助及表演就更棒啦', '短评打分': 3}
{'短评内容': 'Good! My wife and kids had a lot of fun there. ', '短评打分': 5}
{'短评内容': '很好的酒店，环境好，出行、游玩都很方便，第二次如住了，感觉还是一如既往的好。', '短评打分': 5}
{'短评内容': '非常舒适的酒店，环境好，服务好，玩长隆几大乐园非常方便，下次还会入住，谢谢', '短评打分': 5}
{'短评内容': '酒店还可以，但是节假日人太多了，感觉大厅象市场，登记入住排队好久', '短评打分': 3}
{'短评内容': '五星酒店名至实归。 近地铁口，交通方便。又有免费穿梭巴士到长隆野生动物园，很方便。', '短评打分': 5}
{'短评内容': '酒店挺好的，家庭房', '短评打分': 3}
{'短评内容': '不错，环境很好，空气新鲜，房间宽敞舒适。', '短评打分': 5}
{'短评内容': '酒店的硬件还算不差.可能是因为太大和人太多了.想纯粹度假肯定不是首选.跟家人来玩倒是不错.两天的时光挺开心的,最后一天忘记了停车场的路.见到一个女的服务员上前想问她居然不肯停下脚步来回答我的询问,让我追了一阵子才不情愿的回答我.当时真想骂人.但想想带着小孩就算了.', '短评打分': 5}
{'短评内容': '环境不错，很有度假的感觉，贵点也值？', '短评打分': 3}
{'短评内容': '酒店位置、房间条件和景观上佳，最适合长隆一条龙游玩吃住。', '短评打分': 5}
{'短评内容': '去乐园玩非常方便，房间很大，床也很舒服，狩猎房后面还能看到动物', '短评打分': 5}
{'短评内容': '很好，谢谢，亲友很高兴\n希望下次再来\n不过不含早就可惜了', '短评打分': 5}
{'短评内容': '昨天刚刚入住了该酒店，可能是因为以前有朋友推荐说这个酒店相当不错，而且在网上看到得点评都非常好，而且觉得这样的酒店价格，在国内怎么都应该是非常好的，所以入住之前就有期待，但实际入住觉得酒店硬件设施还算不错，但是酒店的管理感觉跟香港的迪士尼酒店有相当的差距，同样是主题酒店，但是在长隆的感受跟普通的酒店没有什么区别，除了酒店里面养了老虎和一些珍稀鸟。而且同样是五星级来看，长隆酒店的服务态度也觉得没有经', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 3}
{'短评内容': '酒店价格昂贵，服务态度差，管理混乱，还不送早餐。。。不会再去的！', '短评打分': 1}
{'短评内容': '环境优美，空气清新，有虎啸鹤影，实在美不胜收啊。强烈推荐', '短评打分': 5}
{'短评内容': '酒店各方面都是没得说，很棒！白虎餐厅其实没有想象中好玩，和一般星级餐厅差不多而已。', '短评打分': 5}
{'短评内容': '每年来两次，感觉很好，不错，吃喝玩乐齐全。', '短评打分': 3}
{'短评内容': '不錯，值得推介,到廣州參展時候還會選擇！', '短评打分': 5}
{'短评内容': '每次广交会都住这家酒店，看来客人住得很好。', '短评打分': 5}
{'短评内容': '广交会期间价格比平时高,但是性价比相对来说还是非常高的;自助早餐种类很多,酒店到展馆的巴士坐得很舒服;晚间的大马戏很好,就是价格太贵了,去年才180,今年居然涨到250', '短评打分': 5}
{'短评内容': '很喜欢的一家酒店，服务态度很好，房间也很不错，酒店全部覆盖免费无线网络，很是方便，白虎餐厅真的可以与白虎共进早午晚餐，很有意思~', '短评打分': 5}
{'短评内容': '在度假村里 幽静 根据经验 在中国软硬件可以算得上豪华酒店', '短评打分': 5}
{'短评内容': '在度假村里 幽静 空气好 被绿树环抱 \n白虎餐厅的自助晚餐很好 早餐可就太贵了点。。。。', '短评打分': 5}
{'短评内容': '广交会期间入住的 相对这个时间 价格不错 服务 环境 都很好 在度假村里头', '短评打分': 5}
{'短评内容': '一如既往的好酒店，房间很大，很现代。去广交会馆方便，有主题公园，可以游玩，到机场有大巴。', '短评打分': 5}
{'短评内容': ' 前台还需培训,入住人名弄错,改房多出600', '短评打分': 3}
{'短评内容': '酒店空调是坏的，投诉后一直没有人来维修。性价比还不如旁边维也纳180元的房间高。', '短评打分': 1}
{'短评内容': '酒店性价比高，五星！房间面积也较大，交通也比较便利！大部分是度假用途！总感觉很不错！', '短评打分': 5}
{'短评内容': '酒店环境非常好，特别是周围的自然环境，小朋友们很喜欢。而且在酒店里到各个景点都有穿梭巴土，很方便', '短评打分': 5}
{'短评内容': '适合带小孩入，小孩去附近动物园和水上时间游玩比较方便，但是宾馆的吃住总体比较贵，性价比不大好。', '短评打分': 5}
{'短评内容': '在五星酒店里面，性价比算是不错的啦。\n房间大，设施好，还有动物看。\n唯一不好的地方是，自助餐居然70公分以上的宝宝就要收费了，在大多数的酒店，起码三岁以上才要收费吧，我女儿75公分，收了自助早餐48块，其实啥也没吃上，又不能把她一个人丢在外面吧，太不合理了。', '短评打分': 5}
{'短评内容': '环境很好吖', '短评打分': 3}
{'短评内容': '非常好的酒店，住过不少五星，这家感觉最贴心，无论是酒店和园区的配套，还是服务人员亲切的感觉，都让人觉得很舒服~', '短评打分': 5}
{'短评内容': '很有氣派的酒店, 設施五星水準, 中庭可以看到白老虎, 站在房間露台可清晰聽到不同雀烏高歌, 感覺很好. 唯一白虎餐廳自助早餐收費不合理, 身高不到一米高的小孩,仍要收費. ', '短评打分': 5}
{'短评内容': '真的很棒, 簡直就像生活在森林裡一樣, 遊樂設施也非常齊全, 下回有機會一定還要再來的.', '短评打分': 5}
{'短评内容': '酒店非常好，房间，服务和设施都很棒，定套票房很划算哦~~', '短评打分': 5}
{'短评内容': '春节在长隆过得挺开心的，酒店服务也不错，值得推荐。', '短评打分': 5}
{'短评内容': '春节入住的。酒店环境不错，住的标准间，房间设施不算新，周围景区适合一家老少游玩。', '短评打分': 5}
{'短评内容': '酒店不错，环境很好。自助餐不错，很丰富比静雅强多了！', '短评打分': 5}
{'短评内容': '服务很好~~~~~~~服务很好~~~~~~~服务很好~~~~~~~服务很好~~~~~~~', '短评打分': 5}
{'短评内容': '1.酒店还蛮大的，check in、out都挺顺利的，前台MM、服务员都很热情，住一晚只收了房费也没有收押金，到酒店后可以补钱升级房间\n2.前往动物园、大马戏、欢乐世界都很方面，酒店都有免费的车子接送，去地铁站也很方便呢，去机场也是\n3.24小时的room ser很窝心\n4.价格偏高尤其是在周末的时候', '短评打分': 5}
{'短评内容': '酒店环境很好。特别是新翼装饰悦目～希望以后酒店能和主题公园做套票。方便入住及游玩。', '短评打分': 5}
{'短评内容': '我春节去深圳和广州度假旅游玩了10多天，住的都是五星级酒店，住得最满意，最舒服的就是广州广交会威斯汀酒店，100分，百分百超值，虽然地方偏一点，但有地铁直达，也很方便。广州长隆酒店就差了一些，比较旧了。还有广州地中海国际酒店 ，装修是不错，但没有窗，太闷了。还有最差的就是广州凯荣都国际大酒店 ，那还号称是五星级酒店，骗人的，本身就和普通的旅社一模一样，太差了。', '短评打分': 1}
{'短评内容': '环境那是没得说,真的不错,到店后说是升级到新的房间,但房间插电竟然出了问题,不过只是小小的不快,一闪而过.卫生很好,吃得很快,建议坐免费观光车到长隆地铁站,然后去市桥吃,便宜又好.', '短评打分': 5}
{'短评内容': '长隆酒店环境优美，服务热情，适合全家旅行，离动物园游乐园近，唯一不足就是装修较新，味道有点大。', '短评打分': 3}
{'短评内容': ' 酒店的中餐厅東西很好吃，又卫生。', '短评打分': 3}
{'短评内容': '酒店很好，环境不错，可以推荐。适应各类群体，看大马戏最方便。\n', '短评打分': 5}
{'短评内容': '干净、安静、服务非常好、设施非常好，推荐!!', '短评打分': 5}
{'短评内容': '非常不错，本来订的高级房，前台靓女免费升级野趣房，服务很好，环境也很舒适，很适合一家三口出游，提醒大家如果要去长隆各个景点游玩的话，长隆景点的套票（比如家庭套票，双人套票)比其他方式提前订票还要划算，所以只要订房就可以了，不要去买什么网上出售的自由行套餐。', '短评打分': 5}
{'短评内容': '到景点方便,安静,卫生好,硬件陈旧,还算达星级,但软件太,太,太,太...不足:一家大小一起去住几天休息,网上订加床100一晚,到店前台想在另一间房也给小孩子加张床,竟然要280一晚,不就一个电话吗? 老人嫌枕头太底,多要一个回答用完了,一说要投诉,给了两条浴巾过来,哭笑不得. 家人坐轮椅行动不变,上下自带的商务车要司机搀扶,主楼门口保安员工竟然每次一看见司机下车就催赶,不帮忙也不叫行李员. 睁眼', '短评打分': 1}
{'短评内容': '酒店安静,空气好。小朋友很开心', '短评打分': 3}
{'短评内容': '酒店房间和床很大，周围环境也不错，只是吃的比较贵。', '短评打分': 3}
{'短评内容': '春节期间去的，广州只有2、3度，酒店大堂等公共区域竟然没有空调，房间的也特别不给力。房卡拿到后，打不开门，开了门，房间没有电，找前台，服务员答应了半个小时后才解决。下次绝对不会住了。PS:价格1800，其实即使到长隆游乐场、动物园玩也完全没有必要住这个酒店。周边的只要五分之一的价钱，服务还特别好', '短评打分': 1}
{'短评内容': '预订的是880元的房间，房间较小而且装修时间应该比较久了，性价比低。后补了100元，升级到了五区，房间大了近十平方吧。', '短评打分': 1}
{'短评内容': '酒店的环境不错，只不过晚上有客人在走廊吵闹，但酒店没有人进行干涉，需要进一步的改进', '短评打分': 5}
{'短评内容': '非常好的一间酒店，干净整洁，下次再来', '短评打分': 3}
{'短评内容': '第二次入住了，很不错的一家酒店，很有特色，环境安静，服务很好。', '短评打分': 5}
{'短评内容': '确实非常适合一家人尤其是带着小孩来度假玩的地方,特别是野生动物园非常值得一游', '短评打分': 3}
{'短评内容': '酒店很好，就是没来得及好好逛一下，下次有机会还回去，感觉房间装修差一点。', '短评打分': 5}
{'短评内容': '酒店绝对很超值，仿佛就是世外桃源，整个酒店置身于绿荫之中，一个大花园，很适合度假。到长隆游玩就住这里很是方便，虽然消费不低，但是出来玩吗就是要花销的，享受是重要的，关键是物有所值！我拍了很多酒店内的照片，怎么发不上去呢？', '短评打分': 5}
{'短评内容': '酒店是很不错,很大,很高级,就是消费也高啊,吃个早茶一个人也要一百左右,外加15%的服务费,相比之下白虎餐厅的自助餐要实惠点,买包很普通的方便面都要二十块.不过出来玩也难得,就不要计较了.步行去欢乐世界和大马戏很近,很方便.在这里不得不说一下这次的旅游心得了,太好玩了.绝对比迪斯尼要好玩(本人去过香港和美国奥兰多迪斯尼).这次带的是大女儿,下次一定要带上小儿子也去玩玩.', '短评打分': 5}
{'短评内容': '泳池不错,还有很多动物,值得一去.\n非常大,时时需要指路服务.', '短评打分': 5}
{'短评内容': '这是一个成年人喜欢，孩子们更喜欢的酒店，服务也非常周到，房间也可以，就是用餐有点贵。总之，比较满意，尤其是商务中心的服务真的很好，非常负责，一定会再去入住的。', '短评打分': 5}
{'短评内容': '我住的是狩猎房,一家三口都感觉满意,房间大,舒适,五星级酒店该有的都配置了.晚上到恒温泳池游泳,儿子玩得很开心,但就是太贵了,住客每人都要150元,基本是我们包场了.酒店的餐饮很贵,随便在中餐厅叫2个菜吃饭都花了200多元,建议不要在酒店里吃,附近的大石和洛溪很多吃店,甚至坐地铁到市桥站出站就是百越广场,很繁华,地铁11点才收,很方便.', '短评打分': 5}
{'短评内容': '酒店非常好.价格也确实不低.带孩子在长隆玩住这里是首选了.', '短评打分': 5}
{'短评内容': '这是一个我所见到的最大的庭园式酒店,住在里面就像住在公园里一样,舒服极了.', '短评打分': 5}
{'短评内容': '酒店整体还可以，但和其他的五星级酒店比硬件设施还是有差别，房间偏小。本来预定的时候强调需要一间大床房，到店后尽然说只有进行拼床，还好拼的床比大床宽就凑合了。酒店的白虎餐厅名气大，但菜品不是太丰富，两边靠窗的灯光太暗。', '短评打分': 5}
{'短评内容': '房间不错，酒店房间也很好，适合一家三口度假呢~~去马戏 动物园 水上世界都几分钟就到了~~~~很方便呢~~', '短评打分': 5}
{'短评内容': '是中国`目前最大最美的园林酒店,活动内容丰富,精彩!令人流连忘返1但在这样大的酒店里可挑选的饭店太少.价格太贵!', '短评打分': 5}
{'短评内容': '酒店还是比较有特色的，但是价钱比较贵。如果下次有优惠的话还是可以考虑的', '短评打分': 5}
{'短评内容': '环境非常优美,休闲.园内活动内容很多,非常适合旅游度假.但退房时间没得商量很烦人!', '短评打分': 5}
{'短评内容': '还可以,就是自助餐酒水要另付费,同时,小孩的身高限制在70厘米以下才能免费.', '短评打分': 5}
{'短评内容': '第二次来，第一次入住，感觉不错，适合带娃娃来度假，下次再来要好好玩玩了。', '短评打分': 5}
{'短评内容': '第二次来，第一次入住，感觉不错，适合带娃娃来度假。', '短评打分': 5}
{'短评内容': 'It is a good hotel. Good service and good environment. But the price is not cheap.....', '短评打分': 5}
{'短评内容': '酒店很大气，各个设置都很好，很适合结合旅游一起过来游玩入住。酒店的会议安排设施也还是不错的，就是地理位置有些偏远，不大方便。我建议该酒店可以设置一个接送服务，假如在该酒店预订会议活动，酒店提供到市区的接送大巴，这样应该能吸引多一些商务会议活动', '短评打分': 5}
{'短评内容': '很方便，很温馨', '短评打分': 3}
{'短评内容': '。。。。。。。加钱升级房间后。。。仍有蚊蚊。。。', '短评打分': 5}
{'短评内容': '到店就有礼品给小朋友，房间内也送纪念品。。。环境不错，。。。。就是有蚊蚊。。。', '短评打分': 5}
{'短评内容': '酒店不错，还帮我免费升级房间，赞一下！', '短评打分': 3}
{'短评内容': '不错的酒店，交通方便，服务好，就是有点贵。', '短评打分': 5}
{'短评内容': '酒店环境不错，服务态度好。住在酒店的1号楼，过道通风不太好，有气味。', '短评打分': 5}
{'短评内容': '环境和设施一流，度假休闲非常好!如果价格在人性化一些，哈哈。', '短评打分': 5}
{'短评内容': '酒店真不错，家庭房很棒，全家都喜欢，有特色。', '短评打分': 5}
{'短评内容': '去长隆玩住这里！！！推荐！五星酒店的环境确实赞！整个酒店都覆盖了无线网络！超级爽！', '短评打分': 5}
{'短评内容': '酒店虽然很气派，但是内部真的不及五星级酒店。特别要说一下酒店楼层的服务员，满口粗话，即使客人从身边走过也一样的脏话不断，声音尤其很大。当我们进入房间午休的时候，打扫卫生的楼层服务员在外面嘻嘻哈哈，说话声音很大吵的我们无法休息，后来我出去给服务员说让她们小声一点，服务员没有任何一句对不起，反而很不舒服的看着我说知道了。。住了那么多五星级酒店，长隆是最不满意的，除了离长隆旅游景点很近之外真的没有其他好', '短评打分': 1}
{'短评内容': '环境很好，房间很大很舒适，游园也方便，不过5号楼有点小吵!', '短评打分': 3}
{'短评内容': '环境不错 下次还订这家', '短评打分': 3}
