{'descr': '环境挺好！', 'star': 5}
{'descr': '特别温馨，干净', 'star': 3}
{'descr': '住的非常温馨，舒服，下次还会来', 'star': 3}
{'descr': '服务非常周到，地理位置方便，感觉非常好', 'star': 3}
{'descr': '房间挺好', 'star': 3}
{'descr': '很好！下次还会考虑入住', 'star': 3}
{'descr': '房间很干净，前台服务很好，附近方便。下次还要住这里！', 'star': 3}
{'descr': '我住的房间是单人小房无窗，房间有点小，浴室面积还行，相对比较安静。', 'star': 5}
{'descr': ' 好喜欢这里的粉色被子！', 'star': 3}
{'descr': '环境不错，洗手间比较大。整体可以，就是电视不好打开。', 'star': 5}
{'descr': '交通很方便，很干净，服务人员热忱周到，每天打扫房间打扫的很干净，尤其是马桶抽力很强劲。', 'star': 5}
{'descr': '卫生干净很好', 'star': 3}
{'descr': '环境不错，住的嗨比较舒适，只是地方有点小，下次还来', 'star': 5}
{'descr': '我觉得还不错就是特别小', 'star': 3}
{'descr': '窗户在过道不方便，房间比较小,一个人还可以,价格在周边算比较便宜的,性价比还算可以吧!周边吃饭比较实惠,交通出行还比较方便.\n', 'star': 1}
{'descr': '离火车站有一站地左右路程，很方便，也干净，服务态度很好，下次还会入住！', 'star': 5}
{'descr': '服务不错，就是房间有点小，设计不合理，卫生间占地太大，活动空间太小。', 'star': 5}
{'descr': '比较好，服务好，卫生好，特别是早餐真的很丰富。下次出差还会去本酒店', 'star': 5}
{'descr': '挺干净的。前台态度也很好……', 'star': 3}
{'descr': '方便舒适，干净，主要是交通便利。会推荐给朋友', 'star': 5}
{'descr': '便宜，实惠，在的位置挺中心的，不错，定的是无窗的，住的确是有窗的，非常不错', 'star': 5}
{'descr': '交通比较方便，服务态度非常好，酒店环境挺好。', 'star': 3}
{'descr': '在张家口这样的城市，这个如家不值得推荐，房间太小，价格不便宜。', 'star': 1}
{'descr': '房间内设施不错，空间还算可以，对得起这个价钱，下次去张家口，还回去如家，唯一一点的就是，地址不太好找', 'star': 5}
{'descr': '价格便宜，离火车站比较近，环境态度都不错', 'star': 5}
{'descr': '屋内太冷，其他还可以', 'star': 3}
{'descr': '   房间还行，就是电视太烂，多少年以前的了', 'star': 3}
{'descr': '还是挺不错的..嗯..不过雪季结束了~下雪季再去了，年底见。', 'star': 5}
{'descr': '感觉还是不太方便，附近吃饭购物要走很一段距离，不过房间还算干净，就是面积太小了。', 'star': 5}
{'descr': '交通很便捷，到张家口火车站（北站）走路大概10分钟，门口公交车直通张家口长途汽车站。酒店一贯延续如家风格，挺好，挺温馨。美中不足的是酒店不能刷卡，只能用现金结账。', 'star': 5}
{'descr': '环境不错 服务很好  很安静  服务员的态度非常好  下次继续入住', 'star': 5}
{'descr': '不错的，服务还可以！10个字，真麻烦！！！！！', 'star': 5}
{'descr': '不错哦。绿色的被很温馨。室内温度一般。地处繁华地段。无停车场，停马路对面。', 'star': 3}
{'descr': '还可以。凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字', 'star': 5}
{'descr': '还不错的房间，够大，价格也还可以！', 'star': 1}
{'descr': '如家单人间很不错,很温馨.卫生间真大啊!', 'star': 3}
{'descr': '挺好的，经济实惠人少干净，但是这回再定好像涨价了啊..再涨可不厚道了...', 'star': 5}
{'descr': '不错，已经第二次来了，去崇礼滑雪头天晚上可以住这，环境比崇礼县成好多了。', 'star': 5}
{'descr': '酒店位于市中心，到哪里都很方便。酒店卫生间较大，室内干净、卫生。', 'star': 5}
{'descr': '前台办理手续只有一个人，需要等一段时间。房间干净整洁。支持', 'star': 5}
{'descr': '不错，干净，舒适，有家的感觉，以后会经常光顾的', 'star': 5}
{'descr': '还行  算是干净  服务态度很好  房间也很温馨  下次还考虑入住 ', 'star': 5}
{'descr': '如家服务不错，住着很舒心！支持！', 'star': 3}
{'descr': '很不错，安静又舒适，价格实惠，下次还会去。', 'star': 5}
{'descr': ' 好 下次还会选择', 'star': 3}
{'descr': '我要的特价房，去的时候由于没有了，免费升级成了高级大床房，真的很实惠啊。不过不知道怎的，跟其他当地的酒店比起来确实有点冷，开了空调的话会好很多。大床房的床很大，睡4个人应该没问题，而且被子很厚，被罩也不是单调的白，浅浅的绿，给人很贴心的感觉。值得一提的是，一次性用品外面的塑封装还带拉锁，这是我住过的其他酒店所没有的，本来想走时带走，以后出门时用的，结果走的急，忘拿了。酒店唯一的不好是烟味真的像别的', 'star': 5}
{'descr': '很好很舒适,我很满意.', 'star': 3}
{'descr': '住的单人间，空间虽然有些小，但很干净整洁，热水，服务不错，有线网，如果要是安装无线网就更好了', 'star': 5}
{'descr': '房间挺干净挺暖和的，卫生间特别大……与房间比例不是很协调……推荐入住', 'star': 5}
{'descr': '如家的服务很贴心。', 'star': 3}
{'descr': '订的是大床房、环境很好、视野也比较好、服务也不错、很满意！', 'star': 3}
{'descr': '环境不错，服务很后，窗户靠近过道不的很好，价格很实惠', 'star': 5}
{'descr': '很不错~蛮新的~蛮干净~房间宽敞暖气也给力。', 'star': 5}
{'descr': '  很好，干净卫生', 'star': 3}
{'descr': '同事推荐的，上次来张家口住的就是这家，很温暖的颜色，卫生间还比较大。', 'star': 5}
{'descr': '居然又是没有预定时候的单人房，免费升级到了大床房，绿色的被子，暖暖的。', 'star': 5}
{'descr': '离火车站还算近，房间干净温馨，推荐。凑字凑字凑字凑字凑字', 'star': 5}
{'descr': '酒店整体感觉不错，因为是新开张时间不长，整体环境、卫生都很好，主的标准间，房间很大，只是电视有点小，视力不好的人看起来很不方便，卫生间标准设计，住过如家的都知道。总结：整体很满意，建议大家住一下。', 'star': 5}
{'descr': '订了单人间，房间真的好小啊！！隔音也不太好，但是比较干净。', 'star': 5}
{'descr': '挺好的，就是屋子小了点，但是服务、设施都没得说，值得推荐', 'star': 5}
{'descr': '设施什么的还是不错的，唯一不满意的是地面上的装饰品很容易划破鞋子，一定要注意呵呵', 'star': 5}
{'descr': '还是可以的，就是单人房间有点儿小，不过洗澡的地方倒是挺宽敞的，比较干净、实惠，推荐。', 'star': 5}
{'descr': '地理位置很好，说是有窗户的 其实非常小 被子非常厚 附近吃饭和出行很方便', 'star': 5}
{'descr': '新酒店，如家的品质，中规中矩，给我办理C/I的前台小姑娘非常NICE，表扬一下~~', 'star': 5}
{'descr': '价钱便宜，\n木地板，干净。\n不足：中午及晚上没有餐厅！', 'star': 5}
{'descr': '环境不错，就是电视机好古老，房间有点小。别的都还可以', 'star': 5}
{'descr': '性价比很高的酒店，单人间小点，标间很好。', 'star': 5}
{'descr': '房间比较干净，毕竟是全国连锁，不足之处就是上网不方便，酒店设置了限制。需要服务人员开通。', 'star': 5}
{'descr': '挺好的，住着比较舒适，环境也挺好，网速还可以，就是刚开始房卡有些不好使，但是工作人员很快就给解决了。', 'star': 5}
{'descr': '性价比非常高的酒店，有的房间小点，标间还可以。', 'star': 5}
{'descr': '整体上还不错，服务态度蛮好，也很干净，就是床放在了外屋，有点吵，', 'star': 5}
{'descr': '很不错，一开始的房间很大，就是顶灯坏了，给我门又换了一间，虽然没有那个大，但是还是很不错的，服务也很好，下次还会去', 'star': 5}
{'descr': '因为工作需要，本来是要订离火车站近的那家如家，但是那边房源紧，价钱也相对贵一些，这里的价钱相对划算，优点是交通方便，缺点是房间面积小，暖气不冷，隔音不好，商务办公还是会推荐的，但是旅游度假就算了', 'star': 5}
{'descr': '张家口胜利北街五一广场店如家快捷酒店非常好会朋友推荐这家酒店', 'star': 5}
{'descr': '推荐还是会的，但本人感觉相同价钱下不会推荐。房间面积相对较小，感觉很挤。而且隔音效果不是很好', 'star': 5}
{'descr': '服务还不错，就是我来的时候暖气不热！', 'star': 3}
{'descr': '总体感觉还不错，就是停电，感觉很些不舒服，服务员服务态度有待提高', 'star': 5}
{'descr': '也许是赶的太巧了，我住的那天晚上停电将近3个小时，下午还停了2个小时，停电的时候空调也没法用，暖气从我进屋到离店它就是冰凉的，我就在冰冷的屋子里盖着被子取暖。我第二天要考试，本来是打算在这个安静的环境中复习的，结果只能早早睡觉，什么也没有做。哎~~~~~~~酒店怎么也该有自己的发电机呀，怎么能停电那么长时间呢？？真是纠结。', 'star': 1}
{'descr': '如家的风格还是比较喜欢的。\n最可贵的是订了个单人间，因为没有房了，免费升级到商务大床房。\n早餐很丰富，价格也不高。', 'star': 5}
{'descr': '帮同学顶的 听他说还不错。', 'star': 1}
{'descr': '服务很好，房间干净，考虑的很周到，价有所值', 'star': 3}
{'descr': '酒店不提供电话 但是前台可以打电话的 嘿嘿 很好 很强大\n酒店蛮干净的 很强 很给力\n酒店服务很好的  支持', 'star': 5}
{'descr': '整体不错，环境很干净，就是房间网络太差，网速慢', 'star': 3}
{'descr': '除去没有停车场，服务啥的都很到位，有机会去张家口还会入住', 'star': 5}
