{'短评内容': '普通的房间，，，，，，看地段就勉强接受吧', '短评打分': 5}
{'短评内容': '酒店没有标识，必须向大厦工作人员打听，才能找到。酒店处于南京东路附近，闹中取静，房间设施齐全，有洗衣机等家用电器，可以洗衣煮饭，与酒店描述一致，卫生干净，服务态度好，酒店附近有夜市，物美价廉，买了一些东西。', '短评打分': 5}
{'短评内容': '不错，住了两次了', '短评打分': 5}
{'短评内容': '环境不好，充电都不方便，比较老旧', '短评打分': 1}
{'短评内容': '酒店位置不错', '短评打分': 4}
{'短评内容': '超级烂 一点也不值 晚上热水都没有 房间简直就跟招待所一样 还什么国际连锁 以后再也不来 希望看到点评的朋友也不要来了 房间也不太安全 卫生很差 感觉很不好', '短评打分': 1}
{'短评内容': '房间里面天花板有水渍 房间老旧 好在味道不是很大 床还可以 就在福州路上 从一号线地铁出来很近 价格很合算 这附近没有这么实惠的房间了', '短评打分': 4}
{'短评内容': 'not bad ,cheap, very good location, need to renew ASAP', '短评打分': 3}
{'短评内容': 'Very Good Location &amp; the receptionist is very cheeful &amp; helpful. Overall rating is Good. ', '短评打分': 3}
{'短评内容': '在市中心的中心位置，位置超级方便，周边有很多著名小吃。虽然房间设施有些老旧，但有些房间位置很好，可以挑一挑。', '短评打分': 5}
{'短评内容': '这个价格，这个地段，还算可以了。。。。', '短评打分': 5}
{'短评内容': '房间无窗,通风较差', '短评打分': 2}
{'短评内容': '房间无窗,通风较差', '短评打分': 2}
{'短评内容': '房间还不错，交通方便', '短评打分': 3}
{'短评内容': '地段好，卫生也很干净，值得推荐。', '短评打分': 3}
{'短评内容': '位置不错，房间干净', '短评打分': 3}
{'短评内容': '该店宣传的图片比实际上要漂亮 温馨的多。个人感觉，具体还需您亲自体会！', '短评打分': 1}
{'短评内容': '便捷酒店，位置好，不提供一次性洗漱用品。', '短评打分': 5}
{'短评内容': '挺不错的，离南京路、人民广场、城隍庙、外滩都蛮近的，位置不错', '短评打分': 5}
{'短评内容': '干净、整洁、卫生，适合人类居住，但是不欢迎火星人。', '短评打分': 5}
{'短评内容': '地理位置超好，性价比很高，对于旅游的人来说是非常好的选择', '短评打分': 5}
{'短评内容': '酒店位置可以说是完美,离外滩和南京路步行街非常近,离地铁也就几分钟步行,并且酒店还给我升级到有窗房间,房内设施很好并且酒店看起来很正规和高档,网上订房也方便和便宜,下回来还住24K!', '短评打分': 3}
{'短评内容': '房间不大，很温馨…酒店工作人员服务很好，而且地理位置不错~', '短评打分': 5}
{'短评内容': '地点不错，比较方便，酒店就是墙壁有点脏，还算可以吧', '短评打分': 5}
{'短评内容': '位于市中心，交通便捷，离外滩，豫园，人民广场，步行街很近，步行可至。但房间的空调太冷太吵，影响休息。', '短评打分': 5}
{'短评内容': '酒店位置及佳，对于住宿管理非常严格，不是本人登记的禁止上客服的楼梯。', '短评打分': 5}
{'短评内容': ' 总的来说很不错，离我考试的地方非常方便，不足之处就是中央空调声音太响了，淋浴房的瓷砖有点脏', '短评打分': 3}
{'短评内容': '设备比较旧，房间的墙稍有点脏。服务不错，虽然前台办任何事情都至少需要排队二十分钟。', '短评打分': 5}
{'短评内容': '唯一优点就是位置比较好,其它的都很差,态度差,卫生差,质量差.还贵,唉!', '短评打分': 1}
{'短评内容': '房间还不错！！就是不知道空调怎么关！！晚上有点凉。卫生间洗澡为什么是帘子而不是玻璃', '短评打分': 5}
{'短评内容': '太吵，不提供早餐（需要自己外出用餐），坏境一般般，感觉不如如家。', '短评打分': 1}
{'短评内容': '除了房间有些小外，服务很到位、环境不错。下次来开会还会选择这个酒店。', '短评打分': 5}
{'短评内容': '帮朋友订的酒店，五一就去了一直拖到现在才点评。真的是挺好的一家酒店，在南京路附近，出行什么的都很方便，不过朋友的男朋友说有点儿小，但是朋友觉得正好~总之是一家不错的酒店哟~~', '短评打分': 5}
{'短评内容': '已入住，尚可！', '短评打分': 3}
{'短评内容': '酒店有些年头了，陈旧是难免的，但服务不错，而且地点是绝对一流。', '短评打分': 3}
{'短评内容': '太小了，中央空调不能调节温度，感觉有点旧，但是地理位置真好。', '短评打分': 3}
{'短评内容': '感觉还行，主要是比较方便。淮海路。外滩。南京路都比较近。地铁也不远，下次去还是住这里。', '短评打分': 5}
{'短评内容': '地理位置很好，紧邻上海书城，就是房间有点小，不过在那个地段，这个价位已经很实惠了。', '短评打分': 5}
{'短评内容': '位置是不错，可惜小的要命，没有停车位，房间也挤的很，最差劲的是，吵的要死，前台还会打电话来骚扰！搞什么东西！！！！而且服务员也总是去敲别人的门，一直要别人开门，是脑门被驴踢了么？？？？', '短评打分': 1}
{'短评内容': '地段可以，室内环境也不错，就是房间有点小！', '短评打分': 3}
{'短评内容': '房间太小，空调噪音太大，床不够舒适，唯一好处就是距离南京路近一些。', '短评打分': 1}
{'短评内容': '其他还好,就是房间有点小。', '短评打分': 3}
{'短评内容': '除了比较吵以外其他没的说，家人还是比较满意的。', '短评打分': 5}
{'短评内容': '条件一般，下次来坚决不会选择这家酒店，不能只看价格。', '短评打分': 1}
{'短评内容': '地理位置相当好啊··························', '短评打分': 5}
{'短评内容': '位置很好，设备较一般，价格偏高', '短评打分': 3}
{'短评内容': '地点好，吃饭也方便，房间虽小，但是很干净，下次去上海，还会住在这里！', '短评打分': 5}
{'短评内容': '地理位置真的超好，出门就很热闹，离外滩、城隆庙很近，房价也很适中，综合评比，还是一家性价比不错的酒店。', '短评打分': 5}
{'短评内容': '地段相当不错，但房间很闷没窗，设施一般', '短评打分': 3}
{'短评内容': '位置很方便，但是房间太小了，闷啊，没有窗户，可能上海临窗的都很少吧，除非是大酒店，前台服务一般', '短评打分': 5}
{'短评内容': '很好，就是顶层不知哪来的中央空调，有噪音。出门就是南京路,上海老街，很方便。外滩豫园也都很近的。', '短评打分': 3}
{'短评内容': '24酒店，挺好的，离哪里都近，不坐车步行也可以，周边吃的东西也很多，方便，房间虽然小点，但是很干净，服务人员也很热情！下次来上海还会住这里！', '短评打分': 5}
{'短评内容': '房间面积有点小，但是地理位置真心好，这个价钱还算值吧', '短评打分': 5}
{'短评内容': '房间太差，服务不好，而且洗漱用品都没。电梯也慢，楼上有娱乐室，人来人往嘈杂', '短评打分': 1}
{'短评内容': '还行吧 地理位置不错 离南京路很近 周围都是商业圈', '短评打分': 5}
{'短评内容': '帮客户订的，据说当天晚上还停电，早上一大早工地很吵。', '短评打分': 1}
{'短评内容': '就是一般的酒店 环境不是很好 优势就是在于地理位置好', '短评打分': 1}
{'短评内容': '很不错，就是没有窗户和洗漱用品小小遗憾下', '短评打分': 3}
{'短评内容': '地理位置很方便，适合爱吃的你入住，楼下都是好吃的东西，下次还会选择这里，就是房间有点小，在上海，这个价钱值了', '短评打分': 5}
{'短评内容': '地点很好，但性价比就一般般了，附近还有不错的无窗的类似房间。', '短评打分': 5}
{'短评内容': '位置好，服务态度差！', '短评打分': 3}
{'短评内容': '周边交通很方便，房间卫生状况较好，闹中取静。', '短评打分': 5}
{'短评内容': '还不错啊，逛街很方便~~~~~~~@@@@@@@@@@@@@@@@@@@2', '短评打分': 5}
{'短评内容': '够环保的，洗梳用品都要收费的，房间也不大，性价比一般般', '短评打分': 3}
{'短评内容': '地理位置优势，房间干净利落', '短评打分': 3}
{'短评内容': '市区…方便', '短评打分': 3}
{'短评内容': '房间还不错，刚好住的是靠近福州路的房子 有两个大窗户 不错 蛮干净的！', '短评打分': 5}
{'短评内容': '订的特价房 入住人很不满意 房间小 味道大 信号差 短信发不出 QQ登不上 拖鞋也木有... 希望是个别现象', '短评打分': 3}
{'短评内容': '位置很不错，逛南京路、外滩很方便，吃饭也方便，门口就是肯德基和麦当劳，离地铁站人民广场站走过去七八分钟。很不错，服务态度很好，晚上加了一床被子，服务员大姐很热心的给送到了房间。', '短评打分': 5}
{'短评内容': '差的都不想说了 没见过这么差的 差 差 差', '短评打分': 1}
{'短评内容': '很好哦··位置也很棒！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '挺干净，但是比较简单', '短评打分': 3}
{'短评内容': '房间很小，小的只够放张床，但是地段很好，印证了上海寸土寸金。估计是刚刷漆了，味道很刺鼻。', '短评打分': 1}
{'短评内容': '住过了评价如下：\n- 前台态度冷如冰，且势利眼\n- 房间小如麻雀窝\n- 房内油漆味刺眼刺鼻，头痛\n- 隔音很差，旁边屋笑声都听得见\n- 位置还算可以，干净度还可以', '短评打分': 1}
{'短评内容': '酒店很吵，感觉房价有点贵，如果对时间要求不是很急的话建议坐地铁去其他地方入住。', '短评打分': 1}
{'短评内容': '不错，挺好的，虽然小但是东西挺全的，逛街非常便利', '短评打分': 5}
{'短评内容': '交通位置好，房间虽小，但干净舒服，价钱实在~~', '短评打分': 5}
{'短评内容': '连续住了两天的感受。\n1. 特价房只有3间，并且只能通过网络预定，直接前台预定是没有的（我碰到这样的问题）。\n2. 当时去的时候电梯是坏的，这个星期估计能用了，确实比较麻烦，而且据说已经修了一个月了。 \n\n硬件评价：\n1. 房间很宽敞，住起来很舒服。\n2. 网速非常的快，要表扬，下载的时候基本都在1m以上（360的流量监视器测试）。但是很遗憾，没有无线！\n3. 热水的速度也比较快，相对也比较稳定。', '短评打分': 5}
{'短评内容': '噪音太大，也不知道外面是什么大型机器，一直在运转，晚上轰隆隆的，根本没法睡觉。房间本身的环境还是不错的。卫生很好，空调很好。不过房间的信号非常不好，公务繁忙的朋友一定要注意。噪音太大，希望贵店能够改善。', '短评打分': 5}
{'短评内容': '还行吧总体。不隔音，电梯坏了，房间也不是很大，有点破。但是对于想要去市区逛街旅游的游客来说很方便。服务还是很周到的。地理位置很好。房间里的洗漱用品什么的都是要钱的。', '短评打分': 5}
{'短评内容': '交通方便，离地铁人民广场站仅10分钟路程，去南京路步行街、外滩、城隍庙都比较近；房间干净舒适，不过为了环保酒店提供的洗浴6小件套装需要额外付费15元。我们住的这几天电梯坏了，天天走楼梯上下，有点郁闷，希望尽快修好。。。', '短评打分': 5}
{'短评内容': '太简易了太简易了太简易了太简易了太简易了太简易了太简易了', '短评打分': 1}
{'短评内容': '房间小，除此之外都不错~~性价比还算高的~~', '短评打分': 5}
{'短评内容': '酒店一般，在这个地理位置这个价格也算合理。前台态度不怎么热情。退房时间比较早，时间超过就收半天费用......', '短评打分': 1}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '唯一可惜的是酒店没有餐厅。不过附近吃的地方有的是，卖茶鸡蛋的小贩、面包店、星巴克都有。毕竟是繁华地带', '短评打分': 5}
{'短评内容': '书虫也会特别喜欢酒店的位置，因为附近有许多书店', '短评打分': 5}
{'短评内容': '妹妹和妹夫回去要坐早7点的飞机早上4点多就走。酒店帮忙提前叫车，保证他们准时出发', '短评打分': 5}
{'短评内容': '房间里没有冰箱，但二楼有一个公用的。24小时都可以放拿东西', '短评打分': 5}
{'短评内容': '房间设施还可以，位置很好（离人民广场、外滩、新天地都很近）。对旅游的人来说性价比很高', '短评打分': 5}
{'短评内容': '还可以，在这个地段是性价比不错的了~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '空调声音响得吓人，淋浴间照明不够，隔音太差，优点就是交通便利', '短评打分': 1}
{'短评内容': '去入住的时候电梯坏了，上下楼不方便。卫生间挺大，房间比较小。', '短评打分': 3}
{'短评内容': '比想像中的好，酒店干净。', '短评打分': 3}
{'短评内容': '价格是便宜，不过卫生一般，服务也一般，还好只住两天', '短评打分': 1}
{'短评内容': '入住急需传真问总台编号FZ035小姐爱理不理，折腾半天才知道是商务下班了，不喜欢这种大脾气总台。地段再好价格再便宜也不来了。', '短评打分': 3}
{'短评内容': '交通便利，离人民广场地铁站就几分钟。附近有很多吃饭的地方。总是是很划算的。', '短评打分': 5}
{'短评内容': '除了地理位置之外一无是处。定好的大床到那里被告知大床紧张，可否调成标间。被我否定之后才说换成商务大床。另外卫生间洗个澡就全湿了，一次性拖鞋走进去又滑又湿。', '短评打分': 1}
{'短评内容': '环境比较破，拖鞋毛巾没有，茶包也没有！服务态度还蛮好', '短评打分': 1}
{'短评内容': '酒店环境真心不怎么样 但位置相当好 前面5分钟就是南京路 我是为了考gmat才定的  里考试地点也相当近 ', '短评打分': 3}
{'短评内容': '因为是无窗的，房间空气不好，有一股味道。房间也很狭小，设施也很旧，特别是淋浴喷头，几次都要掉下来，螺丝全松了。洗浴用品是要另外收费的。房间内的卫生一般，死角都没有打扫干净，烧水壶落了很多灰，毛巾等看起来也很旧。换气扇和空调的噪音很大，房间的隔音效果也不好。\n地理位置不错，离人民广场很近，方便逛街，交通也很方便。', '短评打分': 1}
{'短评内容': '该酒店位置不错，是黄金地方，地铁、市中心、南京路方便，唯一缺陷是房间不通风。', '短评打分': 5}
{'短评内容': '交通很方便。隔音太差，早上很吵。空调的声音也很响。', '短评打分': 5}
{'短评内容': '挺干净的', '短评打分': 3}
{'短评内容': '入住满意', '短评打分': 3}
{'短评内容': ' 挺安静', '短评打分': 3}
{'短评内容': '住的不开心，提前两天定的房间结果到了还说没有看到预定单，结果安排一间四处透风的房间，寒风瑟瑟住了一晚，还说是免费给升级的房间。太不给力了，门都是那种最简易的白木门。', '短评打分': 1}
{'短评内容': '不错！不过当天我们的房被别人占用了，酒店人员将我们安排到另一个分店去了，虽然态度很好，仍不希望以后遇到这样的事！', '短评打分': 5}
{'短评内容': '特价房果真是，墙壁太脏了，被子不干净，网速很慢，其他还行。', '短评打分': 1}
{'短评内容': '地点挺好的，卫生也比较干净。牙具等是收费的，5元一份。', '短评打分': 5}
{'短评内容': '不错，挺舒服的~ 只是电梯坏了，不过工作人员挺热情。望明天考试顺利，加油！！', '短评打分': 5}
{'短评内容': '位置还可以，距离外滩比较近。但住宿条件和环境一般，房间比较小', '短评打分': 5}
{'短评内容': '地段很好，周围有地铁，步行到南京路也不到十分钟。酒店环境也还不错，很干净。', '短评打分': 5}
{'短评内容': '还可以，就是房间太小，而且手机在房间里没有信号', '短评打分': 5}
{'短评内容': '房间干净整洁，主要是地点方便', '短评打分': 3}
{'短评内容': '离南京路很近，位置不错，交通也很方便，住的条件一般，不过在上海这个地段这个价格也就凑合了。', '短评打分': 5}
{'短评内容': '地段还不错的，就是睡一夜勉强还可以吧，赢在便宜。 房间是真的不怎么样，不过一分钱一分货嘛，如果再去上海还是会再住的。 卫生间洗澡没有玻璃门的，就一个帘子拉拉 这个有点不方便', '短评打分': 5}
{'短评内容': 'The elevator of the hotel is broken now. If you really want to stay in here, just request the 5th and 6th floors. Others are old and bad. ', '短评打分': 1}
{'短评内容': '房间小的可怜，不过地理位置太好了，去市中心哪都很方便，性价比不错。服务一般，不好也不算差。', '短评打分': 5}
{'短评内容': '服务很好。网络很快！我以后过来上海的时候也是住在这家宾馆。', '短评打分': 5}
{'短评内容': '＋已经入住803房间', '短评打分': 3}
{'短评内容': '该酒店位置不错，总体来说性价比蛮高', '短评打分': 3}
{'短评内容': '地理位置很不错，离人民广场很近，房间也挺干净的，服务也还可以，就是等结账等好久。', '短评打分': 5}
{'短评内容': '方便离南京路步行街近', '短评打分': 3}
{'短评内容': '物有所值', '短评打分': 3}
{'短评内容': '酒店地点虽然便利，但是内部设施非常陈旧，非常脏，可以看到墙壁全部潮湿剥落，这次住的是没有窗户的房间，本来就不通风，空调还是坏的，加上没有搞好卫生工作，房间内异味很重，最恶心的是可以看到一坨坨的灰尘球环绕在整个房间，每个角落，墙壁，门上，很恐怖，就卫生程度来讲，是我住过最恶心的酒店！', '短评打分': 1}
{'短评内容': '住了以后感觉不错，挺干净的，离市区很近的！', '短评打分': 3}
{'短评内容': '位置不错，小巧但干净。价格也很好。这个地点，可以的了', '短评打分': 5}
{'短评内容': '实实在在的服务,很好,地段位置没得说,下次还会住.', '短评打分': 5}
{'短评内容': '毕竟还是离南京路很近的，只是实在跟图片有差啊。而且无窗房有霉味。感觉不是太好。', '短评打分': 5}
{'短评内容': '还不错 就是没有免费的洗漱用具 有点麻烦', '短评打分': 3}
{'短评内容': '性价比不错,大厅要是有台上网电脑更好', '短评打分': 3}
{'短评内容': '性价比不错,交通购物都方便', '短评打分': 3}
{'短评内容': '地段真是不错，就是房间味道不好，希望可以改善！', '短评打分': 3}
{'短评内容': '房间小设施旧', '短评打分': 3}
{'短评内容': '位置很方便', '短评打分': 3}
{'短评内容': '服務很好 有任何需要都親切熱情的服務處理 是居住購物非常方便的地區 在上海是比價性好的了 樓型雖小卻十分有風味 房間乾淨小巧整齊 浴室也乾淨 沒有臭味', '短评打分': 5}
{'短评内容': '离南京路，外滩都是步行距离，地铁也很近，就是房间太小了。', '短评打分': 5}
{'短评内容': '酒店位置很好，离南京路很近，购物方便，推荐。', '短评打分': 5}
{'短评内容': '干净便利 周边交通便利 出行方便 服务态度好', '短评打分': 5}
{'短评内容': '＋房间比较陈旧，不管是移动还是联通手机都没有信号', '短评打分': 3}
{'短评内容': '服务很好，位置非常方便，空间相对比较大，行李寄存很方便！', '短评打分': 5}
{'短评内容': '店面名不符实，房间狭小，服务一般，价格偏高，远道而去让人失望', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '帮阿姨预订的。地理位置很好。离南京路 人民广场地铁站很近。只是洗漱用具要自备。。', '短评打分': 5}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '墙壁不是很干净，床有点小，其他还可以', '短评打分': 3}
{'短评内容': '房间不错，地里位置好', '短评打分': 3}
{'短评内容': '交通位置非常好，就是设施有些陈旧,去人民广场和步行街都非常近', '短评打分': 5}
{'短评内容': '觉得还是不如如家这样的酒店啊 刚开始订的房间 一进门就是扑鼻的霉味 没办法只能加钱换了更好的房间 但是还是没有如家这样的酒店好 价格好 还干净 这里的话 环境也不是很干净的 电视也是数字电视', '短评打分': 1}
{'短评内容': '相比两年前去的时候设施陈旧了很多，但地理位置相当优越！', '短评打分': 5}
{'短评内容': '酒店位置比较好， 离地铁站很近，步行大概几分钟，酒店比较小， 房间相当小，卫生间挺干净，前台服务员态度很一般， 有待提高。', '短评打分': 5}
{'短评内容': '房间较小较旧，位置方便，对于上海寸土寸金的地方还算物有所值吧', '短评打分': 3}
{'短评内容': '因为很久之前定过一次，觉得还不错，可是这次比较失望，不过就是地段比较好，周边很多吃的，比较方便，不过当时住的8层，房间很旧，天花板发霉，而且很不隔音，吹风机也不给力', '短评打分': 1}
{'短评内容': '一般，房间比较小', '短评打分': 3}
{'短评内容': '该宾馆交通便捷、设施完备、热情周到。对于我这样喜欢逛街一族是个不错的选择，福州路上文化街应有尽有，上海书城就地旁边，让我满载而归。过二条街就是十里洋行南京路，是个全国闻名的购物街，选这里是你明智的选择。', '短评打分': 5}
{'短评内容': '地址好，离人民广场、外滩、南京路都近。室内条件还可以，总体舒适。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。\n\n', '短评打分': 5}
{'短评内容': '总体还可以 位置方便 坐地铁二号线在人民广场下车 走几分钟就到了 住过两次了 五楼房间是新装修的 相对比其他楼层好很多 前台服务也不错 ', '短评打分': 5}
{'短评内容': '网速还是非常慢，隔音效果不是很好，电视很小而且很不清晰，因为处在南京路，唯一的优势就是价格便宜而且交通方便，仅此而已……', '短评打分': 1}
{'短评内容': '值得推荐的一家酒店！交通方便，地处市中心，去哪都十分便利。酒店设施不错，环境清爽，房间干净卫生，在大上海这一价位已经可以了！下次去还住这儿！！', '短评打分': 5}
{'短评内容': '价廉物美', '短评打分': 3}
{'短评内容': '还不错，位置不错，很方便在外滩，南京路转转，房间虽不大，但是还是很干净，地理位置决定了大不了呀。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店隔音效果奇差，入住当天遇到一家上海人，从早晨7点在楼道里喊到11点，给服务员打了7个电话，最后仍然无效果，找他们酒店经理，敷衍找个前台领班出面，最后也没解决问题，\n房间、隔音、服务都很差， 十分不推荐', '短评打分': 1}
{'短评内容': '地理位置好，离黄浦江、豫园、南京路，地铁都很近，真可谓交通方便。旅店的卫生条件很好，很干净，服务态度也很好', '短评打分': 5}
{'短评内容': '这家连锁酒店估计蛮久了，走廊有股味道。房间里的衣厨都烂掉了。前台服务态度挺好。被子床都还蛮干净的。地理位置当然是游玩外滩的最佳选择了', '短评打分': 3}
{'短评内容': '已入住24K国际联锁酒店南京路店。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '地理位置太有优势了，就是外边中央空调主机噪音太大了，搞的人睡不好。', '短评打分': 3}
{'短评内容': '地段不错，价格也还可以，各方面都中规中矩，没什么特别好的地方，总体也算可以接受吧 \n', '短评打分': 5}
{'短评内容': '此酒店交通生活都方便', '短评打分': 3}
{'短评内容': '希望可以布置的更温馨些', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '位置好，价格便宜，电视机挂得太高，看起来太累了\n网速太慢，\n其它都还好', '短评打分': 5}
{'短评内容': '8月19日入住此酒店，刚到房间感觉真的挺好，家庭房一张大床，两张小床对于我们一家四口房间真的挺温馨。放好行李大约30分钟后，耳边的轰鸣声响起，开始以为是空调的噪音，关了空调后仍然噪音轰鸣！打开窗户，马上巨大轰鸣声传入耳中！这才发现，酒店后街全部是空调室外机！这种情况根本无法入睡，于是给前台打电话要求换房，酒店前台小姐不冷不热告知次轰鸣声要24小时长鸣，因我们定的家庭房无法更换，其家庭房全部在这个区', '短评打分': 1}
{'短评内容': '相当差，这个价位，是我住过酒店中最差的一个，严格来说不能称为酒店，只能算是旅馆吧。房间卫生相当差，竟然在床上发现一个套套，很是恶心，门要用力踢才能关上，衣柜破的已经不能再破，只剩下木头了，房间内每一样东西都是收费的，连一瓶水都是要收费，一套刷牙的都要几十块，入住后的第一感觉，凑合一晚，明早赶快走。搞得我玩的心情都没有了。', '短评打分': 1}
{'短评内容': '位置很好，适合到上海短期旅游的，硬件设施还可以，态度不错', '短评打分': 5}
{'短评内容': '酒店位于市中心，闹中取静，出行方便。设施一般。', '短评打分': 5}
{'短评内容': '房间小，转不过身的感觉，空调不太冷，住在里面感觉燥。不过位置还可以，很方便。', '短评打分': 1}
{'短评内容': '离考场很进啊，就是特价房不是很好,很潮，墙上都湿了。。。。。', '短评打分': 5}
{'短评内容': '地理位置不错，价格还行，可惜房间什么都要收费，连刷牙+洗澡用品套装都要15块一套', '短评打分': 1}
{'短评内容': '酒店设施不完善，居然不提供洗漱用品，价位其实并不低，同等的价格在上海可以找到更好的酒店，唯一好处就是地理位置不错！', '短评打分': 1}
{'短评内容': '还可以，交通方便,就是空调有点恐怖！！！', '短评打分': 5}
{'短评内容': '房间很小，不隔音，很潮湿，屋顶上印着因潮湿造成的水渍', '短评打分': 1}
{'短评内容': '洒店无论从地理位置很好,如果到上海逛街,这是最好的选择,前台服务态度也很好.洒店虽然简陋也能接受,但洒店的空调晚上响的很历害,(不是出风口的问题)特别是标间A的套型.二天都没休息好.', '短评打分': 1}
{'短评内容': '周边很方便，交通便利，值得推荐！旁边就是南京东路', '短评打分': 5}
{'短评内容': '很好，性价比高，地理位置十分优越。离南京路、人民广场都很近。', '短评打分': 5}
{'短评内容': '地段不错，价格也还可以，各方面都中规中矩，没什么特别好的地方，总体也算可以接受吧', '短评打分': 5}
{'短评内容': '酒店的位置实在是不错，房间较小倒也说得过去。本来闹中取静已实属不易，稍稍遗憾的是不知道是酒店还是周围的空调动静太大，连地板都有点微微震动的感觉。但在上海市中心已经是很不错的快捷酒店了。', '短评打分': 5}
{'短评内容': '条件一般，房间较小，但地理位置无与伦比，看个人的价值取向', '短评打分': 5}
{'短评内容': '酒店太破旧了，空调噪音也大的，隔音效果也不好。床太小了。', '短评打分': 1}
{'短评内容': '不算差的酒店，体格贵，离出玩的地方近。酒店服务也好', '短评打分': 5}
{'短评内容': '房间太小没有窗户通风不好一次性东西要自己买，服务可以', '短评打分': 1}
{'短评内容': '价格便宜。地理位置比较好，缺点是房间比较小，空调噪音比较大~', '短评打分': 5}
{'短评内容': '交通方便, 房间大小也可以. 下次要多花20块, 订间有窗的房间.', '短评打分': 5}
{'短评内容': '本酒店交通方便，环境安静，房间设施齐全，前台服务很好，结账离店速度很快，值得推荐。', '短评打分': 5}
{'短评内容': '还有，特价房不是很好，不只是没有窗户，最关键的是没有手机信号，很不方便。', '短评打分': 5}
{'短评内容': '性价比还不错，地理位置挺好。离外滩和南京东路都很近。', '短评打分': 5}
{'短评内容': '交通便利，房间一般，只适合短暂（2～3天）停留。', '短评打分': 5}
{'短评内容': '位置挺好，逛街很方便。不过房间不是很大.', '短评打分': 5}
{'短评内容': '酒店的客服态度不好，对客人的电话不是很耐烦', '短评打分': 1}
{'短评内容': '房间很温馨很好~~给人一种家的感觉~~酒店地理位置优越，出行都比较方便~~', '短评打分': 5}
{'短评内容': '我只能说千万不要订这家酒店。理由2011年7月2日从网上订的家庭房，其中包括一张1.5*2.0米的双人床，到7月6日带着老婆孩子赶到该酒店却被告知房间没到出来。后被安排人民广场店用一张1.35米得床代替1.5米得床蒙骗，要不是行程安排好了，非和酒店论计论计。所以建议要入住这家酒店的客人，一定落实清楚免得吃亏。', '短评打分': 1}
{'短评内容': '位置中心,服务态度很好,就是房间有点潮,晚上旁边的建筑抽风机很吵', '短评打分': 5}
{'短评内容': '房间干净服务热情,好评！', '短评打分': 3}
{'短评内容': '地处闹市，出入方便，房间陋小，网线常断。', '短评打分': 1}
{'短评内容': '服务周到，实际与网上宣传的一样，是工薪族到上海旅游的好住处。', '短评打分': 5}
{'短评内容': '周围交通还比较便利，卫生也还干净。就是所谓环保而没有提供洗漱用品', '短评打分': 3}
{'短评内容': ' 没有停车位，空调噪音大。', '短评打分': 3}
{'短评内容': '废话,我现在就住在预定的24K洒店里!', '短评打分': 3}
