{'descr': '没窗一开门就是床没有了电视在床上放着', 'star': 1}
{'descr': '服务态度超级好的，如果是去玩的，建议选这家宾馆，如果是去休息的，还是不要了，二楼是酒吧，会比较吵。服务员都会提前提醒二楼有酒吧，服务态度还是不错的', 'star': 5}
{'descr': '房间太小，隔音太差，边上房间说话听的清清楚楚，更要命的是边上有家舞厅，播放的音乐震的房间玻璃响个不停，早上八点到晚上十一点音乐不停，房间卫生还可以，但是卫生间有异味，劝大家不要住这个酒店', 'star': 1}
{'descr': '还不错吧··2次了~~~~~~~~~~~ttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt', 'star': 5}
{'descr': '给朋友定的，说还不错就是有点旧了，其他还好，去医院倒是挺方便的。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店离水滴体育场很近.步行八分钟有公交车站可直达天津火车站.工作人员很热情,前台办理时间很快.房间比快捷酒店要大,算干净整洁,设施比较满意.餐厅赠送早餐,平时花钱点菜就餐,唯一不满是碗筷的洗刷和消毒看起来不到位,早餐的小菜比较差.总体来说不错,谢谢怡园的工作人员!', 'star': 5}
{'descr': '去肿瘤医院很方便，不过，距肿瘤医院大概步行1000米，不是介绍中的500米。\n168元带双早，性价比还可以。', 'star': 5}
{'descr': '位置不错，就是门面小点。性价比还行，好好努力吧', 'star': 5}
{'descr': '干净，环境好，出入方便，尤其去肿瘤医院很方便哦！', 'star': 5}
{'descr': ' 性价比相当不值', 'star': 3}
{'descr': '一般,医院陪护较方便', 'star': 3}
{'descr': '环境服务一般,不过距肿瘤医院很近,比较方便也就忍了吧', 'star': 3}
{'descr': '房间干净 就是早上有点吵', 'star': 3}
{'descr': '酒店位置相当不错，就是观前街附近。房间还算干净卫生的。性价比高的。', 'star': 5}
{'descr': '是个老酒店，环境还可以。', 'star': 3}
{'descr': '卫生情况还可以，还舒适的！就是现在前面的马路在维修，路不是很好走！', 'star': 5}
{'descr': '宾馆在四楼。三楼就是个舞厅。晚上睡觉太吵了！而且床单脏了还会扣所谓的洗涤费三十块。', 'star': 1}
{'descr': '还不错吧，就是楼下有个舞厅太吵架。', 'star': 3}
{'descr': '卫生还可以，价格适中，位置不错，餐厅服务差，', 'star': 5}
{'descr': '隔音真的好差啊。。。晚上还好。。楼下有个舞厅很吵。\n其他设施都不错很卫生，设备也好，就是浴室水压不够太小。。\n沐浴露大床房只有一包。。总体来说住个1,2天还是很不错的选择。地段也好。\nps前台哥哥好帅啊~~~还有那个老板娘真的很抠，表现出来的就是不大气，1.5元都要抠。。不会做生意啊', 'star': 5}
{'descr': '讲信誉，态度好', 'star': 3}
{'descr': '这个旅馆非常的不错。房间虽然小了一些但是很干净， 而且里市中心很近。\n', 'star': 5}
{'descr': '此宾馆紧邻舞厅，早起6时就开始咣咣的音乐声根本就没办法睡觉，晚上也是到11点才能结束，实在是太吵了，投诉服务员态度很不好，也可能服务员已经习惯了，可我们是需要休息的呀，这个宾馆实在是不敢恭维。', 'star': 1}
{'descr': '位置不错\u3000房间也比较干净', 'star': 3}
{'descr': '还不错 。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境不错.地址改为三万昌观前店旁就更好了.', 'star': 3}
{'descr': '很不错！！！很精致干净很不错！！！很精致干净很不错！！！很精致干净很不错！！！很精致干净', 'star': 5}
{'descr': '尽管是一个不足200元房费的商务酒店条件还是很一般。', 'star': 1}
{'descr': '难得还有带双早的这么便宜的酒店了，房间比汉庭、如家都要大，而且可以免费上网，交通很方便，环境很安静！就是房间卫生间的灯光太暗。值得推荐！', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '房间干净卫生，房价也挺实惠的。值得拥有个好评的宾馆。', 'star': 3}
{'descr': '还不错', 'star': 3}
{'descr': '真的离观前街很近啊，走路也就十分钟吧，交通很方便。房间有点小，一张床摆上之后，就没有多少空间了。晚上的时候会很吵，下面放的音乐声很大！我们只能把电视机的声音开得很大！不过到我们睡觉时，也就是十一点钟吧，就没什么声音了，还好还好，能让我们睡个安稳觉！隔音效果真的不咋地，开隔壁的门就想开我们的门似的，特恐怖。', 'star': 5}
{'descr': '＋酒店非常差', 'star': 3}
{'descr': '挺温馨的 里面都能用舒服来形容把 就是电视频道少了点', 'star': 5}
{'descr': '价格便宜，市内公交很方便，到苏州各景点基本都有直达公交线路，距离观前街商业街也不远。', 'star': 5}
{'descr': '便宜，卫生还可以，就是这里好吵，边上好像有个KTV，整个地皮和墙跟着颤，实在是休息不好', 'star': 1}
{'descr': '交通比较方便，房间也干净\n还有对酒店的服务员非常满意。', 'star': 5}
{'descr': '就是隔音差了點,一大早就有聲音,晚上也有!!其他都還不錯,前台服務還算熱情,', 'star': 5}
{'descr': '宾馆的位置不错，离各个景点都不远，坐公交也挺方便的，不过房间本身不是很好，房间有点小，隔音效果也不是很好，外面的动静里面都能听见，外面貌似有家什么店，一直放音乐，挺吵的，总体来说还不错，以后可能还会去住吧', 'star': 5}
{'descr': '  很方便，舒服，便宜', 'star': 3}
{'descr': '已入住', 'star': 3}
{'descr': '价格便宜，交通方便临近观前街。但是环境不好，因为附近有个舞厅，一大早就开始营业弄的很吵。房间小而无窗。', 'star': 5}
{'descr': '一切都算不错!!房间小了点!!但还是蛮干净!!只是隔音效果差点!!希望加油!!', 'star': 5}
{'descr': '酒店新装修不久，各方面条件都还不错。在苏州中心地带，价格比较便宜。', 'star': 5}
{'descr': '不错，还可以，早点差了点', 'star': 3}
{'descr': '房间打扫的很干净，服务很一般，酒店位置还行，出行还算方便', 'star': 3}
{'descr': '酒店前台很不错，服务很周到热情，房间打扫的干净整洁，住宿环境还是蛮好的', 'star': 5}
{'descr': '＋满意', 'star': 3}
{'descr': ' 房间比如家的大 尤其卫生间很大 交通很方便 网络免费且快 缺点是电视机太差 老且不清楚', 'star': 3}
{'descr': '住宿环境不错，房间干净整洁，舒适的很好，下次还会住的', 'star': 5}
{'descr': '前台服务人员态度恶劣，冷淡不近人情。清扫员工认真负责态度好。 ', 'star': 1}
{'descr': '还不错，住过几次了，比较经济实惠的酒店！就是隔音效果差点，隔壁电视声音大了都能听到，不过大多数宾馆都这样，总体来说不错，推荐！\n', 'star': 5}
{'descr': '前厅服务员的服务意识太差，语言很雷人，很像30年前市场经济以前的“国家级”服务员。热水不好，澡没洗完就没了。', 'star': 1}
{'descr': '房间不隔音，感觉太吵了，电视节目画面不清楚，屋里较冷，床单也不大干净，前厅服务员态度还可以。', 'star': 1}
{'descr': '房间不错但人员服务太差 冬天房间温度太低 有冷的感觉', 'star': 1}
{'descr': '挺好的。', 'star': 3}
