{'短评内容': '酒店位置交通便利，房间干净。', '短评打分': 5}
{'短评内容': '酒店很舒服，干净。在房间里点餐很方便，价格也实惠，味道不错。满意！', '短评打分': 5}
{'短评内容': '不好 太不值了 还说是四星级 我觉得和普通的酒店没什么区别 酒店外表挺好的 房间说是说有35 但我觉得没有挺小的 没什么特色', '短评打分': 5}
{'短评内容': '入住满意，条件不错，以后还要住，字够了吗？', '短评打分': 5}
{'短评内容': '房间很不错，特别是靠北面的房间，又安静又舒适。', '短评打分': 3}
{'短评内容': '今晚入住进来，订的是特价房但没有大床了，前台免费给升级有大床的房间，而且态度非常好。房间很舒服，很干净，前几天订酒店时看了客人们的点评担心得不知道该订哪一家了，因为每家都很烂，我连浴巾都自带了。房间就是正常的四星级房间，就是床是1.8米的不是2米的，其它都很好。真不知道楼上的各位客人们以什么条件要求酒店的，为什么抱怨连连？', '短评打分': 5}
{'短评内容': '空调很给力，洗澡很舒服', '短评打分': 3}
{'短评内容': '早餐住宿都不错！', '短评打分': 3}
{'短评内容': '总的来说这家酒店不错，尤其是软件服务，只是房间设施需要更新了。', '短评打分': 5}
{'短评内容': '各方面挺好，新！\n服务很好，入住后打电话征求意见！很好的做法！\n没有免费矿泉水，立即接受意见，向总经理反映。', '短评打分': 5}
{'短评内容': '酒店房间环境还行，服务较之前有改善。希望继续提高。', '短评打分': 1}
{'短评内容': 'It is very nice Hotel especially the room is very confortable. I will continue to stay the hotel next trip.', '短评打分': 5}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '很好的酒店，以后去洛阳还会入住。..........', '短评打分': 5}
{'短评内容': '很好的酒店，酒店餐厅的饭菜味道相当给力。', '短评打分': 5}
{'短评内容': '地理位置离老街很近还不错', '短评打分': 3}
{'短评内容': '我定的双床怎么变大床了  很不满意', '短评打分': 3}
{'短评内容': '要求不高，开了12个小时车，有张舒服的床就行了。卫生间太小，不知道谁设计的。', '短评打分': 3}
{'短评内容': '酒店房间设施比较好，地理位置还行，但服务实在很一般，早餐很一般', '短评打分': 1}
{'短评内容': '，满意！', '短评打分': 3}
{'短评内容': '还可以吧，性价比不错。', '短评打分': 3}
{'短评内容': '很不错，交通便利。', '短评打分': 3}
{'短评内容': '酒店还不错，不过不是很新了。一不小心有蚊子，我儿子被咬了好多包！早餐很丰富呢！值！', '短评打分': 5}
{'短评内容': '房间有老，家具看着很脏，根本达不到三星标准', '短评打分': 1}
{'短评内容': '酒店房间不错，但早餐不好，如果对早餐要球较高的人就不要住了，配不上四星的标准', '短评打分': 5}
{'短评内容': '酒店服务还不错，空调不是太凉，还好天气不算太热。', '短评打分': 5}
{'短评内容': '价格还可以，就是房间没有免费的瓶装水，也没水果，需要饮料还要打电话来送。', '短评打分': 5}
{'短评内容': '性价比还可以,就是早餐差点，下次会考虑继续入住', '短评打分': 5}
{'短评内容': '位置亦较好，房间条件较好，服务态度很好，早餐很丰富，性价比较高。', '短评打分': 5}
{'短评内容': '只能说是很一般啦。\n\n离老城还是比较安静的。', '短评打分': 5}
{'短评内容': '还可以，就是离马路近有点吵闹。推荐此酒店。', '短评打分': 5}
{'短评内容': '酒店挺好找的。在老城区性价比算高的。要是能提高下早餐的水平就更好了。', '短评打分': 5}
{'短评内容': '很不错的酒店。很安静。属于性价比比较高的。', '短评打分': 5}
{'短评内容': '酒店设施还行，服务较之前有所改善，和同类酒店比较，早餐不好。', '短评打分': 1}
{'短评内容': '一次定了4间房，房间环境很优雅，很值得入住。', '短评打分': 5}
{'短评内容': '位置不错，环境优雅，价格合适，很守信用。', '短评打分': 5}
{'短评内容': '千万不要来住这间“4星级酒店”， 我们一来就要换2次房，（我们对烟和霉菌过敏）。 第一次是房间烟味太大， 第二次是一面墙发霉。而且酒店从早上5点到下午5点整整12个小时都没有空调，我和先生因为很不舒服， 在房间休息， 竟然中暑了！我与酒店交涉，请他们开空调， 前台居然告诉我，已有顾客投诉，但还是要等到下午5点和经理批准才能开空调！', '短评打分': 1}
{'短评内容': '好，价格适宜，设施较好，值得推荐，下次有机会再入住', '短评打分': 5}
{'短评内容': '在老城边上,出行比较方便，整体感觉达不到四星的水平', '短评打分': 3}
{'短评内容': '早餐比较丰富，房间条件总体感觉还好，下次还会入住。', '短评打分': 5}
{'短评内容': '房间设施还好  早餐一般  服务一般', '短评打分': 3}
{'短评内容': '位置还可以，在老城区的外边。临街的房间有点吵，但有免费宽带，朝内的房间还没装。酒店二楼的餐厅比较实惠，适合旅游者。自己开车去的，停车位不少，适合自驾旅游者。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': 'very good hotel, very convinent to go outside, and nice room.', '短评打分': 5}
{'短评内容': '还不错，下次会急需入住，就是周围买东西吃东西不方便', '短评打分': 5}
{'短评内容': '酒店不错，设施还算新，地理位置在老城区，去丽景门食街和真不同百年老店挺近的，下次来还住这家酒店', '短评打分': 3}
{'短评内容': '热水不错，暖气也很热。本次住在靠小区的房间，所以也比较安静。下次还会入住。', '短评打分': 5}
{'短评内容': '位置和环境都不错，房间布局也可以，就是毛巾及订单不够白净的感觉。', '短评打分': 5}
{'短评内容': '帮朋友订的，听朋友说还不错，值得推荐入住', '短评打分': 5}
{'短评内容': '挺不错的，值得推荐，可以短时间住一下……………………', '短评打分': 5}
{'短评内容': '推荐一下，不错的酒店，值得入住一下…………………………', '短评打分': 5}
{'短评内容': '还行，推荐入住！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店还好，服务不错，风景不错，离隋唐洛阳城较近，可以四处逛逛', '短评打分': 5}
{'短评内容': '住在朝阳的房间里，对面就是洛河，风景还可以，就是临路，晚上有点吵', '短评打分': 5}
{'短评内容': '不错的酒店，用当地话说就是中中中中中中中中中中中中中中中中中！', '短评打分': 5}
{'短评内容': '挺好的酒店，很多方面都不错，但就是早餐的时候有点过于热闹，因人而异吧', '短评打分': 5}
{'短评内容': '酒店不错，加分', '短评打分': 3}
{'短评内容': '自驾游的比较方便，高速下来看看地图，没打听就找到了。设施好，床很舒服，卫生也不错。自助早餐也不错。离洛阳水席名店“真不同”不算远，开车几分钟，估计打车有10元也够了。交通比较便利，去龙门石窟半小时车程。缺点大床房临街，有点吵。', '短评打分': 5}
{'短评内容': '洛阳欣源国际酒店四星算不上，电视机不好,但这个价格住这里算是值的了,', '短评打分': 5}
{'短评内容': '酒店的潮味太重了，不过挺大的。但是房间没有四星的水平，，还在床上枕头旁发现了根阴毛，太恶了，差点吐了，干呕了半天', '短评打分': 5}
{'短评内容': '+洛阳欣源酒店总的来说还不错，设施较新，但是服务态度一般般，早餐结束早，8:40左右很多东西都没有了，宽带速度不理想，周边餐馆不多。', '短评打分': 5}
{'短评内容': '我订的豪华单间靠近马路，太吵了。服务一般。', '短评打分': 1}
{'短评内容': ' 好', '短评打分': 5}
{'短评内容': '1、房间偏小 2、早餐很不错 3、房价偏高 4、离洛阳老城较近', '短评打分': 5}
{'短评内容': '大部分都很好，就是结帐的速度有点慢。', '短评打分': 5}
{'短评内容': '优点：1，新酒店，外观设施和卫生都不错，地理位置好，对于自驾的我们来说下高速后很快能找到，停车场不小。离洛河不过，酒店附近安静。\r\n2，服务人员热情细心，我们到时豪标没有收拾好的，当即免费升级。有一晚特地请我们填表评价酒店情况，说是新酒店，希望客人多提意见提高水平。\r\n3，酒店内中餐厅饭菜价格合适，例如：一大碗面才八元，很少有四星这么便宜。\r\n不足：1，早餐虽才二十八元，相对简单，及不上其它城市的', '短评打分': 5}
{'短评内容': '酒店还是非常不错的 \r\n硬件设施很新 也很干净 地理位置也不错 周边吃喝玩乐齐全\r\n每天都可以见到很多旅行团入住\r\n唯一的缺陷是 网速太慢了 \r\n\r\n还是很喜欢 对酒店满意', '短评打分': 5}
{'短评内容': '往西走一小段路，就可以打上到龙门石窟的公交车；往北走可以到老城区，\r\n交通还算方便...不过就是服务普普通通，前台设在进门最深处，不是太合理...', '短评打分': 3}
{'短评内容': '安排的房间与预定不同，没办法只能接受...结账时刷完了信用卡，才告诉机器一早就有问题，早知道机器有问题，还要我先刷卡再交现金，为啥不直接要我付现就行了...', '短评打分': 1}
{'短评内容': '值得居住，去旅游景点都很方便，楼下就有公交旅游线路，关林，龙门石窟，白马寺都能直达，公交时间都在半小时内。附近饭店较少，需要打车，不过5到十分钟就能到达。', '短评打分': 5}
{'短评内容': '设施还可以,服务还是比较满意的但是总台的服务还是有些欠缺,房间也还行,位置还是比较好找的,性价比挺不错的.', '短评打分': 3}
{'短评内容': '新，舒适、干净、完好；新，不成熟、待磨合、待完善。入住时我用信用卡做预授权，结账时线路有问题，耽误不起，只能用现金结账，... ...。', '短评打分': 5}
{'短评内容': '很新的一个酒店，也有特色，每层都不一样。性价比高，适合自己开车玩的时候住', '短评打分': 5}
{'短评内容': '这家酒店的装潢设施方面还是蛮新的，如果要是再配备电脑就更好了，周边环境也还可以，交通挺方便的，价格方面也比较合适了。', '短评打分': 5}
{'短评内容': '没有收到洗浴票。5月25日入住。', '短评打分': 3}
{'短评内容': '酒店新的，干净，没有提供早餐，没有提上网。', '短评打分': 5}
{'短评内容': '酒店的是新开业的，设施方面挺新的，服务卫生方面也挺不错的，价格还是比较合适的。', '短评打分': 5}
{'短评内容': '酒店很不错，四星级酒店的硬件设施，环境服务，包括他的位置都很好，交通挺方便的。', '短评打分': 5}
